CONCEPTICON_ID	CONCEPTICON_GLOSS	SPANISH	SPANISH_AWE_MEAN	SPANISH_RELIEF_MEAN	SPANISH_EXCITEMENT_MEAN	SPANISH_AMUSEMENT_MEAN	SPANISH_PLEASURE_MEAN	SPANISH_CONTENTMENT_MEAN	SPANISH_SERENITY_MEAN	LINE_IN_SOURCE
1067	JUDGMENT	juicio	2.50000	2.10000	1.85000	1.55000	1.65000	1.75000	2.09091	5041
1068	COURT	tribunal	2.25000	1.85000	2.09091	1.35000	1.85000	1.60000	1.45455	8613
1069	GLUE	pegar	1.35000	1.45000	1.95000	1.59091	1.25000	1.35000	1.25000	6444
1070	BUS	autobús	1.30000	2.00000	1.60000	1.75000	1.95000	1.60000	1.91304	870
1071	HOOK	gancho	1.85000	1.55000	1.69565	1.95000	1.35000	1.55000	1.60000	4051
1072	PRISONER	preso	1.55000	1.47619	1.50000	1.29167	1.25000	1.27273	1.28000	6877
1075	TRAP (PITFALL)	trampa	1.35000	1.10000	1.40000	2.09524	1.20000	1.30000	1.27273	8543
1077	WHEAT	trigo	1.70000	2.35000	2.15000	1.80000	2.95000	2.00000	2.50000	8617
1079	FEEL	sentir	3.61905	3.55000	4.30000	3.95000	4.00000	4.55000	3.95833	7905
108	RUDDER	timón	1.85000	2.35000	1.84211	2.04545	2.20000	1.80000	2.80000	8434
1082	MERCHANT	comerciante	1.80000	1.95000	1.85000	2.30000	1.60000	2.10000	1.80000	1800
1084	CALL	llamar	1.76190	2.65000	2.95000	2.40000	2.90000	2.65000	2.95000	5263
1085	FOLLOW	seguir	2.50000	3.10000	3.10000	2.33333	3.20000	3.25000	2.65000	7855
1087	CONCEIVE	concebir	3.34783	2.25000	2.80000	2.50000	3.15000	2.75000	2.55000	1901
1088	SINK (DESCEND)	hundir	1.35000	1.33333	1.27273	1.45000	1.30435	1.30000	1.42857	4454
1090	BE BORN	nacer	3.40000	2.80000	4.05000	2.76190	3.30000	3.65000	3.43478	5888
1092	HOPE	esperanza	3.65000	4.25000	4.15000	3.57143	4.30000	3.65000	4.05000	3402
1095	LET GO OR SET FREE	lanzar	1.90476	1.85000	2.45455	2.90000	2.35000	2.15000	2.45000	5096
1096	SONG	canción	3.35000	3.95000	4.15000	3.95238	4.04348	3.75000	3.70000	1323
1098	WEIGH	pesar	1.50000	1.80000	1.55000	1.60000	1.65000	1.40000	1.76190	6577
110	MOTOR	motor	2.25000	1.90000	1.95652	2.10000	2.50000	1.73913	2.13636	5812
1100	COOK (SOMETHING)	cocinar	3.55000	2.60000	3.25000	3.14286	3.60000	3.60000	3.15000	1712
1102	CLIMB	trepar	2.50000	2.42857	2.60000	2.55000	2.45000	2.70000	1.90000	8607
1103	SACRIFICE	ofrenda	3.20000	2.39130	2.90000	2.20000	2.78947	2.76000	2.60000	6114
1104	NURSE	enfermera	3.80000	3.25000	2.20000	1.85000	2.30000	3.25000	2.50000	3176
1105	CAMP	campamento	2.20000	2.55000	3.05000	3.50000	3.05000	2.73913	2.27273	1300
1107	GO OUT	salir	2.60000	3.45000	3.70000	3.30000	3.55000	2.60000	2.50000	7764
1109	WOUND	herida	1.50000	1.35000	1.45000	1.38095	1.35000	1.40000	1.90000	4308
1110	SHARK	tiburón	1.50000	1.25000	1.85000	1.76190	1.70000	1.52381	1.30000	8420
1111	CAR	coche	2.20000	1.95000	3.20000	3.00000	2.95000	3.28571	2.04545	1706
1114	BULLET	bala	1.80000	1.05000	1.56522	1.25000	1.55000	1.30000	1.10000	954
1119	DIVIDE	dividir	1.65217	1.65000	2.00000	1.55000	2.05000	2.05000	2.04545	2893
112	TURTLE	tortuga	2.15000	2.05000	2.25000	2.33333	2.05000	2.18182	3.14286	8503
1120	HONEST	honesto	3.75000	3.90000	3.75000	3.10000	4.10000	4.19048	4.13636	4383
1121	SECRET	secreto	2.45000	2.20000	2.85000	2.20000	3.16667	2.75000	2.00000	7835
1122	WAGES	salario	3.20000	3.85000	3.20000	2.47826	3.75000	3.70000	2.80000	7760
1123	PREGNANT	embarazada	3.04348	2.60000	3.15000	2.65000	2.60000	2.85714	2.59091	3077
1124	PIPE	pipa	1.29167	2.05000	1.65000	2.30000	2.85000	1.73913	1.95000	6630
1125	BALD	calvo	1.60000	1.90909	1.55000	2.20000	1.75000	1.65000	1.75000	1277
1127	SEND	enviar	1.95000	2.55000	2.55000	2.18182	2.85000	2.05000	2.55000	3256
113	SHORE	litoral	2.15789	2.61111	2.42105	2.19048	2.35294	2.00000	2.63158	5255
1133	MATCH	cerilla	1.60000	2.20000	1.70000	1.90476	2.14286	1.85000	2.04167	1545
1134	DIVORCE	divorcio	1.70000	2.40000	1.15000	1.09524	1.50000	1.80000	1.40000	2898
1136	RABBIT	conejo	2.15000	2.35000	2.50000	2.85714	3.05000	2.10000	2.47619	1950
1138	FAIRY	hada	2.90000	3.25000	2.90909	3.45000	2.95000	2.90000	3.52174	4267
1139	LEOPARD	leopardo	2.82609	2.30000	2.73913	2.40000	2.78947	1.75000	2.34783	5164
1142	URINE	orina	1.45000	2.05000	1.50000	1.73913	1.95000	1.60000	1.56522	6205
1143	OVEN	horno	1.80000	2.30000	2.15000	2.15000	1.75000	2.30000	2.23810	4404
1144	WITNESS	testigo	2.35000	2.56522	2.40000	1.35000	2.10000	2.35000	2.10000	8411
1145	SWAMP	pantano	2.00000	1.55000	1.85000	2.45000	2.20000	2.00000	2.33333	6294
1147	PURE	puro	3.25000	2.85000	3.05000	2.40000	4.15000	3.30000	3.80000	7135
1149	ORPHAN	huérfano	2.45000	1.15000	1.20000	1.15000	1.25000	1.40000	1.30000	4425
1150	THUNDER	trueno	2.90000	1.75000	1.91304	2.12500	2.40000	1.95000	2.40000	8645
1151	VEIL	velo	2.05000	1.65000	1.89474	1.63158	1.59091	2.15000	2.31818	8785
1153	CATTLE	ganado	1.95000	2.15000	2.59091	2.13636	2.40000	2.40000	2.85000	4045
1155	CAVE	cueva	2.45000	1.90000	2.60000	2.35000	1.95000	2.05000	2.45000	2327
1156	OPEN	abrir	1.70000	2.73913	3.20000	2.20000	3.36364	2.52174	2.60000	37
1158	STEP	escalón	1.75000	2.05000	1.72727	1.54545	1.75000	2.56522	1.75000	3308
1159	FART	pedo	1.80000	3.00000	1.60000	2.59091	2.05000	1.65000	1.55000	6441
1160	THIEF	ladrón	1.48000	1.40000	1.50000	1.45000	1.25000	1.31818	1.25000	5076
1161	THREAD	hilo	1.35000	2.21739	1.50000	1.35000	2.35000	2.00000	2.50000	4344
1162	INTENTION	intención	2.65000	2.90000	2.85000	2.71429	2.82609	2.85000	2.35000	4867
1165	MOUSTACHE	bigote	1.40000	1.70000	1.90000	2.20000	1.65000	1.65000	2.00000	1072
1169	OX	buey	1.90000	2.00000	1.52174	2.00000	2.00000	2.05000	2.25000	1181
117	IMITATE	imitar	2.40909	2.00000	2.25000	3.10000	2.20000	1.90000	2.00000	4503
1170	TRAP (CATCH)	atrapar	2.20000	2.25000	1.90000	2.45000	2.70000	2.04167	1.33333	834
1171	MIRROR	espejo	2.40000	2.42857	2.50000	2.42857	2.80000	2.10000	2.65000	3400
1174	YESTERDAY	ayer	1.90000	2.65000	1.80000	2.00000	2.10000	2.15000	2.52381	923
1175	GHOST	fantasma	2.25000	1.20000	1.70000	2.61905	2.00000	1.35000	1.40000	3724
1181	PALM TREE	palmera	1.65000	2.05000	2.60000	2.95238	2.70000	2.75000	2.75000	6276
1182	NOISE	ruido	1.55000	1.90000	2.00000	2.45455	1.47619	1.36000	1.65000	7716
1183	PALM OF HAND	palma	2.05000	2.41667	2.20000	1.90476	2.35000	2.05000	2.00000	6275
1185	VULTURE	buitre	1.80000	1.55000	1.85000	2.00000	1.65000	1.30000	1.78261	1185
1186	LAST (ENDURE)	durar	2.75000	2.95000	2.65000	2.05000	3.00000	2.75000	2.65000	2979
1187	GOOSE	ganso	1.63636	1.79167	2.05263	2.36364	1.95000	1.75000	1.75000	4053
1188	CHARCOAL	carbón	1.50000	1.50000	1.45000	1.71429	1.92000	2.25000	1.63636	1385
1190	HARE	liebre	1.91304	2.25000	2.30000	1.70000	2.20000	1.84211	2.72727	5208
1192	THREATEN	amenazar	1.75000	1.25000	1.25000	1.15000	1.15000	1.20000	1.27273	437
1198	MANY	mucho	2.52381	3.10000	3.50000	2.68182	3.30000	3.60000	2.25000	5826
1199	WIFE	esposa	3.04348	2.20000	2.80000	3.00000	2.30000	2.35000	2.60870	3422
12	MIDDAY	mediodía	2.50000	3.05000	2.75000	2.04762	2.95000	3.05000	2.31818	5565
1200	HUSBAND	marido	2.65217	2.55000	2.47826	2.50000	3.30000	3.85000	2.60000	5473
1201	FEATHER	pluma	1.90000	2.50000	2.20000	2.55000	2.75000	2.70000	3.80000	6689
1202	BIG	grande	2.85000	2.35000	3.04762	2.60000	2.85000	2.65000	2.62500	4190
1203	LONG	largo	1.40000	1.95000	1.95000	2.00000	2.10000	2.38095	2.33333	5102
1204	BARK	corteza	1.38095	1.60000	1.59091	1.85000	2.04762	2.05000	2.04762	2209
1205	TONGUE	lengua	2.50000	2.76190	2.05000	2.85000	3.50000	2.40000	2.10000	5153
1207	YOUNG	joven	3.35000	3.35000	3.22727	4.19048	3.75000	3.30000	2.70000	5023
1208	CAT	gato	2.90000	3.04348	2.50000	3.85000	3.30000	3.00000	3.50000	4071
121	SPIN	girar	1.50000	1.75000	1.95000	2.60000	2.00000	2.15000	2.10000	4124
1210	HEAVY	pesado	1.35000	1.70000	1.56522	1.05000	1.35000	1.45000	1.39130	6575
1216	MOTHER	madre	4.45000	4.40000	3.45000	2.90000	4.15000	4.35000	3.85000	5339
1217	FATHER	padre	4.19048	3.50000	3.30000	2.85000	3.10000	3.35000	3.63636	6249
1218	ROPE	cuerda	2.00000	1.95000	2.00000	2.15000	1.85000	1.80000	2.38095	2319
1219	WORM	gusano	1.57143	1.45000	1.40000	1.90000	1.35000	1.76190	2.22727	4250
122	CART	vagón	1.90000	1.90000	2.05000	2.50000	1.75000	1.52381	2.23810	8731
1220	TAIL	cola	1.65000	1.55000	1.54545	2.14286	1.77273	1.45455	1.80000	1737
1221	NOSE	nariz	1.50000	1.94737	1.70000	1.85000	1.95000	2.00000	1.80000	5905
1222	PENIS	pene	2.20000	2.25000	2.05000	2.65217	3.17391	3.35000	2.00000	6472
1223	HEART	corazón	4.00000	3.10000	3.95000	3.14286	3.95000	3.50000	3.47619	2167
1224	LIVER	hígado	1.35000	1.65000	1.35000	1.60000	1.65000	1.50000	1.55000	4338
1225	DAY (NOT NIGHT)	día	2.70000	2.75000	3.00000	3.10000	3.10000	3.00000	3.20000	2732
1226	YEAR	año	2.60000	2.28571	2.20000	2.30000	2.35000	2.10000	2.10000	545
1227	BOARD	tabla	1.38462	1.60000	1.35000	1.68182	2.15000	2.20000	2.41667	8260
1228	EARTH (SOIL)	tierra	2.65000	3.30000	2.65000	2.50000	2.83333	3.30000	3.30000	8425
1229	OLD	viejo	2.60000	2.15000	1.70000	1.60000	2.15000	2.25000	2.75000	8878
123	FOREHEAD	frente	2.20000	1.75000	1.82609	1.80000	1.90000	1.95000	1.90000	3959
1230	DIRTY	sucio	1.33333	1.20000	1.26087	1.66667	1.25000	1.45833	1.21739	8167
1231	NEW	nuevo	3.47826	2.85000	4.25000	3.50000	3.65000	3.50000	2.52381	6035
1233	NIGHT	noche	2.95000	3.15000	3.60000	3.65000	3.17391	2.65000	3.50000	5990
1234	SMOOTH	liso	1.90000	2.55000	1.95000	1.90000	3.35000	2.60000	3.30000	5245
124	THORN	espina	1.65000	1.75000	1.40000	1.28571	1.50000	1.40000	1.35000	3410
1242	FEW	poco	1.70000	1.85000	1.75000	1.33333	1.75000	1.45000	1.70833	6702
1243	WIDE	ancho	1.60000	1.90000	1.65000	2.05000	1.87500	2.30000	2.40000	471
1244	THICK	grueso	1.25000	1.55000	1.85000	1.54545	1.95000	1.80000	1.55000	4220
1245	BUTTER	mantequilla	1.45000	1.90000	1.70000	1.90000	2.55000	2.30000	2.40000	5437
1246	SMALL	chico	2.25000	1.55000	2.25000	2.75000	3.20000	2.65000	2.54545	1583
1248	EYE	ojo	2.20000	2.27273	2.38095	2.05000	2.75000	2.30000	2.60000	6118
1249	SPIKE	espiga	1.40000	1.54545	1.73684	1.60000	1.52632	1.78947	2.20000	3409
1250	JAGUAR	tigre	2.95000	1.65000	1.90000	1.95000	2.55000	2.15000	1.50000	8427
1251	BELLY	barriga	1.50000	2.12500	2.00000	2.04762	1.40000	1.50000	1.90476	1004
1252	HOUSE	casa	2.75000	3.81818	3.00000	3.23810	3.60000	4.15000	3.79167	1434
1254	HANDLE	asa	1.60000	1.90000	1.30435	1.55000	1.80000	1.60000	1.73684	717
1256	HEAD	cabeza	2.75000	2.40000	2.80000	2.13636	3.00000	2.60000	2.30000	1216
1257	WING	ala	1.88000	2.45000	1.90000	2.10000	2.55000	2.70000	2.85000	300
1261	SING	cantar	3.65000	3.45000	3.90000	4.28571	3.60000	4.05000	3.27273	1340
1262	BROTHER	hermano	4.25000	3.40000	2.73913	3.77273	3.60000	3.30435	3.84000	4314
1263	SISTER	hermana	3.00000	3.60000	3.45000	3.40909	3.40000	3.70000	3.70000	4312
1264	CHANGE	cambiar	2.20000	3.15000	3.80000	2.50000	3.05000	3.25000	2.70000	1288
1266	BRIDE	novia	2.92000	3.35000	3.50000	3.90000	3.40000	3.30000	2.95455	6024
1267	NARROW	estrecho	1.50000	1.70000	1.45000	1.65000	1.65000	1.75000	1.55000	3497
127	EXTINGUISH	apagar	1.45000	2.25000	1.65000	1.80952	2.05000	2.25000	2.05000	549
1271	DELIGHT	complacer	3.20000	4.00000	3.25000	2.85000	3.90000	3.90000	3.50000	1849
1272	AUNT	tía	2.65000	3.14286	2.80000	3.10000	3.00000	2.95000	2.50000	8418
1273	CANDLE	vela	2.71429	3.15000	2.09091	2.40000	2.65000	2.77273	3.69565	8779
1274	SALT	sal	1.90000	2.25000	2.05000	1.85000	2.20000	2.10000	1.80000	7756
1275	ANSWER	contestar	2.20000	3.10000	3.15000	2.15000	2.95833	2.40000	2.30000	2088
1276	AUTUMN	otoño	2.30000	2.85000	2.75000	2.50000	3.15000	3.15000	3.90000	6226
1277	HAND	mano	1.95000	2.25000	1.90000	2.00000	3.10000	2.60000	2.55000	5428
1280	FALL	caer	1.80000	1.40000	2.45000	2.22727	1.55000	1.35000	1.20000	1232
1281	PRISON	cárcel	1.40000	1.28571	1.25000	1.20000	1.30435	1.30000	1.52381	1388
1282	FAT (FROM ANIMALS)	manteca	1.80000	1.40000	1.60000	2.38095	2.26316	1.60000	1.90000	5433
1283	TODAY	hoy	3.25000	2.85000	2.60000	2.60000	2.60000	3.00000	3.20000	4418
1285	IMPORTANT	importante	3.80000	2.75000	3.45833	2.40000	2.95000	3.70000	2.80000	4540
1286	HOT	caliente	1.95000	2.50000	2.60000	2.95000	3.75000	2.85000	2.81818	1257
1287	COLD	frío	1.75000	2.10000	2.35000	1.85714	2.05000	2.25000	2.35000	3965
1288	CAP	gorro	1.90000	2.00000	2.12500	2.33333	2.25000	2.05000	1.60000	4166
1289	BABY	bebé	3.00000	3.33333	3.80000	3.40000	3.86957	3.00000	2.91304	1033
129	CHOKE	ahogarse	1.40000	1.45000	1.10000	1.04545	1.05000	1.05000	1.45833	287
1290	ELEPHANT	elefante	3.00000	1.70000	2.65000	2.90000	2.13636	1.85000	2.56522	3053
1291	BACK	espalda	2.15000	2.25000	2.00000	1.70000	2.95000	1.70000	2.08696	3375
1292	BAD	malo	1.60000	1.40000	1.45000	1.30435	1.40000	1.25000	1.35000	5393
1294	ZERO	cero	1.60000	2.05000	1.65000	1.39130	2.05000	1.90000	2.25000	1546
1295	STICK	palo	1.30000	1.65000	1.50000	1.85000	1.80000	1.60000	1.66667	6278
1296	WALKING STICK	bastón	1.40000	1.80000	2.00000	1.80952	1.75000	1.95000	2.00000	1017
1297	LEG	pierna	1.85000	1.55000	1.77273	1.70000	2.65000	2.15000	2.19048	6606
1298	NEWSPAPER	periódico	2.40000	2.00000	2.40000	2.60000	2.14286	2.66667	2.15000	6529
1299	COFFEE	café	2.15000	2.85000	2.30000	2.75000	3.45455	3.70000	2.85000	1233
13	DECEIT	engaño	1.20000	1.10000	1.18182	1.25000	1.15000	1.25000	1.15000	3189
1300	COUNTRY	país	2.00000	2.00000	2.60000	1.75000	2.08696	2.80000	2.19048	6257
1301	FOOT	pie	1.95000	1.60000	1.45833	1.80000	2.00000	1.85000	2.05000	6602
1302	FORK	tenedor	1.50000	1.80000	1.50000	1.55000	1.60000	2.10000	1.50000	8360
1303	FINGER	dedo	1.70000	1.95652	2.05000	1.55000	2.60000	1.80000	2.35000	2419
1304	CHILD (YOUNG HUMAN)	niño	2.60000	2.55000	3.43478	3.90000	2.30000	3.20000	2.30000	5984
1305	CHIMNEY	chimenea	1.70000	2.77273	2.00000	2.40000	3.70000	2.65000	3.00000	1586
1306	QUEEN	reina	2.61905	2.30000	2.95000	2.65000	3.23810	2.55000	2.45455	7397
1307	LANGUAGE	idioma	3.60000	2.20000	3.15000	2.76190	3.08696	3.55000	2.40000	4470
1308	DOUBT	dudar	1.80000	1.75000	1.90000	1.50000	1.55000	1.80000	1.90909	2962
1309	ASK (INQUIRE)	preguntar	2.70000	2.75000	3.20000	2.68182	2.80000	2.75000	2.79167	6836
131	FESTIVAL	partido	2.15000	1.95000	2.75000	3.23810	2.25000	2.90000	1.55000	6362
1312	FOX	zorro	2.05000	1.65000	2.19048	2.30000	2.05000	2.20000	1.90000	8996
1313	MOON	luna	3.85000	3.05000	3.35000	2.77273	3.15000	3.45000	3.87500	5329
1315	RADIO	radio	2.05000	2.45000	2.30000	3.27273	2.45000	2.20000	2.42857	7184
1318	CHICKEN	pollo	1.80000	2.20000	1.78261	2.25000	3.35000	2.20000	2.08696	6727
132	SAUCE	salsa	1.80000	2.30000	2.40000	2.90000	3.25000	2.75000	2.37500	7768
1320	APPLE	manzana	1.95000	2.30000	1.95455	2.70000	2.90000	2.35000	2.65217	5442
1321	BOTTLE	botella	1.50000	1.95000	1.90000	2.60000	2.20000	2.50000	2.34783	1138
1322	BREAKFAST	desayuno	2.50000	3.00000	3.35000	2.95000	3.55000	3.40000	3.77273	2557
1323	CLOCK	reloj	2.15000	2.15000	2.23810	2.08696	2.30000	2.00000	2.39130	7430
1325	FRIEND	amigo	4.40000	3.83333	4.35000	4.42857	4.50000	4.50000	4.30000	441
1327	UNCLE	tío	2.55000	2.57143	2.45455	2.31818	2.60000	2.90000	2.37500	8438
1329	TOMORROW	mañana	3.15000	2.76190	2.45000	2.57143	2.95000	3.25000	2.85714	5445
133	WEAVE	tejer	2.35000	2.50000	2.05000	2.58333	2.15000	2.15000	3.25000	8317
1330	DEFEND	defender	3.40000	3.15000	3.60000	2.09524	3.75000	4.35000	2.60000	2423
1331	SHEEP	oveja	2.05000	2.15000	1.55000	2.95000	1.70000	2.10000	2.28571	6231
1332	NEIGHBOUR	vecino	2.00000	2.65000	2.28571	1.85000	2.65000	2.40000	2.28571	8769
1333	NECK	cuello	1.80000	1.70000	1.65000	2.10000	3.20000	2.50000	2.35000	2315
1334	GUTS	intestino	1.90000	1.80000	1.40000	1.57143	1.56000	1.55000	1.75000	4916
1335	WHITE	blanco	1.76923	3.40000	2.30000	1.95000	3.35000	2.58333	3.60000	1089
1336	EAT	comer	2.60000	3.55000	3.27273	3.58333	4.40000	4.25000	3.20000	1796
1337	PIG	cerdo	1.50000	1.35000	1.75000	1.80000	1.75000	1.60000	1.85000	1538
1338	PEACE	paz	4.15000	4.45000	3.05000	2.86957	4.55000	4.80000	4.80000	6423
134	FAULT	culpa	1.60000	1.50000	1.30000	1.09091	1.45000	1.60000	1.65000	2337
1341	HEAT UP	calentar	2.35000	2.50000	2.90000	2.15000	3.80000	3.20000	2.76000	1255
1342	SUMMER	verano	3.85000	3.45000	4.15000	4.70000	4.45000	3.95000	3.80000	8813
1343	SUN	sol	3.95000	3.70000	3.45000	3.68182	4.15000	4.05000	4.20000	8058
1346	THROAT	garganta	2.10000	1.90000	1.54545	1.45000	2.20000	2.00000	1.45455	4058
1347	NAPE (OF NECK)	nuca	1.38095	2.05000	1.34783	1.90909	2.90000	2.50000	1.95652	6031
1348	BOAR (MALE PIG)	jabalí	2.04167	1.80000	1.85714	1.85000	1.50000	1.60870	1.52381	4997
1350	MONKEY	mono	2.50000	2.25000	2.10000	2.55000	2.35000	2.45000	1.80000	5758
1352	KNIFE	cuchillo	1.76190	1.20000	1.47826	1.40000	1.60000	1.16667	1.40000	2314
1353	HOUR	hora	1.90000	2.05000	2.00000	1.55000	1.85000	1.95000	2.04348	4393
1355	LAUGH	reír	3.50000	4.40000	4.05000	4.86364	4.95000	4.40000	3.90000	7402
1356	NUMBER	número	1.60000	1.85000	2.00000	1.80000	2.40000	2.15000	1.65000	6041
1357	DAUGHTER	hija	3.35000	3.30000	3.05000	2.90000	3.30000	4.05000	3.05000	4341
1358	ENEMY	enemigo	1.75000	1.10000	1.65000	1.45000	1.15000	1.35000	1.33333	3163
1359	SEPARATE	separar	1.40000	2.05000	1.55000	1.55000	1.95000	1.73913	1.95000	7919
1360	DUCK	pato	1.85000	1.25000	2.15000	3.18182	2.75000	2.60000	2.04762	6399
1361	TOOL	herramienta	2.10000	2.47368	2.05000	2.09524	2.20000	2.40000	2.45833	4323
1362	STREET	calle	2.36364	2.50000	2.55000	3.09091	2.60000	2.35000	2.13636	1265
1363	VOICE	voz	3.05000	3.20000	3.00000	2.95652	3.15000	3.15000	3.75000	8969
1365	KITCHEN	cocina	2.15000	2.23810	2.25000	2.36364	3.32143	2.85000	2.70000	1711
1366	BOY	muchacho	2.20000	1.95000	2.30000	3.10000	2.85000	2.25000	2.31818	5824
1367	CROSS	cruz	1.70000	2.05000	1.75000	1.25000	1.55000	1.70000	1.87500	2293
1368	BREAD	pan	1.85000	2.90000	2.35000	1.55000	3.50000	2.95000	2.57143	6282
1369	GOLD	oro	3.10000	2.60000	3.52381	2.20000	3.12500	3.45000	2.43478	6208
1370	MONTH	mes	1.55000	1.95000	1.95455	1.60000	2.15000	2.70000	1.80000	5618
1371	KNEE	rodilla	1.40000	1.54545	1.75000	1.60870	2.10000	1.90000	1.85000	7677
1372	MEDICINE	remedio	2.95000	3.90000	3.10000	2.25000	3.30000	3.55000	3.29167	7435
1373	TEA	té	1.80000	3.40000	2.30000	2.00000	2.95000	3.05000	3.60870	8305
1374	RING	anillo	3.00000	2.45000	3.10000	2.54167	2.95000	2.25000	3.15000	491
1375	WINDOW	ventana	2.10000	3.40000	2.12500	1.85000	2.70000	2.60000	2.45000	8807
1376	NOW	ahora	2.38095	2.80000	3.30000	2.60000	3.08696	2.60000	3.05000	288
1378	SPOON	cuchara	1.54545	1.95652	1.60000	1.90000	2.05000	1.75000	1.75000	2312
1379	TELEPHONE	teléfono	2.50000	2.45000	2.30000	3.04545	2.55000	2.80952	2.05000	8323
138	BATHE	bañera	1.75000	3.35000	2.75000	2.80000	3.45000	2.90000	3.05000	982
1380	TOOTH	diente	1.65000	2.19048	1.95000	1.77273	1.90000	1.80000	1.85000	2761
