CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	ENGLISH_AOA_READING_MEAN	ENGLISH_AOA_WRITING_MEAN	ENGLISH_AOA_READING_UNTRAINED_GPT_SCORE	ENGLISH_AOA_WRITING_UNTRAINED_GPT_SCORE	ENGLISH_AOA_UNTRAINED_GPT_SCORE	ENGLISH_AOA_READING_TRAINED_GPT_SCORE	ENGLISH_AOA_WRITING_TRAINED_GPT_SCORE	ENGLISH_AOA_TRAINED_GPT_SCORE	LINE_IN_SOURCE
1053	HUNTER	hunter	7.942857142857143	8.423666910153397	7.5	8.5	5.5	6.1	6.2	6	3293
1058	STEPDAUGHTER	stepdaughter	7.8047091412742375	8.804362880886426	10.5	11.5	7.5	8	8.2	7.9	5631
1059	STEPSON	stepson	7.642301038062285	8.06099342585829	9.5	10.5	7.5	8.1	8.4	7.9	7969
1061	ARMOUR	armor	8.121621621621621	8.85135135135135	9.5	9.5	7.5	7.5	7.9	7	2750
1062	LAW	law	8.302631578947368	8.992330168005845	9.2	8.5	7.5	7.1	7.2	7	1443
1063	NEPHEW	nephew	7.814285714285714	8.236842105263158	8.5	9.5	5.5	7.4	7.7	7	4822
1064	SHIELD	shield	7.808532778355879	7.893598615916955	8.5	9.5	6.5	7.1	7.4	7	3144
1065	SPIDER WEB	web	6.712121212121212	6.992330168005845	6.5	6.5	5.5	6.1	6.2	6	1420
1066	CRIME	crime	7.606481481481483	8.578317901234568	9.5	9.5	6.5	7.1	7.4	7	2064
1067	JUDGMENT	judgment	9.857142857142858	10.76388888888889	10.5	10.5	8.5	9.5	10	9	6630
1068	COURT	court	8.144736842105264	8.947368421052632	9.2	10.5	6.5	8	8.1	7.9	2172
1069	GLUE	glue	6.602678571428571	7.014285714285714	6.5	6.5	5.2	5.5	5.5	5	719
1070	BUS	bus	4.982758620689655	5.588969823100936	5.2	5.5	3.5	5.1	5.2	4.9	477
1071	HOOK	hook	6.068163265306123	6.80787037037037	6.5	6.5	5.2	6.1	6.2	5.9	1663
1072	PRISONER	prisoner	8.76388888888889	9.02045288531775	8.5	10.5	7.5	8.1	8.4	7.9	4563
1074	FISHHOOK	fishhook	7.619598765432098	8.5	8.5	9.5	7.5	7.5	7.9	7	3303
1075	TRAP (PITFALL)	trap	6.183333333333334	6.9417273673257025	7.5	6.5	5.2	6.1	6.3	6	758
1076	EMERGE (APPEAR)	appear	8.24326530612245	9.13888888888889	7.5	8.5	5.2	7.9	8.1	7.5	1220
1077	WHEAT	wheat	7.08494031221304	8.16089965397924	8.5	9.5	6.5	7.1	7.4	7	1896
1078	MAIN	main	6.723684210526316	7.2894736842105265	7.5	7.5	6.5	7	7.1	6.9	1969
1079	FEEL	feel	6.608418367346938	7.26806640625	5.2	6.5	3.5	5.4	5.7	4.9	142
1081	BILL	bill	6.407231555880204	7.192129629629629	7.2	7.2	5.5	7	7.1	6.9	1402
1082	MERCHANT	merchant	9.202702702702704	9.986842105263158	10.5	10.5	8.5	10	10.2	9.9	10720
1084	CALL	call	5.797668038408779	6.804444444444444	5.2	6.5	3.5	5.1	5.2	4.9	340
1085	FOLLOW	follow	5.9961072664359865	6.7669753086419755	6.2	7.2	3.5	6	6.1	5.5	428
1086	WORK (ACTIVITY)	activity	7.081224489795919	7.6952908587257625	7.5	8.5	5.2	7.1	7.4	7	2280
1088	SINK (DESCEND)	sink	5.396484375	5.670655567117587	6.5	7.5	4.5	5.1	5.2	4.9	1481
109	FOREIGN	foreign	8.249614197530864	9.006939371804236	10.5	11.5	8.5	10	10.4	9.9	1648
1090	BE BORN	born	5.81494140625	6.62530612244898	6.5	7.5	3.5	5.1	5.3	4.9	460
1091	SALTY	salty	6.385813148788928	6.9868421052631575	7.5	7.5	5.2	6.1	6.2	5.9	2260
1092	HOPE	hope	6.277315296566077	6.803265306122449	7.5	7.5	5.2	6.1	6.2	6	349
1093	MIDDLE	middle	6.844827586206897	6.824324324324325	7.5	7.5	5.5	6.1	6.3	6	632
1094	FASTEN	fasten	8.743589743589743	9.197368421052632	8.5	9.5	5.5	7.1	7.5	7	7551
1095	LET GO OR SET FREE	release	7.814285714285714	8.192307692307692	9.2	10.5	5.5	8.1	8.5	8	4624
1096	SONG	song	5.318668252080856	5.768135904499542	5.2	6.5	3.5	4.9	5	4	524
1097	ABANDON	abandon	9.571428571428571	10.180555555555555	10.5	10.5	7.5	9.1	9.5	9	5017
1098	WEIGH	weigh	7.871428571428571	7.97954711468225	8.5	9.5	6.5	7.5	8	7	3669
11	DARKNESS	darkness	7.371428571428571	8.125	7.5	8.5	5.5	6.1	6.4	6	1482
110	MOTOR	motor	5.916955017301039	7.671875	7.5	7.5	5.5	7.1	7.5	7	4913
1100	COOK (SOMETHING)	cook	4.988165680473372	5.791883454734652	6.5	6.5	3.5	5.5	6	5	967
1101	SUFFER	suffer	9.662162162162161	10.355263157894736	9.5	10.5	6.5	8.1	8.5	7.9	5695
1102	CLIMB	climb	6.677777777777778	7.342040816326531	5.2	6.5	3.5	5.4	5.7	4.9	596
1103	SACRIFICE	sacrifice	10.1	10.828947368421053	11.5	11.5	9.5	9.5	10	9	6919
1104	NURSE	nurse	6.809053069719043	7.081081081081081	6.5	7.5	4.5	5.5	6	5	1516
1105	CAMP	camp	7.876326530612245	8.333333333333334	6.5	6.5	5.5	6.1	6.2	5.9	2202
1107	GO OUT	out	5.0248724489795915	5.60205078125	5.2	6.5	3.5	4	4	4	36
1108	UNCOVER	uncover	8.67142857142857	9.071428571428571	8.5	9.5	6.5	7.1	7.3	7	5410
1109	WOUND	wound	7.647058823529412	7.918918918918919	8.5	9.5	5.5	7	7.1	6.5	3062
1110	SHARK	shark	6.661290322580645	7.485714285714286	6.5	7.5	5.5	6.1	6.3	6	1072
1111	CAR	car	6.75	5.0322265625	4.5	5	3.5	4.4	4.7	3.9	366
1112	SUCCEED	succeed	6.396193771626297	7.47067901234568	9.5	10.5	8.5	8.1	8.5	8	2302
1113	WRAP	wrap	7.273469387755102	7.75192901234568	7.5	8.5	4.5	6.1	6.2	5.9	1498
1114	BULLET	bullet	7.617647058823529	8.426470588235293	9.5	9.5	6.5	7.1	7.3	6.9	6066
1115	SPEECH	speech	6.764705882352941	7.863636363636363	7.2	8.5	3.5	7.1	7.4	7	1579
1117	LIKE	like	6.09375	6.180555555555555	5.2	5	3.5	4	4	4	33
1119	DIVIDE	divide	8.679487179487179	9.115384615384615	8.5	9.5	6.5	7.1	7.2	7	7508
112	TURTLE	turtle	5.661290322580645	6.216695501730104	6.5	6.5	5.2	5.5	6	5	608
1120	HONEST	honest	6.39444850255661	7.127770083102493	7.5	9.5	5.2	7	7.1	6.5	1600
1121	SECRET	secret	6.5038088642659275	6.898422090729783	7.5	8.5	5.5	6.1	6.3	5.9	561
1122	WAGES	wages	8.814285714285715	9.069444444444445	11.5	10.5	8.5	10.5	11	10	10243
1123	PREGNANT	pregnant	8.28369140625	9.352617079889807	11.5	11.5	6.5	8.5	8.9	8	5360
1124	PIPE	pipe	7.787878787878788	8.275482093663912	6.5	6.5	4.5	6.5	6.7	6	1726
1125	BALD	bald	7.651234567901235	8.322916666666666	7.5	8.5	5.5	6.1	6.2	5.9	2843
1127	SEND	send	6.893860561914672	7.6240234375	6.5	7.2	3.5	6.1	6.2	5.9	1035
1128	ORDER	order	6.442247658688865	7.226938775510204	7.5	8.5	4.5	6.1	6.2	6	1161
1129	PAINFUL	painful	6.640000000000001	7.532873109796187	8.5	8.5	5.5	6.1	6.4	6	3468
113	SHORE	shore	7.06833910034602	7.9	8.2	8.5	6.5	7.1	7.3	7	1641
1132	BEAM	beam	7.569444444444445	7.7894736842105265	6.5	7.5	5.5	8	8.2	7.9	2243
1133	MATCH	match	6.836505190311419	7.724376731301939	6.5	7.5	5.2	6.1	6.2	5.9	1538
1134	DIVORCE	divorce	10.371428571428572	11.342857142857143	12.5	11.5	8.5	9.1	9.3	8.9	9094
1135	KICK	kick	5.9136822773186415	6.774238227146815	5.2	6.5	3.5	5	5	4	1417
1136	RABBIT	rabbit	5.577222222222222	6.459417273673258	5.2	6.5	3.5	5.1	5.2	4.9	227
1137	TENDON	tendon	9.136188271604938	9.75	12.5	11.5	10.5	11.5	12	11	10260
1138	FAIRY	fairy	6.005859375	7.073529411764706	6.5	7.5	5.2	5.5	6	5	484
1139	LEOPARD	leopard	8.251953125	8.621621621621621	8.5	9.5	6.5	8	8.1	7.9	3483
114	PORPOISE	porpoise	8.64102564102564	9.7375	10.5	10.5	8.5	10	10.5	9.9	9113
1141	PITY	pity	9.823529411764707	10.25	8.5	8.5	5.5	7.9	8.1	7.5	2877
1142	URINE	urine	7.818181818181818	8.585714285714285	8.5	9.5	5.5	7.5	7.9	7	7002
1143	OVEN	oven	6.9345703125	7.086194302410518	6.5	7.5	4.5	5.5	6	5	1160
1144	WITNESS	witness	7.7105263157894735	8.513157894736842	10.5	10.5	8.5	9	9.2	8.9	3575
1145	SWAMP	swamp	8.773061224489794	8.211911357340721	8.5	8.5	6.5	7.1	7.3	7	1812
1146	AUBERGINE	eggplant	8.705882352941176	8.783783783783784	8.5	8.5	6.5	8	8.2	7.7	4590
1147	PURE	pure	6.195592286501377	7.188581314878893	8.5	8.5	6.5	8	8.2	7.9	2585
1148	BRUISE	bruise	8.22635445362718	9.397058823529411	7.5	8.5	5.5	6	6.2	5.5	7131
1149	ORPHAN	orphan	8.515625	9.46774193548387	10.5	10.5	8.5	8.1	8.5	8	7421
1150	THUNDER	thunder	7.123702422145328	7.451789627465304	6.5	7.5	4.5	5.6	6	4.9	1624
1151	VEIL	veil	9	9.3125	10.5	10.5	8.5	8.5	9	8	5229
1153	CATTLE	cattle	7.094594594594595	7.845914127423822	9.5	9.5	6.5	7.1	7.4	7	3666
1154	OLIVE	olive	6.834876543209877	7.5474799123447776	8.5	9.5	6.5	7.5	7.9	7	1605
1155	CAVE	cave	6.328125	7.5	7.2	7.5	5.2	6.1	6.2	6	940
1156	OPEN	open	6.498216409036861	7.083333333333333	5.2	5.5	2.5	4	4	4	300
1157	BECAUSE	because	6.8969823100936525	7.449035812672176	6.5	8.5	4.5	6.1	6.5	5.9	116
1158	STEP	step	6.513392857142857	6.67560553633218	5.2	6.5	3.5	5.1	5.2	4.9	597
1159	FART	fart	6.617647058823529	7.019736842105263	6.5	7.5	4.5	6	6	5	2537
1160	THIEF	thief	7.368151935719503	8.217948717948717	8.5	8.5	5.2	7	7.2	6.8	1899
1161	THREAD	thread	7.177854938271604	8.171052631578947	8.5	8.5	5.8	6.5	6.9	6	1897
1162	INTENTION	intention	9.391891891891891	9.671052631578947	9.5	10.5	6.5	10	10.5	9.5	5809
1163	BRIBE (AMOUNT)	bribe	9.25	10.027027027027026	11.5	11.5	9.5	9.5	10	9	5884
1165	MOUSTACHE	moustache	6.809715120525931	7.698685171658145	9.5	10.5	6.5	8.1	8.7	7.9	7126
1169	OX	ox	5.9288194444444455	6.31009365244537	5.5	5.5	5	6.1	6.2	6	2254
117	IMITATE	imitate	9.736842105263158	10.679487179487179	8.5	8.5	5.5	8.1	8.5	8	9566
1171	MIRROR	mirror	5.741046831955924	6.257116620752985	6.5	7.5	4.5	5.2	5.7	4.9	819
1172	SHOOT	shoot	6.442041522491349	6.955807158509862	7.5	8.5	4.5	6.1	6.4	6	2007
1173	EYEBROW	eyebrow	8.375	7.633217993079584	6.5	7.5	4.5	6.4	6.7	6	3633
1174	YESTERDAY	yesterday	5.553633217993079	5.832244897959184	7.2	7.5	4.5	5.5	6	5	1653
1175	GHOST	ghost	5.855103806228374	6.626530612244898	6.5	7.5	5.2	5.5	6	5	862
1176	SPADE	spade	7.577932098765432	8.833333333333334	7.5	7.5	5.5	7.1	7.3	7	3359
1178	NOSTRIL	nostril	9.411764705882353	9.805555555555555	8.5	9.5	5.5	7.4	8	7	7614
1182	NOISE	noise	6.92627824019025	6.464506172839506	5.8	7.5	3.5	6	6.1	5	533
1183	PALM OF HAND	palm	6.033333333333333	6.785714285714286	7.5	8.5	5.5	7	7.1	6.9	2385
1185	VULTURE	vulture	9.402777777777779	10	10.5	10.5	7.5	8.5	9	8	4301
1187	GOOSE	goose	7.368421052631579	7.868421052631579	6.5	6.5	4.5	6.1	6.3	5.9	751
1188	CHARCOAL	charcoal	8.0844838921762	9.423076923076923	9.5	9.5	6.5	8.4	8.7	8	8039
119	DIVE	dive	7.173484295105917	7.743243243243243	7.5	7.5	5.2	6.1	6.2	6	1465
1190	HARE	hare	7.337837837837838	7.9743589743589745	7.5	8.5	6.5	8.5	9	8	1801
1192	THREATEN	threaten	9.1	9.621527777777779	9.5	10.5	6.5	8.5	9	8	6640
1193	STEAM	steam	6.978775510204082	7.524334251606979	7.5	7.5	5.5	7.1	7.4	7	2097
1194	BEAVER	beaver	6.853177501826151	8.486842105263158	8.5	8.5	6.5	7.1	7.5	7	1657
1197	BABOON	baboon	9.299123447772098	10.432432432432432	8.5	9.5	7.5	8.5	9	8	3789
1198	MANY	many	6.01307966706302	6.297145328719724	5.2	6.5	3.5	5.1	5.2	4.9	157
1199	WIFE	wife	8.271428571428572	8.38888888888889	8.5	8.5	5.2	5.5	6	5	753
12	MIDDAY	noon	6.30859375	7.1313131313131315	6.5	7.5	5	6	6.1	6	2050
120	PITCHER	pitcher	7.962350780532598	8.713039485766757	8.5	8.5	5.5	7	7.1	6.5	3030
1200	HUSBAND	husband	6.888888888888889	7.573060941828255	8.5	9.5	5.5	6.5	6.7	6	1919
1201	FEATHER	feather	7.617647058823529	8.291666666666666	6.5	7.5	4.5	5.5	6	5	1787
1202	BIG	big	5.2272727272727275	5.578478002378121	5	5	2.5	4	4	4	59
1203	LONG	long	5.833888888888889	6.124081632653062	5.2	6.5	3.5	5.1	5.2	4.9	123
1204	BARK	bark	7.40625	7.308256172839506	6.2	6.5	4.5	5.5	5.7	5	1148
1205	TONGUE	tongue	5.724609375	6.295471146822498	7.2	8.5	4.5	6	6.1	5	1120
1207	YOUNG	young	6.773877551020409	6.943905817174515	6.5	7.5	3.5	4.6	5	3.9	454
1208	CAT	cat	5.117647058823529	5.32258064516129	4.5	5	2.5	4.4	4.5	3.9	170
1209	I	I	4.798816568047338	5.192708333333333	4.5	4	1.5	4	4	3	5
121	SPIN	spin	6.366666666666666	6.448717948717949	6.5	6.5	4.5	5.5	6	5	1138
1210	HEAVY	heavy	6.00733024691358	6.479238754325259	6.5	7.5	4.5	5.1	5.2	4.9	876
1211	HE	he	5.10375	5.047831632653062	5.2	5	1.5	4	4	3.9	7
1212	WE	we	6.161989795918367	6.209104938271604	5.2	5	2.5	4.4	4.5	3.9	24
1213	YOU	you	4.5432525951557095	5.1095999999999995	5.2	5	1.5	4.4	4.5	3.9	6
1214	THIS	this	6.079084287200832	6.808539944903582	5.2	5	2.5	5.1	5.2	4.9	29
1216	MOTHER	mother	7.318181818181818	6.544982698961938	5.2	6.5	2.5	4.9	5	3.9	158
1217	FATHER	father	5.143598615916955	5.5224	5.2	6.5	2.5	4.5	5	3.9	281
1218	ROPE	rope	7.04318418314256	7.384297520661157	6.5	6.5	4.5	5.4	5.7	4.9	960
1219	WORM	worm	6.460978147762747	6.647923875432526	6.5	6.5	4.5	5.1	5.4	5	1325
122	CART	wagon	9.014705882352942	9.56578947368421	5.5	6.5	4.5	5.1	5.3	4.9	1658
1220	TAIL	tail	5.502601456815817	6.345155709342561	5.2	6.5	3.5	5.1	5.2	4.9	324
1221	NOSE	nose	4.464444444444444	4.488520408163265	5.2	5	2.5	4.1	4.2	3.9	293
1222	PENIS	penis	9.985294117647058	10.514285714285714	11.5	11.5	5.5	9.5	10	8.9	5622
1223	HEART	heart	6.0830078125	6.863811728395062	7.5	8.5	4.5	5.1	5.3	5	172
1224	LIVER	liver	7.6911764705882355	8.163966049382715	10.5	10.5	6.5	8.4	8.7	8	5624
1225	DAY (NOT NIGHT)	day	4.902646502835538	5.21484375	5.2	5	2.5	4.1	4.2	3.9	44
1226	YEAR	year	5.59729448491155	6.162534435261708	6.5	6.5	3.5	5	5	5	202
1227	BOARD	board	6.2509765625	6.978531855955678	6.5	6.5	4.5	6.1	6.3	5.9	963
1228	EARTH (SOIL)	earth	6.608410493827161	7.038124999999999	7.2	7.5	4.5	5	5.1	5	401
1229	OLD	old	5.3184000000000005	5.5761111111111115	5.2	6	3.5	4	4	4	94
123	FOREHEAD	forehead	6.321111111111111	7.236914600550964	6.5	8.5	4.5	6	6.5	5.5	2626
1230	DIRTY	dirty	5.5041322314049586	5.946373456790123	5.2	6.5	3.5	5	5	4	1305
1231	NEW	new	5.363199999999999	5.784023668639053	5.2	6.5	2.5	4	4	4	79
1232	WARM	warm	6.15283203125	6.624489795918367	5.2	6.5	3.5	5.1	5.2	4.9	279
1233	NIGHT	night	5.461538461538462	6.124869927159209	6.2	6.5	3.5	4.5	5	4	83
1234	SMOOTH	smooth	7.297662527392258	7.743261012491782	6.5	7.5	4.5	6.4	6.7	6	1574
1235	WHO	who	5.7544	6.445889698231009	5.2	6.5	2.5	5	5.1	4.9	69
1236	WHAT	what	5.728	6.392777777777778	5.2	6.5	2.5	4.5	4.5	4	32
1237	WHERE	where	5.067033976124885	5.87548828125	5.2	6.5	3.5	6	6.1	5.5	93
1238	WHEN	when	5.6323251417769375	6.009512485136742	5.2	6.5	3.5	5.4	5.7	4.9	31
1239	HOW	how	6.111111111111111	6.44536271808999	5.2	5.2	2.5	5.1	5.2	4.9	64
124	THORN	thorn	6.847222222222222	7.662162162162162	9.5	9.5	7.5	6.5	6.7	6	4110
1240	NOT	not	4.902892561983472	5.3686224489795915	4.5	5	2.5	4.1	4.2	3.9	37
1241	SOME	some	5.992653061224489	6.230825420014609	5.2	6.5	2.5	5.1	5.2	4.9	68
1242	FEW	few	6.8984375	7.179783950617284	6.2	6.5	3.5	5.1	5.2	5	338
1243	WIDE	wide	7.353994490358127	8.023265306122449	6.5	7.5	4.5	6.1	6.2	6	452
1244	THICK	thick	6.55810546875	6.840394448502556	6.5	6.5	4.5	5.5	6	5	1283
1245	BUTTER	butter	6.787878787878788	7.046749452154858	6.2	6.5	3.5	5.1	5.2	4.9	1189
1246	SMALL	small	5.079395085066163	5.686556927297668	5.2	6.5	3.5	4.1	4.2	3.9	178
1247	EAR	ear	7.7631578947368425	6.901920438957476	5.2	5.5	2.5	4.4	4.7	3.9	653
1248	EYE	eye	5.325	5.310344827586207	5.2	5.5	2.5	4.5	5	4	565
125	SWEAT (SUBSTANCE)	sweat	8	7.928571428571429	7.5	8.5	4.5	6.5	6.7	6	2575
1250	JAGUAR	jaguar	7.9127423822714675	8.725	9.5	10.5	7.5	8.4	9	8	4537
1251	BELLY	belly	5.099444444444445	5.48356401384083	5.5	6.5	3.5	5.1	5.3	4.9	707
1252	HOUSE	house	5.404513888888888	5.4521484375	5.2	6.5	3.5	4	4	4	111
1254	HANDLE	handle	6.769174579985391	7.288434903047092	7.5	8.5	4.5	6.5	6.7	6	1965
1256	HEAD	head	5.519628099173554	5.30484693877551	5.2	5.5	2.5	4.4	4.7	3.9	136
1257	WING	wing	5.761186264308012	5.811634349030471	6.5	6.5	4.5	5.5	5.5	5	1344
1258	FINGERNAIL	fingernail	5.612903225806452	5.987755102040816	6.5	8.5	4.5	5.5	6	5	5269
1259	WEDDING	wedding	7.152777777777778	7.705882352941177	8.5	9.5	5	5.4	6	5	2458
1261	SING	sing	4.925	5.486686390532545	5.2	6.5	3.5	4.6	5	3.9	408
1262	BROTHER	brother	4.820247933884297	5.224732461355529	5.2	6.5	3.5	4.9	5	3.9	436
1263	SISTER	sister	5.043367346938775	5.938581314878893	5.2	6.5	3.5	4.6	5	3.9	335
1264	CHANGE	change	6.545454545454546	6.564043209876543	7.2	8.5	4.5	6.1	6.2	5.9	497
1265	HIGH	high	5.237456747404844	5.9336419753086425	6.5	7.5	3.5	5.1	5.2	4.9	235
1266	BRIDE	bride	6.960055096418733	7.067932797662528	9.5	8.5	5.2	6.2	6.5	6	2618
1267	NARROW	narrow	7.195763330898465	8.215277777777779	7.5	8.5	5.5	8	8.2	7.9	2947
1268	YES	yes	5.12037037037037	4.826923076923077	4.5	5	1.5	4.1	4.2	3.9	187
1269	NO	no	4.5625	5.5776	3.5	4.5	1.5	4	4	2	43
127	EXTINGUISH	extinguish	9.291666666666666	10.108108108108109	10.5	11.5	8.5	9.5	10	9	9166
1270	WHY	why	5.67741935483871	5.97842056932966	5.2	6.5	2.5	4.1	4.4	3.9	120
1271	DELIGHT	please	4.55765595463138	5.218333333333334	5.2	6.5	2.5	4.1	4.2	3.9	165
1272	AUNT	aunt	6.47599451303155	6.235	6.5	7.5	4.5	5.5	6	5	837
1273	CANDLE	candle	7.532258064516129	8.171875	6.5	7.5	5.2	5.5	5.9	5	1364
1274	SALT	salt	6.802083333333333	7.237244897959184	6.5	6.5	3.5	5.1	5.2	4.9	1655
1275	ANSWER	answer	5.930363321799308	6.544117647058823	7.2	8.5	4.5	6.1	6.2	5.9	571
1276	AUTUMN	autumn	7.176038062283737	8.432432432432432	7.5	8.5	6.5	8.1	8.4	8	1083
1277	HAND	hand	4.913043478260869	5.171696149843912	5.2	5	2.5	4.1	4.2	3.9	280
1278	VOMIT	vomit	7.031510107015458	7.221885813148789	8.5	8.5	5.5	6.7	7	6	5976
1279	FAT (OBESE)	fatness	8.486486486486486	8.776315789473685	8.5	9.5	6.5	7.5	7.9	7	8667
128	MUMBLE	mumble	7.644736842105263	8.592105263157896	8.5	9.5	6.5	8.1	8.5	8	3321
1280	FALL	fall	6	6.04178145087236	5.2	6.5	3.5	5.1	5.2	4.9	348
1281	PRISON	prison	8.902777777777779	9.58108108108108	8.5	9.5	6.5	7.5	7.9	7	3186
1282	FAT (FROM ANIMALS)	lard	8.451003086419753	9.221836419753085	9.5	9.5	8.5	8.5	9	8	5235
1283	TODAY	today	5.693181818181818	5.747658688865765	6.5	6.5	3.5	5.1	5.2	4.9	175
1284	BANK	bank	6.157439446366782	7.132231404958678	6.5	7.5	5	7	7.1	6.9	1837
1285	IMPORTANT	important	7.140000000000001	7.655470914127423	8.5	9.5	6.5	6.1	6.5	6	418
1286	HOT	hot	5.255102040816327	5.231272294887039	5.2	5	2.5	4.1	4.2	3.9	313
