CONCEPTICON_ID	CONCEPTICON_GLOSS	DUTCH	DUTCH_GENDER_MEAN_FEMALE	DUTCH_GENDER_MEAN_MALE	DUTCH_GENDER_MEAN	LINE_IN_SOURCE
609	HAIL	hagel			3.25	7702
614	HILL	heuvel			2.8	8147
615	HORSE	paard			2.9	14738
619	ANIMAL	dier			3.2	4631
624	LAKE	meer			2.9	11909
625	LAMP	lamp			2.8	10843
628	LEAF	blad			3	2694
629	LEATHER	leer			2.9	10983
630	LIGHT (RADIATION)	licht			2.8	11167
634	MEAT	vlees			3.55	22005
635	MILK	melk			2.5	11984
639	MOUNTAIN	berg			3.55	2068
640	MUD	modder			3.4	12339
641	MUSHROOM	champignon			2.9	3615
647	PAINT (PIGMENTS)	lak			2.85	10829
648	PAPER	papier			3.15	14836
653	PLANT (VEGETATION)	planten			2.55	15322
654	PLASTIC	plastic			2.85	15330
658	RAIN (PRECIPITATION)	regen			3	16351
662	BATTERY	batterij			3.35	1631
665	BEE	bij			2.7	2503
666	RIVER	rivier			2.75	16706
667	ROAD	weg			3.2	22896
671	SAND	zand			2.85	23499
672	EARLY	pril			2.4	15759
673	SCHOOL	school			2.85	17398
674	MOUTH	mond			2.85	12422
677	AXE	bijl			4.15	2542
683	PERSON	persoon			3.05	15129
686	EASY	eenvoudig			3.05	5430
687	NOTHING	niets			2.85	12942
69	SOBER	sober			3.4	18118
696	STIR	roeren			2.4	16741
698	WISE	wijs			3.3	23211
699	SAD	droevig			2.3	5163
700	CARRY	dragen			3.05	5084
701	SLOW	traag			3.05	20030
704	CLEAN	proper			2.4	15884
706	DARK	donker			3.45	4849
707	REMEMBER	onthouden			3	13783
709	TEACH	onderwijzen			2.45	13513
710	WHEEL	wiel			3.4	23187
712	RICH	rijk			3.4	16637
713	STEAL	stelen			3.7	18697
715	SHOUT	schreeuwen			3.05	17475
717	SWEET	zoet			2.05	23795
718	PAY	betalen			3.25	2250
721	LOW	laag			3.05	10775
724	READ	lezen			2.85	11151
730	SNAKE	slang			2.85	17828
732	YOUR (SINGULAR)	jouw			2.8	9397
734	MAKE	maken			3.2	11674
735	OWL	uil			2.95	20344
737	LIGHT (IGNITE)	aansteken			3	201
739	FEED	voeren			2.79	22111
741	DRIVE	autorijden			3.8	1409
744	EGG	ei			2.55	5507
757	BUTTON	knoop			3	10206
763	SKIN	huid			2.6	8500
769	ROOF	dak			3.3	4222
771	HAT	hoed			3.25	8225
772	BELT	riem			3.4	16621
774	CABBAGE	kool			2.9	10341
777	FLUTE	fluit			3.05	6235
778	SMOKE (EXHAUST)	rook			3.2	16855
784	SNOW	sneeuw			2.85	18029
785	STRONG	sterk			3.85	18744
787	SAIL	zeilen			3.05	23598
788	SOAP	zeep			2.45	23562
789	PEOPLE	mensen			3	12032
794	PEN	pen			3	15042
806	BLANKET	deken			2.75	4371
809	TROUSERS	broek			3.5	3267
816	HALF	half			3.05	7717
819	STOMACH	maag			3.05	11565
820	LAMB	lam			2.95	10836
825	AWAKE	wakker			2.95	22660
837	BLUE	blauw			3.05	2710
846	TIGER	tijger			3.6	19767
847	THIRSTY	dorst			3	5038
850	SQUARE	vierkant			3.35	21881
857	STONE	steen			3.35	18669
864	PUMPKIN	pompoen			2.7	15536
868	BANANA	banaan			3.1	1547
871	RATTLESNAKE	ratelslang			3.15	16160
887	BITTER	bitter			3	2679
900	TRAIN	trein			3.45	20111
905	BORING	saai			3.05	17032
906	TREE	boom			3.15	3015
908	DRUM	trommel			3.5	20181
920	GRAPE	druif			2.55	5210
922	PEAR	peer			2.8	15026
926	RICE	rijst			2.9	16654
928	EMBRACE	knuffelen			2.25	10222
93	DRAW MILK	melken			2.25	11986
937	BIRD	vogel			2.7	22141
943	WATERFALL	waterval			2.6	22806
944	SALMON	zalm			2.6	23495
946	BLOOD	bloed			3.15	2764
948	WATER	water			2.8	22753
96	CRAWL	kruipen			3.2	10615
961	PEBBLES	kiezel			3.25	9823
962	WOMAN	vrouw			1	22533
963	BOOK	boek			2.9	2898
964	WOOL	wol			2.25	23341
969	CIGARETTE	sigaret			3.55	17719
970	COCONUT	kokosnoot			2.7	10288
971	MUST	moeten			3.15	12393
972	BE ABLE	kunnen			3.2	10666
975	SPINACH	spinazie			2.8	18349
977	ARROW	pijl			3.4	15194
978	WAVE	golf			3.5	7395
985	VINEGAR	azijn			2.95	1444
986	TOMATO	tomaat			2.6	19936
991	FRY	bakken			2.45	1506
996	DEAF	doof			3.1	4908
