CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	ENGLISH_POS	ENGLISH_SPECIFICITY_SCORE	LINE_IN_SOURCE
1273	CANDLE	candle	Noun	0.462	2868
1275	ANSWER	answer	Verb	-0.231	5523
1276	AUTUMN	autumn	Noun	0.175	458
1277	HAND	hand	Noun	0.514	1380
1281	PRISON	prison	Noun	0.169	43
1289	BABY	baby	Noun	0.459	1377
1290	ELEPHANT	elephant	Noun	0.682	2619
1293	MISTAKE	mistake	Noun	-0.247	766
1297	LEG	leg	Noun	0.521	1580
1298	NEWSPAPER	newspaper	Noun	0.621	2713
13	DECEIT	deceit	Noun	-0.242	4475
1300	COUNTRY	country	Noun	-0.235	4202
1303	FINGER	finger	Noun	0.588	2776
1304	CHILD (YOUNG HUMAN)	kids	Noun	0.154	3540
1307	LANGUAGE	language	Noun	-0.387	5046
1309	ASK (INQUIRE)	inquire	Verb	-0.196	6473
131	FESTIVAL	party	Noun	-0.091	3942
1310	CLEVER	clever	Adjective	-0.56	7264
1314	QUIET	quiet	Adjective	-0.178	6832
1320	APPLE	apple	Noun	0.803	2590
1321	BOTTLE	bottle	Noun	0.412	3053
1322	BREAKFAST	breakfast	Noun	0.217	2503
1324	SLIP	slide	Verb	0.065	5700
1325	FRIEND	friend	Noun	0.058	3604
1326	DOWN	downward	Adjective	0.2	8412
1330	DEFEND	defend	Verb	-0.356	5919
1332	NEIGHBOUR	neighbor	Noun	0.359	3189
1335	WHITE	white	Adjective	0.177	8287
1336	EAT	eat	Verb	0.064	6227
1338	PEACE	peace	Noun	-0.259	4310
1339	MORNING	morning	Noun	-0.033	3839
134	FAULT	fault	Noun	-0.359	606
1342	SUMMER	summer	Noun	0.271	2287
1343	SUN	sun	Noun	0.344	3167
1346	THROAT	throat	Noun	0.609	2705
135	BOOMERANG	boomerang	Noun	0.47	2930
1350	MONKEY	monkey	Noun	0.357	197
1353	HOUR	hour	Noun	0.27	1357
1355	LAUGH	laugh	Verb	0.582	5995
1356	NUMBER	number	Noun	-0.235	324
1358	ENEMY	enemy	Noun	-0.28	1074
1359	SEPARATE	separate	Adjective	-0.265	7129
1360	DUCK	duck	Noun	0.667	1858
1361	TOOL	instrument	Noun	-0.298	4516
1362	STREET	street	Noun	-0.319	2395
1364	HEALTHY	healthy	Adjective	-0.266	8401
1365	KITCHEN	kitchen	Noun	0.411	3095
1366	BOY	boy	Noun	0.431	1829
1368	BREAD	bread	Noun	0.328	3127
1370	MONTH	month	Noun	0.115	3554
1372	MEDICINE	medicine	Noun	-0.239	1947
1373	TEA	tea	Noun	0.46	85
1375	WINDOW	window	Noun	0.424	3034
1377	VISIT	visit	Verb	-0.148	5752
1379	TELEPHONE	phone	Noun	0.368	3018
1383	GRANDFATHER	grandfather	Noun	0.444	1839
1384	SECOND	second	Noun	0.075	3618
1387	ARRIVE	arrive	Verb	-0.073	6309
1388	SHADE	shade	Noun	-0.081	1281
1389	TOE	toe	Noun	0.689	2661
139	GUMS	gum	Noun	0.5	2882
1396	SHARP	sharp	Adjective	-0.04	7215
140	PADDY FIELD	field	Noun	-0.279	4472
1400	THIN (SLIM)	skinny	Adjective	0.286	7058
1405	NAME	name	Noun	-0.213	4117
1406	FAR	distant	Adjective	-0.2	6613
1408	HEAR	hear	Verb	-0.246	5786
1409	SEE	see	Verb	-0.172	6438
1412	RUDE	rude	Adjective	-0.186	6738
1413	PLAY	play	Verb	-0.361	5815
1414	SQUEEZE	squeeze	Verb	0.473	6014
1417	KILL	kill	Verb	0.21	5713
1420	COUNT	count	Verb	-0.185	6426
1421	SUCK	suck	Verb	0.333	6059
1422	BE ALIVE	alive	Adjective	-0.052	8035
1424	YELLOW	yellow	Adjective	0.259	7596
1426	EXPENSIVE	expensive	Adjective	0.023	6770
1428	BURNING	burn	Verb	0.234	5606
143	HUMID	humid	Adjective	0.314	7277
1431	FREEZE	freeze	Verb	0.085	5944
1435	HUNT	hunting	Noun	-0.015	3876
1436	SCRATCH	scratch	Verb	0.42	5280
1438	FOOL	fool	Noun	-0.153	1696
144	MACHINE	machine	Noun	-0.2	2197
1440	SPIT	spit	Verb	0.726	5722
1443	WALK	walk	Verb	0.327	6058
1445	TURN (SOMETHING)	turn	Verb	-0.226	5684
1446	COME	come	Verb	-0.475	5946
1447	GIVE	gave	Verb	-0.229	6496
1448	HOLD	hold	Verb	-0.109	6362
145	SORROWFUL	sorrowful	Adjective	-0.065	6884
1450	ROOM	room	Noun	-0.205	1480
1456	THROW	throw	Verb	0.3	5890
1458	SAY	tell	Verb	-0.075	6351
1463	DRUNK	drunk	Adjective	0.415	7469
1464	LADDER	ladder	Noun	0.507	1173
1465	BOX	container	Noun	-0.202	176
1466	EXACT	exact	Adjective	-0.179	7875
1468	LOOK FOR	search	Noun	-0.378	1215
1469	WEEK	week	Noun	0.094	3616
1471	WINTER	winter	Noun	0.2	3360
1472	KEY	key	Noun	0.235	3485
1476	CHAIR	chair	Noun	0.25	3297
1477	KEEP	keep	Verb	-0.156	5583
1479	DOLPHIN	dolphin	Noun	0.7	2608
148	ITCH	itch	Noun	0.138	3440
1482	SHOULDER	shoulder	Noun	0.258	3195
1488	FAUCET	faucet	Noun	0.731	2641
149	ITCHY	itchy	Adjective	0.216	7288
1494	DIE	die	Verb	0.105	6193
1495	HAPPY	happy	Adjective	-0.255	7770
1497	POSTCARD	postcard	Noun	0.5	2319
1499	JUICE	juice	Noun	0.148	3510
15	OTTER	otter	Noun	0.679	718
150	WORRY	worry	Verb	-0.19	6415
1508	KING	king	Noun	0.263	966
1511	ROOSTER	rooster	Noun	0.54	2814
1512	RISE (ONESELF)	arise	Verb	-0.109	5575
1518	STUPID	foolish	Adjective	-0.163	7128
1519	RUN	ran	Verb	0.032	5626
152	HOOF	hoof	Noun	0.313	3146
1521	SEEM	seem	Verb	-0.661	6606
1523	FORGET	forget	Verb	-0.125	5318
1528	FORGIVE	forgive	Verb	-0.164	6423
153	GREY	gray	Adjective	0.122	6671
1530	BOWL	bowl	Noun	0.272	354
1532	SHEAR	shear	Verb	0.19	6150
1533	BE HUNGRY	hungry	Adjective	0.296	7592
1534	FEVER	fever	Noun	0.317	3287
1535	SWORD	sword	Noun	0.603	2731
1538	SCORPION	scorpion	Noun	0.82	2592
1540	EYELASH	eyelash	Noun	0.736	1864
1541	CULTIVATE	cultivate	Verb	0.08	6202
1542	ACCOMPANY	accompany	Verb	-0.226	6474
1543	SNAIL	snail	Noun	0.716	367
1545	HOST	master	Noun	-0.255	4584
1548	UGLY	ugly	Adjective	-0.522	6902
1550	PREVENT	prevent	Verb	-0.111	6425
1552	GLOOMY	gloomy	Adjective	-0.026	6628
1555	CHAMELEON	chameleon	Noun	0.689	1402
1557	BEGINNING	beginning	Noun	-0.343	2159
1558	SIMILAR	similar	Adjective	-0.409	8458
156	RED	red	Adjective	0.419	8273
1561	ARMY	army	Noun	0.039	818
1562	MIND	mind	Noun	-0.359	625
1563	PYTHON	python	Noun	0.625	1861
1567	DOOR	door	Noun	0.597	846
1569	CHEESE	cheese	Noun	0.274	3313
1571	SELL	sell	Verb	-0.121	6357
1572	SURPRISED	surprised	Adjective	-0.062	8392
1573	SWELL	swell	Adjective	-0.241	7662
1574	FLOAT	float	Verb	0.143	6142
1575	COCKROACH	cockroach	Noun	0.797	1405
1579	BE	be	Verb	-0.571	6602
158	PUT ON	clothe	Verb	0.156	5614
1581	ALLIGATOR	alligator	Noun	0.823	2600
1583	BRAIN	brain	Noun	0.42	2921
1584	BLISTER	blister	Noun	0.278	1801
1585	SLEEP	sleep	Verb	0.492	5903
1587	SMELL (STINK)	smell	Verb	0.055	6205
1589	HUMMINGBIRD	hummingbird	Noun	0.732	2624
1590	WAIT (FOR)	wait	Verb	-0.369	5513
1592	CHEST	chest	Noun	0.328	3335
1593	DEEP	deep	Adjective	-0.517	8070
1595	SOUTH	south	Noun	0.03	3807
1597	AIRPLANE	airplane	Noun	0.612	2741
1599	WORD	word	Noun	-0.476	4999
16	SLED	sleigh	Noun	0.309	3141
160	SET (HEAVENLY BODIES)	set	Verb	-0.352	6555
1601	WEAK	weak	Adjective	-0.316	7986
1603	MOSQUE	mosque	Noun	0.525	2828
1604	TEMPLES	temple	Noun	0.422	3021
1607	HATE	hate	Verb	-0.365	5618
1608	LISTEN	listen	Verb	0.115	5779
161	MISS (A TARGET)	miss	Noun	-0.333	1646
1610	PROSTITUTE	prostitute	Noun	0.657	2685
1611	INVITE	invite	Verb	-0.04	6270
1618	GRANDSON	grandson	Noun	0.557	580
1619	GRANDDAUGHTER	granddaughter	Noun	0.704	2106
162	HICCOUGH	hiccup	Noun	0.337	45
1622	SHIRT	shirt	Noun	0.737	2666
1623	SPEAK	speak	Verb	0.136	5949
1624	EMPTY	empty	Adjective	-0.143	6704
1625	DEAD	dead	Adjective	0.02	7087
1628	SQUIRREL	squirrel	Noun	0.772	591
1629	EVENING	evening	Noun	0	2247
163	BLACK	black	Adjective	0.356	8081
1631	FAST	quick	Adjective	-0.321	7558
1634	HUNDRED	hundred	Noun	0.194	3405
1635	OBEY	obey	Verb	-0.176	6387
1638	TRUTH	truth	Noun	-0.455	749
1639	BEER	beer	Noun	0.59	2786
164	KANGAROO	kangaroo	Noun	0.785	13
1640	SIBLING	sibling	Noun	0.107	1131
1644	RELATIVES	relative	Noun	-0.2	4488
1646	GIRL	girl	Noun	0.309	3153
1657	TRUE	real	Adjective	-0.5	8406
1658	PUPIL	pupil	Noun	0.313	3270
1660	LOSE	lose	Verb	-0.481	6593
1663	BED	bed	Noun	0.564	2829
1666	MUTE	mute	Adjective	0.033	8234
1667	HOLE	opening	Noun	-0.578	5236
1668	GRIEF	grief	Noun	-0.308	632
1669	ANCESTORS	ancestor	Noun	-0.094	139
1671	TOWER	tower	Noun	0.164	3420
1674	POOR	poor	Adjective	-0.549	7359
1675	PROMISE	promise	Verb	-0.327	6546
1679	LOAD	burden	Noun	-0.372	605
168	REST	rest	Noun	-0.244	642
1690	FENCE	fence	Noun	0.421	3050
1691	FLEXIBLE	flexible	Adjective	-0.353	7356
1696	SURRENDER	surrender	Verb	0	6263
1702	HOLY	sacred	Adjective	0.061	7088
1712	OATH	oath	Noun	-0.093	4097
1725	CORRECT (RIGHT)	correct	Adjective	-0.088	8481
1727	THRESHOLD	threshold	Noun	-0.397	1439
1732	SKY	heaven	Noun	0.143	3556
1733	RAINBOW	rainbow	Noun	0.667	365
1739	DECORATE	decorate	Verb	-0.016	5669
1743	JOIN	join	Verb	-0.143	6434
1747	CUSTOM	custom	Noun	-0.578	5206
1748	RIDGE	ridge	Noun	-0.082	1504
1749	TAKE	take	Verb	-0.269	5447
1750	CHOOSE	choose	Verb	-0.213	5800
1751	BIRTHMARK	birthmark	Noun	0.588	2806
1752	LEAVE	leave	Verb	-0.237	6482
1754	BRACELET	bracelet	Noun	0.39	2956
1757	TIRED	tired	Adjective	-0.293	6686
1762	STONE (OF FRUIT)	stone	Noun	0.185	3464
1766	FINISH	finish	Verb	-0.255	6513
1767	SCRAPE	scrape	Verb	0.491	6003
1770	CARCASS	carcass	Noun	0.189	1348
1771	TASTELESS	tasteless	Adjective	0.089	7840
1772	ELK	moose	Noun	0.684	998
1773	GRAVE	tomb	Noun	0.475	472
1774	STINGY	stingy	Adjective	-0.041	7102
1775	TABLE	table	Noun	0.213	1141
1776	SHAME	shame	Noun	-0.312	4683
1777	RESEMBLE	resemble	Verb	-0.338	5563
1778	APPROACH	approach	Noun	-0.509	5224
1779	DARE	dare	Verb	-0.164	6428
178	RIPE	ripe	Adjective	0.079	8339
1782	GUEST	guest	Noun	0.041	1331
1783	PAIN	pain	Noun	-0.263	400
1784	WANT	want	Verb	-0.754	5388
1788	TELEVISION	television	Noun	0.507	2091
1789	AGE	age	Noun	-0.375	4631
1792	PERJURY	perjury	Noun	0.1	2267
1796	SLAUGHTER	slaughter	Noun	0.132	949
1798	GUNPOWDER	gunpowder	Noun	0.588	2754
1800	DANDELION	dandelion	Noun	0.831	2586
1801	CHILD (DESCENDANT)	child	Noun	0.319	2524
1803	WOOD	wood	Noun	0.106	3505
1807	AFTERNOON	afternoon	Noun	-0.043	2251
1810	DANGER	danger	Noun	-0.347	1047
1812	TRY	try	Verb	-0.519	6596
1813	TASTY	tasty	Adjective	-0.286	7888
1814	ACCUSE	accuse	Verb	0.017	6213
1815	ACHE	ache	Noun	-0.344	4486
1817	WEST	west	Noun	0.339	3236
1819	LOOK	look	Verb	-0.226	5723
1823	BORROW	borrow	Verb	-0.127	6389
1826	ANGRY	angry	Adjective	-0.13	7638
1827	HARVEST CROPS	reap	Verb	-0.043	5384
1828	ASK (REQUEST)	request	Noun	-0.562	1421
1829	JUMP	jump	Verb	0.49	6008
1831	MEET	meet	Verb	-0.258	5679
1833	DINNER (SUPPER)	supper	Noun	0.338	464
1839	CRY	weep	Verb	0.528	5993
1840	BUILD	build	Verb	-0.288	6519
1842	OBSTINATE	obstinate	Adjective	0.158	7925
1843	THOUSAND	thousand	Noun	-0.015	3787
1844	BOAT	boat	Noun	0.209	3352
1845	BALL	ball	Noun	0.053	1129
1846	RULE	rule	Noun	-0.333	4961
1847	SICK	sick	Adjective	-0.216	7334
1848	QUARREL	quarrel	Noun	-0.27	1251
185	FIREPLACE	fireplace	Noun	0.453	1168
1856	SOFT	soft	Adjective	-0.327	7782
1857	CROCODILE	crocodile	Noun	0.808	1604
1858	FISHERMAN	fisherman	Noun	0.543	2324
1860	BEAD	bead	Noun	0.301	1566
1862	DONKEY	donkey	Noun	0.803	2110
1864	HUNGER	hunger	Noun	-0.114	2210
1868	VISIBLE	visible	Adjective	-0.02	7103
1869	BUY	buy	Verb	-0.119	5467
1870	ANCHOR	anchor	Noun	0.262	3285
1871	CAMEL	camel	Noun	0.779	863
1873	ANTHILL	anthill	Noun	0.537	2875
1875	REGRET	sorry	Adjective	-0.345	7786
1877	EAST	east	Noun	0.24	1143
1879	DANCE	dance	Verb	0.415	5509
1880	PASSIONATE	passionate	Adjective	-0.154	8423
1886	ARMPIT	armpit	Noun	0.803	2587
1887	CHEAP	inexpensive	Adjective	-0.055	7745
1888	PAIR	couple	Noun	-0.013	932
1889	ARSON	arson	Noun	0.21	348
1892	TOUCH	touch	Verb	0.016	5602
1895	CLOTHES	clothes	Noun	0.263	449
1897	HELP	help	Verb	-0.344	5590
1899	MAD	mad	Adjective	-0.407	7675
1902	BETRAY	betray	Verb	0.197	5477
1908	ATTENTIVE	attentive	Adjective	-0.089	6817
1913	PRESS	press	Noun	-0.211	1951
1917	TIE	bind	Verb	0.117	5841
1923	ROUGH	sour	Adjective	0.16	7187
1925	ARTERY	artery	Noun	0.493	2536
1926	OINTMENT	ointment	Noun	0.041	1337
1928	CEASE	cease	Verb	0	5809
193	SHALLOW	shallow	Adjective	-0.25	7035
1930	RAVINE	ravine	Noun	0.197	2034
1932	GUESS	guess	Verb	-0.333	5328
1933	LOOSEN	loosen	Verb	0.078	5574
1934	BEGGAR	beggar	Noun	0.275	2518
1935	ANUS	anus	Noun	0.625	2691
1938	FORTRESS	fortress	Noun	0.101	42
1939	SWEAR	swear	Verb	-0.048	5666
194	FAMILY	family	Noun	-0.055	1518
1940	GUARD	guard	Noun	0.188	3395
1941	SOLDIER	soldier	Noun	0.281	3116
1945	IDOL	figure	Verb	-0.448	5438
1947	BASTARD	bastard	Noun	0.288	3314
1951	PASS	pass	Verb	-0.441	5928
1953	ABUSE	abuse	Noun	-0.469	308
1954	GENTLE	gentle	Adjective	-0.357	7892
1955	GRIEVE	mourn	Verb	0.171	5362
1956	SUNFLOWER	sunflower	Noun	0.765	158
1959	RAW	raw	Adjective	-0.203	8124
196	DONATE	give	Verb	-0.167	5869
1961	NECKLACE	necklace	Noun	0.521	2087
1964	ALONE	alone	Adjective	-0.061	7104
1966	BUNCH	bunch	Noun	-0.482	5164
1970	CANOE	canoe	Noun	0.58	2557
1973	DEMON	demon	Noun	0.207	3372
1974	CENTIPEDE	centipede	Verb	0.246	5789
1976	MERRY	funny	Adjective	-0.538	7453
1978	RECOVER	recover	Verb	-0.462	5538
198	GENITALIA	genitalia	Noun	0.356	3081
1981	WIDOWER	widower	Noun	0.377	2976
1982	WHIRLPOOL	whirlpool	Noun	0.286	3080
1983	SNORE	snort	Noun	0.297	3233
1986	DISEASE	disease	Noun	-0.42	2351
1990	BECOME	become	Verb	-0.569	5557
1991	INTESTINES	intestine	Noun	0.607	2767
1993	SELF	self	Noun	-0.029	2224
1994	COLLARBONE	collarbone	Noun	0.581	1393
1995	DEFECT	defect	Noun	-0.355	4865
1997	PRESERVE	preserve	Verb	-0.041	5306
1999	OVERCOME	overcome	Verb	-0.306	5692
2006	FILL	fill	Verb	-0.191	6467
2008	RESCUE	rescue	Verb	-0.149	5302
2009	DOG	dog	Noun	0.441	2917
201	FARM	farm	Noun	0.54	2913
2011	COFFIN	coffin	Noun	0.746	2614
2014	GO DOWN (DESCEND)	descend	Verb	-0.046	5552
2016	JEALOUSY	jealousy	Noun	-0.169	225
2018	GREEDY	starving	Adjective	0.167	8161
2019	HAMMOCK	hammock	Noun	0.639	1860
202	STRENGTH	strength	Noun	-0.333	1036
2020	PLAINTIFF	plaintiff	Noun	0.438	2977
2022	ADMIT	admit	Verb	-0.119	5948
2024	PLOT	plot	Noun	-0.312	759
2025	PEA	pea	Noun	0.712	2616
2027	SOYA	soybean	Adjective	0.5	7368
203	MARRY	marry	Verb	0.436	6007
2033	DELIVER	deliver	Verb	-0.214	6421
2038	DRAGON	dragon	Noun	0.706	2629
2040	BUCKWHEAT	buckwheat	Noun	0.522	2818
2042	WALNUT	walnut	Noun	0.762	2621
2045	COLUMN	column	Noun	0.044	3687
2046	APRON	apron	Noun	0.581	1399
2056	WOK	pan	Noun	0.4	152
2057	DUNG (ANIMAL FAECES)	dung	Noun	0.114	2274
2060	STORY	story	Noun	-0.42	2372
2063	CLOSE (EYES)	shut	Verb	0.096	6178
2070	COMB (VERB)	comb	Verb	0.328	6054
2072	USE (VERB)	use	Verb	-0.561	6601
2073	ROB (VERB)	rob	Verb	0.397	6031
2075	BROOD (VERB)	brood	Noun	-0.258	4482
2077	DILIGENT	diligent	Adjective	0.119	8095
208	NASAL MUCUS (SNOT)	snot	Noun	0.45	470
209	RARE	rare	Adjective	-0.269	7441
2098	FOOT OR LEG	foot	Noun	0.433	2907
210	LIFE	life	Noun	-0.508	5042
2108	RAINING OR RAIN	rain	Noun	0.42	2535
2113	OLD (USED)	old	Adjective	-0.355	8319
2114	BELLY OR STOMACH	abdomen	Noun	0.384	1572
2115	CEASE OR FINISH	stop	Verb	0.066	5787
2121	ARM OR HAND	arm	Noun	0.507	2082
2135	TRADE OR BARTER	barter	Verb	0.14	6132
2137	MAGICIAN	magician	Noun	0.469	2992
2139	MUROID (MOUSE OR RAT)	mouse	Noun	0.506	244
214	STRETCH	stretch	Verb	0.339	5720
215	LIE DOWN	lie	Verb	-0.085	6371
2151	COARSE	coarse	Adjective	-0.061	7108
2157	FINE OR THIN	fine	Adjective	-0.509	7795
2181	LIGHT (IN TASTE)	bland	Adjective	-0.442	7448
219	TOILET	toilet	Noun	0.531	2775
2190	TASTE	taste	Noun	-0.15	4108
2191	LOW (HEIGHT)	low	Adjective	-0.361	8262
2192	REJOICE	rejoice	Verb	0.041	6225
220	INTACT	intact	Adjective	-0.154	7412
2200	SNOUT	snout	Noun	0.362	2533
2203	RABID	rabid	Adjective	0.278	7581
2214	AFFAIR	affair	Noun	-0.319	1654
2216	BECOME NUMB	numb	Adjective	0.12	7192
2222	CONJURE	conjure	Verb	0.034	6228
2223	BE ANGRY	furious	Adjective	0.06	7194
2232	KEEN OR SUBTLE	subtle	Adjective	-0.327	7776
2239	DENSE	dense	Adjective	-0.231	7434
2241	WILD CAT	wildcat	Noun	0.382	3072
2243	REPAIR	repair	Verb	-0.143	6383
2244	METAL	metal	Noun	0.096	1541
2245	BELCH	belch	Verb	0.696	5984
2247	CATERPILLAR	caterpillar	Noun	0.614	2328
2250	LEAF (LEAFLIKE OBJECT)	leaf	Noun	0.431	2983
227	FISH	fish	Noun	0.212	3384
2272	HOT OR WARM	hot	Adjective	-0.067	6821
2276	IDENTICAL	identical	Adjective	0.431	7270
2277	WHOLE	whole	Adjective	-0.296	7663
2283	SEMEN	semen	Noun	0.595	1394
229	MOVE AWAY	migrate	Verb	0.167	5508
2290	PUDDLE	puddle	Noun	0.236	1798
2291	VOLCANO	volcano	Noun	0.548	2870
2295	SUNSET	sunset	Noun	0.417	199
2296	SUNRISE	sunrise	Noun	0.352	2067
2297	DUSK	twilight	Noun	0.014	1332
2298	VIRGIN	virgin	Noun	0.276	3197
2303	SPHERICAL (ROUND IN THREE DIMENSIONS)	round	Adjective	0.217	8160
2318	CHESTNUT	chestnut	Noun	0.655	206
232	FLEA	flea	Noun	0.394	2969
2321	MAD PERSON	lunatic	Noun	0.081	3692
2329	LACK (NOT HAVE)	lack	Noun	-0.394	1889
2335	CUNNING	cunning	Adjective	0.019	7624
2341	CLOUDY	cloudy	Adjective	-0.143	7121
2342	LANDSCAPE	landscape	Noun	-0.241	4471
2348	CRAB	crab	Noun	0.762	2623
2352	DRAGONFLY	dragonfly	Noun	0.743	2335
2354	CRICKET	cricket	Noun	0.286	2297
236	STEPMOTHER	stepmother	Noun	0.6	2669
2365	RADISH	radish	Noun	0.769	2626
2367	MANDARINE	tangerine	Adjective	0.533	8148
237	STEPFATHER	stepfather	Noun	0.614	2769
2374	DREAM	dream	Noun	-0.397	4562
2375	VERTICAL	vertical	Adjective	0.175	7919
2376	HORIZONTAL	horizontal	Adjective	0.296	7586
238	PRAWNS	prawn	Noun	0.455	3012
2382	BLUE OR GREEN	green	Adjective	0.509	7466
239	FLOWER	flower	Noun	0.292	3278
