CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	ENGLISH_AOA_READING_UNTRAINED_GPT_SCORE	ENGLISH_AOA_WRITING_UNTRAINED_GPT_SCORE	ENGLISH_AOA_UNTRAINED_GPT_SCORE	ENGLISH_AOA_READING_TRAINED_GPT_SCORE	ENGLISH_AOA_WRITING_TRAINED_GPT_SCORE	ENGLISH_AOA_TRAINED_GPT_SCORE	LINE_IN_SOURCE
1036	OWNER	owner	8.5	8.5	5.5	7	7.11	6.89	15062
1037	ELF	elf	7.5	7.5	6.5	6.11	6.22	5.89	6749
1038	TEACHER	teacher	6.5	7.5	5	5.11	5.22	4.89	21629
1039	SHOW	show	5.2	6.5	3.5	5.11	5.22	4.89	19348
1040	HAIR	hair	5	6.5	2.5	4.37	4.67	3.89	9477
1041	INCREASE	increase	8.5	9.5	6.5	8.11	8.37	8	10789
1042	CARPENTER	carpenter	8.5	9.5	6.5	8.37	8.68	8	2915
1043	BRAID	braid	8.5	8.5	5.5	6.5	7	6	2348
1044	PILLOW	pillow	6.5	6.5	3.5	5.11	5.33	4.89	15779
1045	POET	poet	9.5	9.5	7.5	8.11	8.37	8	16008
1046	SHUT	close	6.5	7.5	4.5	5.11	5.22	5	3566
1047	PURSUE	pursue	10.5	11.5	8.5	10.47	10.95	10	16923
1048	LINE	line	6.5	6.5	4.5	5	5	5	12321
1049	MOLAR TOOTH	molar	10.5	10.5	10.5	9.11	9.33	9	13516
105	MATTRESS	mattress	8.5	9.5	5.5	6.47	6.89	5.95	12949
1052	LIGHT (WEIGHT)	lightweight	9.5	10.5	8.5	8.11	8.5	8	12288
1053	HUNTER	hunter	8.5	8.5	5.5	6.11	6.22	6	10268
1054	SMALLPOX	smallpox	12.5	12.5	12.5	10.47	10.95	10	19793
1058	STEPDAUGHTER	stepdaughter	10.5	11.5	7.5	8	8.22	7.89	20635
1059	STEPSON	stepson	9.5	10.5	7.5	8.11	8.37	7.89	20644
1061	ARMOUR	armor	9.5	9.5	7.5	7.5	7.89	7	1000
1062	LAW	law	9.5	8.5	7.5	7.11	7.22	6.95	12061
1063	NEPHEW	nephew	8.5	9.5	5.5	7.37	7.68	6.95	14023
1064	SHIELD	shield	9.5	9.5	6.5	7.11	7.37	7	19247
1065	SPIDER WEB	web	6.5	6.5	5.5	6.11	6.22	6	24486
1066	CRIME	crime	9.5	9.5	7.5	7.11	7.37	7	4737
1067	JUDGMENT	judgment	10.5	10.5	8.5	9.47	10	9	11728
1068	COURT	court	9.5	10.5	6.5	8	8.11	7.89	4585
1069	GLUE	glue	6.5	6.5	5.2	5.5	5.5	5	9024
107	OMEN	omen	12.5	12.5	12.5	11.47	11.95	11	14606
1070	BUS	bus	5.2	5.5	3.5	5.11	5.22	4.89	2665
1071	HOOK	hook	6.5	6.5	5.2	6.11	6.22	5.89	10076
1072	PRISONER	prisoner	9.5	10.5	7.5	8.11	8.37	7.89	16527
1074	FISHHOOK	fishhook	9.5	9.5	7.5	7.5	7.89	7	7992
1075	TRAP (PITFALL)	trap	6.5	7.5	5.2	6.11	6.33	5.95	22387
1076	EMERGE (APPEAR)	appear	8.5	9.5	5.2	7.89	8.11	7.53	869
1077	WHEAT	wheat	8.5	9.5	6.5	7.11	7.37	6.95	24573
1078	MAIN	main	7.5	7.5	6.5	7	7.11	6.89	12702
1079	FEEL	feel	5.2	6.5	3.5	5.37	5.68	4.89	7783
108	RUDDER	rudder	10.5	10.5	8.5	10.47	10.95	10	18395
1080	VULGAR	vulgar	12.5	12.5	12.5	11	11.47	10.47	24276
1081	BILL	bill	7.5	7.5	5.5	7	7.11	6.89	1843
1082	MERCHANT	merchant	10.5	10.5	8.5	10	10.22	9.89	13114
1084	CALL	call	5.2	6.5	3.5	5.11	5.22	4.89	2760
1085	FOLLOW	follow	6.5	7.5	3.5	6	6.11	5.53	8248
1086	WORK (ACTIVITY)	activity	7.5	8.5	5.2	7.11	7.37	6.95	205
1087	CONCEIVE	conceive	13.5	13.5	12.5	11.47	11.95	11	3991
1088	SINK (DESCEND)	sink	6.5	7.5	4.5	5.11	5.22	4.89	19529
109	FOREIGN	foreign	10.5	11.5	8.5	10	10.37	9.89	8322
1090	BE BORN	born	6.5	7.5	3.5	5.11	5.33	4.89	2268
1091	SALTY	salty	7.5	7.5	5.2	6.11	6.22	5.89	18528
1092	HOPE	hope	7.5	7.5	5.2	6.11	6.22	5.95	10088
1093	MIDDLE	middle	6.5	7.5	5.5	6.11	6.33	5.95	13229
1094	FASTEN	fasten	9.5	9.5	5.8	7.11	7.5	7	7702
1095	LET GO OR SET FREE	release	9.5	10.5	5.5	8.11	8.5	8	17672
1096	SONG	song	6.5	6.5	3.5	4.89	5	4	20050
1097	ABANDON	abandon	10.5	10.5	7.5	9.11	9.47	9	3
1098	WEIGH	weigh	8.5	9.5	6.5	7.5	8	7	24519
11	DARKNESS	darkness	7.5	8.5	5.5	6.11	6.37	5.95	5051
110	MOTOR	motor	7.5	7.5	5.5	7.11	7.5	7	13670
1100	COOK (SOMETHING)	cook	6.5	6.5	3.5	5.5	6	5	4397
1101	SUFFER	suffer	9.5	10.5	6.5	8.11	8.47	7.89	21086
1102	CLIMB	climb	5.5	6.5	3.5	5.37	5.68	4.89	3532
1103	SACRIFICE	sacrifice	11.5	11.5	9.5	9.47	9.95	9	18461
1104	NURSE	nurse	7.2	7.5	4.5	5.5	6	5	14417
1105	CAMP	camp	6.5	6.5	5.5	6.11	6.22	5.89	2783
1107	GO OUT	out	5.2	6.5	3.5	4	4	4	14792
1108	UNCOVER	uncover	9.5	9.5	6.5	7.11	7.33	7	22964
1109	WOUND	wound	9.5	9.5	5.5	7	7.11	6.53	24934
111	DRUMMING	drumming	7.5	7.5	5.5	7.11	7.37	6.95	6438
1110	SHARK	shark	6.5	7.5	5.5	6.11	6.33	5.95	19198
1111	CAR	car	4.5	5	3.5	4.37	4.68	3.89	2862
1112	SUCCEED	succeed	10.5	10.5	8.5	8.11	8.5	8	21061
1113	WRAP	wrap	7.5	8.5	4.5	6.11	6.22	5.89	24942
1114	BULLET	bullet	9.5	9.5	6.5	7.11	7.33	6.89	2600
1115	SPEECH	speech	8.5	8.5	3.5	7.11	7.37	6.95	20219
1117	LIKE	like	5	6	3.5	4	4	4	12291
1119	DIVIDE	divide	8.5	9.5	6.5	7.11	7.22	7	6167
112	TURTLE	turtle	6.5	6.5	5.2	5.5	6	5	22627
1120	HONEST	honest	8.5	9.5	5.2	7	7.11	6.53	10053
1121	SECRET	secret	8.5	8.5	5.5	6.11	6.33	5.89	18913
1122	WAGES	wages	11.5	10.5	8.5	10.47	10.95	10	24295
1123	PREGNANT	pregnant	11.5	11.5	6.5	8.5	8.89	8	16351
1124	PIPE	pipe	6.5	6.5	4.5	6.5	6.67	6	15817
1125	BALD	bald	7.5	8.5	5.5	6.11	6.22	5.89	1436
1127	SEND	send	6.5	7	3.5	6.11	6.22	5.89	19012
1128	ORDER	order	7.5	8.5	4.5	6.11	6.22	6	14726
1129	PAINFUL	painful	8.5	8.5	5.5	6.11	6.37	5.95	15117
113	SHORE	shore	8.5	8.5	6.5	7.11	7.33	7	19314
1132	BEAM	beam	7.5	7.5	5.2	8	8.22	7.89	1617
1133	MATCH	match	6.5	7.5	5.2	6.11	6.22	5.89	12913
1134	DIVORCE	divorce	12.5	12.5	8.5	9.11	9.33	8.89	6182
1135	KICK	kick	5	6.5	3.5	5	5	4	11811
1136	RABBIT	rabbit	5.5	6.5	3.5	5.11	5.22	4.89	17057
1137	TENDON	tendon	12.5	11.5	10.5	11.5	12	11	21744
1138	FAIRY	fairy	6.5	7.5	5.2	5.5	6	5	7614
1139	LEOPARD	leopard	8.5	9.5	6.5	8	8.11	7.89	12188
1140	FATIGUE	fatigue	11.5	11.5	9.5	10.47	10.95	10	7723
1141	PITY	pity	8.5	8.5	5.5	7.89	8.11	7.47	15841
1142	URINE	urine	8.5	9.5	5.5	7.5	7.89	7	23909
1143	OVEN	oven	7.5	7.5	4.5	5.5	6	5	14877
1144	WITNESS	witness	10.5	11.5	8.5	9	9.22	8.89	24809
1145	SWAMP	swamp	8.5	8.5	6.5	7.11	7.33	7	21325
1146	AUBERGINE	eggplant	8.5	8.5	6.5	8	8.22	7.67	6661
1147	PURE	pure	8.5	8.5	6.5	8	8.22	7.89	16898
1148	BRUISE	bruise	7.5	9.5	5.5	6	6.21	5.53	2536
1149	ORPHAN	orphan	10.5	10.5	7.5	8.11	8.5	8	14764
1150	THUNDER	thunder	6.5	7.5	4.5	5.61	6	4.89	21973
1151	VEIL	veil	10.5	10.5	8.5	8.47	8.95	8	24038
1153	CATTLE	cattle	9.5	9.5	6.5	7.11	7.44	7	3006
1154	OLIVE	olive	8.5	9.5	6.5	7.5	7.89	7	14600
1155	CAVE	cave	7.5	7.5	5.2	6.11	6.22	6	3023
1156	OPEN	open	5	5.5	2.5	4	4	4	14643
1157	BECAUSE	because	7.5	8.5	4.5	6.11	6.5	5.89	1649
1158	STEP	step	5.2	6.5	3.5	5.11	5.22	4.89	20632
1159	FART	fart	6.5	7.5	4.5	6	6	5	7687
1160	THIEF	thief	8.5	8.5	5.5	7	7.22	6.78	21877
1161	THREAD	thread	9.5	9.5	5.8	6.5	6.89	6	21923
1162	INTENTION	intention	9.5	10.5	6.5	10	10.47	9.47	11275
1163	BRIBE (AMOUNT)	bribe	11.5	11.5	8.5	9.47	9.95	9	2444
1165	MOUSTACHE	moustache	9.5	10.5	6.5	8.11	8.68	7.89	13704
1167	GRUEL	gruel	10.5	10.5	8.5	10.5	11	10	9360
1169	OX	ox	6.5	5	5	6.11	6.22	6	15065
117	IMITATE	imitate	8.5	8.5	5.5	8.11	8.5	8	10482
1171	MIRROR	mirror	6.5	7.5	4.5	5.22	5.67	4.89	13355
1172	SHOOT	shoot	7.5	8.5	4.5	6.11	6.37	5.95	19302
1173	EYEBROW	eyebrow	7.5	7.5	4.5	6.37	6.68	5.95	7540
1174	YESTERDAY	yesterday	6.5	7.5	4.5	5.5	6	5	25017
1175	GHOST	ghost	6.5	7.5	5	5.5	6	5	8895
1176	SPADE	spade	7.5	7.5	5.5	7.11	7.33	7	20141
1177	DIARRHEA	diarrhea	9.5	12.5	5.5	8.11	8.47	7.89	5681
1178	NOSTRIL	nostril	8.5	9.5	5.5	7.37	7.95	7	14342
118	BEWITCH	bewitch	11.5	11.5	10.5	10.47	10.95	10	1799
1182	NOISE	noise	6.5	7.5	3.5	6	6.11	4.95	14176
1183	PALM OF HAND	palm	7.5	8.5	5.5	7	7.11	6.89	15144
1184	DIMINISH	diminish	10.5	11.5	9.5	10.95	11.16	10.47	5755
1185	VULTURE	vulture	10.5	10.5	7.5	8.47	9	8	24280
1187	GOOSE	goose	6.5	6.5	4.5	6.11	6.33	5.89	9102
1188	CHARCOAL	charcoal	9.5	9.5	6.5	8.37	8.68	8	3160
1189	ULCER	ulcer	12.5	12.5	12.5	11.47	11.95	11	22707
119	DIVE	dive	7.5	7.5	5	6.11	6.22	5.95	6151
1190	HARE	hare	8.5	8.5	6.5	8.47	8.95	8	9624
1192	THREATEN	threaten	9.5	10.5	6.5	8.47	8.95	8	21926
1193	STEAM	steam	7.5	7.5	5.5	7.11	7.37	6.95	20606
1194	BEAVER	beaver	8.5	8.5	6.5	7.11	7.47	6.95	1647
1197	BABOON	baboon	9.5	9.5	7.5	8.47	8.95	8	1341
1198	MANY	many	5.2	6.5	3.5	5.11	5.22	4.89	12816
1199	WIFE	wife	7.5	8.5	5.2	5.5	5.95	5	24689
12	MIDDAY	noon	6.5	6.5	5	6	6.11	5.95	14312
120	PITCHER	pitcher	8.5	8.5	5.5	6.95	7.11	6.53	15833
1200	HUSBAND	husband	8.5	9.5	5.5	6.47	6.68	5.95	10285
1201	FEATHER	feather	6.5	7.5	4.5	5.5	6	5	7757
1202	BIG	big	4.5	5	3	4	4	4	1829
1203	LONG	long	5	6.5	3.5	5.11	5.22	4.89	12479
1204	BARK	bark	6.5	6.5	4.5	5.5	5.67	5	1526
1205	TONGUE	tongue	7.5	8.5	3.5	6	6.11	5	22136
1207	YOUNG	young	6.5	7.5	3.5	4.61	5	3.89	25028
1208	CAT	cat	5	5	2.5	4.37	4.53	3.89	2968
1209	I	I	4	4	1.5	4	4	3	10385
121	SPIN	spin	6.5	6.5	4.5	5.5	6	5	20265
1210	HEAVY	heavy	6.5	7.5	4.5	5.11	5.22	4.89	9781
1211	HE	he	5	5	1.5	4	4	3.89	9695
1212	WE	we	4.5	5	2.5	4.37	4.53	3.89	24455
1213	YOU	you	4.5	5	1.5	4.37	4.53	3.89	25027
1214	THIS	this	5	5	2.5	5.11	5.22	4.89	21897
1215	THOU	thou	12.5	12.5	12.5	10	10.11	9.95	21909
1216	MOTHER	mother	5.2	6.5	2.5	4.89	5	3.89	13654
1217	FATHER	father	5.2	6.5	2.5	4.53	5	3.89	7716
1218	ROPE	rope	6.5	6.5	4.5	5.37	5.68	4.89	18327
1219	WORM	worm	6.5	6.5	4.5	5.11	5.37	4.95	24911
122	CART	wagon	5.5	6.5	4.5	5.11	5.33	4.89	24296
1220	TAIL	tail	5	6.5	3.5	5.11	5.22	4.89	21508
1221	NOSE	nose	4.5	5	2.5	4.11	4.22	3.89	14334
1222	PENIS	penis	11.5	11.5	5.5	9.47	9.95	8.89	15468
1223	HEART	heart	7.5	8.5	4.5	5.11	5.33	5	9743
1224	LIVER	liver	10.5	10.5	6.5	8.37	8.68	8	12396
1225	DAY (NOT NIGHT)	day	4.5	5	2.5	4.11	4.22	3.89	5081
1226	YEAR	year	5	6.5	3.5	5	5	5	25003
1227	BOARD	board	6.5	6.5	4.5	6.11	6.33	5.89	2141
1228	EARTH (SOIL)	earth	7.5	7.5	4.5	5	5.11	5	6562
1229	OLD	old	5	6	3.5	4	4	4	14597
123	FOREHEAD	forehead	6.5	8.5	4.5	6	6.5	5.5	8321
1230	DIRTY	dirty	5.2	6.5	3.5	5	5	4	5799
1231	NEW	new	5	6.5	2.5	4	4	4	14083
1232	WARM	warm	5.2	6.5	3.5	5.11	5.22	4.89	24351
1233	NIGHT	night	5.2	6.5	3.5	4.5	5	4	14122
1234	SMOOTH	smooth	6.5	7.5	4.5	6.37	6.68	5.95	19835
1235	WHO	who	6.5	6.5	2.5	5	5.11	4.89	24648
1236	WHAT	what	5.2	6.5	2.5	4.5	4.5	4	24570
1237	WHERE	where	5	6.5	3.5	6	6.11	5.53	24586
1238	WHEN	when	5	6	3.5	5.37	5.67	4.89	24583
1239	HOW	how	5.2	5.2	2.5	5.11	5.22	4.89	10188
124	THORN	thorn	9.5	9.5	7.5	6.5	6.7	6	21901
1240	NOT	not	4.5	5	2.5	4.11	4.22	3.89	14344
1241	SOME	some	5.2	6	2.5	5.11	5.22	4.89	20037
1242	FEW	few	6.5	6.5	3.5	5.11	5.22	5	7845
1243	WIDE	wide	6.5	7.5	4.5	6.11	6.22	5.95	24678
1244	THICK	thick	6.5	6.5	4.5	5.5	6	5	21869
1245	BUTTER	butter	6.5	6.5	3.5	5.11	5.22	4.89	2690
1246	SMALL	small	5.2	6.5	3.5	4.11	4.22	3.89	19790
1247	EAR	ear	5.2	5.5	2.5	4.37	4.68	3.89	6541
1248	EYE	eye	5.2	6.5	2.5	4.5	5	4	7538
125	SWEAT (SUBSTANCE)	sweat	8.5	8.5	4.5	6.5	6.7	6	21339
1250	JAGUAR	jaguar	9.5	10.5	7.5	8.37	8.95	8	11604
1251	BELLY	belly	5.5	6.5	3.5	5.11	5.33	4.89	1738
1252	HOUSE	house	5	6.5	3.5	4	4	4	10168
1254	HANDLE	handle	7.5	8.5	4.5	6.5	6.7	6	9554
1256	HEAD	head	5	6.5	2.5	4.37	4.67	3.89	9696
1257	WING	wing	6.5	6.5	4.5	5.5	5.5	5	24747
1258	FINGERNAIL	fingernail	7.5	8.5	4.5	5.5	6	5	7941
1259	WEDDING	wedding	8.5	9.5	5.5	5.37	5.95	4.95	24497
126	SWEAT (PERSPIRE)	perspire	11.5	11.5	9.5	10.47	10.95	10	15601
1261	SING	sing	5	6.5	3.5	4.61	5	3.89	19516
1262	BROTHER	brother	5.5	6.5	3.5	4.89	5	3.89	2524
1263	SISTER	sister	5.2	6.5	3.5	4.61	5	3.89	19543
1264	CHANGE	change	7.5	8.5	4.5	6.11	6.22	5.89	3133
1265	HIGH	high	6.5	7	3.5	5.11	5.22	4.89	9906
1266	BRIDE	bride	9.5	8.5	5.5	6.22	6.47	5.95	2452
1267	NARROW	narrow	8.5	8.5	5.2	8	8.22	7.89	13915
1268	YES	yes	4.5	5	1.5	4.11	4.22	3.89	25016
1269	NO	no	3.5	4.5	1.5	4	4	2	14165
127	EXTINGUISH	extinguish	10.5	11.5	8.5	9.47	10	9	7493
1270	WHY	why	5.2	6.5	2.5	4.11	4.37	3.89	24672
1271	DELIGHT	please	5	6.5	2.5	4.11	4.22	3.89	15935
1272	AUNT	aunt	7.2	7.5	4.5	5.5	6	5	1241
1273	CANDLE	candle	6.5	7.5	5.2	5.5	5.89	5	2803
1274	SALT	salt	6.5	6.5	3.5	5.11	5.22	4.89	18523
1275	ANSWER	answer	7.5	8.5	4.5	6.11	6.22	5.89	766
1276	AUTUMN	autumn	8.5	8.5	6.5	8.11	8.37	7.95	1288
1277	HAND	hand	5	5	2.5	4.11	4.22	3.89	9534
1278	VOMIT	vomit	8.5	8.5	5.5	6.68	7	5.95	24261
128	MUMBLE	mumble	9.5	9.5	6.5	8.11	8.5	8	13792
1280	FALL	fall	5.2	6.5	3.5	5.11	5.22	4.89	7627
1281	PRISON	prison	9.5	9.5	6.5	7.5	7.89	7	16526
1282	FAT (FROM ANIMALS)	lard	9.5	9.5	8.5	8.47	8.95	8	12010
1283	TODAY	today	6.5	6.5	3.5	5.11	5.22	4.89	22097
1284	BANK	bank	7.5	7.5	5	7	7.11	6.89	1482
1285	IMPORTANT	important	8.5	9.5	5.5	6.11	6.5	6	10594
1286	HOT	hot	4.5	5	2.5	4.11	4.22	3.89	10151
1287	COLD	cold	5.2	6.5	3.5	4.5	4.5	4	3699
1288	CAP	cap	5	5	4.5	5.11	5.22	4.89	2832
1289	BABY	baby	4.5	5	1.5	4	4	2.89	1342
129	CHOKE	choke	8.5	8.5	5.2	7.11	7.37	6.95	3333
1290	ELEPHANT	elephant	6.5	7.5	5.2	6.11	6.33	5.89	6741
1291	BACK	back	5	6.5	3.5	4.5	4.5	4	1349
1292	BAD	bad	5	5	3.5	4.37	4.68	3.89	1406
1293	MISTAKE	mistake	8.5	9.5	5.5	6.11	6.37	5.95	13437
1294	ZERO	zero	6.5	7.5	5	5.11	5.22	4.89	25053
1295	STICK	stick	5.5	6.5	3.5	5.11	5.22	4.89	20669
1296	WALKING STICK	staff	8.5	8.5	6.5	8.11	8.22	8	20463
1297	LEG	leg	4.5	5	2.5	4.61	5	3.89	12141
1298	NEWSPAPER	newspaper	8.5	9.5	6.5	6.11	6.37	5.89	14099
1299	COFFEE	coffee	10.5	10.5	6.5	7.11	7.33	6.89	3667
13	DECEIT	deceit	11.5	11.5	9.5	10.47	10.95	10	5158
1300	COUNTRY	country	7.5	8.5	5.2	6.89	7	6.53	4566
1301	FOOT	foot	5	6.5	3.5	4.5	4.5	4	8267
1302	FORK	fork	5.2	5.5	3.5	4.89	5	3.89	8367
1303	FINGER	finger	5.2	6.5	2.5	4.5	5	4	7937
1304	CHILD (YOUNG HUMAN)	kids	6.5	6.5	3.5	4.37	4.67	3.89	11826
1305	CHIMNEY	chimney	7.5	7.5	5.2	6.11	6.5	6	3298
1306	QUEEN	queen	6.5	7.5	5.2	6.11	6.37	5.95	17003
1307	LANGUAGE	language	8.5	9.5	4.5	7.11	7.37	6.95	11998
1308	DOUBT	doubt	9.5	11.5	6.5	8.11	8.5	8	6280
1309	ASK (INQUIRE)	ask	5	5	2.5	5.11	5.22	4.89	1070
131	FESTIVAL	festival	8.5	9.5	6.5	8.11	8.37	8	7828
1310	CLEVER	clever	7.5	8.5	5.2	7.95	8.11	7.47	3518
1311	VERY	very	5	6.5	3.5	5.11	5.22	4.89	24095
1312	FOX	fox	5	6	4.5	6.11	6.22	5.89	8442
1313	MOON	moon	5.2	6.5	3.5	5.11	5.22	4.89	13593
1314	QUIET	quiet	6.5	7.5	3.5	5.5	6	5	17028
1315	RADIO	radio	6.5	7.5	4.5	6	6	5	17090
1316	TENT	tent	5.5	6.5	4.5	6.37	6.68	5.95	21751
1318	CHICKEN	chicken	5.2	6.5	3.5	4.89	5	4	3270
1319	COWARD	coward	9.5	10.5	8.5	8.37	8.68	8	4611
132	SAUCE	sauce	7.5	8.5	4.5	6.37	6.68	5.95	18601
1320	APPLE	apple	5	5.5	2.5	5	5.11	4.89	886
1321	BOTTLE	bottle	4.5	5.5	2.5	4.61	5	3.89	2287
1322	BREAKFAST	breakfast	6.5	7.5	3.5	5.11	5.33	4.89	2404
1323	CLOCK	clock	6	6.5	4.5	5.11	5.22	5	3558
1324	SLIP	slip	6.5	6.5	4.5	6.11	6.22	5.89	19734
1325	FRIEND	friend	6.5	7.5	4.5	5.11	5.22	4.89	8547
1326	DOWN	down	4.5	5.2	3.5	4.11	4.22	3.89	6292
1327	UNCLE	uncle	6.5	6.5	4.5	5.37	5.68	4.89	22889
1329	TOMORROW	tomorrow	7.5	8.5	4.5	6.11	6.37	5.89	22129
133	WEAVE	weave	9.5	9.5	6.5	7.68	7.95	7.37	24482
1330	DEFEND	defend	9.5	9.5	7.5	8.11	8.37	8	5265
1331	SHEEP	sheep	5.5	6.5	3.5	5.11	5.33	4.89	19225
1332	NEIGHBOUR	neighbor	8.5	9.5	5.2	6.11	6.37	5.89	14015
1333	NECK	neck	5.2	6.5	3.5	5.11	5.22	4.89	13977
1334	GUTS	guts	8.5	8.5	6.5	7.11	7.22	7	9440
1335	WHITE	white	5	6.5	3.5	4	4	4	24633
1336	EAT	eat	4.5	5	2.5	4.37	4.47	3.89	6588
1337	PIG	pig	4.5	5	2.5	4.61	4.95	3.89	15754
1338	PEACE	peace	8.5	8.5	5.2	7	7.11	6.89	15378
1339	MORNING	morning	5.5	6.5	3.5	5.11	5.22	4.89	13625
134	FAULT	fault	8.5	9.5	7.5	7.11	7.33	7	7728
1340	WITH	with	5	6.5	2.5	4	4	4	24791
1342	SUMMER	summer	6.5	7.5	4.5	5.11	5.22	4.89	21136
1343	SUN	sun	5	5	2.5	4	4	4	21142
1344	RAM	ram	6.5	6.5	5.5	8	8.11	7.89	17138
1345	EWE	ewe	10.5	10.5	8.5	10.5	11	10	7235
1346	THROAT	throat	6.5	7.5	4.5	6.37	6.68	5.95	21945
1348	BOAR (MALE PIG)	boar	9.5	9.5	7.5	9.47	9.95	9	2140
1349	CHURCH	church	7.5	7.5	5.2	5.37	5.68	4.89	3387
135	BOOMERANG	boomerang	9.5	9.5	8.5	8.47	8.95	8	2240
1350	MONKEY	monkey	5.2	6.5	3.5	5.11	5.33	4.89	13551
1352	KNIFE	knife	7.5	8.5	3.5	5.5	6	5	11883
1353	HOUR	hour	7.5	8.5	5	6.11	6.22	6	10165
1354	NEXT	next	6.5	6.5	4.5	5.11	5.22	5	14108
1355	LAUGH	laugh	6.5	7.5	3.5	5.11	5.22	4.89	12042
1356	NUMBER	number	5	6.5	4.5	4	4	4	14400
1357	DAUGHTER	daughter	6.5	8.5	3.5	5.11	5.33	4.89	5074
1358	ENEMY	enemy	8.5	9.5	5.5	7.11	7.37	6.95	6926
1359	SEPARATE	separate	9.5	11.5	7.5	8.11	8.47	7.95	19053
136	HERE	here	5	6.5	2.5	5.11	5.22	4.89	9854
1360	DUCK	duck	4.5	5	2.5	4.61	4.95	3.89	6463
1361	TOOL	tool	6.5	6.5	3.5	5.5	5.7	5	22144
1362	STREET	street	6.5	7.5	4.5	5.11	5.22	4.89	20834
1363	VOICE	voice	7.5	8.5	4.5	6.37	6.68	5.95	24236
1364	HEALTHY	healthy	7.5	8.5	4.5	6.33	6.67	5.95	9737
1365	KITCHEN	kitchen	6.5	6.5	3.5	5.11	5.33	4.89	11862
1366	BOY	boy	5	5	3.5	4.37	4.53	3.89	2331
1367	CROSS	cross	6.5	6.5	4.5	6.11	6.33	5.89	4783
1368	BREAD	bread	5.2	6.5	3.5	4.89	5	4	2390
1369	GOLD	gold	6.5	7.5	5.2	6.11	6.22	5.89	9073
1370	MONTH	month	6.5	7.5	3.5	5.5	6	5	13583
1371	KNEE	knee	6.5	7.5	3.5	5.37	5.68	4.89	11875
1372	MEDICINE	medicine	8.5	9.5	6.5	6	6.5	5	13032
1373	TEA	tea	6.5	6.5	5	6.11	6.22	5.89	21625
1374	RING	ring	5.5	6.5	3.5	5.11	5.22	4.89	18193
1375	WINDOW	window	6.5	6.5	3.5	5	5	4	24731
1376	NOW	now	5	5	2.5	5	5.11	4.89	14381
