CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	ENGLISH_AOA_READING_TRAINED_GPT_SCORE	ENGLISH_AOA_WRITING_TRAINED_GPT_SCORE	ENGLISH_AOA_TRAINED_GPT_SCORE	ENGLISH_AOA_MEAN	LINE_IN_SOURCE
1111	CAR	car	4.37	4.68	3.89	3.37	3528
1112	SUCCEED	succeed	8.11	8.5	8	8.16	23848
1113	WRAP	wrap	6.11	6.22	5.89	7	27881
1114	BULLET	bullet	7.11	7.33	6.89	6.7	3159
1115	SPEECH	speech	7.11	7.37	6.95	6.22	23013
1117	LIKE	like	4	4	4	3.6853510000000003	14076
1119	DIVIDE	divide	7.11	7.22	7	7.16	7214
112	TURTLE	turtle	5.5	6	5	4.17	25581
1120	HONEST	honest	7	7.11	6.53	5.46	11592
1121	SECRET	secret	6.11	6.33	5.89	5.39	21684
1122	WAGES	wages	10.47	10.95	10	9.568014999999999	27211
1123	PREGNANT	pregnant	8.5	8.89	8	6.76	18822
1124	PIPE	pipe	6.5	6.67	6	8.17	18193
1125	BALD	bald	6.11	6.22	5.89	7.26	1800
1127	SEND	send	6.11	6.22	5.89	5.68	21802
1128	ORDER	order	6.11	6.22	6	6.26	16892
1129	PAINFUL	painful	6.11	6.37	5.95	6.44	17319
113	SHORE	shore	7.11	7.33	7	6.925079	22115
1132	BEAM	beam	8	8.22	7.89	8.78	2055
1133	MATCH	match	6.11	6.22	5.89	5.72	14844
1134	DIVORCE	divorce	9.11	9.33	8.89	8.9	7228
1135	KICK	kick	5	5	4	4.06	13484
1136	RABBIT	rabbit	5.11	5.22	4.89	3.94	19639
1137	TENDON	tendon	11.5	12	11	9.58	24609
1138	FAIRY	fairy	5.5	6	5	5.17	8835
1139	LEOPARD	leopard	8	8.11	7.89	6.84	13949
114	PORPOISE	porpoise	10	10.47	9.89	8.94	18576
1140	FATIGUE	fatigue	10.47	10.95	10	11.83	8947
1141	PITY	pity	7.89	8.11	7.47	8.72	18229
1142	URINE	urine	7.5	7.89	7	9.83	26740
1143	OVEN	oven	5.5	6	5	5.67	17083
1144	WITNESS	witness	9	9.22	8.89	8.74	27742
1145	SWAMP	swamp	7.11	7.33	7	7.95	24141
1146	AUBERGINE	eggplant	8	8.22	7.67	8.3	7796
1147	PURE	pure	8	8.22	7.89	7.95	19436
1148	BRUISE	bruise	6	6.21	5.53	5.45	3083
1149	ORPHAN	orphan	8.11	8.5	8	6.94	16936
1150	THUNDER	thunder	5.61	6	4.89	4.89	24859
1151	VEIL	veil	8.47	8.95	8	9.69	26900
1152	BEGET	beget	13.5	14	13	14.2	2138
1153	CATTLE	cattle	7.11	7.44	7	6.53	3729
1154	OLIVE	olive	7.5	7.89	7	6.68	16757
1155	CAVE	cave	6.11	6.22	6	6.74	3754
1156	OPEN	open	4	4	4	5	16809
1157	BECAUSE	because	6.11	6.5	5.89	4.441998	2091
1158	STEP	step	5.11	5.22	4.89	4.11	23411
1159	FART	fart	6	6	5	5.78	8911
116	LARCH	larch	13.5	13.75	13	13.64	13738
1160	THIEF	thief	7	7.22	6.78	7.22	24762
1161	THREAD	thread	6.5	6.89	6	7.06	24808
1162	INTENTION	intention	10	10.47	9.47	9.42	12882
1163	BRIBE (AMOUNT)	bribe	9.47	9.95	9	9.74	2979
1165	MOUSTACHE	moustache	8.11	8.68	7.89	5.4	15762
1166	MOULD	mould	9.67	10	9	11.33	15747
1167	GRUEL	gruel	10.5	11	10	11.6	10766
1168	HAWTHORN	hawthorn	11.5	12	11	10.36	11152
1169	OX	ox	6.11	6.22	6	4.72	17254
117	IMITATE	imitate	8.11	8.5	8	9.2	12088
1171	MIRROR	mirror	5.22	5.67	4.89	4.89	15344
1172	SHOOT	shoot	6.11	6.37	5.95	5.53	22102
1173	EYEBROW	eyebrow	6.37	6.68	5.95	5.5	8773
1174	YESTERDAY	yesterday	5.5	6	5	4.580539	27972
1175	GHOST	ghost	5.5	6	5	5.06	10250
1176	SPADE	spade	7.11	7.33	7	8.11	22933
1178	NOSTRIL	nostril	7.37	7.95	7	7.37	16461
118	BEWITCH	bewitch	10.47	10.95	10	10.61	2266
1182	NOISE	noise	6	6.11	4.95	4.5	16305
1183	PALM OF HAND	palm	7	7.11	6.89	6	17357
1184	DIMINISH	diminish	10.95	11.16	10.47	10.95	6791
1185	VULTURE	vulture	8.47	9	8	8.89	27195
1187	GOOSE	goose	6.11	6.33	5.89	5.15	10506
1188	CHARCOAL	charcoal	8.37	8.68	8	8	3925
1189	ULCER	ulcer	11.47	11.95	11	12.68	25667
119	DIVE	dive	6.11	6.22	5.95	7.21	7199
1190	HARE	hare	8.47	8.95	8	6.78	11087
1192	THREATEN	threaten	8.47	8.95	8	8.95	24812
1193	STEAM	steam	7.11	7.37	6.95	6.26	23377
1194	BEAVER	beaver	7.11	7.47	6.95	5.21	2088
1197	BABOON	baboon	8.47	8.95	8	9.11	1681
1198	MANY	many	5.11	5.22	4.89	4.601853000000001	14723
1199	WIFE	wife	5.5	5.95	5	5.67	27614
12	MIDDAY	noon	6	6.11	5.95	5.89	16428
120	PITCHER	pitcher	6.95	7.11	6.53	6.42	18215
1200	HUSBAND	husband	6.47	6.68	5.95	5.53	11845
1201	FEATHER	feather	5.5	6	5	4.67	8978
1202	BIG	big	4	4	4	2.89	2298
1203	LONG	long	5.11	5.22	4.89	4.239515000000001	14293
1204	BARK	bark	5.5	5.67	5	5.17	1921
1205	TONGUE	tongue	6	6.11	5	4.47	25048
1207	YOUNG	young	4.61	5	3.89	4.61	27988
1208	CAT	cat	4.37	4.53	3.89	3.68	3678
1209	I	I	4	4	3	2.7901629999999997	11962
121	SPIN	spin	5.5	6	5	5	23061
1210	HEAVY	heavy	5.11	5.22	4.89	4.05	11259
1211	HE	he	4	4	3.89	3.813235	11168
1212	WE	we	4.37	4.53	3.89	5.0387900000000005	27386
1213	YOU	you	4.37	4.53	3.89	4.346085	27987
1214	THIS	this	5.11	5.22	4.89	4.93222	24783
1216	MOTHER	mother	4.89	5	3.89	2.63	15709
1217	FATHER	father	4.53	5	3.89	4.11	8941
1218	ROPE	rope	5.37	5.68	4.89	5.44	21029
1219	WORM	worm	5.11	5.37	4.95	3.89	27853
122	CART	wagon	5.11	5.33	4.89	5.22	27213
1220	TAIL	tail	5.11	5.22	4.89	3.7	24323
1221	NOSE	nose	4.11	4.22	3.89	2.95	16454
1222	PENIS	penis	9.47	9.95	8.89	8.53	17767
1223	HEART	heart	5.11	5.33	5	5.17	11224
1224	LIVER	liver	8.37	8.68	8	8.56	14201
1225	DAY (NOT NIGHT)	day	4.11	4.22	3.89	3.5	6049
1226	YEAR	year	5	5	5	5.24	27953
1227	BOARD	board	6.11	6.33	5.89	6.37	2627
1228	EARTH (SOIL)	earth	5	5.11	5	5.37	7676
1229	OLD	old	4	4	4	3.72	16748
123	FOREHEAD	forehead	6	6.5	5.5	5.58	9597
1230	DIRTY	dirty	5	5	4	4.55	6856
1231	NEW	new	4	4	4	4.72	16188
1232	WARM	warm	5.11	5.22	4.89	4.65	27280
1233	NIGHT	night	4.5	5	4	3.61	16239
1234	SMOOTH	smooth	6.37	6.68	5.95	5.61	22620
1235	WHO	who	5	5.11	4.89	3.813235	27572
1236	WHAT	what	4.5	4.5	4	3.855863	27490
1237	WHERE	where	6	6.11	5.53	4.090317000000001	27510
1238	WHEN	when	5.37	5.67	4.89	4.239515000000001	27507
1239	HOW	how	5.11	5.22	4.89	5.3585	11746
124	THORN	thorn	6.5	6.7	6	5.965949000000001	24789
1240	NOT	not	4.11	4.22	3.89	3.8878340000000002	16463
1241	SOME	some	5.11	5.22	4.89	4.846964	22818
1242	FEW	few	5.11	5.22	5	5.997920000000001	9091
1243	WIDE	wide	6.11	6.22	5.95	5.84	27599
1244	THICK	thick	5.5	6	5	5.61	24756
1245	BUTTER	butter	5.11	5.22	4.89	5.78	3277
1246	SMALL	small	4.11	4.22	3.89	3.22	22578
1247	EAR	ear	4.37	4.68	3.89	3.63	7655
1248	EYE	eye	4.5	5	4	3.75	8771
125	SWEAT (SUBSTANCE)	sweat	6.5	6.7	6	7.26	24159
1250	JAGUAR	jaguar	8.37	8.95	8	7.78	13231
1251	BELLY	belly	5.11	5.33	4.89	4.05	2187
1252	HOUSE	house	4	4	4	3.16	11715
1254	HANDLE	handle	6.5	6.7	6	6.3	11012
1256	HEAD	head	4.37	4.67	3.89	3.42	11169
1257	WING	wing	5.5	5.5	5	4.79	27679
1258	FINGERNAIL	fingernail	5.5	6	5	4	9184
1259	WEDDING	wedding	5.37	5.95	4.95	6	27421
126	SWEAT (PERSPIRE)	perspire	10.47	10.95	10	12.26	17923
1261	SING	sing	4.61	5	3.89	3.47	22330
1262	BROTHER	brother	4.89	5	3.89	3.63	3068
1263	SISTER	sister	4.61	5	3.89	3.68	22355
1264	CHANGE	change	6.11	6.22	5.89	4.26	3896
1265	HIGH	high	5.11	5.22	4.89	4.58	11425
1266	BRIDE	bride	6.22	6.47	5.95	5.1	2988
1267	NARROW	narrow	8	8.22	7.89	7.57	15997
1268	YES	yes	4.11	4.22	3.89	2.310598	27970
1269	NO	no	4	4	2	2.715564	16288
127	EXTINGUISH	extinguish	9.47	10	9	8.95	8728
1270	WHY	why	4.11	4.37	3.89	3.9730900000000005	27592
1271	DELIGHT	please	4.11	4.22	3.89	3.4828680000000003	18332
1272	AUNT	aunt	5.5	6	5	3.8	1548
1273	CANDLE	candle	5.5	5.89	5	5.37	3443
1274	SALT	salt	5.11	5.22	4.89	5.05	21257
1275	ANSWER	answer	6.11	6.22	5.89	5.43	964
1276	AUTUMN	autumn	8.11	8.37	7.95	6	1607
1277	HAND	hand	4.11	4.22	3.89	2.74	10987
1278	VOMIT	vomit	6.68	7	5.95	5.68	27171
1279	FAT (OBESE)	fatness	7.5	7.89	7	8.61	8948
128	MUMBLE	mumble	8.11	8.5	8	7.15	15852
1280	FALL	fall	5.11	5.22	4.89	4.71	8851
1281	PRISON	prison	7.5	7.89	7	7.5	18998
1282	FAT (FROM ANIMALS)	lard	8.47	8.95	8	9.74	13739
1283	TODAY	today	5.11	5.22	4.89	4.772365000000001	25000
1284	BANK	bank	7	7.11	6.89	6.44	1866
1285	IMPORTANT	important	6.11	6.5	6	5.79	12215
1286	HOT	hot	4.11	4.22	3.89	3.37	11695
1287	COLD	cold	4.5	4.5	4	3.95	4547
1288	CAP	cap	5.11	5.22	4.89	5.53	3485
1289	BABY	baby	4	4	2.89	3.84	1683
129	CHOKE	choke	7.11	7.37	6.95	6.11	4112
1290	ELEPHANT	elephant	6.11	6.33	5.89	4.8	7883
1291	BACK	back	4.5	4.5	4	5.3052150000000005	1695
1292	BAD	bad	4.37	4.68	3.89	2.79	1763
1293	MISTAKE	mistake	6.11	6.37	5.95	5.78	15447
1294	ZERO	zero	5.11	5.22	4.89	5.3052150000000005	28018
1295	STICK	stick	5.11	5.22	4.89	3.89	23452
1296	WALKING STICK	staff	8.11	8.22	8	10	23247
1297	LEG	leg	4.61	5	3.89	3	13895
1298	NEWSPAPER	newspaper	6.11	6.37	5.89	5.78	16209
1299	COFFEE	coffee	7.11	7.33	6.89	4.94	4509
13	DECEIT	deceit	10.47	10.95	10	10.95	6135
1300	COUNTRY	country	6.89	7	6.53	7.05	5465
1301	FOOT	foot	4.5	4.5	4	3.44	9534
1302	FORK	fork	4.89	5	3.89	3.63	9648
1303	FINGER	finger	4.5	5	4	3.43	9182
1304	CHILD (YOUNG HUMAN)	kids	4.37	4.67	3.89	3.861149	13498
1305	CHIMNEY	chimney	6.11	6.5	6	6.58	4069
1306	QUEEN	queen	6.11	6.37	5.95	4.42	19573
1307	LANGUAGE	language	7.11	7.37	6.95	6.79	13719
1308	DOUBT	doubt	8.11	8.5	8	8.79	7367
1309	ASK (INQUIRE)	ask	5.11	5.22	4.89	2.89	1358
131	FESTIVAL	festival	8.11	8.37	8	8.39	9067
1310	CLEVER	clever	7.95	8.11	7.47	7.5	4333
1311	VERY	very	5.11	5.22	4.89	4.900249000000001	26980
1312	FOX	fox	6.11	6.22	5.89	5.017476	9719
1313	MOON	moon	5.11	5.22	4.89	4.83	15634
1314	QUIET	quiet	5.5	6	5	4.15	19600
1315	RADIO	radio	6	6	5	5.17	19674
1316	TENT	tent	6.37	6.68	5.95	5.16	24623
1318	CHICKEN	chicken	4.89	5	4	3.26	4042
1319	COWARD	coward	8.37	8.68	8	7.62	5512
132	SAUCE	sauce	6.37	6.68	5.95	5.37	21363
1320	APPLE	apple	5	5.11	4.89	4.15	1133
1321	BOTTLE	bottle	4.61	5	3.89	3.56	2805
1322	BREAKFAST	breakfast	5.11	5.33	4.89	3.47	2941
1323	CLOCK	clock	5.11	5.22	5	4.42	4371
1324	SLIP	slip	6.11	6.22	5.89	6.17	22517
1325	FRIEND	friend	5.11	5.22	4.89	3.57	9822
1326	DOWN	down	4.11	4.22	3.89	4.93222	7381
1327	UNCLE	uncle	5.37	5.68	4.89	4.47	25829
1329	TOMORROW	tomorrow	6.11	6.37	5.89	5.187988000000001	25039
133	WEAVE	weave	7.68	7.95	7.37	9.89	27408
1330	DEFEND	defend	8.11	8.37	8	8.16	6234
1331	SHEEP	sheep	5.11	5.33	4.89	4.25	22008
1332	NEIGHBOUR	neighbor	6.11	6.37	5.89	5.06	16107
1333	NECK	neck	5.11	5.22	4.89	3	16067
1334	GUTS	guts	7.11	7.22	7	6.957050000000001	10877
1335	WHITE	white	4	4	4	4.06	27557
1336	EAT	eat	4.37	4.47	3.89	2.78	7699
1337	PIG	pig	4.61	4.95	3.89	3.84	18118
1338	PEACE	peace	7	7.11	6.89	6.32	17669
1339	MORNING	morning	5.11	5.22	4.89	4	15677
134	FAULT	fault	7.11	7.33	7	6.94	8954
1340	WITH	with	4	4	4	4.441998	27730
1342	SUMMER	summer	5.11	5.22	4.89	4.33	23934
1343	SUN	sun	4	4	4	3.4	23945
1344	RAM	ram	8	8.11	7.89	8.32	19731
1345	EWE	ewe	10.5	11	10	9.31	8485
1346	THROAT	throat	6.37	6.68	5.95	5.09	24827
1347	NAPE (OF NECK)	nape	11.5	12	11	10.53	15981
1348	BOAR (MALE PIG)	boar	9.47	9.95	9	9.83	2626
1349	CHURCH	church	5.37	5.68	4.89	5.15	4173
135	BOOMERANG	boomerang	8.47	8.95	8	9.79	2750
1350	MONKEY	monkey	5.11	5.33	4.89	4.21	15583
1352	KNIFE	knife	5.5	6	5	4.15	13585
1353	HOUR	hour	6.11	6.22	6	5.85	11712
1354	NEXT	next	5.11	5.22	5	4.346085	16221
1355	LAUGH	laugh	5.11	5.22	4.89	3.79	13783
1356	NUMBER	number	4	4	4	3.94	16527
1357	DAUGHTER	daughter	5.11	5.33	4.89	4.95	6041
1358	ENEMY	enemy	7.11	7.37	6.95	7.26	8102
1359	SEPARATE	separate	8.11	8.47	7.95	6.63	21845
136	HERE	here	5.11	5.22	4.89	3.738636	11359
1360	DUCK	duck	4.61	4.95	3.89	3.5	7549
1361	TOOL	tool	5.5	5.7	5	5.37	25056
1362	STREET	street	5.11	5.22	4.89	4.58	23619
1363	VOICE	voice	6.37	6.68	5.95	4.83	27144
1364	HEALTHY	healthy	6.33	6.67	5.95	7.61	11216
1365	KITCHEN	kitchen	5.11	5.33	4.89	3.68	13553
1366	BOY	boy	4.37	4.53	3.89	3.67	2858
1367	CROSS	cross	6.11	6.33	5.89	4.74	5711
1368	BREAD	bread	4.89	5	4	3.58	2925
1369	GOLD	gold	6.11	6.22	5.89	7.1	10467
1370	MONTH	month	5.5	6	5	5.79	15624
1371	KNEE	knee	5.37	5.68	4.89	4.42	13576
1372	MEDICINE	medicine	6	6.5	5	4.89	14967
1373	TEA	tea	6.11	6.22	5.89	5.47	24464
1374	RING	ring	5.11	5.22	4.89	4.53	20900
1375	WINDOW	window	5	5	4	4.74	27657
1376	NOW	now	5	5.11	4.89	5.251930000000001	16501
1377	VISIT	visit	6	6.11	5.53	5.79	27107
1378	SPOON	spoon	4.11	4.22	3.89	2.5	23133
1379	TELEPHONE	telephone	5.5	6	5	4.63	24547
138	BATHE	bathe	6	6.33	4.89	5	1997
1380	TOOTH	tooth	4.37	4.68	3.89	3.61	25061
1381	SHOE	shoe	4.61	5	3.89	2.6	22094
1382	NEEDLE (FOR SEWING)	needle	6.11	6.33	5.89	5.32	16085
1383	GRANDFATHER	grandfather	5.11	5.37	4.89	4.39	10580
1384	SECOND	second	5.5	6	5	4.68	21680
1385	PEPPER	pepper	5.37	5.68	4.89	5.47	17792
1386	LION	lion	5.11	5.22	4.89	4.42	14138
1387	ARRIVE	arrive	7.89	8.05	7.53	6.26	1292
1388	SHADE	shadow	5.11	5.33	4.89	5	21943
1389	TOE	toe	4.5	5	4	3	25004
139	GUMS	gum	5.11	5.22	4.89	4.89	10833
1390	WRONG	wrong	5.11	5.33	4.89	4.22	27917
1391	TOWN	town	6.11	6.22	5.95	5.11	25156
1392	LOUSE	louse	10.47	10.95	10	10.26	14355
1393	HORN (ANATOMY)	horn	5.5	6	5	4.84	11644
1394	BONE	bone	5.5	6	5	5.53	2707
1395	ROUND	round	5.5	6	5	4.75	21062
1396	SHARP	sharp	6.11	6.22	5.89	6.11	21985
1398	DRY	dry	5.11	5.22	4.89	4.11	7536
1399	CLAY	clay	6.11	6.22	5.95	5.32	4304
14	YOKE	yoke	10.47	10.95	10	7.94	27982
140	PADDY FIELD	paddy	10.47	10.95	10	11.688758	17301
1400	THIN (SLIM)	skinny	6.11	6.22	5.89	5.16	22411
1401	DRINK	drink	4.61	5	3.89	3.47	7486
1402	BREAST	breast	8.5	8.89	8	6.6	2947
1403	BITE	bite	5.11	5.33	4.89	3.58	2427
1404	STRAIGHT	straight	6.89	7	6.53	6.797195	23576
1405	NAME	name	4	4	4	3.68	15971
1406	FAR	far	5.11	5.22	4.89	4.878935	8893
1407	BREATHE	breathe	7.11	7.47	6.95	4.11	2957
1408	HEAR	hear	5.11	5.22	4.89	3.8	11218
1409	SEE	see	4	4	4	3.06	21718
1412	RUDE	rude	6.37	6.68	5.95	7.11	21102
1413	PLAY	play	4.37	4.53	3.89	4.1	18301
1414	SQUEEZE	squeeze	6	6.47	5.53	5.42	23217
1416	SIT	sit	4	4	4	3.47	22358
1417	KILL	kill	6.37	6.68	5.95	6.35	13500
1418	DIG	dig	5.11	5.22	4.89	4.19	6753
1419	FEAR (BE AFRAID)	fear	5.37	5.68	4.89	4.79	8968
1420	COUNT	count	5.5	5.5	5	2.61	5422
1421	SUCK	suck	6.53	6.89	5.89	5.58	23862
1422	BE ALIVE	live	5.5	6	5	6.1	14196
1423	FIGHT	fight	5.53	5.95	4.89	5.47	9135
1424	YELLOW	yellow	4.11	4.22	3.89	3.2	27961
1425	GREEN	green	4	4	4	3.79	10661
1426	EXPENSIVE	expensive	7.11	7.5	7	6.33	8645
1427	BEAUTIFUL	beautiful	6.11	6.47	5.95	5.72	2085
1428	BURNING	aflame	10.47	10.95	10	11.22	459
1429	FULL	full	5.11	5.22	4.89	4.24	9906
143	HUMID	humid	9.11	9.47	9	8.56	11798
1430	STAR	star	5	5.11	4.89	3.89	23303
1431	FREEZE	freeze	6.11	6.33	5.89	4.89	9794
1432	CUT	cut	4.5	5	4	4.43	5914
1433	HIT	hit	5	5	4	4.75	11486
1434	STAB	stab	7.11	7.33	7	6.4	23237
1435	HUNT	hunt	6.37	6.68	5.95	6.06	11830
1436	SCRATCH	scratch	6	6.11	5.53	5.61	21557
1437	SPLIT	split	6.11	6.22	6	6.25	23108
1438	FOOL	fool	6.37	6.68	5.95	7.56	9527
1439	SWIM	swim	5.37	5.47	4.89	4.17	24185
144	MACHINE	machine	7	7.22	6.89	6.53	14490
1440	SPIT	spit	5.22	5.44	4.89	5.06	23086
1441	FLY (MOVE THROUGH AIR)	fly	5	5.11	4.89	3.05	9471
1442	STAND	stand	5.11	5.22	4.89	4.39	23284
1443	WALK	walk	4.37	4.53	3.89	3.45	27234
1446	COME	come	5	5.11	4.89	3.32	4634
1447	GIVE	give	5.11	5.22	4.89	4.28	10305
1448	HOLD	hold	5.11	5.33	4.89	4.67	11518
1449	RUB	rub	5.11	5.22	4.89	6	21087
145	SORROWFUL	sorrowful	9.47	10	9	10.11	22874
1450	ROOM	room	4.37	4.68	3.89	4.22	21020
1451	SMILE	smile	5.11	5.22	4.89	3.51	22602
1452	PUSH	push	5.11	5.22	4.89	4.26	19470
1453	WASH	wash	4.37	4.68	3.89	4	27303
1454	WIPE	wipe	5.11	5.22	4.89	4.83	27704
1455	PULL	pull	5.11	5.22	4.89	4.79	19379
1456	THROW	throw	5.11	5.22	4.89	4.14	24839
1457	SEW	sew	7.11	7.22	6.95	6.05	21916
1458	SAY	say	4.37	4.53	3.89	3.42	21390
1459	IF	if	4	4	4	5.3585	12025
146	SUGAR CANE	sugarcane	8.95	9.11	8.47	7.63	23890
1460	IN	in	4	4	4	3.6853510000000003	12275
1461	AT	at	4	4	4	4.037032	1460
1462	POT	pot	5.11	5.33	4.89	5.95	18660
1463	DRUNK	drunk	8.11	8.37	7.89	9.26	7531
1464	LADDER	ladder	5.5	6	5	4.39937	13657
