ID	AUTHOR	YEAR	TAGS	SOURCE_LANGUAGE	TARGET_LANGUAGE	URL	REFS	NOTE	ALIAS
Riegel-2015-AffectiveRatings	Riegel, Monika and Wierzba, Malgorzata and Wypych, Marek and Zurawski, Lukasz and Jednorog, Katarzyna and Grabowska, Anna and Marchewka, Artur	2015	ratings	Polish	POLISH	https://doi.org/10.3758/s13428-014-0552-1	Riegel2015	This list includes the Nencki Affective Word List (NAWL). The items were translated from German to Polish based on the stimuli in the Berlin Affective Word List-Reloaded (BAWL-R: [Vo et al. 2009](:bib:Vo2009)). The data include nouns, verbs, and adjectives, with ratings of emotional valence, arousal, and imageability.	NAWL
Scott-2019-Ratings	Scott, Graham G. and Keitel, Anne and Becirspahic, Marc and Yao, Bo and Sereno, Sara C.	2019	ratings	English	ENGLISH	https://doi.org/10.3758/s13428-018-1099-3	Scott2019	This list includes the Glasgow Norms: a set of normative ratings for English words on nine psycholinguistic dimensions: arousal, valence, dominance, concreteness, imageability, familiarity, age of acquisition, semantic size, and gender association. The first three values (arousal, valence, dominance) are rated on a 9-point scale, all others are rated on a 7-point scale.	Glasgow Norms
StadthagenGonzalez-2017-ValenceArousal	Stadthagen-Gonzalez, Hans and Imbault, Constance and Sanchez, Miguel A Perez and Brysbaert, Marc	2017	ratings	Spanish	SPANISH	https://doi.org/10.3758/s13428-015-0700-2	StadthagenGonzalez2017	This list includes valence and arousal ratings for Spanish words. Participants rated the words on a 9-point scale.	
Starostin-2000-Sense	Sergei Starostin	2000	relations	English	ENGLISH	http://starling.rinet.ru/program.php?lan=en	Starostin2000a	This list includes sense relations for English submitted with the STARLING database program.	
Warriner-2013-AffectiveRatings	Warriner, Amy Beth and Kuperman, Victor and Brysbaert, Marc	2013	ratings	English	ENGLISH	https://doi.org/10.3758/s13428-012-0314-x	Warriner2013	This list includes ratings on valence (the pleasantness of a stimulus), arousal (the intensity of emotion provoked by a stimulus), and dominance (the degree of control exerted by a stimulus). Participants rated the words on a 9-point scale.	
Cortese-2008-AoA	Cortese, M. J. and Khanna, M. M.	2008	ratings	English	ENGLISH	https://doi.org/10.3758/BRM.40.3.791	Cortese2008	This list includes age of acquisition (AoA) ratings made on a 1-7 scale for monosyllabic words of English. The data were obtained from 32 participants.	
Keuleers-2012-LexicalDecision	Keuleers, Emmanuel and Lacey, Paula and Rastle, Kathleen and Brysbaert, Marc	2012	norms	English (British)	ENGLISH	https://doi.org/10.3758/s13428-011-0118-4	Keuleers2012	This list includes lexical decision times for English words, for which two groups of British participants each responded to monosyllabic and disyllabic words.	British Lexicon Project
Ferrand-2010-LexicalDecision	Ferrand, Ludovic and New, Boris and Brysbaert, Marc and Keuleers, Emmanuel and Bonin, Patrick and Meot, Alain and Augustinova, Maria and Pallier, Christophe	2010	norms	French	FRENCH	https://doi.org/10.3758/BRM.42.2.488	Ferrand2010	This list includes lexical decision times for French words.	French Lexicon Project
GonzalezNosti-2014-LexicalDecision	Gonzalez-Nosti, Maria and Barbon, Analia and Rodriguez-Ferreiro, Javier and Cuetos, Fernando	2014	norms, ratings	Spanish (Spain)	SPANISH	https://doi.org/10.3758/s13428-013-0383-5	GonzalezNosti2014	This list includes lexical decision times for Spanish words. In addition, the study collected AoA ratings from 25 psychology students on a 7-point Likert scale in which 1 corresponded to ages between 0 and 2 years old, 2 to ages between 2 and 4, and so on up to 7, which corresponded to ages over 12 years old.	
Tsang-2018-LexicalDecision	Tsang, Yiu-Kei and Huang, Jian and Lui, Ming and Xue, Mingfeng and Chan, Yin-Wah Fiona and Wang, Suiping and Chen, Hsuan-Chih	2018	norms	Chinese	CHINESE	https://doi.org/10.3758/s13428-017-0944-0	Tsang2018	This list includes lexical decision times for Chinese words.	MELD-SCH
Keuleers-2015-Prevalence	Keuleers, Emmanuel and Stevens, Michael and Mandera, Pawel and Brysbaert, Marc	2015	ratings	Dutch (Belgium, Netherlands)	DUTCH	https://doi.org/10.1080/17470218.2015.1022560	Keuleers2015	This list includes word prevalence ratings. Word prevalence refers to the number of people who know the word. The measure was obtained on the basis of an online crowdsourcing study involving over nearly 300,000 Dutch speakers in Belgium and the Netherlands.	
StadthagenGonzalez-2018-DiscreteEmotions	Stadthagen-Gonzalez, Hans and Ferre, Pilar and Perez-Sanchez, Miguel A. and Imbault, Constance and Hinojosa, Jose Antonio	2018	ratings	Spanish (Spain)	SPANISH	https://doi.org/10.3758/s13428-017-0962-y	StadthagenGonzalez2018	This list includes ratings for discrete emotion categories (happiness, sadness, anger, fear, and disgust). The ratings were obtained on a scale from 1-5 for each category. In addition, the dataset includes norms on PoS taken from [Duchon et al. (2013)](:bib:Duchon2013).	
Alonso-2016-AoA	Alonso, Maria Angeles and Diez, Emiliano and Fernandez, Angel	2016	ratings	Spanish (Spain)	SPANISH	https://doi.org/10.3758/s13428-015-0675-z	Alonso2016	This list includes subjective estimations of age-of-acquisition (AoA) for Spanish verbs. The ratings were collected from college students in Spain.	
Imbir-2021-Ratings	Imbir, Kamil K.	2021	ratings	Polish	POLISH	https://doi.org/10.3389/fpsyg.2021.707540	Imbir2021	This list includes ratings on psycholinguistic measures of Valence, Arousal, Dominance, Origin, Significance, Concreteness, Imageability, and subjective Age of Acquisition. The participants were students (excluding psychology students). The ratings were based on different Self-Assessment Manikin (SAM) scales. The author published a [Corrigendum](https://www.frontiersin.org/articles/10.3389/fpsyg.2021.707540/full) and updated the original data set in Imbir ([2016](:bib:Imbir2016)).	
Ferre-2017-DiscreteEmotions	Ferre, Pilar and Guasch, Marc and Martinez-Garcia, Natalia and Fraga, Isabel and Hinojosa, Jose Antonio	2017	ratings	Spanish	SPANISH	https://doi.org/10.3758/s13428-016-0768-3	Ferre2017	This list includes ratings on discrete emotions for Spanish words in five discrete emotion categories: happiness, anger, fear, disgust, and sadness. The participants rated the words on a 5-point scale.	
Wierzba-2015-DiscreteEmotions	Wierzba, Malgorzata and Riegel, Monika and Wypych, Marek and Jednorog, Katarzyna and Turnau, Pawel and Grabowska, Anna and Marchewka, Artur	2015	ratings	Polish	POLISH	https://doi.org/10.1371/journal.pone.0132305	Wierzba2015	This list includes ratings on discrete emotions for Polish words in five discrete emotion categories: happiness, anger, fear, disgust, and sadness. The participants rated the words on a 7-point scale. The items were based on the stimuli in [Riegel et al. (2015)](:bib:Riegel2015).	NAWL BE
Alonso-2011-OralFrequency	Alonso, Maria Angeles and Fernandez, Angel and Diez, Emiliano	2011	norms	Spanish	SPANISH	https://doi.org/10.3758/s13428-011-0062-3	Alonso2011	This list includes frequency norms for spoken words based on a corpus of over three million units, representing present-day use of the language in Spain.	
Lynott-2020-Sensorimotor	Lynott, Dermot and Connell, Louise and Brysbaert, Marc and Brand, James and Carney, James	2020	ratings	English	ENGLISH	https://doi.org/10.3758/s13428-019-01316-z	Lynott2020	This list includes ratings across six perceptual modalities (touch, hearing, smell, taste, vision, and interoception) and five action effectors (mouth/throat, hand/arm, foot/leg, head excluding mouth/throat, and torso), gathered from a total of 3,500 individual participants using Amazon Mechanical Turk platform. The ratings were based on a 5-point scale.	Lancaster Sensorimotor Norms
Kapucu-2018-EmotionRatings	Kapucu, Aycan and Kilic, Asli and Ozkilic, Yildiz and Saribaz, Bengisu	2018	ratings	Turkish	TURKISH	https://doi.org/10.1177/0033294118814722	Kapucu2018	This list includes ratings on two major dimensions of emotion: arousal and valence, as well as on five basic emotion categories of happiness, sadness, anger, fear, and disgust. In addtion, ratings on concreteness were collected. The items were translated from the Affective Norms for English Words (ANEW: [Bradley and Lang 1999](:bib:Bradley1999)) to Turkish.	
Briesemeister-2011-DiscreteEmotions	Briesemeister, Benny B. and Kuchinke, Lars and Jacobs, Arthur M	2011	ratings	German	GERMAN	https://doi.org/10.3758/s13428-011-0059-y	Briesemeister2011	This list includes discrete emotions ratings for the categories happiness, sadness, anger, fear, and disgust. The ratings on German nouns were collected from university students (including psychology) on a 5-point Likert scale (1 = low intensity,5= strong intensity). The list is based on the Berlin Affective Word List-Reloaded (BAWL-R: [Vo et al. 2009](:bib:Vo2009))	DENN–BAWL
Mandera-2015-Frequency	Mandera, Pawel and Keuleers, Emmanuel and Wodniecka, Zofia and Brysbaert, Marc	2015	norms	Polish	POLISH	https://doi.org/10.3758/s13428-014-0489-4	Mandera2015	This list includes word frequencies based on television and film subtitles in Polish.	SUBTLEX-PL
Moors-2013-Ratings	Moors, Agnes and De Houwer, Jan and Hermans, Dirk and Wanmaker, Sabine and Van Schie, Kevin and Van Harmelen, Anne-Laura and De Schryver, Maarten and De Winne, Jeffrey and Brysbaert, Marc	2013	ratings	Dutch	DUTCH	https://doi.org/10.3758/s13428-012-0243-8	Moors2013	This list includes ratings on valence, arousal and age-of-acquisition for Dutch words. The ratings were conducted on a  7-point Likert scale. The participants were students from the Netherlands and Belgium.	
Wu-2020-CoreVocabulary	Wu, Winston and Nicolai, Garrett and Yarowsky, David	2020	relations	Global	ENGLISH	https://www.aclweb.org/anthology/2020.lrec-1.519.pdf	Wu2020	This list was created automatically to present a core vocabulary. The automatic creation was based on the relative coverage of each target concept across 1895 bilingual dictionaries in the LanguageNet multiligual lexicon [(Baldwin et al., 2010)](:bib:Baldwin2010). The LINE_IN_SOURCES column represents the ranking of the words in the original list.	
Mohammad-2018-AffectiveRatings	Mohammad, Saif M.	2018	ratings	English	ENGLISH	https://doi.org/10.18653/v1/P18-1017	Mohammad2018a	This list includes valence, arousal, and dominance ratings for English words. The words were rated by participants on a crowd-sourcing platform. The ratings were obtained by the annotation of best-worst scaling for four words. In addition, the author offers translations of the words for various languages (http://sentiment.nrc.ca/lexicons-for-research/).	NRC VAD Lexicon
Mohammad-2018-EmotionIntensity	Mohammad, Saif M.	2018	ratings	English	ENGLISH	https://www.aclweb.org/anthology/L18-1027.pdf	Mohammad2018b	This list includes ratings of dominant emotion (anger, fear, joy, sadness, disgust, anticipation, trust, surprise) and intensity for English words. The dominant emotion is based on pointwise mutual information in the Hashtag Emotion Corpus [(Mohammad 2012)](:bib:Mohammad2012). The words were rated for emotion intensity by participants on a crowd-sourcing platform. The ratings were obtained by the annotation of best-worst scaling for four words. In addition, the author offers translations of the words for various languages (http://sentiment.nrc.ca/lexicons-for-research/).	NRC Affect Intensity Lexicon
Clark-2004-ImageryFamiliarity	Clark, James M. and Paivio, Allan	2004	ratings	English	ENGLISH	https://doi.org/10.3758/BF03195584	Clark2004	This list includes ratings for imageability and familiarity for English words. The data set is an extension of the norms in [Paivio et al. (1968)](:bib:Paivio1968). The words were rated by psychology students on a 7-point scale. Imageability ratings for words with a number higher than 0 in the column PAVIO_NORMS were taken from [Paivio et al. (1968)](:bib:Paivio1968).	
Abdaoui-2017-EmoLex	Abdaoui, Amine and Azé, Jérôme and Bringay, Sandra and Poncelet, Pascaln	2017	relations	French	FRENCH	https://doi.org/10.1007/s10579-016-9364-5	Abdaoui2017	This list represents the French Expanded Emotion Lexicon (FEEL). It the includes results of a sentiment analysis of texts according to the emotions associated with the text. The authors provide information for the dominant polarity of a given word (negative/positive) and the dominant emotion(s) associated with the word (joy, anger, surprise, sadness, disgust, fear) presented as binary values (1/0).	FEEL
Matisoff-2015-STEDT	Matisoff, James A.	2015	relations	English	Proto-Sino-Tibetan	https://stedt.berkeley.edu/	Matisoff2015	This list represents the semantic categorization of the glosses in the Sino-Tibetan Etymological Dictionary and Thesaurus (STEDT). It is an etymological dictionary of Proto-Sino-Tibetan (PST), the ancestor language of the large Sino-Tibetan language family. This family includes Chinese, Tibetan, Burmese, and over 200 other languages spoken in South and Southeast Asia.	STEDT
Kiss-1973-EAT	Kiss, G. and Armstrong, Christine and Milroy, R. and Piper, J.	1973	relations	English	English	http://vlado.fmf.uni-lj.si/pub/networks/data/dic/eat/Eat.htm	Kiss1973	The Edinburgh Associative Thesaurus offers user ratings for a large list of English words. The data themselves are no longer officially available, since the website went down, but we found parts of the data distributed along with the Pajek project for network analysis and visualization. We computed weighted degree and unweighted degree per concept from the data themselves.	EAT
Wikidata		2020	relations	English	Global	https://www.wikidata.org/	Wikidata	This list includes matches between the words in Wikidata and Concepticon concepts. The words are extracted automatically and the mapping was done semi-automated in that the double mappings were checked by hand. The Wikidata repository consists mainly of items, each one having a label, a description and any number of aliases.	Wikidata
OmegaWiki		2020	relations	English	Global	http://www.omegawiki.org	OmegaWiki	This list includes matches between the words in the OmegaWiki and Concepticon concepts. OmegaWiki aims to create a dictionary of all words of all languages, including lexical, terminological and ontological information.	OmegaWiki
Babelnet		2020	relations	English	Global	http://babelnet.org	BabelNet	This list includes matches between the words in BabelNet and Concepticon concepts. BabelNet is an extension of WordNet and offers word senses in multiple languages.	Babelnet
Numerals		2020	relations	Global	Global			This list includes matches between integer numbers and Concepticon concepts.	
Crepaldi-2015-Frequency	Crepaldi, D. and Amenta, S. and Pawel, M. and Keuleers, E. and Brysbaert, Marc	2015	norms	Italian	Italian	https://lrlac.sissa.it/publications/subtlex-it-subtitle-based-word-frequency-estimates-italian	Crepaldi2015	This list includes word frequencies based on television and film subtitles in Italian.	SUBTLEX-IT
VanHeuven-2014-Frequency	Van Heuven, Walter J.B. and Mandera, Pawel and Keuleers, Emmanuel and Brysbaert, Marc	2014	norms	English	English	http://crr.ugent.be/archives/1423	VanHeuven2014	This list includes word frequencies based on television and film subtitles in UK-English.	SUBTLEX-UK
Medler-2005-Perceptual	Medler, David A. and Arnoldussen, Aimee and Binder, Jeffrey R. and Seidenberg, Mark S.	2005	ratings	English	English	http://www.neuro.mcw.edu/ratings/	Medler2005	This database contains mean perceptual attribute ratings in 4 sensory-motor domains (Sound, Color, Manipulation, Motion) for 1402 words, as well as Emotion ratings reflecting intensity and valence of emotional associations for the same words.	Wisconsin Perceptual Attribute Rating Database
Gilhooly-1980-Ratings	Gilhooly, Kenneth J. and Logie, Robert H.	1980	ratings	English	English	https://link.springer.com/content/pdf/10.3758/BF03201693.pdf	Gilhooly1980	This list contains age-of-acquisition, imagery, concreteness, familiarity, and ambiguity measures for 1,944 English words (nouns) of varying length and frequency.	
Speed-2021-Sensorimotor	Speed, Laura J. and Brysbaert, Marc	2021	ratings	Dutch	Dutch		Speed2021	This list contains sensory modality ratings for 24,000 Dutch words. The modalities include  audition, gustation, haptics, olfaction, vision, and interoception.	
Chedid-2019-Familiarity	Chedid, Georges and Wilson, Maximilliano A. and Bedetti, Christophe and Rey, Amandine E. and Vallet, Guillaume T. and Brambati, Simona Maria	2019	ratings	French	French		Chedid2019	This list contains familiarity ratings for 3,596 French nouns. In addition, reaction times were collected.	
Bolognesi-2022-Specificity	Bolognesi, Marianna Marcella and Caselli, Tommaso	2022	ratings	English, Italian	Italian		Bolognesi2022	This list contains specificity ratings for Italian nouns, adjectives, and verbs on a 5-point scale.	ANEW-ITA
Montefinese-2014-AffectiveRatings	Montefinese, Maria and Ambrosini, Ettore and Fairfield, Beth and Mammarella, Nicola	2014	ratings	English, Italian	Italian		Montefinese2014	This list contains affective ratings for Italian nouns, adjectives, and verbs on a 9-point scale.	
DiNatale-2021a-AffectiveColexifications	Di Natale, Anna and Pellert, Max and Garcia, David	2021	ratings	English	Global		DiNatale2021	This list contains a lexicon based on an unsupervised method of affective lexicon extension that uses colexification network data to interpolate the affective ratings of words that are not included in the original lexicon. The lexicon is constructed with CLICS3 (Rzymski et al. [2020](:bib:Rzymski2020)) and the NRC VAD Lexicon (Mohammad [2018a](:bib:Mohammad2018a)). 	
DiNatale-2021b-AffectiveColexifications	Di Natale, Anna and Pellert, Max and Garcia, David	2021	ratings	English	Global		DiNatale2021	This list contains a lexicon based on an unsupervised method of affective lexicon extension that uses colexification network data to interpolate the affective ratings of words that are not included in the original lexicon. The lexicon is constructed with CLICS3 (Rzymski et al. [2020](:bib:Rzymski2020)) and the affective ratings by Warriner et al. ([2013](:bib:Warriner2013)). 	
DiNatale-2021c-AffectiveColexifications	Di Natale, Anna and Pellert, Max and Garcia, David	2021	ratings	English	Global		DiNatale2021	This list contains a lexicon based on an unsupervised method of affective lexicon extension that uses colexification network data to interpolate the affective ratings of words that are not included in the original lexicon. The lexicon is constructed with FreeDict (freedict.org) and the NRC VAD Lexicon (Mohammad [2018a](:bib:Mohammad2018a)). 	
DiNatale-2021d-AffectiveColexifications	Di Natale, Anna and Pellert, Max and Garcia, David	2021	ratings	English	Global		DiNatale2021	This list contains a lexicon based on an unsupervised method of affective lexicon extension that uses colexification network data to interpolate the affective ratings of words that are not included in the original lexicon. The lexicon is constructed with FreeDict (freedict.org) and the affective ratings by Warriner et al. ([2013](:bib:Warriner2013)). 	
DiNatale-2021e-AffectiveColexifications	Di Natale, Anna and Pellert, Max and Garcia, David	2021	ratings	English	Global		DiNatale2021	This list contains a lexicon based on an unsupervised method of affective lexicon extension that uses colexification network data to interpolate the affective ratings of words that are not included in the original lexicon. The lexicon is constructed with [OmegaWiki](:bib:OmegaWiki) and the NRC VAD Lexicon (Mohammad [2018a](:bib:Mohammad2018a)). 	
DiNatale-2021f-AffectiveColexifications	Di Natale, Anna and Pellert, Max and Garcia, David	2021	ratings	English	Global		DiNatale2021	This list contains a lexicon based on an unsupervised method of affective lexicon extension that uses colexification network data to interpolate the affective ratings of words that are not included in the original lexicon. The lexicon is constructed with [OmegaWiki](:bib:OmegaWiki) and the affective ratings by Warriner et al. ([2013](:bib:Warriner2013)). 	
Montefinese-2019-AoA	Montefinese, Maria and Vinson, David and Vigliocco, Gabriella and Ambrosini, Ettore	2019	ratings	English, Italian	Italian		Montefinese2019	This list contains age-of-acquisition ratings for Italian nouns, adjectives, and verbs. Adult participants were asked to estimate the age at which they thought they had learned the word.	ItAoA
Speed-2024-Emotions	Speed, Laura J. and Brysbaert, Marc	2024	ratings	Dutch	Dutch	https://doi.org/10.3758/s13428-023-02239-6	Speed2024	This list includes the arousal, valence, and discrete emotion ratings (happiness, anger, fear, disgust, and sadness) for 24,000 Dutch words, which were rated on a 5-point scale. The study contains additional variables, such as word length, frequency, age of acquisition, concreteness, imageability, and lexical decision data, which come from other studies and were therefore not included in the data set here.
Winter-2024-Iconicity	Winter, Bodo and Lupyan, Gary and Perry, Lynn K. and Dingemanse, Mark and Perlman, Markus	2024	ratings	English	English	https://doi.org/10.3758/s13428-023-02112-6	Winter2024	This list includes the iconocity rating of 14,000+ English words. Items were rated on a 7-point scale (1 = not iconic at all, 7 = very iconic). Further, playfulness, sensory modality, structural markedness and age of acquisition were compared in the study.
Vankrunkelsven-2024-SemanticGender	Vankrunkelsven, Hendrik and Yang, Yang and Brysbaert, Marc and De Deyne, Simon and Storms, Gert	2024	ratings	Dutch	Dutch	https://doi-org.offsitelib.eva.mpg.de/10.3758/s13428-022-02032-x	Vankrunkelsven2024	This list includes semantic gender ratings for 24,000 Dutch words. Items were rated on a 5-point scale (1 = very feminine, 2 = rather feminine, 3 = neutral, 4 = rather masculine, 5 = very masculine). The study contains additional variables, such as concreteness, age of acquisition, valence, arousal and dominance, which come from other studies and were therefore not included in the data set here.
Pexman-2019-Sensorimotor	Pexman, Penny M. and Muraki, Emiko and Sidhu, David M. and Siakaluk, Paul D. and Yap, Melvin J.	2019	ratings	English	English	https://doi.org/10.3758/s13428-018-1171-z	Pexman2019	This list includes ratings of body-object interaction (BOI), i.e., the extent to which the word refers to an object or thing a human body can easily interact with, for 9,000+ English words. Items were rated on a 7-point scale (1 = low body–object interaction, 2-6 = intermediate body–object interaction, 7 = high body–object interaction).
Schmidtke-2014-AffectiveRatings	Schmidtke, David S. and Schröder, Tobias and Jacobs, Arthur M. and Conrad, Markus	2014	ratings	German	German	https://doi.org/10.3758/s13428-013-0426-y	Schmidtke2014	This list contains ratings of valence, arousal, imageability, dominance and potency for German words. The study includes terms from the Affective Norms for English Words (ANEW) list ([Bradley and Lang 1999](:bib:Bradley1999)) as well as the Berlin Affective Word List (BAWL)  ([Vo et al. 2009](:bib:Vo2009)). Valence and imageability were rated on 7-point scales while potency, dominance and arousal for words in the ANEW list were rated on a 9-point scale. Arousal for words in the BAWL was rated on a 5-point scale. The study contains additional variables, such as data on word frequency, grammatical class, number of letters, number of syllables, and number of orthographic neighbors, which come from other studies and were therefore not included in the data set here.	ANGST
Guasch-2016-AffectiveRatings	Guasch, Marc and Ferré, Pilar and Fraga, Isabel	2016	ratings	Spanish	Spanish	https://doi.org/10.3758/s13428-015-0684-y	Guasch2016	This list contains ratings of valence, arousal, concreteness, imageability, context availability, and familiarity of 1,400 Spanish words. Ratings for valence and arousal were given on a 9-point scale. Concreteness, imageability, availability and familiarity were ranked on a 7-point scale. The participants were undergraduate students who were fluent in Spanish.
Bonin-2018-Concreteness	Bonin, Patrick and Méot, Alain and Bugaiska, Aurélia	2018	ratings	French	French	https://doi.org/10.3758/s13428-018-1014-y	Bonin2018	This list contains ratings of concreteness, context availability, valence and arousal for 1,400+ French words. All ratings were given on a 5-point scale.
Coso-2023-Emotions	Ćoso, Bojana and Guasch, Marc and Bogunovic, Irena and Ferré, Pilar and Hinojosa, José A.	2023	ratings	English	Croatian	https://doi.org/10.3758/s13428-022-02003-2	Coso2023	This list contains ratings of five concrete emotions ("happiness", "anger", "sadness", "fear", "disgust") for 3000+ Croatian words. All ratings were given on a 5-point scale. While the original study was conducted with Croatian words, the present mapping is based on the English translations given for these items.	CROWD-5e
Repetto-2023-Sensorimotor	Repetto, Claudia and Rodella, Claudia and Conca, Francesca and Santi, Gaia Chiara and Catricalá, Eleonora	2023	ratings	English	Italian	https://doi.org/10.3758/s13428-022-02004-1	Repetto2023	This list contains ratings of valence, arousal, dominance, familiarity, imageability and concreteness on a 9-point scale. Further, five effectors (hand-arm, foot-leg, torso, mouth, head) as well as six perceptual modalities (touch, hearing, smell, taste, vision, and interoception) were rated on a 6-point scale. Exclusivity ratings for perception, action and overall sensorimotor values were given ranging from 0-1, to be interpreted as percentages.
Syssau-2009-Valence	Syssau, Arielle and Monnier, Catherine	2009	ratings	English, French	French	https://doi.org/10.3758/BRM.41.1.213	Syssau2009	This list contains ratings of valence given by children age five, age seven and age nine for 600 French items. The data comprise the percentage distribution of children within each respective age group who provided ratings on a scale ranging from negative to neutral to positive, with each age group being treated as making up 100%. It is additionally divided by gender (male, female). The present list further contains ratings of the same items given by adults in [Syssau and Font (2005)](:bib:Syssau2005). The items were chosen based on the emotional databases by [Bonin, Méot et al. 2003](:bib:Bonin2003) and [Syssau and Font (2005)](:bib:Syssau2005), licensed as Emotional Source in the dataset. While these original studies were conducted using pictures, the present study used only the corresponding words, either spoken (age group five) or written (age groups seven and nine).
Dingemanse-2020-IconicityHumor	Dingemanse, Mark and Thompson, Bill	2020	ratings	English	English	https://doi.org/10.1017/langcog.2019.49	Dingemanse2020	This list contains ratings of iconicity and humor, given both by human participants and as computational ratings. We included only the computational ratings and the iconicity ratings from [Perry et al. (2018)](:bib:Perry2018) since the humor ratings from [Engelthaler and Hills (2018)](:bib:Engelthaler2018) were added as separate dataset. The human ratings were compared to the ratings given by the computational model developed for the present study, which was trained on large natural language corpora. The study also includes ratings of aversion and taboos, which were not included here.
