CONCEPTICON_ID	CONCEPTICON_GLOSS	FRENCH	FRENCH_AUDITORY_MEAN	LINE_IN_SOURCE
1821	BRUSH	brosse	41.44	432
1833	DINNER (SUPPER)	dîner	43.857	1093
1835	MARROW	moelle	10.478	2218
1838	NAVEL	nombril	16.36	2338
1843	THOUSAND	mille	20.68	2194
1844	BOAT	bateau	49.269	299
1847	SICK	malade	41.083	2084
1848	QUARREL	querelle	58.885	2804
1850	COTTON	coton	24.296	889
1853	DOVE	colombe	39.92	740
1855	BIRCH	bouleau	28.44	387
1856	SOFT	doux	26.741	1148
1857	CROCODILE	crocodile	32.304	945
1858	FISHERMAN	pêcheur	23.696	2519
186	SHIN	tibia	14.696	3347
1862	DONKEY	âne	76.607	120
1864	HUNGER	faim	22.115	1391
1871	CAMEL	chameau	33.25	603
1874	SAUSAGE	saucisse	30.783	3048
1876	REINDEER	renne	28.192	2914
1883	IN FRONT OF	devant	10.846	1060
1898	SPECTACLES	lunettes	8.115	2056
1901	SHOVEL	pelle	35.111	2526
1903	SWELLING	enflure	27.241	1244
1905	EAGLE	aigle	56.481	74
1906	SOUR	acide	21.043	31
1907	MOLE	taupe	10.792	3301
191	NUT	noix	30.696	2337
1918	MANE	crinière	21.24	940
1927	BAMBOO	bambou	11.857	268
1936	DEER	cerf	25.542	590
1938	FORTRESS	château	21.25	628
194	FAMILY	famille	59.125	1398
1941	SOLDIER	militaire	54.214	2193
1943	CROWN (OF HEAD)	couronne	12.043	907
1948	SAW	scie	69.75	3066
195	MAT	natte	9.077	2309
1950	BEECH	hêtre	13.739	1735
1956	SUNFLOWER	tournesol	16.464	3397
1966	BUNCH	groupe	46.815	1682
1971	FAN (OBJECT)	éventail	34.296	1346
1972	YOUNG GOAT (KID)	chevreau	30.667	649
1973	DEMON	démon	40.304	1027
1977	DEW	rosée	16.542	2996
1979	CHISEL	burin	21.292	450
1986	DISEASE	maladie	39.462	2085
2002	DITCH	fossé	9.269	1510
2009	DOG	chien	82.333	651
2011	COFFIN	cercueil	30.519	588
2013	BAIT	appât	24.522	144
202	STRENGTH	force	32.259	1502
2071	LAY (VERB)	coucher	37.269	893
2099	CHILD	enfant	65.25	1242
21	TASTE (SOMETHING)	goûter	24.458	1644
210	LIFE	vie	49.8	3536
2114	BELLY OR STOMACH	abdomen	18.043	5
212	FIELD	champ	32.778	604
2124	SMELL	odeur	27.37	2376
2135	TRADE OR BARTER	échange	33.08	1165
216	MOVIE	film	77.667	1459
218	FINE (PENALTY)	amende	26.407	106
2190	TASTE	goût	18.65	1643
221	FIRE	feu	61.45	1434
224	MORTAR	mortier	34.423	2251
2246	BELL	cloche	90	705
2247	CATERPILLAR	chenille	17.5	641
225	PESTLE	pilon	28.593	2587
2259	FLESH	chair	17.542	597
227	FISH	poisson	29.179	2645
2284	CLEARING	clairière	25.12	683
2290	PUDDLE	flaque	45.75	1481
2291	VOLCANO	volcan	53.417	3575
2294	WRINKLE	ride	19.692	2973
2297	DUSK	crépuscule	9.538	934
2299	STRAW	paille	30.889	2441
2318	CHESTNUT	châtaigne	25.379	627
2343	STEEL	acier	33.357	32
2348	CRAB	crabe	37.071	919
2352	DRAGONFLY	libellule	41.296	1999
2354	CRICKET	grillon	56.143	1674
2366	ONION	oignon	33.192	2385
2368	GARLIC	ail	21.08	76
2374	DREAM	songe	29.885	3170
238	PRAWNS	crevette	14.962	939
2386	TURKEY	dindon	50.571	1092
239	FLOWER	fleur	8.286	1486
2397	LOBSTER	homard	29.111	1750
2408	CAKE	gâteau	21.478	1596
241	TREE STUMP	tronc	12.625	3448
2427	FUTURE	avenir	22.667	233
2434	TRAGEDY	tragédie	38.957	3410
2440	PINEAPPLE	ananas	22.222	116
245	BROOM	balai	35.375	257
2468	BAG	sac	38.222	3022
2482	TOGETHER	ensemble	30.5	1255
2512	CHICK	poussin	64.125	2699
2526	POWER	puissance	38.087	2786
2527	ABILITY	aptitude	29.963	153
2539	PIT (POTHOLE)	fosse	10.429	1509
2541	MIRACLE	miracle	30.889	2200
2546	BORDER	limite	21.214	2013
2547	CITY	municipalité	25.667	2284
2548	BARREL	tonneau	17.125	3371
2549	VEHICLE	véhicule	65.435	3499
255	SERVANT	serviteur	40.207	3121
256	FOOD	nourriture	23.042	2344
2573	FEELING (EMOTION)	émotion	39.393	1225
2578	PENCIL	crayon	30.333	928
258	CALM	calme	53.042	483
2587	DARTS	fléchette	31.538	1485
2588	GLOBE	globe	23.28	1633
2591	RHINOCEROS	rhinocéros	26.143	2972
2594	DOMINOES	domino	47.6	1137
2595	CACTUS	cactus	16.417	463
2597	HARP	harpe	76.222	1718
2600	PYRAMID	pyramide	18.963	2798
2602	FUNNEL	entonnoir	16.708	1259
2603	ACCORDION	accordéon	82.72	25
2605	ASPARAGUS	asperge	20.481	185
2606	COMPASS	boussole	18.96	402
2617	BULB	bulbe	17.167	447
2620	CARRIAGE	calèche	65.077	478
2621	CURTAIN	rideau	29.87	2974
2623	FLAG	drapeau	30.115	1151
2624	FRAME	cadre	26.083	467
2626	NERVE	nerf	23.607	2322
2627	ORANGE (FRUIT)	orange	18.87	2404
2630	WHIP	fouet	64.5	1513
2648	HAIR (HEAD)	cheveu	25.12	646
265	FOWL	volaille	61.793	3574
266	SCALE	écaille	19.364	1162
2668	SKELETON	squelette	16.038	3217
271	SAUCER	soucoupe	41.28	3179
2765	CHERRY	cerise	5.857	591
2766	WATERMELON	pastèque	23.4	2500
2770	JACKET	veste	16.885	3524
2783	SCALES (MEASURE INSTRUMENT)	balance	29.148	258
2819	GRASSLAND	prairie	36.923	2702
2826	LIE (FALSEHOOD)	mensonge	48.778	2162
2830	OYSTERS	huître	24.217	1768
2831	PENGUIN	pingouin	34.038	2595
2879	SOUND (OF INSTRUMENT OR VOICE)	son	83.037	3167
289	MOLD	moule	21.542	2265
2930	BOSS	patron	40.227	2512
2931	BUSINESS	commerce	37.75	753
2937	FAIRY TALE	conte	50.56	833
2940	GATE	portail	31.375	2665
2941	HAPPINESS	bonheur	48	366
2964	NEWS	nouvelle	40.821	2346
2972	SLEEP (STATE)	sommeil	42.958	3164
2978	DISTANCE	distance	22.667	1114
2982	GIFT	présent	21.24	2723
2984	HEAP	tas	24.167	3297
2992	TIP (OF OBJECT)	pointe	8.846	2640
300	RATTLE	hochet	56.174	1748
3028	GRAVEL	gravier	56.444	1660
3065	SADDLE	selle	35.115	3093
3066	SCARF OR TURBAN	écharpe	15.5	1166
307	HAWK	faucon	49.952	1411
308	TOUCAN	toucan	46.6	3386
3083	BALLOON	ballon	46.296	265
3085	CARROT	carotte	33	546
3086	COMPUTER	ordinateur	57.704	2407
3087	PACIFIER	tétine	34.423	3340
3088	ENVELOPE	enveloppe	25.519	1264
3089	GIRAFFE	girafe	17.2	1620
3090	GUITAR	guitare	93.846	1694
3091	LEMON	citron	23.444	677
3094	PAINTBRUSH	pinceau	28.125	2592
3096	RACKET	fusée	63.826	1566
3099	SOFA	canapé	16.167	497
3101	SWING	balançoire	51.577	259
3102	TANK	réservoir	18.148	2940
3104	THERMOMETER	thermomètre	31.2	3343
3105	UMBRELLA	parapluie	46.261	2466
3106	WARDROBE	armoire	36.926	171
3128	SHOWER (ACTION)	douche	73.036	1144
3137	OAR	rame	28.174	2826
3139	LADYBUG	coccinelle	21.5	713
3140	VEST	gilet	10.917	1619
3144	GORILLA	gorille	71.481	1639
3145	HIPPOPOTAMUS	hippopotame	27.833	1743
3154	WILD BOAR	sanglier	44.731	3041
3202	CANNON	canon	68.741	509
322	FIG	figue	11.45	1454
3247	KIWIFRUIT	kiwi	19.385	1938
3248	MAPLE TREE	érable	25.185	1299
3268	QUESTION	demande	49.48	1020
3283	CAGE	cage	36.217	470
3284	GRAVEYARD	cimetière	40.391	666
3304	PICTURE (PHOTOGRAPH)	photo	28.6	2573
3313	JACKAL	chacal	37.222	595
3314	LYNX	lynx	29.85	2061
3333	BELIEF (RELIGIOUS)	croyance	45.815	948
3349	WRISTWATCH	montre	48.346	2239
336	PADLOCK	cadenas	37.583	465
3375	PATIENT (SICK PERSON)	patient	34.87	2505
3377	EMPEROR	empereur	19.64	1226
338	RAKE	râteau	31.556	2838
34	STAIRS	escalier	24.52	1304
3425	JOKE	blague	73.857	342
3467	HELP (ASSISTANCE)	aide	42.208	72
3468	KINDNESS	gentillesse	32.88	1612
3469	LEVEL	niveau	23.13	2331
356	SHEARS	ciseaux	44.556	671
3612	INDIGENOUS PEOPLES OF THE AMERICAS	indien	40.462	1823
362	STRING	ficelle	10.762	1446
3622	BURN (INJURY)	brûlure	29.174	441
3624	LEPROSY	lèpre	25.35	1985
3628	HONOR (SOMEBODY)	honneur	37.37	1752
3640	GOSSIP	potin	51.5	2680
3644	AGREEMENT	accord	45.483	24
3646	PROVERB	proverbe	51.333	2774
3653	COOKING POT	marmite	40.519	2126
3657	GRANARY	grange	25.833	1654
3664	INHERIT	héritier	23.111	1729
3673	MOURNING	deuil	55.259	1059
3675	ZEBRA	zèbre	22.65	3595
3676	SHREW	musaraigne	4.476	2290
3681	PARTRIDGE	perdrix	43.821	2546
3689	BUBBLE	bulle	35.893	448
369	OWE	devoir	19.286	1068
3695	MOVEMENT	mouvement	23.375	2274
3703	STICKY	collant	23.88	732
3711	TIE (NOUN)	cravate	22.739	927
3726	BROCCOLI	brocoli	17.087	430
3732	POMEGRANATE	grenade	63.5	1664
3745	CRANE (DEVICE)	grue	46.5	1684
3746	VASE	vase	19.542	3496
3797	OSTRICH	autruche	30.5	228
3847	INTEREST (FEELING)	intérêt	36.783	1871
387	SLING	fronde	22.52	1558
3880	FIGHT (COMBAT)	lutte	41.042	2059
3882	ROSE	rose	21.852	2995
390	PUNISHMENT	punition	50.696	2790
395	PILL	pilule	35.414	2589
3951	PANDA	panda	28.391	2452
3955	HOSTILITY	hostilité	41.1	1761
3966	CONCEPT	concept	26.75	792
3994	PIANO (INSTRUMENT)	piano	91.654	2576
3997	ARTICHOKE	artichaut	13.333	178
4005	SUITCASE	valise	40.957	3488
4006	ROBOT	robot	55.423	2985
4008	SANDWICH	sandwich	13	3039
4010	TOASTER	grille-pain	65.208	1673
4011	TRUCK	camion	69.926	491
4012	TELESCOPE	télescope	16.375	3311
4013	AMBULANCE	ambulance	87.185	103
4015	PIRATE	pirate	50.2	2605
4016	MICROSCOPE	microscope	11.667	2188
4017	JELLYFISH	méduse	18.536	2148
4018	BLOUSE	chemisier	9.25	640
4021	DINOSAUR	dinosaure	56.4	1095
4023	VIOLIN	violon	95.391	3548
4026	SAILBOAT	voilier	60	3570
4029	BABY CARRIAGE	landau	20.923	1959
4035	SWEATER	pull-over	12.88	2788
406	OLD MAN	vieillard	50.304	3537
420	FOREST	forêt	50.458	1503
458	DEAF PERSON	sourd-muet	28.679	3194
471	UPPER LEG (THIGH)	cuisse	8.565	959
472	PELICAN	pélican	29.571	2525
476	CUP	tasse	38.818	3298
478	LIP	lèvre	36	1992
48	BE SILENT	silencieux	61.217	3132
480	PLATE	assiette	38.5	192
486	MINISTER	ministre	34.148	2197
488	MANNER	façon	26.852	1386
496	CUCUMBER	concombre	33.125	794
498	CALF OF LEG	mollet	9.192	2224
502	NAIL (TOOL)	clou	54.667	710
503	FROG	grenouille	69.5	1666
506	MAIZE	maïs	37	2078
507	MELON	melon	26.828	2157
518	SPARK	étincelle	28.571	1330
519	SPOT	tache	24.074	3281
522	WOLF	loup	73.185	2040
539	NEST	nid	34.333	2330
56	BAD LUCK	malheur	36.043	2089
579	BATTLE	bataille	57.897	297
580	FUR	fourrure	16.893	1528
586	GARDEN	jardin	32	1902
587	ANT	fourmi	12.654	1524
590	NAKED	nu	15.192	2349
593	POTATO	pomme de terre	21.917	2657
594	PIECE	morceau	26.704	2246
595	GROUNDNUT (PEANUT)	cacahuète	25.75	459
596	POSTAGE STAMP	timbre	21.741	3351
597	PHYSICIAN	médecin	26.625	2144
598	SHELL	coquillage	52.154	861
60	OAT	avoine	17.714	241
606	GRASS	herbe	26.296	1726
607	GRASSHOPPER	sauterelle	49.654	3052
611	HARVEST	moisson	25.88	2221
614	HILL	colline	30.692	737
615	HORSE	cheval	72.769	644
616	HOSPITAL	hôpital	37.423	1754
620	INSECT	insecte	44.6	1850
625	LAMP	lampe	18.81	1955
627	LEAD (CHEMICAL ELEMENT)	plomb	13.217	2626
629	LEATHER	cuir	36.379	956
630	LIGHT (RADIATION)	lumière	11.577	2051
632	LIZARD	lézard	14.7	1996
633	MARKET	marché	45.88	2114
634	MEAT	viande	32.759	3530
636	MILL	moulin	38.074	2266
637	MOSS	mousse	17.667	2270
638	MOTORCYCLE	moto	81.63	2260
639	MOUNTAIN	montagne	27.478	2234
64	PIN	épingle	17.714	1282
641	MUSHROOM	champignon	26.833	605
645	OCEAN	océan	68.261	2371
655	POISON	poison	12.375	2644
657	PRICE	prix	25.083	2740
658	RAIN (PRECIPITATION)	pluie	83.852	2629
661	RELIGION	religion	46.25	2897
665	BEE	abeille	74	6
666	RIVER	fleuve	61.923	1488
667	ROAD	route	39.25	3006
67	EMBERS	braise	44.429	411
670	ROOT	racine	13.72	2812
671	SAND	sable	45.704	3019
673	SCHOOL	école	49.68	1178
674	MOUTH	bouche	46.208	378
677	AXE	hache	44.857	1701
678	BEARD	barbe	16.095	280
682	SIDE	côté	20.708	886
683	PERSON	personne	39.792	2561
687	NOTHING	rien	19.259	2975
688	LUNG	poumon	43.043	2692
691	SEASON	saison	43.741	3029
704	CLEAN	propre	25.346	2768
710	WHEEL	roue	34.609	3000
714	SEED	semence	17.85	3096
717	SWEET	bonbon	27	363
72	CLAW	griffe	50.087	1668
720	GOOD LUCK	chance	31.818	608
722	ATTACK	attaque	62.926	204
728	FIRST	premier	28.292	2717
73	BEAK	bec	56.6	306
730	SNAKE	serpent	68.261	3117
735	OWL	hibou	69.036	1737
743	END (OF TIME)	fin	29.2	1463
744	EGG	oeuf	37.778	2381
745	SHELF	étagère	8.846	1323
747	BICYCLE	vélo	43.115	3500
753	PUPIL (STUDENT)	élève	37.68	1213
757	BUTTON	bouton	27.143	408
760	KNOT	noeud	11.5	2334
764	SUIT	costume	19.5	883
768	LUNCH	déjeuner	42.962	1011
771	HAT	chapeau	19.852	613
772	BELT	ceinture	25	578
775	TRUMPET	trompette	84.6	3447
781	FEAR (FRIGHT)	crainte	45.414	920
783	VICTORY	victoire	62.348	3533
786	SAILCLOTH	voile	36.25	3568
791	STRANGER	étranger	24.28	1336
794	PEN	stylo	42.552	3238
801	RIB	côte	24.375	885
803	ANKLE	cheville	12.214	647
811	SOUL	âme	18.714	104
812	SLAVE	esclave	39.1	1306
820	LAMB	agneau	50.889	65
823	SORCERER	sorcier	34.536	3175
834	BUTTOCKS	fesse	25	1429
836	SCREWDRIVER	tournevis	22.75	3398
838	REMAINS	reste	22.037	2950
843	SPIDER	araignée	23.75	155
848	THIRST	soif	19.741	3151
850	SQUARE	carré	17.207	549
854	KETTLE	bouilloire	75.429	384
857	STONE	pierre	25.679	2580
859	STOVE	cuisinière	37.615	958
862	SUGAR	sucre	15.76	3245
864	PUMPKIN	citrouille	20	678
868	BANANA	banane	15.08	269
870	BREATH	haleine	27.333	1705
873	TAX	impôt	19.857	1802
877	MASON	maçon	22.192	2066
878	HELL	enfer	41.192	1243
88	BEEHIVE	ruche	60.19	3012
882	PARROT	perroquet	83	2556
89	NATIVE COUNTRY	patrie	24.538	2510
890	MULE	mulet	27	2279
891	TIDE	marée	60.296	2118
894	TOAD	crapaud	60.769	923
899	PRESIDENT	président	23.417	2726
906	TREE	arbre	54	157
908	DRUM	tambour	88.042	3288
910	DEATH	mort	22.519	2250
915	SINK (BASIN)	bassine	37.087	296
917	ORNAMENT	ornement	27.111	2420
919	CHILI PEPPER	piment	27.348	2590
920	GRAPE	raisin	19.125	2823
921	VALLEY	vallée	21.826	3489
922	PEAR	poire	16	2642
924	VEGETABLES	légume	31	1980
933	WALL (OF HOUSE)	mur	18.692	2285
935	WAR	guerre	78.13	1686
936	STALLION	étalon	37.179	1324
937	BIRD	oiseau	74.88	2386
938	MARE	jument	53.348	1923
939	HORN (INSTRUMENT)	cor	20.846	863
942	HONEY	miel	32.167	2190
946	BLOOD	sang	21.45	3040
947	STREAM	ruisseau	71	3015
950	SEAGULL	mouette	70.32	2264
952	WEATHER	météo	50.174	2182
953	RAPE	viol	40.111	3545
954	WELL	puits	24.76	2787
957	WHALE	baleine	51.667	261
962	WOMAN	femme	61	1419
963	BOOK	livre	23.667	2025
964	WOOL	laine	19.963	1948
968	ACORN	gland	10.52	1628
969	CIGARETTE	cigarette	33.85	663
977	ARROW	flèche	22.5	1484
978	WAVE	vague	85.481	3484
980	HEEL	talon	62.739	3285
981	ELBOW	coude	20.72	894
986	TOMATO	tomate	21.478	3365
994	BOW	arc	18.269	159
995	QUIVER (FOR ARROWS)	carquois	18.963	548
999	JOINT	articulation	39.174	179
