CONCEPTICON_ID	CONCEPTICON_GLOSS	POLISH	GERMAN	POLISH_HAPPINESS_MEAN	POLISH_ANGER_MEAN	POLISH_SADNESS_MEAN	POLISH_FEAR_MEAN	POLISH_DISGUST_MEAN	POLISH_HAPPINESS_MEAN_FEMALE	POLISH_ANGER_MEAN_FEMALE	POLISH_SADNESS_MEAN_FEMALE	POLISH_FEAR_MEAN_FEMALE	POLISH_DISGUST_MEAN_FEMALE	POLISH_HAPPINESS_MEAN_MALE	POLISH_ANGER_MEAN_MALE	POLISH_SADNESS_MEAN_MALE	POLISH_FEAR_MEAN_MALE	POLISH_DISGUST_MEAN_MALE	LINE_IN_SOURCE
2783	SCALES (MEASURE INSTRUMENT)	waga	gewicht	1.8077	2.1923	2.2308	2.3077	1.6538	2.0000	2.0000	2.0000	2.0833	1.2500	1.6429	2.3571	2.4286	2.5000	2.0000	2460
2875	RING (MAKE SOUND)	dzwonić	anrufen	3.5926	2.2593	1.8148	2.3333	1.4815	3.9286	2.5000	1.9286	2.5000	1.5000	3.2308	2.0000	1.6923	2.1538	1.4615	418
3084	BLACKBOARD	tablica	tafel	1.8519	2.0370	1.5185	2.5185	1.8889	1.8571	1.8571	1.7857	2.5714	1.5000	1.8462	2.2308	1.2308	2.4615	2.3077	2270
3089	GIRAFFE	żyrafa	giraffe	3.8519	1.2593	1.5926	1.5185	1.2593	4.2143	1.1429	1.3571	1.2143	1.1429	3.4615	1.3846	1.8462	1.8462	1.3846	2900
3090	GUITAR	gitara	gitarre	5.1923	1.7692	2.0385	1.7308	1.3077	5.3077	1.6154	2.6154	1.5385	1.5385	5.0769	1.9231	1.4615	1.9231	1.0769	496
3091	LEMON	cytryna	zitrone	3.8148	1.4074	1.3333	1.2963	1.3333	4.7857	1.4286	1.3571	1.3571	1.5000	2.7692	1.3846	1.3077	1.2308	1.1538	272
3094	PAINTBRUSH	pędzel	pinsel	2.1538	1.2692	1.2308	1.3462	1.2308	2.3333	1.1667	1.2500	1.4167	1.4167	2.0000	1.3571	1.2143	1.2857	1.0714	1493
3096	RACKET	rakieta	rakete	3.1154	1.5769	1.5385	2.7692	1.5000	2.3846	1.6154	1.4615	3.5385	1.6923	3.8462	1.5385	1.6154	2.0000	1.3077	1853
3101	SWING	huśtawka	schaukel	4.8077	1.5769	1.7308	2.0769	1.3846	4.9231	1.7692	2.0000	2.4615	1.5385	4.6923	1.3846	1.4615	1.6923	1.2308	580
3102	TANK	czołg	panzer	2.2963	2.7407	2.8519	3.7778	2.1481	1.7857	2.8571	2.8571	4.0000	2.2143	2.8462	2.6154	2.8462	3.5385	2.0769	290
3122	PAINT (SOMETHING)	malować	malerei	4.6538	1.5000	1.7308	1.3077	1.2692	4.9091	1.5455	1.9091	1.4545	1.1818	4.4667	1.4667	1.6000	1.2000	1.3333	977
3133	TALK (PHONE)	telefonować	anruf	2.8077	2.1154	1.8077	2.5769	1.6154	3.2727	2.1818	1.5455	2.7273	1.2727	2.4667	2.0667	2.0000	2.4667	1.8667	2292
3405	RULER	linijka	lineal	1.8846	1.7308	1.4615	1.4615	1.5769	1.4000	1.6667	1.2667	1.4667	1.6667	2.5455	1.8182	1.7273	1.4545	1.4545	894
3534	BEG	żebrać	betteln	1.0769	3.4615	4.3846	2.9231	3.3846	1.0000	3.5455	4.5455	3.1818	3.4545	1.1333	3.4000	4.2667	2.7333	3.3333	2887
356	SHEARS	nożyczki	schere	1.7692	2.0385	1.6923	3.1923	1.7692	1.6000	1.8667	1.6000	3.4667	1.7333	2.0000	2.2727	1.8182	2.8182	1.8182	1239
3675	ZEBRA	zebra	zebra	3.0769	1.1923	1.3077	1.4615	1.1538	3.1667	1.2500	1.4167	1.5000	1.0000	3.0000	1.1429	1.2143	1.4286	1.2857	2803
496	CUCUMBER	ogórek	gurke	3.2692	1.3846	1.5385	1.3462	1.4615	3.0000	1.1429	1.4286	1.2143	1.2857	3.5833	1.6667	1.6667	1.5000	1.6667	1333
503	FROG	żaba	frosch	2.6154	1.3462	1.1538	1.3462	2.4231	2.9167	1.3333	1.0833	1.1667	2.1667	2.3571	1.3571	1.2143	1.5000	2.6429	2877
55	WHISPER	szeptać	tuscheln	3.1154	1.6538	1.4615	1.8846	1.6154	3.4167	1.5833	1.5000	1.9167	1.2500	2.8571	1.7143	1.4286	1.8571	1.9286	2192
578	KISS	całować	küssen	5.8462	1.1154	1.3077	1.3077	1.1923	5.5000	1.1667	1.3333	1.3333	1.0833	6.1429	1.0714	1.2857	1.2857	1.2857	197
615	HORSE	koń	pferd	3.8462	1.1923	1.4231	1.8462	1.3462	4.1667	1.1667	1.5000	1.9167	1.4167	3.5714	1.2143	1.3571	1.7857	1.2857	768
625	LAMP	lampa	lampe	3.5385	1.5769	1.6154	1.7308	1.3462	3.8667	1.4000	1.4667	1.6000	1.2000	3.0909	1.8182	1.8182	1.9091	1.5455	861
662	BATTERY	bateria	batterie	2.4615	1.7308	1.5385	1.7692	1.5385	1.4286	1.7143	1.5000	1.5714	1.5714	3.6667	1.7500	1.5833	2.0000	1.5000	94
713	STEAL	kraść	stehlen	1.5000	4.3846	4.0385	3.8846	3.8077	1.1333	4.6667	4.1333	4.0000	3.6667	2.0000	4.0000	3.9091	3.7273	4.0000	797
724	READ	czytać	leser	5.0370	1.3333	1.3704	1.1111	1.1111	5.2857	1.0714	1.5000	1.2143	1.0000	4.7692	1.6154	1.2308	1.0000	1.2308	300
735	OWL	sowa	eule	3.5385	1.2692	1.7308	2.5000	1.4615	3.0714	1.1429	1.3571	2.4286	1.1429	4.0833	1.4167	2.1667	2.5833	1.8333	2067
741	DRIVE	kierować	richten	4.5000	1.6923	1.6538	2.5769	1.3077	3.5714	1.7143	1.5714	2.7857	1.2143	5.5833	1.6667	1.7500	2.3333	1.4167	694
772	BELT	pasek	gürtel	1.9259	1.8889	1.7778	2.0741	1.5185	2.2857	2.0714	1.8571	2.0714	1.7143	1.5385	1.6923	1.6923	2.0769	1.3077	1463
787	SAIL	żeglować	segeln	4.1852	1.4444	1.7778	2.5926	1.7778	4.5714	1.5714	1.4286	2.5000	1.9286	3.7692	1.3077	2.1538	2.6923	1.6154	2888
809	TROUSERS	spodnie	hose	3.2222	1.5926	1.4444	1.4074	1.5185	3.9286	1.5000	1.4286	1.5000	1.6429	2.4615	1.6923	1.4615	1.3077	1.3846	2081
846	TIGER	tygrys	tiger	2.9615	1.1923	1.3462	3.8077	1.2692	2.8333	1.1667	1.1667	3.7500	1.2500	3.0714	1.2143	1.5000	3.8571	1.2857	2369
908	DRUM	bęben	trommel	3.2308	1.6923	1.1154	1.4231	1.1154	3.0000	2.0909	1.2727	1.6364	1.2727	3.4000	1.4000	1.0000	1.2667	1.0000	119
937	BIRD	ptak	vogel	4.9615	1.6154	1.5000	1.2308	1.4615	5.4286	1.2143	1.1429	1.2143	1.5000	4.4167	2.0833	1.9167	1.2500	1.4167	1826
978	WAVE	fala	welle	3.5385	1.6154	1.5769	2.8077	1.2692	3.5833	1.5000	1.7500	2.9167	1.1667	3.5000	1.7143	1.4286	2.7143	1.3571	444
