CONCEPTICON_ID	CONCEPTICON_GLOSS	GERMAN	GERMAN_FREQUENCY	GERMAN_SUBTITLE_FREQUENCY	GERMAN_FREQUENCY_LOG	LINE_IN_SOURCE
658	RAIN (PRECIPITATION)	Regen	948	40.2800	3.0100	1828
662	BATTERY	Batterie	170	6.8500	2.2430	7243
663	BAY	Bucht	149	6.1800	2.1990	7845
665	BEE	Biene	120	4.7600	2.0860	9506
666	RIVER	Fluss	1049	47.9900	3.0860	1595
667	ROAD	Straße	2813	124.8100	3.5010	737
670	ROOT	Wurtzel	2	0.0800	0.4770	112885
671	SAND	Sand	525	21.1800	2.7320	3069
674	MOUTH	Mund	2690	106.5400	3.4320	834
677	AXE	Axt	175	6.9300	2.2480	7176
678	BEARD	Bart	1739	69.3300	3.2460	1164
679	BRIGHT	hell	336	15.9100	2.6070	3810
680	BREAK (DESTROY OR GET DESTROYED)	brechen	1055	44.6500	3.0550	1687
681	DESTROY	zerstören	1424	58.7000	3.1740	1343
682	SIDE	Seite	5551	220.5200	3.7480	476
683	PERSON	Mensch	4493	177.6400	3.6540	578
684	OWN	besitzen	414	17.2100	2.6410	3587
686	EASY	einfach	28915	1189.0600	4.4800	118
687	NOTHING	nichts	41310	1913.3800	4.6870	77
689	BETWEEN	zwischen	4661	198.8300	3.7030	530
692	BRING	bringen	9172	409.7400	4.0170	275
694	GET	bekommen	7231	286.7000	3.8620	377
696	STIR	umrühren	8	0.3500	1.0000	51543
699	SAD	traurig	1560	65.6300	3.2220	1216
7	GATHER	sammeln	425	18.3900	2.6700	3396
700	CARRY	tragen	2741	113.5500	3.4600	791
701	SLOW	langsam	2953	147.3300	3.5730	646
702	CATCH	fangen	1551	82.2900	3.3200	1010
703	SOON	bald	5903	268.1600	3.8330	397
704	CLEAN	sauber	1560	67.2100	3.2320	1194
706	DARK	dunkel	693	33.9000	2.9360	2112
709	TEACH	lehren	193	10.1600	2.4130	5345
712	RICH	reich	1049	61.5800	3.1950	1301
713	STEAL	stehlen	951	41.4200	3.0220	1787
714	SEED	Samen	168	6.6100	2.2280	7451
715	SHOUT	schreien	833	42.9200	3.0380	1736
717	SWEET	süß	1768	80.5500	3.3110	1029
718	PAY	zahlen	1408	86.3000	3.3410	975
719	FIND	finden	12513	517.8200	4.1190	232
72	CLAW	Klaue	35	2.4800	1.8060	14995
721	LOW	unten	4312	179.8900	3.6600	571
723	PLACE (POSITION)	Ort	5185	205.6000	3.7180	518
724	READ	lesen	2016	96.6200	3.3900	902
728	FIRST	erster	1012	55.4700	3.1490	1418
730	SNAKE	Schlange	749	29.8400	2.8800	2323
732	YOUR (SINGULAR)	dein	19661	1048.7000	4.4250	136
734	MAKE	machen	35975	1531.3600	4.5900	92
735	OWL	Eule	117	4.6900	2.0790	9632
737	LIGHT (IGNITE)	anzünden	134	6.0200	2.1880	8013
738	THING	Sache	8712	345.3300	3.9430	319
739	FEED	füttern	236	10.3900	2.4230	5246
740	SHIP	Schiff	3723	147.2500	3.5730	647
741	DRIVE	lenken	146	6.1000	2.1930	7958
743	END (OF TIME)	Ende	7431	301.7800	3.8850	358
744	EGG	Ey	227	11.0600	2.4500	4980
745	SHELF	Regal	116	4.5700	2.0680	9841
746	SHOP	Laden	2194	97.4800	3.3940	895
747	BICYCLE	Fahrrad	345	13.6200	2.5400	4291
749	ENTER	hineingehen	64	2.5200	1.8130	14854
757	BUTTON	Knopf	566	22.4000	2.7560	2948
758	HERON	Reiher	3	0.1200	0.6020	99211
759	SILVER	Silber	188	7.7600	2.2970	6604
760	KNOT	Knoten	217	8.9400	2.3580	5923
761	COVER	bedecken	62	2.5600	1.8200	14729
763	SKIN	Haut	1301	65.4800	3.2210	1220
769	ROOF	Dach	1230	48.7800	3.0930	1567
771	HAT	Hut	1152	45.9100	3.0670	1649
772	BELT	Gürtel	219	8.6600	2.3440	6060
775	TRUMPET	Trompete	55	2.2400	1.7630	16079
777	FLUTE	Flöte	139	5.4700	2.1460	8560
778	SMOKE (EXHAUST)	Rauch	494	21.4600	2.7370	3039
779	PART	Teil	4732	194.8900	3.6950	540
78	THAT	das	326943	20313.2800	5.7130	3
780	OUR	unser	8409	433.9900	4.0420	265
783	VICTORY	Sieg	929	37.4400	2.9790	1935
784	SNOW	Schnee	601	23.8200	2.7820	2809
785	STRONG	stark	2582	121.5400	3.4900	754
787	SAIL	segeln	119	6.6100	2.2280	7445
789	PEOPLE	Leute	20021	794.1700	4.3050	167
790	READY	fertig	8031	361.9000	3.9630	304
794	PEN	Stift	400	15.7500	2.6030	3841
800	THIGH	Oberschenkel	48	1.8900	1.6900	18138
806	BLANKET	Decke	553	23.7400	2.7810	2816
809	TROUSERS	Hose	1022	40.4000	3.0120	1826
811	SOUL	Seele	1946	76.9700	3.2910	1074
812	SLAVE	Knecht	46	2.0100	1.7160	17453
813	DO	tun	33788	1386.6700	4.5470	104
816	HALF	Hälfte	1345	53.6200	3.1340	1452
817	THEY	Sie	366870	22310.2100	5.7530	2
819	STOMACH	Magen	568	22.4000	2.7560	2951
828	RACCOON	Waschbär	37	1.4600	1.5800	21397
832	BEAN	Bohnen	245	9.6900	2.3930	5544
833	ENDURE	ertragen	698	27.6400	2.8470	2499
836	SCREWDRIVER	Schraubenzieher	51	2.0500	1.7240	17069
837	BLUE	blau	435	26.8500	2.8340	2550
843	SPIDER	Spinne	151	7.7200	2.2940	6616
844	KIND (THING)	Art	6711	267.6900	3.8330	398
846	TIGER	Tiger	437	17.2400	2.6420	3580
849	SPRING (OF WATER)	Quelle	644	25.4700	2.8120	2658
854	KETTLE	Kessel	77	3.0300	1.8920	13116
855	SEIZE	ergreifen	215	8.6200	2.3420	6091
857	STONE	Stein	1108	43.8200	3.0470	1711
858	STORM	Sturm	557	21.9700	2.7470	2985
859	STOVE	Ofen	244	9.9200	2.4030	5443
861	JUDGE	Richter	873	35.2000	2.9520	2032
863	EDGE	Kante	71	2.8000	1.8570	13871
864	PUMPKIN	Kürbis	93	3.6600	1.9730	11467
866	WIN	siegen	179	8.5000	2.3360	6164
867	GLOVE	Handschuh	117	4.6900	2.0790	9627
868	BANANA	Banane	119	4.6900	2.0790	9628
870	BREATH	Atem	434	17.1300	2.6390	3599
875	SHOEMAKER	Schuster	15	0.7100	1.2790	34676
877	MASON	Maurer	9	0.3500	1.0000	53150
881	TAILOR	Schneider	241	9.5700	2.3870	5613
882	PARROT	Papagei	97	3.9000	2.0000	10983
886	PARAKEET	Sittich	4	0.1600	0.6990	81003
887	BITTER	bitter	127	5.7500	2.1670	8291
889	FLAME	Flamme	150	5.9100	2.1790	8131
892	TIME	Zeit	26937	1071.1800	4.4350	134
893	TIN (METAL)	Zinn	6	0.2400	0.8450	67641
894	TOAD	Kröte	53	2.1700	1.7480	16440
897	SWALLOW	schlucken	182	8.5800	2.3400	6104
900	TRAIN	Zug	1867	74.3300	3.2760	1108
904	BERRY	Beere	12	0.4700	1.1140	43336
906	TREE	Baum	1018	40.2400	3.0100	1829
908	DRUM	Trommel	62	2.4400	1.7990	15207
910	DEATH	Tod	5199	207.4100	3.7220	509
912	COYOTE	Coyote	26	1.0600	1.4470	26210
913	CROW	Krähe	40	1.5700	1.6130	20399
919	CHILI PEPPER	Chilischote	4	0.1600	0.6990	79423
92	SPOIL (SOMEBODY OR SOMETHING)	verderben	207	11.1400	2.4530	4950
920	GRAPE	Weintraube	7	0.2800	0.9030	58863
921	VALLEY	Thal	1	0.0400	0.3010	187212
922	PEAR	Birne	150	5.9100	2.1790	8123
923	LOVE	lieben	3157	136.0300	3.5390	682
928	EMBRACE	umarmen	260	11.1400	2.4530	4940
93	DRAW MILK	melken	31	1.3800	1.5560	22301
930	VILLAGE	Dorf	1282	51.1000	3.1140	1513
933	WALL (OF HOUSE)	Wand	1184	47.2500	3.0800	1612
934	BUFFALO	Büffel	37	1.4600	1.5800	21483
935	WAR	Krieg	4064	201.4600	3.7090	524
937	BIRD	Vogel	995	39.2900	3.0000	1867
942	HONEY	Honig	169	6.8100	2.2410	7272
944	SALMON	Lachs	88	3.5000	1.9540	11845
946	BLOOD	Blut	4170	164.6500	3.6210	605
948	WATER	Wasser	5611	222.5300	3.7520	471
950	SEAGULL	Möwe	23	0.9100	1.3800	29197
952	WEATHER	Wetter	617	24.4100	2.7930	2748
954	WELL	Brunnen	248	9.7600	2.3960	5505
956	FLEE	fliehen	776	31.8500	2.9080	2207
957	WHALE	Wal	151	6.0200	2.1880	8023
96	CRAWL	krabbeln	23	1.1800	1.4910	24568
960	WIND	Wind	1294	52.0500	3.1220	1486
962	WOMAN	Frau	21600	857.3600	4.3380	160
963	BOOK	Buch	3038	120.5200	3.4860	757
965	WORLD	Welt	11980	475.0600	4.0820	246
97	THROUGH	durch	15113	650.6900	4.2180	184
972	BE ABLE	können	33390	1497.5000	4.5800	95
974	TOBACCO	Tabak	131	5.2400	2.1270	8861
975	SPINACH	Spinat	43	1.6900	1.6430	19460
977	ARROW	Pfeil	252	10.0400	2.4080	5395
978	WAVE	Wellen	233	9.3300	2.3770	5712
979	FARMER	Bauer	1889	74.8800	3.2790	1099
98	ALL	alle	30011	1473.2500	4.5730	96
980	HEEL	Ferse	27	1.0600	1.4470	26471
981	ELBOW	Ellenbogen	26	1.0200	1.4310	27228
982	LIME (FRUIT)	Limette	5	0.2000	0.7780	69528
984	WORK (LABOUR)	Arbeit	9601	381.0800	3.9860	290
986	TOMATO	Tomate	50	1.9700	1.7080	17584
987	REMAIN	bleiben	9767	439.1100	4.0470	263
991	FRY	braten	76	6.0200	2.1880	8016
994	BOW	Bogen	187	7.7600	2.2970	6606
996	DEAF	taub	430	20.5100	2.7180	3132
