CONCEPTICON_ID	CONCEPTICON_GLOSS	CHINESE	CHINESE_FREQUENCY	CHINESE_FREQUENCY_LOG	CHINESE_FREQUENCY_PM	CHINESE_CD	CHINESE_CD_LOG	CHINESE_CD_PERCENTAGE	LINE_IN_SOURCE
1251	BELLY	腹	175.0	2.243	5.22	120.0	2.0792	1.92	8166
1252	HOUSE	房	2417.0	3.3833	72.05	1458.0	3.1638	23.35	1203
1253	RAIN (RAINING)	下雨	250.0	2.3979	7.45	195.0	2.29	3.12	6507
1255	SNOWING	下雪	171.0	2.233	5.1	124.0	2.0934	1.99	8266
1256	HEAD	头	11582.0	4.0638	345.25	4379.0	3.6414	70.14	307
1257	WING	翼	172.0	2.2355	5.13	94.0	1.9731	1.51	8251
1258	FINGERNAIL	指甲	559.0	2.7474	16.66	367.0	2.5647	5.88	3723
1260	DAY (24 HOURS)	日子	3136.0	3.4964	93.48	2016.0	3.3045	32.29	971
1261	SING	歌唱	396.0	2.5977	11.8	244.0	2.3874	3.91	4761
1262	BROTHER	兄弟	8631.0	3.9361	257.28	2717.0	3.4341	43.52	400
1264	CHANGE	变	10580.0	4.0245	315.38	4291.0	3.6326	68.73	334
1265	HIGH	高	7415.0	3.8701	221.04	3480.0	3.5416	55.74	454
1266	BRIDE	新娘	885.0	2.9469	26.38	402.0	2.6042	6.44	2638
1267	NARROW	窄	106.0	2.0253	3.16	96.0	1.9823	1.54	11030
1269	NO	不是	376.0	2.5752	11.21	342.0	2.534	5.48	4942
127	EXTINGUISH	熄灭	140.0	2.1461	4.17	118.0	2.0719	1.89	9364
1273	CANDLE	蜡烛	513.0	2.7101	15.29	321.0	2.5065	5.14	3983
1274	SALT	盐	427.0	2.6304	12.73	270.0	2.4314	4.32	4519
1275	ANSWER	回答	4070.0	3.6096	121.32	2298.0	3.3614	36.81	769
1276	AUTUMN	秋	134.0	2.1271	3.99	72.0	1.8573	1.15	9644
1277	HAND	手	15010.0	4.1764	447.44	4720.0	3.6739	75.6	252
1278	VOMIT	呕吐	393.0	2.5944	11.72	280.0	2.4472	4.49	4793
1279	FAT (OBESE)	肥	952.0	2.9786	28.38	530.0	2.7243	8.49	2505
1280	FALL	倒塌	121.0	2.0828	3.61	84.0	1.9243	1.35	10259
1281	PRISON	监狱	4671.0	3.6694	139.24	1775.0	3.2492	28.43	685
1282	FAT (FROM ANIMALS)	动物油	3.0	0.4771	0.09	2.0	0.301	0.03	53259
1283	TODAY	今天	24750.0	4.3936	737.78	5484.0	3.7391	87.84	174
1284	BANK	银行	3003.0	3.4776	89.52	1019.0	3.0082	16.32	1003
1286	HOT	热水	221.0	2.3444	6.59	172.0	2.2355	2.76	7080
1287	COLD	冷	2343.0	3.3698	69.84	1393.0	3.144	22.31	1231
1289	BABY	婴儿	1409.0	3.1489	42.0	759.0	2.8802	12.16	1850
1290	ELEPHANT	大象	416.0	2.6191	12.4	185.0	2.2672	2.96	4605
1291	BACK	后背	263.0	2.42	7.84	197.0	2.2945	3.16	6278
1292	BAD	坏	7842.0	3.8944	233.76	3720.0	3.5705	59.59	433
1293	MISTAKE	错误	3979.0	3.5998	118.61	2284.0	3.3587	36.58	787
1294	ZERO	零	579.0	2.7627	17.26	438.0	2.6415	7.02	3623
1295	STICK	棍	244.0	2.3874	7.27	172.0	2.2355	2.76	6631
1296	WALKING STICK	拐杖	161.0	2.2068	4.8	121.0	2.0828	1.94	8597
1297	LEG	腿	3747.0	3.5737	111.7	1873.0	3.2725	30.0	840
1299	COFFEE	咖啡	4195.0	3.6227	125.05	1928.0	3.2851	30.88	746
1300	COUNTRY	国家	5576.0	3.7463	166.22	2041.0	3.3098	32.69	587
1301	FOOT	脚	3836.0	3.5839	114.35	2058.0	3.3134	32.96	813
1302	FORK	叉	212.0	2.3263	6.32	154.0	2.1875	2.47	7266
1303	FINGER	手指甲	26.0	1.415	0.78	22.0	1.3424	0.35	23584
1304	CHILD (YOUNG HUMAN)	小孩子	633.0	2.8014	18.87	508.0	2.7059	8.14	3387
1305	CHIMNEY	烟囱	111.0	2.0453	3.31	76.0	1.8808	1.22	10783
1307	LANGUAGE	语言	1099.0	3.041	32.76	745.0	2.8722	11.93	2238
1308	DOUBT	疑虑	118.0	2.0719	3.52	103.0	2.0128	1.65	10397
1309	ASK (INQUIRE)	问	20455.0	4.3108	609.75	5286.0	3.7231	84.67	201
131	FESTIVAL	节日	570.0	2.7559	16.99	261.0	2.4166	4.18	3670
1310	CLEVER	聪明	4415.0	3.6449	131.61	2503.0	3.3985	40.09	715
1311	VERY	很	200584.0	5.3023	5979.28	6239.0	3.7951	99.94	22
1312	FOX	狐狸	288.0	2.4594	8.59	112.0	2.0492	1.79	5900
1313	MOON	月亮	429.0	2.6325	12.79	251.0	2.3997	4.02	4508
1318	CHICKEN	鸡	2931.0	3.467	87.37	1061.0	3.0257	17.0	1024
1320	APPLE	苹果	766.0	2.8842	22.83	446.0	2.6493	7.14	2939
1321	BOTTLE	瓶子	502.0	2.7007	14.96	323.0	2.5092	5.17	4048
1322	BREAKFAST	早饭	486.0	2.6866	14.49	394.0	2.5955	6.31	4128
1325	FRIEND	朋友	26017.0	4.4153	775.55	5439.0	3.7355	87.12	166
1329	TOMORROW	明天	10108.0	4.0047	301.31	3900.0	3.5911	62.47	352
133	WEAVE	编织	72.0	1.8573	2.15	56.0	1.7482	0.9	13842
1330	DEFEND	守卫	438.0	2.6415	13.06	268.0	2.4281	4.29	4439
1331	SHEEP	绵羊	91.0	1.959	2.71	71.0	1.8513	1.14	12142
1332	NEIGHBOUR	邻居	1803.0	3.256	53.75	1102.0	3.0422	17.65	1521
1333	NECK	颈	424.0	2.6274	12.64	277.0	2.4425	4.44	4554
1334	GUTS	肠	213.0	2.3284	6.35	154.0	2.1875	2.47	7240
1335	WHITE	白	2684.0	3.4288	80.01	1565.0	3.1945	25.07	1105
1336	EAT	食	988.0	2.9948	29.45	599.0	2.7774	9.59	2444
1337	PIG	猪	2011.0	3.3034	59.95	864.0	2.9365	13.84	1403
1339	MORNING	早晨	1028.0	3.012	30.64	719.0	2.8567	11.52	2366
1342	SUMMER	夏	359.0	2.5551	10.7	134.0	2.1271	2.15	5082
1343	SUN	日	4114.0	3.6143	122.64	1859.0	3.2693	29.78	761
1346	THROAT	喉咙	615.0	2.7889	18.33	477.0	2.6785	7.64	3462
1350	MONKEY	猴子	891.0	2.9499	26.56	413.0	2.616	6.62	2620
1351	SOW (FEMALE PIG)	母猪	11.0	1.0414	0.33	9.0	0.9542	0.14	34456
1352	KNIFE	刀	2741.0	3.4379	81.71	1226.0	3.0885	19.64	1091
1355	LAUGH	笑	6628.0	3.8214	197.58	2831.0	3.4519	45.35	504
1357	DAUGHTER	闺女	25.0	1.3979	0.75	23.0	1.3617	0.37	24342
1358	ENEMY	仇人	73.0	1.8633	2.18	54.0	1.7324	0.86	13806
1359	SEPARATE	分离	464.0	2.6665	13.83	339.0	2.5302	5.43	4258
136	HERE	这里	53900.0	4.7316	1606.72	5879.0	3.7693	94.17	76
1360	DUCK	鸭	213.0	2.3284	6.35	120.0	2.0792	1.92	7257
1361	TOOL	工具	1045.0	3.0191	31.15	753.0	2.8768	12.06	2330
1362	STREET	街	3219.0	3.5077	95.96	1633.0	3.213	26.16	956
1365	KITCHEN	厨房	1623.0	3.2103	48.38	1054.0	3.0228	16.88	1665
1366	BOY	男孩子	295.0	2.4698	8.79	235.0	2.3711	3.76	5816
1367	CROSS	越过	235.0	2.3711	7.01	198.0	2.2967	3.17	6807
1369	GOLD	黄金	635.0	2.8028	18.93	301.0	2.4786	4.82	3382
1370	MONTH	月	12253.0	4.0882	365.25	4113.0	3.6142	65.88	291
1371	KNEE	膝	169.0	2.2279	5.04	126.0	2.1004	2.02	8342
1372	MEDICINE	药	4788.0	3.6802	142.73	1926.0	3.2847	30.85	674
1373	TEA	茶	1245.0	3.0952	37.11	728.0	2.8621	11.66	2028
1374	RING	戒指	1582.0	3.1992	47.16	641.0	2.8069	10.27	1697
1375	WINDOW	窗户	1367.0	3.1358	40.75	891.0	2.9499	14.27	1901
1376	NOW	现在	88120.0	4.9451	2626.8	6227.0	3.7943	99.74	56
1378	SPOON	勺子	153.0	2.1847	4.56	109.0	2.0374	1.75	8887
138	BATHE	洗澡	948.0	2.9768	28.26	677.0	2.8306	10.84	2512
1380	TOOTH	牙	1221.0	3.0867	36.4	717.0	2.8555	11.48	2057
1381	SHOE	鞋子	1183.0	3.073	35.26	688.0	2.8376	11.02	2117
1382	NEEDLE (FOR SEWING)	針	7.0	0.8451	0.21	1.0	0.0	0.02	42002
1383	GRANDFATHER	爷爷	1625.0	3.2109	48.44	550.0	2.7404	8.81	1662
1384	SECOND	第二	6379.0	3.8048	190.15	3336.0	3.5232	53.44	527
1386	LION	狮子	428.0	2.6314	12.76	209.0	2.3201	3.35	4512
1387	ARRIVE	到达	1917.0	3.2826	57.14	1076.0	3.0318	17.24	1450
1388	SHADE	影子	342.0	2.534	10.19	256.0	2.4082	4.1	5239
139	GUMS	牙龈	24.0	1.3802	0.72	20.0	1.301	0.32	24817
1390	WRONG	错	36166.0	4.5583	1078.09	5950.0	3.7745	95.31	122
1391	TOWN	城	2428.0	3.3852	72.38	1234.0	3.0913	19.77	1198
1392	LOUSE	虱	32.0	1.5051	0.95	20.0	1.301	0.32	21340
1393	HORN (ANATOMY)	犄角	14.0	1.1461	0.42	12.0	1.0792	0.19	31589
1394	BONE	骨	782.0	2.8932	23.31	473.0	2.6749	7.58	2904
1395	ROUND	圆	716.0	2.8549	21.34	401.0	2.6031	6.42	3081
1396	SHARP	锋利	152.0	2.1818	4.53	127.0	2.1038	2.03	8908
1398	DRY	干枯	29.0	1.4624	0.86	25.0	1.3979	0.4	22724
1399	CLAY	黏土	10.0	1.0	0.3	5.0	0.699	0.08	35940
140	PADDY FIELD	稻田	22.0	1.3424	0.66	11.0	1.0414	0.18	25840
1400	THIN (SLIM)	痩	4.0	0.6021	0.12	3.0	0.4771	0.05	50632
1401	DRINK	喝	14004.0	4.1463	417.45	4206.0	3.6239	67.37	264
1402	BREAST	乳房	310.0	2.4914	9.24	185.0	2.2672	2.96	5635
1403	BITE	咬	2304.0	3.3625	68.68	1158.0	3.0637	18.55	1252
1404	STRAIGHT	直	1762.0	3.246	52.52	1092.0	3.0382	17.49	1552
1405	NAME	名	9950.0	3.9978	296.6	3522.0	3.5468	56.42	362
1406	FAR	元	1945.0	3.2889	57.98	791.0	2.8982	12.67	1434
1407	BREATHE	呼吸	2435.0	3.3865	72.59	1375.0	3.1383	22.02	1195
1408	HEAR	听见	2592.0	3.4136	77.27	1602.0	3.2047	25.66	1129
1409	SEE	见	29340.0	4.4675	874.61	5856.0	3.7676	93.8	147
141	BURN (SOMETHING)	焚烧	73.0	1.8633	2.18	63.0	1.7993	1.01	13751
1410	KNOW (SOMETHING)	知道	196745.0	5.2939	5864.84	6238.0	3.795	99.92	23
1411	LIE (REST)	趟	1519.0	3.1816	45.28	1172.0	3.0689	18.77	1755
1412	RUDE	蛮横	23.0	1.3617	0.69	22.0	1.3424	0.35	25170
1413	PLAY	玩儿	485.0	2.6857	14.46	258.0	2.4116	4.13	4130
1414	SQUEEZE	掐	382.0	2.5821	11.39	305.0	2.4843	4.89	4891
1415	THINK (REFLECT)	思考	1214.0	3.0842	36.19	889.0	2.9489	14.24	2073
1416	SIT	坐	14204.0	4.1524	423.41	4706.0	3.6727	75.38	261
1417	KILL	殺	3.0	0.4771	0.09	2.0	0.301	0.03	56300
1418	DIG	掘	155.0	2.1903	4.62	50.0	1.699	0.8	8780
1419	FEAR (BE AFRAID)	害怕	6346.0	3.8025	189.17	3009.0	3.4784	48.2	529
142	RETURN HOME	回归	447.0	2.6503	13.32	344.0	2.5366	5.51	4369
1420	COUNT	数	2707.0	3.4325	80.69	1634.0	3.2133	26.17	1101
1421	SUCK	啜	16.0	1.2041	0.48	13.0	1.1139	0.21	29903
1422	BE ALIVE	活	11509.0	4.061	343.08	4038.0	3.6062	64.68	311
1423	FIGHT	斗	837.0	2.9227	24.95	423.0	2.6263	6.78	2761
1424	YELLOW	黃	1.0	0.0	0.03	1.0	0.0	0.02	77037
1425	GREEN	绿	749.0	2.8745	22.33	437.0	2.6405	7.0	2978
1426	EXPENSIVE	贵	959.0	2.9818	28.59	707.0	2.8494	11.32	2489
1427	BEAUTIFUL	美	7200.0	3.8573	214.63	2722.0	3.4349	43.6	462
1429	FULL	满	3311.0	3.52	98.7	2194.0	3.3412	35.14	938
1430	STAR	星	2250.0	3.3522	67.07	818.0	2.9128	13.1	1269
1431	FREEZE	结冰	65.0	1.8129	1.94	44.0	1.6435	0.7	14750
1432	CUT	割	877.0	2.943	26.14	551.0	2.7412	8.83	2669
1434	STAB	扎	656.0	2.8169	19.55	434.0	2.6375	6.95	3290
1435	HUNT	追赶	127.0	2.1038	3.79	110.0	2.0414	1.76	9919
1436	SCRATCH	搔	32.0	1.5051	0.95	25.0	1.3979	0.4	21390
1437	SPLIT	劈	157.0	2.1959	4.68	120.0	2.0792	1.92	8724
1438	FOOL	傻子	766.0	2.8842	22.83	562.0	2.7497	9.0	2942
1439	SWIM	游	999.0	2.9996	29.78	583.0	2.7657	9.34	2419
1440	SPIT	吐	1911.0	3.2813	56.97	1139.0	3.0565	18.24	1458
