ID,ENG 1,ENG 2,PoS,ARA 1,ARA 2,CMN 1,CMN 2,CYM 1,CYM 2,EST 1,EST 2,FIN 1,FIN 2,FRA 1,FRA 2,HEB 1,HEB 2,POL 1,POL 2,RUS 1,RUS 2,SPA 1,SPA 2,SWA 1,SWA 2,YUE 1,YUE 2,scores 1,scores 2,translation 1,translation 2
11,gun,trick,nouns,بندقية,خدعة,枪,戏法,gwn,tric,relv,trikk,ase,temppu,coup,ruse,אקדח,תעלול,pistolet,trik,ружье,шалость,pistola,truco,bunduki,mbinu,槍,戲法,gun,trick,gun,trick
12,size,magnitude,nouns,حجم,مقدار,大小,量,maint,anferthedd,suurus,ulatus,koko,suuruus,taille,magnitude,מידה,גודל,rozmiar,wielkość,размер,величина,tamaño,magnitud,saizi,ukubwa,大小,量,size,magnitude,size,magnitude
13,ball,glove,nouns,كرة,قفاز,球,手套,pêl,maneg,ball,kinnas,pallo,hanska,balle,gant,כדור,כפפה,piłka,rękawica,мяч,перчатка,pelota,guante,mpira,glavu,球,手套,ball,glove,ball,glove
14,sheep,cattle,nouns,خروف,بقرة,羊,牛,dafad,gwartheg,lammas,kari,lammas,karja,mouton,bétail,כבש,בקר,owca,bydło,овца,скот,oveja,ganado,kondoo,mifugo,羊,牛,sheep,cattle,sheep,cattle
15,lizard,crocodile,nouns,سحليّة,تمساح,蜥蜴,鳄鱼,madfall,crocodeil,sisalik,krokodill,lisko,krokotiili,lézard,crocodile,לטאה,תנין,jaszczurka,krokodyl,ящерица,крокодил,lagartija,cocodrilo,mamba,mjusi,蜥蜴,鱷魚,lizard,crocodile,lizard,crocodile
16,friend,guest,nouns,صديق,ضيف,朋友,宾客,ffrind,gwestai,sõber,külaline,ystävä,vieras,ami,invité,חבר,אורח,przyjaciel,gość,друг,гость,amigo,huésped,rafiki,mgeni,朋友,賓客,friend,guest,friend,guest
17,birthday,date,nouns,عيد ميلاد,تاريخ,生日,日期,pen-blwydd,dyddiad,sünnipäev,kuupäev,syntymäpäivä,päivämäärä,date,anniversaire,יום הולדת,תאריך,urodziny,data,юбилей ,дата,cumpleaños,cita,siku ya kuzaliwa,tarehe,生日,日期,birthday,date,birthday,date
18,car,cab,nouns,سيارة,سيارة اجرة,车,出租车,car,cab,autor,takso,auto,taksi,voiture,taxi,מכונית,מונית,samochód,taksówka,автомобиль,такси,coche,taxi,gari,teksi,車,的士,car,cab,car,cab
19,bone,teeth,nouns,عظم,أسنان,骨头,牙齿,asgwrn,dannedd,luu,hambad,luu,hampaat,os,dent,עצם,שיניים,kość,zęby,кость,зубы,hueso,dientes,mfupa,meno,骨頭,牙齒,bone,teeth,bone,teeth
20,umbrella,heater,nouns,مظلة,سخان,伞,暖炉,ymbarél,gwresogydd,vihmavari,küttekeha,sateenvarjo,lämmitin,parapluie,radiateur,מטרייה,תנור חימום,parasol,grzejnik,зонтик,нагреватель,paraguas,calentador,kipasha joto,mwamvuli,遮,暖爐,umbrella,heater,umbrella,heater
21,frustration,anger,nouns,إحباط,غضب,懊恼,愤怒,rhwystredigaeth,dicter,pettumus,viha,turhautuminen,viha,frustration,colère,תסכול,כעס,frustracja,gniew,досада,злость,frustración,enfado,usumbufu,hasira,懊惱,憤怒,frustration,anger,frustration,anger
22,asset,stock,nouns,أصول,سهم,资产,股票,ased,stoc,vara,aktsia,etu,varasto,actif,action,נכס,מנייה,atut,akcje,актив,акции,activo,valores,akiba,mali,資產,股票,asset,stock,asset,stock
23,action,course,nouns,عمل,مسار,行动,课程,gweithred,cwrs,tegu,suund,toiminta,kurssi,action,cours,פעולה,דרך,akcja,bieg,действие,курс,acción,curso,tendo,mwendo,行動,課程,action,course,action,course
24,celebration,ceremony,nouns,احتفال,مراسم,庆祝,仪式,dathliad,seremoni,pidustus,tseremoonia,juhla,seremonia,célébration,cérémonie,חגיגה,טקס,uroczystość,ceremonia,праздник,церемония,celebracion,ceremonia,sherehe,maadhimisho,慶祝,儀式,celebration,ceremony,celebration,ceremony
25,essay,homework,nouns,مقالة,وظيفة,文章,功课,traethawd,gwaith cartref,essee,kodutöö,essee,läksyt,dissertation,devoir,חיבור,שיעורי בית,esej,praca domowa,сочинение,домашнее задание,ensayo,tarea,kazi ya ziada,insha,文章,功課,essay,homework,essay,homework
26,circumnavigation,baggage,nouns,ملاحة دورانية,أمتعة,环球航行,行李,cylchfordaith,bagiau,ümbermaailmareis,pagas,kiertäminen,matkatavarat,circumnavigation,bagage,הקפת כדור הארץ,מטען,opłynięcie,bagaż,кругосветное плавание,багаж,circunnavegación,equipaje,mzigo,mzunguko,環球航行,行李,circumnavigation,baggage,circumnavigation,baggage
27,mob,crowd,nouns,حشد,جمهور,暴民,人群,mob,torf,rahvasumm,rahvahulk,joukkio,väkijoukko,attroupement,foule,המון,קהל,motłoch,tłum,орава,толпа,populacho,multitud,kikundi,umati,暴民,人群,mob,crowd,mob,crowd
28,shoulder,head,nouns,كتف,رأس,肩,头,ysgwydd,pen,õlg,pea,olkapää,pää,épaule,tête,כתף,ראש,bark,głowa,плечо,голова,hombro,cabeza,bega,kichwa,肩,頭,shoulder,head,shoulder,head
29,archer,pathfinder,nouns,رامي السهام,مستكشف,射手,探路者,saethydd,arloeswr,vibukütt,rajaleidja,jousiampuja,tienraivaaja,archer,éclaireur,קשת,גשש,łucznik,zwiadowca,лучник,следопыт,arquero,pionero,njia,mpiga mishale,射手,探路者,archer,pathfinder,archer,pathfinder
30,myth,satire,nouns,أسطورة,هجاء,神话,讽刺,chwedl,dychan,müüt,satiir,myytti,satiiri,mythe,satire,מיתוס,סאטירה,mit,satyra,миф,сатира,mito,sátira,satire,hadithi,神話,諷刺,myth,satire,myth,satire
31,winner,candidate,nouns,فائز,مرشح,获胜者,候选人,enillydd,ymgeisydd,võitja,kandidaat,voittaja,ehdokas,vainqueur,candidat,מנצח,מועמד,zwycięzca,kandydat,победитель,кандидат,ganador,candidato,mshindi,mgombea wa uchaguzi,獲勝者,候選人,winner,candidate,winner,candidate
32,combat,belligerence,nouns,قتال,عداء,战斗,好斗,brwydr,rhyfelgarwch,lahing,sõjakus,taistelu,sotaisuus,combat,belligérance,קרב,לוחמנות,walka,wojowniczość,бой,воинственность,combate,beligerancia,ubishani,pambano,戰鬥,好鬥,combat,belligerence,combat,belligerence
33,door,gate,nouns,باب,بوابة,门,大门,drws,gât,uks,värav,ovi,portti,porte,portail,דלת,שער,drzwi,brama,дверь,ворота,puerta,portón,mlango,lango,門,大門,door,gate,door,gate
34,bowling,bowler,nouns,البولينغ,لاعب البولينغ,保龄,保龄球选手,bowlio,bowliwr,keegel,keeglimängija,keilaaminen,keilaaja,bowling,lanceur,באולינג,שחקן כדורת,kręglarstwo,kręglarz,боулинг,игрок в боулинг,bolos,jugador de bolos,bowler,bowling,保齡球,保齡球選手,bowling,bowler,bowling,bowler
35,circumstance,situation,nouns,ظرف,موقف,状况,情况,amgylchiad,sefyllfa,asjaolu,olukord,olosuhde,tilanne,circonstance,situation,נסיבות,מצב,okoliczność,sytuacja,обстоятельство,ситуация,circunstancia,situación,mazingira,hali,狀況,情況,circumstance,situation,circumstance,situation
36,convocation,gathering,nouns,دعوة,تجمع,大型会议,聚会,cyhuddiad,casgliad,kokkukutsumine,kogunemine,kokous,kokoontuminen,convocation,rassemblement,עצרת,אסיפה,wiec,zgromadzenie,собрание,сбор,convocatoria,reunión,kusanyiko,mkutano,大型會議,聚會,convocation,gathering,convocation,gathering
37,care,caution,nouns,رعاية,حذر,注意,谨慎,gofal,pwyll,hool,ettevaatus,huolenpito,varovaisuus,soin,attention,דאגה,זהירות,troska,ostrożność,забота,осторожность,cuidado,precaución,tahadhari,tunzo,注意,謹慎,care,caution,care,caution
38,gravity,meteor,nouns,جاذبية,نيزك,地心引力,流星,disgyrchiant,meteor,gravitatsioon,meteoor,painovoima,meteori,gravité,météore,כבידה,מטאור,grawitacja,meteor,сила тяжести,метеор,gravedad,meteorito,meteor,mvuto,地心吸力,流星,gravity,meteor,gravity,meteor
39,dinner,chicken,nouns,عشاء,دجاجة,晚餐,鸡,cinio,cyw iâr,õhtusöök,kana,päivällinen,kana,dîner,poulet,סעודה,תרנגולת,kolacja,kurczak,ужин,курятина,cena,pollo,chakula cha usiku,kuku,晚餐,雞,dinner,chicken,dinner,chicken
40,sensor,radiator,nouns,مستشعر,مشاع,传感器,散热器,synhwyrydd,rheiddiadur,andur,radiaator,sensori,jäähdytin,capteur,radiateur,חיישן,רדיאטור,sensor,kaloryfer,датчик,радиатор,sensor,radiador,radiator,sensa,傳感器,散熱器,sensor,radiator,sensor,radiator
41,popcorn,cinema,nouns,فشار,سينما,爆玉米花,电影,popcorn,sinema,popkorn,kino,paukkumaissi,elokuvateatteri,pop-corn,cinéma,פופקורן,קולנוע,popcorn,kino,попкорн,кино,palomitas de maiz,cine,sinema,bisi,爆谷,電影,popcorn,cinema,popcorn,cinema
42,house,apartment,nouns,بيت,شقة,房子,公寓,tŷ,fflat,maja,korter,talo,asunto,maison,appartement,בית,דירה,dom,mieszkanie,дом,квартира,casa,apartamento,nyumba,fleti,屋,公寓,house,apartment,house,apartment
43,cent,wife,nouns,سنت,زوجة,一分钱,妻子,dimai,gwraig,sent,abikaasa (naine),sentti,vaimo,centime,femme,סנט,רעיה,cent,żona,цент,жена,centavo,esposa,senti,mke,一分錢,妻子,cent,wife,cent,wife
44,word,literature,nouns,كلمة,أدب,词,文学,gair,llenyddiaeth,sõna,kirjandus,sana,kirjallisuus,mot,littérature,מילה,ספרות,słowo,literatura,слово,литература,palabra,literatura,neno,fasihi,詞,文學,word,literature,word,literature
45,broom,dust,nouns,مكنسة,غبار,扫帚,灰尘,ysgubell,llwch,luud,tolm,luuta,pöly,balai,poussière,מטאטא,אבק,miotła,kurz,метла,пыль,Escoba,polvo,vumbi,ufagio,掃帚,灰塵,broom,dust,broom,dust
46,snowboard,skiing,nouns,لوح ثلج,تزحلق,滑雪板,滑雪,eirfwrdd,sgïo,lumelaud,suusatamine,lumilauta,hiihtäminen,snowboard,ski,סנוברד,סקי,snowboard,narciarstwo,сноуборд,лыжи,snowboard,esquí,skiing,ubao wa theluji,滑雪板,滑雪,snowboard,skiing,snowboard,skiing
47,son,father,nouns,إبن,أب,儿子,父亲,mab,tad,poeg,isa,poika,isä,fils,père,בן,אבא,syn,ojciec,сын,отец,hijo,padre,mtoto wa kiume,baba,兒子,父親,son,father,son,father
48,seed,mustard,nouns,بذرة,خردل,种子,芥末,hedyn,mwstard,seeme,sinep,siemen,sinappi,graine,moutarde,גרגיר,חרדל,nasienie,musztarda,зерно,горчица,semilla,mostaza,mbegu,viungo,種子,芥末,seed,mustard,seed,mustard
49,cat,rabbit,nouns,قط,أرنب,猫,兔子,cath,cwningen,kass,jänes,kissa,jänis,chat,lapin,חתול,ארנב,kot,królik,кот,кролик,gato,Conejo,paka,sungura,貓,兔子,cat,rabbit,cat,rabbit
50,biologist,microscope,nouns,عالم أحياء,مجهر,生物学家,显微镜,biolegydd,microsgop,bioloog,mikroskoop,biologi,mikroskooppi,biologiste,microscope,ביולוג,מיקרוסקופ,biolog,mikroskop,биолог,микроскоп,biólogo,microscopio,darubini,mbiolojia,生物學家,顯微鏡,biologist,microscope,biologist,microscope
51,badge,glass,nouns,شارة,زجاج,徽章,玻璃,bathodyn,gwydr,märk,klaas,kunniamerkki,lasi,badge,verre,תג,זכוכית,odznaka,szklanka,значок,стекло,placa,vaso,glasi,baji,徽章,玻璃,badge,glass,badge,glass
52,gossip,news,nouns,نميمة,أخبار,流言蜚语,新闻,clecs,newyddion,klatš,uudised,juoruilu,uutiset,potin,nouvelle,רכילות,חדשות,plotka,wiadomości,сплетня,новость,chisme,Noticias,porojo,habari,流言蜚語,新聞,gossip,news,gossip,news
53,dice,cube,nouns,نرد ,مكعب,骰子,立方体,dis,ciwb,täring,kuubik,noppa,kuutio,dé,cube,קוביית משחק,קובייה,kości,sześcian,игральная кость,куб,dado,cubo,mchemraba,kete,骰子,立方體,dice,cube,dice,cube
54,tower,bell,nouns,برج,جرس,塔,钟,twr,cloch,torn,kell,torni,kello,tour,cloche,מגדל,פעמון,wieża,dzwon,башня,колокол,torre,campana,mnara,kengele,塔,鐘,tower,bell,tower,bell
55,hardware,case,nouns,معدات,حقيبة,硬件,案件,caledwedd,cas,riistvara,karp,laitteisto,tapaus,matériel,étui,חומרה,מקרה,narzędzia,futerał,аппара́тное обеспече́ние,дело,programa informático,caso,kesi,kifaa,硬件,案件,hardware,case,hardware,case
56,god,priest,nouns,إله,كاهن,天神,牧师,duw,offeiriad,jumal,preester,jumala,pappi,dieu,prêtre,אל,כומר,bóg,ksiądz,бог,священник,Dios,sacerdote,mungu,padri,天神,牧師,god,priest,god,priest
57,river,valley,nouns,نهر,وادي,河,河谷,afon,dyffryn,jõgi,org,joki,laakso,rivière,vallée,נהר,עמק,rzeka,dolina,река,долина,río,Valle,mto,bonde,河,河谷,river,valley,river,valley
58,automobile,car,nouns,سيارة,سيارة,车,汽车,modur,car,automobiil,auto,automobiili,auto,automobile,voiture,מכונית,אוטו,automobil,samochód,автомобиль,машина,automóvil,coche,gari,motokaa,車,汽車,automobile,car,automobile,car
59,mother,wife,nouns,أم,زوجة,母亲,妻子,mam,gwraig,ema,abikaasa (naine),äiti,vaimo,mère,épouse,אמא,רעיה,matka,żona,мать,жена,madre,esposa,mama,mke,母親,妻子,mother,wife,mother,wife
60,tree,maple,nouns,شجرة,قيقب,树木,枫树,coeden,masarnen,puu,vaher,puu,vaahtera,arbre,érable,עץ,מייפל,drzewo,klon,дерево,клен,árbol,arce,mti,mpera,樹木,楓樹,tree,maple,tree,maple
61,rice,boy,nouns,أرز,صبي,米饭,男孩,reis,bachgen,riis,poiss,riisi,poika,riz,garçon,אורז,ילד,ryż,chłopiec,рис,мальчик,arroz,niño,wali,mvulana,米飯,男孩,rice,boy,rice,boy
62,guy,stud,nouns,شاب,عشيق,家伙,帅哥,dyn,styden,kutt,täkk,heppu,naistenmies,type,tombeur,בחור,חתיך,facet,ogier,парень,бабник,chico,semental,mvulana,mtu mzuri,傢伙,靚仔,guy,stud,guy,stud
63,harbor,wrapper,nouns,مرفأ,غلاف,港口,包装纸,harbwr,papur lapio,sadam,ümbris,satama,kääre,port,emballage,מחסה,עטיפה,port,opakowanie,убежище,обертка,puerto,envoltura,kanga,bandari,港口,包裝紙,harbor,wrapper,harbor,wrapper
64,intelligence,logic,nouns,ذكاء,منطق,智力,逻辑,deallusrwydd,rhesymeg,intelligentsus,loogika,älykkyys,logiikka,intelligence,logique,אינטליגנציה,היגיון,inteligencja,logika,интеллект,логика,inteligencia,lógica,akili,mantiki,智力,邏輯,intelligence,logic,intelligence,logic
65,day,morning,nouns,يوم,صباح,白天,早上,dydd  ,bore,päev,hommik,päivä ,aamu,journée,matin,יום,בוקר,dzień,poranek,день,утро,día,Mañana,mchana,asubuhi,白天,朝早,day,morning,day,morning
66,weapon,helmet,nouns,سلاح,خوذة,武器,头盔,arf,helmed,relv,kiiver,ase,kypärä,arme,casque,נשק,קסדה,broń,hełm,оружие,шлем,arma,casco,helmeti,silaha,武器,頭盔,weapon,helmet,weapon,helmet
67,monastery,shower,nouns,دير,دش,修道院,洗澡,mynachlog,cawod,klooster,tušš,luostari,suihku,couvent,douche,מנזר,מקלחת,klasztor,prysznic,монастырь,душ,monasterio,ducha,shower,monasteri,修道院,沖涼,monastery,shower,monastery,shower
68,winner,presence,nouns,فائز,حضور,优胜者,存在,enillydd,presenoldeb,võitja,kohalolek,voittaja,läsnäolo,gagnant,présence,מנצח,נוכחות,zwycięzca,obecność,победитель,присутствие,ganador,presencia,mshindi,uwepo,優勝者,存在,winner,presence,winner,presence
69,television,cinema,nouns,تلفاز,سينما,电视,电影,teledu,sinema,televisioon,kino,televisio,elokuvateatteri,télévision,cinéma,טלויזיה,קולנוע,telewizja,kino,телевидение,кино,televisión,cine,sinema,runinga,電視,電影,television,cinema,television,cinema
70,steak,meat,nouns,شريحة لحم,لحم,牛排,肉,stêc,cig,steik,liha,puhvi,liha,steak,viande,סטייק,בשר,stek,mięso,стейк,мясо,filete,carne,steki,nyama,牛扒,肉,steak,meat,steak,meat
71,piston,engine,nouns,مكبس,محرك,活塞,发动机,piston,injan,kolb,mootor,mäntä,moottori,piston,moteur,שסתום,מנוע,tłok,silnik,поршень,мотор,pistón,motor,injini,pistoni,活塞,發動機,piston,engine,piston,engine
72,virus,blood,nouns,حمة,دم,病毒,血液,firws,gwaed,viirus,veri,virus,veri,virus,sang,וירוס,דם,wirus,krew,вирус,кровь,virus,sangre,damu,kirusi,病毒,血液,virus,blood,virus,blood
73,man,sentry,nouns,رجل,خفير,男人,哨兵,dyn,gwyliwr,mees,valvur,mies,vartiomies,homme,sentinelle,גבר,שומר,mężczyzna,wartownik,человек,охранник,hombre,centinela,mwanaume,mlinzi,男人,哨兵,man,sentry,man,sentry
74,sheep,lamb,nouns,خروف,حمل,羊,羊肉,dafad,oen,lammas,lambatall,lammas,karitsa,mouton,agneau,כבש,טלה,owca,jagnię,овца,ягненок,oveja,Cordero,kondoo,mwanakondoo,羊,羊肉,sheep,lamb,sheep,lamb
75,car,highway,nouns,سيارة,طريق سريع,车,高速公路,car,priffordd,auto,maantee,auto ,moottoritie,voiture,autoroute,מכונית,כביש,samochód,szosa,автомобиль,автострада,coche,autopista,gari,njia kuu,車,高速公路,car,highway,car,highway
76,endurance,strength,nouns,قدرة التحمل,قوة,耐力,强度,dygnwch,cryfder,vastupidavus,jõud,kestävyys,vahvuus,persévérance,force,סבולת,חוזק,wytrzymałość,siła,выносливость,сила,resistencia,fuerza,subira,nguvu,耐力,強度,endurance,strength,endurance,strength
77,entropy,information,nouns,قصور,معلومات,熵,信息,entropi,gwybodaeth,entroopia,informatsioon,entropia,tieto,entropie,information,אנטרופיה,מידע,entropia,informacja,энтропия,информация,entropía,información,habari,kuzorota,熵,信息,entropy,information,entropy,information
78,noise,rattle,nouns,ضجيج,خشخشة,喧闹声,摇铃,sŵn,rhuglen,lärm,kõristi,melu,helistin,bruit,cliquetis,רעש,רעשן,hałas,brzęk,шум,грохот,ruido,traqueteo,kelele,sauti,噪聲,搖鈴,noise,rattle,noise,rattle
79,money,salary,nouns,مال,راتب,钱,薪水,arian,cyflog,raha,palk,raha,kuukausipalkka,argent,salaire,כסף,משכורת,pieniądze,pensja,деньги,зарплата,dinero,salario,hela,mshahara,錢,工資,money,salary,money,salary
80,teacher,helper,nouns,معلّم,مساعد,老师,帮手,athro,cynorthwy-ydd,õpetaja,abiline,opettaja,auttaja,enseignant,assistant,מורה,עוזר,nauczyciel,pomocnik,наставник,помощник,profesor,ayudante,mwalimu,msaidizi,老師,幫手,teacher,helper,teacher,helper
81,author,creator,nouns,مؤلّف,منشئ,作者,创造者,awdur,crëwr,autor,looja,tekijä,luoja,auteur,créateur,מחבר,יוצר,autor,twórca,автор,создатель,autor,creador,mtunzi,muumbaji,作者,創造者,author,creator,author,creator
82,wallpaper,background,nouns,ورق الحائط,خلفية,墙纸,背景,papur wal,cefndir,tapeet,taust,tapetti,tausta,papier peint,arrière-plan,טפט,רקע,tapeta,tło,обои,фон,papel pintado,fondo,mandharinyuma,karatasi ya kupamba ukuta,牆紙,背景,wallpaper,background,wallpaper,background
83,beer,champagne,nouns,جعة,شامبانيا,啤酒,香槟酒,cwrw,siampên,õlu,šampus,olut,shamppanja,bière,champagne,בירה,שמפניה,piwo,szampan,пиво,шампанское,cerveza,champán,bia,shampeni,啤酒,香檳,beer,champagne,beer,champagne
84,capability,competence,nouns,قدرة,جدارة,能力,才能,gallu,cymhwysedd,võimekus,pädevus,valmiudet,pätevyys,aptitude,compétence,יכולת,כשירות,zdolność,kompetencja,способность,компетенция,capacidad,competencia,uwezo,ustadi,能力,才能,capability,competence,capability,competence
85,hand,wrist,nouns,يد,معصم,手,手腕,llaw,garddwrn,käelaba,ranne,käsi,ranne,main,poignet,יד,מפרק,ręka,nadgarstek,кисть,запястье,mano,muñeca,mkono,kifundo,手,手腕,hand,wrist,hand,wrist
86,chapter,choice,nouns,فصل,خيار,章,选择,pennod,dewis,peatükk,valik,kappale,valinta,chapitre,choix,פרק,בחירה,rozdział,wybór,глава,выбор,capítulo,elección,sura,chaguo,章,選擇,chapter,choice,chapter,choice
87,august,month,nouns,اب,شهر,八月,月,awst,mis,august,kuu,elokuu,kuukausi,août,mois,אוגוסט,חודש,sierpień,miesiąc,август,месяц,agosto,mes,agosti,mwezi,八月,月,august,month,august,month
88,course,stomach,nouns,طبق,معدة,课程,肚子,cwrs,stumog,suund,kõht,kurssi,vatsa,cours,estomac,קורס,בטן,kurs,żołądek,курс,желудок,curso,estómago,njia,tumbo,課程,肚,course,stomach,course,stomach
89,monk,cross,nouns,راهب,صليب,僧侣,十字架,mynach,croes,munk,rist,munkki,risti,moine,croix,נזיר,צלב,mnich,krzyż,монах,крест,monje,cruzar,msalaba,mtawa,僧侣,十字架,monk,cross,monk,cross
90,star,brightness,nouns,نجمة,سطوع,星,明亮,seren,disgleirdeb,täht,heledus,tähti,kirkkaus,étoile,intensité,כוכב,בהירות,gwiazda,jasność,звезда,яркость,estrella,brillo,nuru,nyota,星,明亮,star,brightness,star,brightness
91,vision,perception,nouns,رؤية,ادراك,视力,知觉,gweledigaeth,canfyddiad,nägemine,taju,näkö,havaintokyky,vision,perception,חזון,תפיסה,wizja,percepcja,видение,восприятие,visión,percepción,kuona,utambuzi,視力,知覺,vision,perception,vision,perception
92,wine,brandy,nouns,نبيذ,براندي,红酒,白兰地,gwin,brandi,vein,brändi,viini,brandy,vin,brandy,יין,ברנדי,wino,brandy,вино,бренди,vino,brandy,divai,brandi,紅酒,白蘭地,wine,brandy,wine,brandy
93,room,bath,nouns,غرفة  ,حمّام,房间,沐浴,ystafell,bàth,tuba,vann,huone,kylpy,pièce,bain,חדר,אמבטיה,pokój,wanna,комната,ванна,habitación,bañera,chumba,kuoga,房間,沖涼,room,bath,room,bath
94,hallway,corridor,nouns,مدخل,رواق,过道,走廊,cyntedd,coridor,esik,koridor,eteishalli,käytävä,couloir,corridor,פרוזדור,מסדרון,hol,korytarz,проход,коридор,pasillo,corredor,ushoroba,korido,過道,走廊,hallway,corridor,hallway,corridor
95,orange,citrus,nouns,برتقال,حمضيات,橙子,柑橘,oren,sitrws,apelsin,tsitrus,appelsiini,sitrushedelmä,orange,agrume,תפוז,פרי הדר,pomarańcza,cytrus,апельсин,цитрус,naranja,cítrico,machungwa,chungwa,橙子,柑橘,orange,citrus,orange,citrus
96,church,choir,nouns,كنيسة,جوقة,教堂,合唱团,eglwys,côr,kirik,koor,kirkko,kuoro,église,chœur,כנסייה,מקהלה,kościół,chór,церковь,хор,Iglesia,coro,kanisa,kwaya,教堂,合唱團,church,choir,church,choir
97,clothes,drawer,nouns,ملابس,درج,衣服,抽屉,dillad,drôr,riided,sahtel,vaatteet,vetolaatikko,habit,tiroir,בגדים,מגירה,ubrania,szuflada,одежда,ящик,ropa,cajón,nguo,kabati,衣服,抽屜,clothes,drawer,clothes,drawer
98,day,dawn,nouns,يوم,فجر,白天,黎明,dydd  ,gwawr,päev,koidik,päivä ,aamunkoitto,jour,aube,יום,שחר,dzień,świt,день,рассвет,día,amanecer,mchana,alfajiri,白天,黎明,day,dawn,day,dawn
99,beast,animal,nouns,وحش,حيوان,野兽,动物,bwystfil,anifail,elajas,loom,peto,eläin,bête,animal,בהמה,חיה,bestia,zwierzę,зверь,животное,bestia,animal,nunda,mnyama,野獸,動物,beast,animal,beast,animal
100,jar,bottle,nouns,جرة,قنينة,广口瓶,瓶子,jar,potel,klaaspurk,pudel,purkki,pullo,pot,bouteille,קנקן,בקבוק,słoik,butelka,банка,бутылка,tarro,botella,kopo,chupa,廣口瓶,瓶子,jar,bottle,jar,bottle
101,river,sea,nouns,نهر,بحر,河流,大海,afon,môr,jõgi,meri,joki,meri,rivière,mer,נהר,ים,rzeka,morze,река,море,río,mar,mto,bahari,河流,大海,river,sea,river,sea
102,fact,insight,nouns,حقيقة,إستبصار,事实,洞察力,ffaith,mewnwelediad,fakt,vihje,fakta,ymmärrys,fait,perspicacité,עובדה,תובנה,fakt,wgląd,факт,суть,hecho,visión,ukweli,umaizi,事實,洞察力,fact,insight,fact,insight
103,tribunal,justice,nouns,محكمة,عدل,法庭,正义,tribiwnlys,cyfiawnder,vahekohus,õiglus,tuomioistuin,oikeudenmukaisuus,tribunal,justice,בית דין,צדק,trybunał,sprawiedliwość,суд,справедливость,tribunal,justicia,haki,mahakama,法庭,正義,tribunal,justice,tribunal,justice
