NUMBER	GLOSS	ENGLISH	POS	CONCEPTICON_ID	CONCEPTICON_GLOSS	COMMENT MATTIS	Comment Kristina	Comment Mei-Shin	Comments Tiago	SIMLEX_IDS	SIMLEX_GLOSSES	OCCURRENCES	TOTAL	MANDARIN	FRENCH	RUSSIAN	SPANISH	MANDARIN_SCORE	FRENCH_SCORE	RUSSIAN_SCORE	SPANISH_SCORE	ENGLISH_SCORE
151	ask (inquire, request)	ask	verbs	1309	ASK (INQUIRE)					1397:0 1476:1 1516:0 1757:1	plead beg pray help	4	5	问	demander	просить	pedir	0.2727272727272727 0.8181818181818182 0.5454545454545454 0.18181818181818182	2.7 3.6 3.9 1.2	3.2 4.3 1.9 0.2	0.7 2.8 1.5 0.5	1.8554195804195803 2.4740093240093235 1.3821678321678323 0.5157925407925409
167	attack	attack	nouns	722	ATTACK					391:1 516:1	crime blitz	2	2	攻击	attaque	атака	ataque	0.9090909090909091 3.4545454545454546	2.4 2.9	0.5 3.3	1.7 2.8	1.5425407925407926 3.6287878787878776
168	attack (somebody)	attack	verbs							1605:0	hurt	1	1	攻击	attaque	нападать	atacar	3.090909091	2.5	0.7	2.6	2.185780886
175	august	august	nouns	2851	AUGUST					87:0	month	1	1	八月	août	август	agosto	2.5	3.3	2.7	3	2.513636364
176	aunt	aunt	nouns	1272	AUNT					582:1 786:0	uncle nephew	2	2	阿姨	tante	тетя	tía	0.6363636363636364 0.2727272727272727	3.9 2.5	1.0 0.8	3.2 0.6	1.6811771561771558 0.907109557109557
184	avoid	avoid	verbs	3639	AVOID	they use two different aspects for Russian, how funny				1604:0	deny	1	3	避免	éviter	избежать	evitar	0.5454545455	1.1	0.2	1	1.0002331
185	avoid	avoid	verbs	3639	AVOID	they use two different aspects for Russian, how funny				1441:1 1518:1	reject ignore	2	3	避免	éviter	избегать	evitar	1.5454545454545454 0.0	2.3 3.6	1.3 3.7	3.1 3.3	1.580361305361306 2.719755244755245
186	awake	awake	verbs							1566:0	snore	1	1	清醒	réveiller	проснуться	despierto	0.3636363636	1.4	0.3	0.2	0.4033799534
190	baby	baby	nouns	1289	BABY					161:0 412:1	daughter adult	2	2	婴儿	bébé	младенец	bebé	2.727272727272727 0.5454545454545454	2.6 2.2	1.4 0.8	2.9 0.6	2.040209790209791 0.693065268065268
194	bad	bad	adjectives	1292	BAD					1069:0 1123:0 1157:0 1179:0 1190:0 1232:0 1240:0 1272:0	terrific awful mediocre guilty immoral dishonest great terrible	8	8	坏	mal	плохой	malo	0.18181818181818182 3.6363636363636362 0.09090909090909091 0.09090909090909091 2.8181818181818183 0.8181818181818182 0.0 0.6363636363636364	3.2 4.0 3.4 2.7 4.3 3.3 0.6 3.0	0.3 3.9 1.2 0.4 2.2 1.1 0.0 4.3	0.1 2.5 2.7 1.4 2.5 1.5 0.1 4.2	0.6124708624708625 3.2200466200466202 1.1428321678321678 1.2350815850815855 2.828554778554778 1.5219114219114216 0.188986013986014 2.886247086247087
196	bag	bag	nouns	2468	BAG					683:1	purse	1	1	袋	sac	сумка	bolso	0.9090909091	2.6	4.4	1.8	2.789685315
198	bake	bake	verbs	183	BAKE					1556:0	fry	1	1	烘烤	cuire	печь	hornear	1	4.4	1.4	1.4	2.171853147
199	ball	ball	nouns	1845	BALL					144:0	cannon	1	7	球	ballon	ядро	pelota	0	0.9	1.2	0.4	0.5497668998
200	ball (event)	ball	nouns			accordingly, I flagged the wrong translations	unmapped because here 'ball' is an event			811:0	costume	1	7	!球	bal	бал	!pelota	0.09090909091	1.9	1	0.2	0.4734848485
201	ball	ball	nouns	1845	BALL					13:0 177:1	glove racket	2	7	球	balle	мяч	pelota	0.18181818181818182 0.36363636363636365	1.4 2.3	0.1 1.2	1.1 1.3	0.5668414918414918 0.940268065268065
202	ball	ball	nouns	1845	BALL					521:0 596:0 610:1	sphere basket volleyball	3	7	球	ballon	мяч	pelota	4.0 0.09090909090909091 3.6363636363636362	2.9 1.3 2.0	1.7 0.8 1.1	2.8 0.3 1.2	2.842540792540793 0.481060606060606 2.259207459207459
2329	sphere	sphere	nouns	1845	BALL					521:1	ball	1	1	球状物	sphère	сфера	esfera	4	2.9	1.7	2.8	2.842540793
204	balloon	balloon	nouns	3083	BALLOON				That is right in Spanish, but “globo” is more “sphere” – unless the context is clear, it would be “baloon” in something like “globo aereo” or “globo aerostatico”	135:1 750:1	people bath	2	2	气球	ballon	шар	globo	0.0 0.0	0.0 0.2	0.0 0.0	0.5 0.1	0.08333333333333333 0.05833333333333334
208	bank	bank	nouns	1284	BANK		Russian translation wrong			9:0	seat	1	1	银行	banque	!наклон	banco	0.1818181818	1.9	0	5.1	0.6734848485
215	base	base	nouns	831	BASE					583:1	foot	1	2	基底	base	база	base	3.272727273	3.1	0	2.2	1.493414918
216	base	base	nouns	831	BASE					815:1	acid	1	2	碱	base	основание	base	0.2727272727	2.3	0.1	1	0.7122960373
221	basket	basket	nouns	1539	BASKET					596:1	ball	1	1	篮子	panier	корзина	cesta	0.09090909091	1.3	0.8	0.3	0.4810606061
223	bat	bat	nouns	1793	BAT					527:0	vampire	1	1	蝙蝠	chauve-souris	летучая мышь	murciélago	0.5454545455	3	0.2	1.9	1.26532634
224	bath	bath	nouns							509:0	wife	1	5	沐浴	baignoire	ванна	bañera	0	0.1	0	0.2	0.04090909091
225	bath	bath	nouns							93:1 750:0 883:1 891:0	room balloon log trick	4	5	沐浴	bain	ванна	bañera	0.09090909090909091 0.0 0.0 0.0	1.5 0.2 0.0 0.0	1.5 0.0 0.0 0.0	0.7 0.1 0.0 0.0	0.6075174825174825 0.05833333333333334 0.016666666666666666 0.007575757575757584
227	battery	battery	nouns	662	BATTERY					495:1 779:0	theatre energy	2	2	电池	batterie	батарейка	batería	0.0 1.7272727272727273	0.1 3.9	0.0 1.8	0.2 3.2	0.0734848484848485 2.126689976689977
228	battle	battle	nouns	579	BATTLE					694:0	conquest	1	1	战役	bataille	битва	batalla	0.5454545455	3.5	1.9	2	1.841958042
2707	will	will	nouns							430:0	intention	1	1	意志	volonté	воля	será	0.8181818182	5.6	1.9	1.5	2.591899767
406	can	can	nouns							669:0	bottle	1	1	罐	canette	баллончик	poder	2.545454545	3.4	1	0	1.534731935
1499	live	live	verbs	1422	BE ALIVE					1359:0	survive	1	1	生活	vivre	жить	vivir	2.454545455	4.4	1.8	2.1	2.663986014
1285	hungry	hungry	adjectives	1533	BE HUNGRY					1096:1 1119:0	tired thirsty	2	2	饥饿	affamé	голодный	hambriento	0.45454545454545453 1.8181818181818181	2.1 4.1	0.5 1.1	1.0 1.2	0.6192307692307691 1.5629370629370631
1303	ignorant	ignorant	adjectives	2651	BE IGNORANT					1239:0	regular	1	1	无知	ignorant	невежественный	ignorante	0.09090909091	0.9	0.1	0	0.152972028
230	beach	beach	nouns	3460	BEACH					914:0	seashore	1	5	沙滩	plage	пляж	playa	1	4.7	2.6	2.7	3.514568765
231	beach	beach	nouns	3460	BEACH					274:0 275:0 436:0 831:0	reef coast island sea	4	5	海滩	plage	пляж	playa	0.18181818181818182 3.0 1.2727272727272727 2.5454545454545454	2.5 3.8 2.6 3.5	0.9 2.5 0.7 1.2	1.6 3.5 1.9 3.4	0.9872377622377623 3.2923724423724425 1.2575757575757571 2.018589743589743
232	bean	bean	nouns	832	BEAN					225:1 519:0 542:1	rice coffee bacon	3	3	豆	haricot	боб	frijol	0.45454545454545453 0.36363636363636365 0.0	2.2 0.7 1.3	0.6 0.8 0.2	1.1 0.2 0.3	0.9557692307692306 0.7501165501165502 0.38141025641025644
234	beat (defeated)	beat	verbs	3535	BE DEFEATED		relates to sports. Maybe STRIKE?	打败 is being defeated. Concepticon concept "BEAT" focuses on the movement, therefore, I would suggest 打 is the best fit.		1403:0	win	1	3	打败	battre	отбивать	golpear	4.454545455	3.9	0.8	0.3	2.563986014
235	beat (defeated)	beat	verbs	3535	BE DEFEATED			击败 is being defeated		1645:0	whip	1	3	击败	battre	бить	golpear	0.3636363636	5.2	0.2	4.3	2.621678322
236	beat	beat	verbs	1665	BEAT					1689:0	blend	1	3	打	battre	бить	golpear	0	5.1	0.1	0	0.7423076923
237	beautiful	beautiful	adjectives	1427	BEAUTIFUL					1233:0	wonderful	1	1	美丽	beau	красивый	hermoso	3.363636364	4.5	4.9	3.1	2.566550117
241	become	become	verbs	1990	BECOME					1332:0	seem	1	5	变成	devenir	становиться	volverse	0.2727272727	1.6	1.2	0.4	0.6358974359
242	become	become	verbs	1990	BECOME					1414:0 1497:1 1594:1 1597:1	appear make organize accomplish	4	5	成为	devenir	становиться	volverse	0.36363636363636365 2.272727272727273 0.0 0.7272727272727273	1.4 1.1 0.3 2.1	0.7 0.8 0.3 0.9	0.9 0.4 0.2 0.2	1.0094405594405595 0.8850233100233099 0.25681818181818183 0.9783799533799536
243	bed	bed	nouns	1663	BED					334:0	blanket	1	8	床	lit	постель	cama	0.09090909091	2.4	1.2	1.1	0.974009324
244	bed	bed	nouns	1663	BED					703:0	hospital	1	8	床	lit	койка	cama	0.4545454545	1.6	1	0.7	0.6522727273
245	bed	bed	nouns	1663	BED					165:0 180:0 214:0 273:0 307:1 405:0	couch chair crib bedroom room furniture	6	8	床	lit	кровать	cama	0.8181818181818182 0.36363636363636365 3.090909090909091 0.7272727272727273 0.09090909090909091 3.5454545454545454	3.4 2.1 4.1 3.0 1.1 3.2	4.1 0.2 4.7 1.4 0.7 2.5	2.1 1.4 3.0 1.3 1.3 1.5	2.0730186480186483 0.9350233100233102 3.162121212121212 1.441958041958042 0.6282634032634034 2.379778554778555
246	bedroom	bedroom	nouns	2505	BEDROOM					598:1	stomach	1	4	卧室	chambre	спальня	habitación	0	0.1	0	0.2	0.05757575758
247	bedroom	bedroom	nouns	2505	BEDROOM					233:1 260:1 273:1	bicycle bathroom bed	3	4	卧室	chambre à coucher	спальня	habitación	0.0 0.36363636363636365 0.7272727272727273	0.1 2.6 3.0	0.0 0.7 1.4	0.3 1.2 1.3	0.06666666666666667 1.1519230769230766 1.441958041958042
248	bee	bee	nouns	665	BEE					646:0 787:0 817:1	queen ant insect	3	3	蜜蜂	abeille	пчела	abeja	0.0 0.45454545454545453 3.0	2.1 2.3 3.6	1.4 0.4 2.0	0.8 0.8 2.9	0.7326923076923076 1.0505244755244758 2.558391608391608
249	beef	beef	nouns	2570	BEEF	Flagged Russian Translation as wrong, since English can only mean beef in the sense of meat.	russian here: not meat but 'bull'			128:1	cattle	1	2	牛肉	boeuf	!бык	ternera	2.909090909	4.5	2.9	3.5	2.780652681
250	beef	beef	nouns	2570	BEEF					529:0	meat	1	2	牛肉	boeuf	говядина	carne de vaca	3.636363636	3.6	2.6	3.9	3.209731935
251	beer	beer	nouns	1639	BEER					83:0 674:0 933:0	champagne beverage alcohol	3	3	啤酒	bière	пиво	cerveza	2.4545454545454546 2.5454545454545454 5.181818181818182	3.2 3.7 3.7	1.1 2.3 2.2	1.3 1.9 2.5	1.8553030303030298 2.4925407925407916 3.213752913752913
252	before	before	adverbs	1882	BEFORE					1775:0	after	1	1	之前	avant	до	antes de	0.3636363636	1.9	0	0.1	0.4276223776
253	beg (for money or food)	beg	verbs	3534	BEG	So beg is either begging in general for money or food, or to ask somebody for something (betteln vs. bitten, anflehen).			“mendigar” is “to beg on the streets”, only metaphorically otherwise; the neutral to match concepticon would be “suplicar” (cognate with French) or “rogar”	1305:1	borrow	1	3	乞求	supplier	нищенствовать	mendigar	1.090909091	1.1	0.6	1.3	1.14009324
254	beg (implore)	beg	verbs				unmapped because BEG refers to the lifestyle			1427:1	plead	1	3	乞求	supplier	умолять	mendigar	4	2.1	3.9	0.3	3.651223776
255	beg (implore)	beg	verbs				unmapped because BEG refers to the lifestyle			1476:0	ask	1	3	乞求	mendier	умолять	mendigar	0.8181818182	3.6	4.3	2.8	2.474009324
256	begin	begin	verbs	3447	BEGIN OR START					1547:1	start	1	4	开始	commencer	начать	empezar	4.363636364	5.9	1.8	5.9	4.523076923
257	begin	begin	verbs	3447	BEGIN OR START					1342:0 1436:0 1539:0	go quit originate	3	4	开始	commencer	начинать	empezar	0.18181818181818182 0.0 3.909090909090909	1.3 1.6 0.7	0.3 0.1 0.6	0.6 0.2 4.0	0.5016899766899768 0.34731934731934727 2.3665501165501164
2351	start	start	verbs					启 has multiple meaning. (A) start something/event, like 啟程 is start the journy. (B) "open", as in 開啟. (C) teach, 啟蒙 I don't think a word 啓 is the best translation		1547:0	begin	1	1	启	débuter	начинаться	comenzar	4.363636364	5.9	1.8	5.9	4.523076923
260	belief (opinion)	belief	nouns			This is another case, where we could argue that the belief reading that is evoked by the similarity matches should point to the Russian term, that is: it would be "belief (opinion)". In this case, the other entries, Spanish, French, Chinese, should be flagged as wrong translations. 	Unmapped. Russian here: opinion			824:0	impression	1	5	信念	croyance	мнение	creencia	0.2727272727	2.8	2.9	2.4	1.536247086
261	belief (religion)	belief	nouns	3333	BELIEF (RELIGIOUS)			if it's relegion, then 信仰 is a better term.		453:1 511:0	value flower	2	5	信念	croyance	вера	creencia	3.5454545454545454 0.18181818181818182	3.0 0.0	0.7 0.1	2.0 0.1	1.9687062937062925 0.06771561771561775
262	belief (religion)	belief	nouns	3333	BELIEF (RELIGIOUS)		Russian here: religion	if it's relegion, then 信仰 is a better term.		602:0 726:0	concept opinion	2	5	信念	croyance	верование	creencia	1.2727272727272727 0.45454545454545453	2.9 4.5	1.3 0.7	2.1 2.9	1.9092657342657342 2.6148018648018643
263	believe	believe	verbs	1890	BELIEVE					1330:0 1580:1 1690:1	feel know accept	3	3	相信	croire	верить	creer	0.9090909090909091 0.9090909090909091 1.0909090909090908	2.7 3.1 3.4	0.9 0.5 0.9	2.2 0.9 1.4	1.5215617715617717 1.2636363636363634 1.6993589743589743
264	bell	bell	nouns	2246	BELL					54:1	tower	1	2	钟	cloche	колокол	campana	0.6363636364	1.6	0.8	1.7	0.7628205128
265	bell	bell	nouns	2246	BELL					434:0	door	1	2	钟	sonnette	звонок	campana	0	2.3	1	0.3	0.573018648
1	abdomen	abdomen	nouns	2114	BELLY OR STOMACH					697:1	belly	1	1	腹部	abdomen	живот	abdomen	2.909090909	5.2	5	4.3	3.522843823
267	belly	belly	nouns	1251	BELLY					697:0	abdomen	1	1	肚皮	ventre	брюшко	vientre	2.909090909	5.2	5	4.3	3.522843823
268	belt	belt	nouns	772	BELT					736:1	loop	1	1	带	ceinture	пояс	cinturón	3.181818182	2.6	0.9	1.2	1.295571096
269	bench	bench	nouns	2584	BENCH					226:1	chair	1	1	长凳	banc	скамейка	banco	3.727272727	3.6	1.7	3.5	3.167191142
271	beverage	beverage	nouns	731	BEVERAGE					674:1	beer	1	1	饮品	boisson	напиток	bebida	2.545454545	3.7	2.3	1.9	2.492540793
275	bicycle	bicycle	nouns	747	BICYCLE					233:0 611:1	bedroom car	2	2	自行车	vélo	велосипед	bicicleta	0.0 0.45454545454545453	0.1 2.2	0.0 0.7	0.3 0.6	0.06666666666666667 1.0493589743589748
276	big	big	adjectives	1202	BIG					1092:1 1132:1 1158:0 1160:1 1192:0	national easy heavy large broad	5	5	大	gros	большой	grande	0.0 0.0 0.45454545454545453 3.8181818181818183 3.272727272727273	0.3 0.4 3.9 3.8 3.6	0.1 0.0 1.7 5.3 1.4	0.3 0.0 0.8 2.7 1.9	0.28589743589743594 0.11666666666666668 1.56013986013986 4.31025641025641 2.9414335664335667
1154	great	great	adjectives				unmapped			1234:1	brilliant	1	4	棒	génial	отличный	genial	5.545454545	5.1	4.2	3.3	3.71969697
1155	great	great	adjectives				unmapped			1246:0	awful	1	4	伟大	génial	прекрасный	genial	0.09090909091	2.8	0	0.2	0.4291375291
1156	great	great	adjectives				unmapped (all similar meaning)			1090:1 1240:1	wonderful bad	2	4	伟大	génial	великолепный	genial	1.1818181818181819 0.0	5.4 0.6	5.2 0.0	4.6 0.1	3.6358391608391614 0.188986013986014
1444	large	large	adjectives	1202	BIG	The Chinese is over-specific, but you cannot deduce it from the English word pair, so I argue to merge all in one. 		大规模 is large-scale, I think mapping to BIG is not the best option. 		1160:0	big	1	3	大规模	grand	крупный	alto	3.818181818	3.8	5.3	2.7	4.31025641
1445	large	large	adjectives	1202	BIG					1220:0	huge	1	3	大规模	grand	большой	grande	3.090909091	4.6	4.8	5	4.602680653
1446	large	large	adjectives	1202	BIG					1267:0	flexible	1	3	大	grand	крупный	grande	0.2727272727	0.3	0	0	0.1803030303
283	bird	bird	nouns	937	BIRD					230:0 346:0 479:0	turkey hawk hen	3	3	鸟	oiseau	птица	pájaro	1.5454545454545454 2.090909090909091 1.6363636363636365	3.6 4.1 3.0	2.3 1.8 1.8	2.6 2.3 1.8	2.5439393939393944 2.771095571095571 2.2221445221445224
284	birthday	birthday	nouns	2407	BIRTHDAY					17:0	date	1	2	生日	date	юбилей 	cumpleaños	1.454545455	2.9	3.6	1.4	1.929662005
