NUMBER	ENGLISH	POS	CONCEPTICON_ID	CONCEPTICON_GLOSS	SIMLEX_IDS	SIMLEX_GLOSSES	OCCURRENCES	TOTAL	MANDARIN	FRENCH	RUSSIAN	SPANISH	MANDARIN_SCORE	FRENCH_SCORE	RUSSIAN_SCORE	SPANISH_SCORE	ENGLISH_SCORE
21	acquire	verbs			1392:0 1453:1 1473:0 1513:0 1710:0	steal join get obtain find	5	5	获得	acquérir	приобретать	adquirir	1.2727272727272727 0.09090909090909091 4.7272727272727275 4.2727272727272725 2.1818181818181817	1.9 1.2 5.5 5.5 2.8	0.2 0.2 2.1 2.2 0.7	0.7 0.8 2.7 4.8 1.1	0.9343240093240094 0.3332167832167833 3.3950466200466214 3.493822843822844 1.6388111888111883
22	action	nouns			23:0 326:1	course game	2	2	行动	action	действие	acción	0.36363636363636365 0.0	2.6 3.2	0.7 2.2	1.3 1.4	1.0001165501165499 1.2715034965034968
23	actively	adverbs			1772:1 1829:1 1857:0	accurately passively happily	3	3	积极地	activement	активно	activamente	0.6363636363636364 0.36363636363636365 0.6363636363636364	0.5 1.7 0.5	0.0 0.1 0.1	1.0 0.2 0.1	0.6170163170163169 0.32762237762237767 0.48776223776223776
24	activity	nouns			838:0	movement	1	1	活动	activité	действие	actividad	2.8181818181818183	3.8	3.1	3.0	2.519289044289045
25	actor	nouns			330:1 723:1 859:1 924:0	actress television polyhedron singer	4	4	演员	acteur	актер	actor	3.3636363636363638 0.6363636363636364 0.0 2.4545454545454546	4.8 1.6 0.0 2.7	2.6 1.0 0.0 1.0	4.1 0.6 0.0 0.8	3.7834498834498826 0.8435314685314684 0.1851981351981352 1.403554778554778
26	actress	nouns			330:0	actor	1	1	女演员	actrice	актриса	Actriz	3.3636363636363638	4.8	2.6	4.1	3.7834498834498826
27	add	verbs	2882	ADD	1410:1 1422:0	join build	2	4	加	ajouter	добавлять	añadir	3.727272727272727 1.0	4.3 1.5	1.3 0.5	2.9 1.0	2.2879953379953384 1.0267482517482522
28	add	verbs	2882	ADD	1731:0 1732:1	divide multiply	2	4	加	ajouter	складывать	añadir	0.45454545454545453 0.45454545454545453	1.8 3.1	0.1 0.3	0.3 1.3	0.6241258741258741 1.1125874125874124
29	adjourn	verbs			1337:0	finish	1	1	休会	ajourner	откладывать	aplazar	0.18181818181818182	2.9	0.1	0.5	1.086829836829837
30	administration	nouns			907:0	management	1	1	行政管理	administration	руководство	administración	3.727272727272727	4.9	4.6	3.4	3.5128205128205128
31	admire	verbs			1492:1	adore	1	1	敬佩	admirer	восхищаться	admirar	4.545454545454546	4.4	3.8	4.0	3.5600233100233107
32	admit	verbs	2022	ADMIT	1655:1	deny	1	1	承认	admettre	признавать	admitir	0.36363636363636365	1.6	0.1	0.2	0.3942890442890443
33	adore	verbs			1492:0	admire	1	1	崇拜	adorer	обожать	adorar	4.545454545454546	4.4	3.8	4.0	3.5600233100233107
34	adult	nouns	3635	ADULT	412:0 556:1 952:0 1042:1	baby parent guardian child	4	4	成年人	adulte	взрослый	adulto	0.5454545454545454 3.1818181818181817 2.6363636363636362 0.5454545454545454	2.2 3.8 2.9 2.4	0.8 1.7 1.4 0.8	0.6 1.1 1.3 0.5	0.693065268065268 2.463519813519813 2.008508158508159 0.8062937062937063
35	advance	verbs			1589:1	promote	1	1	前进	avancer	продвигаться	avanzar	1.7272727272727273	2.6	1.3	2.4	2.001748251748252
36	adversary	nouns			644:0	opponent	1	1	对手	adversaire	соперник	adversario	5.0	5.7	3.2	4.8	4.35402097902098
37	advise	verbs			1506:0	recommend	1	2	建议	conseiller	советовать	asesorar	3.909090909090909	5.8	5.0	4.7	4.070629370629371
38	advise	verbs			1738:1	suggest	1	2	劝告	conseiller	консультировать	asesorar	2.909090909090909	5.6	0.4	4.0	3.6587412587412573
39	aeronautics	nouns			207:1	avionics	1	1	航空学	aéronautique	воздухоплавание	aeronáutica	3.090909090909091	4.6	1.3	3.0	2.703263403263403
40	affix	nouns			229:1	suffix	1	1	词缀	affixe	аффикс	afijo	2.4545454545454546	4.0	1.2	2.0	2.1868881118881123
41	affordable	adjectives			1079:0	cheap	1	1	付得起	abordable	доступный	asequible	2.909090909090909	5.7	2.3	4.6	3.6572843822843826
42	afraid	adjectives	1419	FEAR (BE AFRAID)	1257:0	anxious	1	1	害怕	apeuré	испуганный	temeroso	0.18181818181818182	3.5	3.8	1.1	2.7487762237762237
43	after	adverbs	1685	AFTER	1775:1	before	1	1	之后	après	после	después	0.36363636363636365	1.9	0.0	0.1	0.4276223776223777
44	afterworld	nouns			798:0	purgatory	1	1	后世	au-delà	загробный мир	más allá	0.09090909090909091	2.8	1.9	2.4	1.7337412587412582
45	age	nouns	1789	AGE	801:1	beauty	1	1	年龄	âge	возраст	años	0.36363636363636365	1.2	0.6	0.5	0.45903263403263406
46	aggravate	verbs			1487:1	bother	1	2	加剧	aggraver	обострять	agravar	0.0	0.4	0.1	1.1	0.8243589743589742
47	aggravate	verbs			1599:1	assault	1	2	加剧	aggraver	раздражать	agravar	0.36363636363636365	1.3	0.0	1.0	0.6083916083916084
48	aggression	nouns			1008:0	hostility	1	1	侵略	agression	агрессивность	agresión	1.6363636363636365	3.8	5.1	3.0	3.4396270396270405
49	aggressive	adjectives			1141:0	curved	1	2	好斗	agressif	агрессивный	agresivo	0.18181818181818182	0.0	0.0	0.0	0.0734848484848485
50	aggressive	adjectives			1259:0	rude	1	2	有攻击性的	agressif	агрессивный	agresivo	1.2727272727272727	2.3	4.1	2.5	1.8141608391608395
51	agony	nouns			300:0	grief	1	1	痛苦	agonie	мука	agonía	4.909090909090909	2.5	1.4	3.6	2.9121794871794875
52	agree	verbs	3643	AGREE	1369:0	differ	1	5	同意	être d'accord	соответствовать	de acuerdo	0.0	1.4	0.0	0.3	0.28898601398601403
53	agree	verbs	3643	AGREE	1493:0	please	1	5	同意	être d'accord	ладить	estar de acuerdo	2.0	2.3	1.3	1.1	1.1948135198135195
54	agree	verbs	3643	AGREE	1366:0 1459:0 1489:0	disagree argue accept	3	5	同意	être d'accord	соглашаться	estar de acuerdo	0.36363636363636365 0.36363636363636365 3.727272727272727	1.7 2.9 4.1	0.1 0.2 2.3	0.8 0.5 3.9	0.4518648018648019 0.5367132867132868 3.648426573426573
55	agreement	nouns	3644	AGREEMENT	394:1 472:1 603:1	hole argument pact	3	3	协议	accord	соглашение	acuerdo	0.0 0.45454545454545453 4.636363636363637	0.0 3.4 5.6	0.0 0.5 4.5	0.0 1.2 5.3	0.008333333333333333 0.7344405594405594 4.913636363636364
56	agriculture	nouns			571:0 705:0	monoculture plant	2	2	农业	agriculture	сельское хозяйство	agricultura	1.1818181818181819 1.1818181818181819	3.6 1.8	0.5 0.9	1.2 0.8	1.46474358974359 1.1332167832167832
57	aid	verbs			1626:1	assist	1	1	援助	aider	помогать	ayudar	3.6363636363636362	5.6	4.7	4.2	4.827156177156177
58	aim	verbs			1300:0	hit	1	1	瞄准	viser	целиться	objetivo	1.9090909090909092	2.8	0.6	0.4	1.2596153846153844
59	air	nouns	27	AIR	778:0 789:1	helium molecule	2	2	空气	air	воздух	aire	2.6363636363636362 0.45454545454545453	2.7 2.0	1.6 0.9	1.4 0.9	1.9067016317016323 0.8607808857808857
60	airport	nouns			407:0	piece	1	2	飞机场	aéroport	аэропорт	aeropuerto	0.0	0.2	0.0	0.0	0.03333333333333333
61	airport	nouns			459:1	plane	1	2	机场	aéroport	аэропорт	aeropuerto	1.0909090909090908	2.7	1.1	1.4	1.3176573426573426
62	aisle	nouns			686:0	hallway	1	2	走道	allée	проход	altar	5.090909090909091	4.0	4.0	0.2	2.874533799533799
63	aisle	nouns			702:0	hall	1	2	走道	allée	проход	pasillo	0.18181818181818182	1.7	3.9	0.7	1.1708041958041961
64	alcohol	nouns	404	ALCOHOL (FERMENTED DRINK)	125:0 309:0 496:0 517:0 524:0 933:1	gin cocktail wine brandy whiskey beer	6	6	酒	alcool	алкоголь	alcohol	3.727272727272727 3.4545454545454546 3.727272727272727 3.6363636363636362 3.6363636363636362 5.181818181818182	3.8 3.7 3.6 3.6 3.5 3.7	2.1 1.7 2.0 2.2 2.3 2.2	2.3 2.4 1.7 1.8 1.8 2.5	2.7951048951048953 2.3417249417249413 2.7527389277389283 2.7131118881118894 2.820979020979022 3.213752913752913
65	algebra	nouns			740:0	operation	1	1	代数	algèbre	алгебра	álgebra	0.0	3.4	0.0	1.5	0.7421911421911421
66	alien	nouns			569:0	outlander	1	1	异族	extraterrestre	пришелец	extraterrestre	3.727272727272727	3.4	3.1	1.4	2.9370629370629366
67	alike	adjectives	1558	SIMILAR	1137:1	similar	1	1	相像	ressemblant	подобный	igual	3.0	5.6	5.7	3.7	4.260780885780886
68	alley	nouns			264:1	street	1	2	小巷	ruelle	переулок	callejón	3.272727272727273	4.9	2.7	3.6	3.3349067599067603
69	alley	nouns			567:0	bowl	1	2	小巷	ruelle	дорожка	callejón	0.0	0.0	0.0	0.0	0.014743589743589752
70	allow	verbs	1003	PERMIT	1536:1	go	1	5	允许	permettre	позволять	permitir	0.0	0.4	0.2	0.4	0.19807692307692312
71	allow	verbs	1003	PERMIT	1500:1 1517:1 1534:0 1646:0	let give disprove erode	4	5	允许	permettre	разрешать	permitir	3.4545454545454546 1.0 0.0 0.0	4.9 1.4 0.5 0.3	5.0 1.5 0.1 0.0	5.1 0.9 0.5 0.0	3.8220862470862467 1.7203379953379956 0.15 0.049999999999999996
72	allowed	adjectives			1142:1	legal	1	1	允许	permis	допущенный	permitido	2.5454545454545454	5.1	3.0	4.3	3.775641025641025
73	alloy	nouns			850:0	steel	1	1	合金	alliage	сплав	aleación	3.8181818181818183	3.6	2.0	1.5	2.552564102564103
74	alphabet	nouns			255:0	pen	1	1	字母	alphabet	алфавит	alfabeto	0.0	1.1	0.5	0.8	0.3397435897435897
75	alright	adjectives			1080:1	mediocre	1	1	好的	convenable	хороший	bien	0.36363636363636365	1.9	0.7	0.2	1.3249417249417246
76	alter	verbs	2856	CHANGE (SOMETHING)	1761:0	change	1	1	改变	altérer	изменять	alterar	3.8181818181818183	5.5	2.1	4.2	3.801282051282051
77	altitude	nouns			223:0	conversion	1	1	高度	altitude	высота	altitud	0.09090909090909091	0.4	0.0	0.7	0.2318181818181818
78	aluminium	nouns			568:1 716:1	tin metal	2	2	铝	aluminium	алюминий	aluminio	0.7272727272727273 3.0	2.6 3.3	0.0 1.8	1.1 1.7	1.6243589743589741 2.4581002331002333
79	always	adverbs	1676	ALWAYS	1845:1	twice	1	1	总是	toujours	всегда	siempre	0.0	1.5	0.1	0.1	0.40221445221445223
80	amazing	adjectives	1863	AMAZING	1206:1	dirty	1	1	非常好	incroyable	удивительный	increíble	0.0	0.7	0.0	0.0	0.125
81	amazingly	adverbs			1873:0	fantastically	1	1	令人惊讶	incroyablement	удивительно	espantosamente	3.1818181818181817	5.3	3.3	0.4	4.042016317016317
82	amorphous	adjectives			1189:1	shapeless	1	1	不定形	amorphe	аморфный	amorfo	2.6363636363636362	3.3	3.8	2.2	3.8084498834498834
83	analyze	verbs			1375:0 1560:1	evaluate compare	2	2	分析	analyser	анализировать	analizar	4.454545454545454 2.727272727272727	4.9 3.5	3.6 3.2	4.6 2.7	3.735372960372961 2.669114219114219
84	anarchy	nouns			946:0	chaos	1	1	无政府	anarchie	анархия	anarquía	2.909090909090909	4.4	4.5	3.6	3.862062937062937
85	anatomy	nouns			146:0	biology	1	1	解剖学	anatomie	анатомия	anatomía	2.6363636363636362	3.4	1.5	2.2	2.3209207459207457
86	anchor	nouns	1870	ANCHOR	677:1	boat	1	1	锚	ancre	якорь	ancla	0.5454545454545454	2.1	0.9	1.0	0.9824592074592076
87	ancient	adjectives			1174:1	modern	1	2	古老	ancien	старинный	antiguo	0.0	1.8	0.1	0.2	0.37156177156177145
88	ancient	adjectives			1187:1	new	1	2	古老	ancien	старый	antiguo	0.18181818181818182	1.8	0.0	0.2	0.3700466200466201
89	angel	nouns			179:1	demon	1	1	天使	ange	ангел	ángel	0.2727272727272727	2.1	0.2	1.0	0.6813519813519814
90	anger	nouns	82	ANGER	758:0	fury	1	3	生气	colère	злость	enfado	4.0	5.4	4.4	4.2	4.567715617715617
91	anger	nouns	82	ANGER	21:1 796:0	frustration mood	2	3	愤怒	colère	злость	enfado	2.3636363636363638 2.3636363636363638	3.7 3.1	2.0 1.4	4.5 3.1	2.8909090909090907 1.4744755244755243
92	angle	nouns			151:1	curve	1	1	角度	angle	угол	ángulo	1.0	2.6	2.7	2.2	1.6648601398601397
93	angry	adjectives	1826	ANGRY	1136:1	violent	1	2	愤怒	fâché	злой	enojado	1.9090909090909092	2.2	4.1	1.9	1.9095571095571096
94	angry	adjectives	1826	ANGRY	1275:1	happy	1	2	生气	fâché	злой	enojado	0.0	1.4	0.0	0.2	0.3458041958041958
95	animal	nouns	619	ANIMAL	99:1 974:0	beast person	2	2	动物	animal	животное	animal	3.5454545454545454 2.0	5.4 1.5	5.1 0.8	4.1 0.4	3.633333333333333 0.8065850815850816
96	ankle	nouns	803	ANKLE	261:1 909:0 942:1	bone window elbow	3	3	踝	cheville	лодыжка	tobillo	0.45454545454545453 0.0 0.5454545454545454	2.3 0.0 2.8	1.2 0.0 0.5	1.1 0.1 0.4	1.6603729603729602 0.0234848484848485 1.0055361305361308
97	announce	verbs	9	ANNOUNCE	1633:1	declare	1	2	宣告	annoncer	объявлять	anunciar	4.181818181818182	5.7	4.8	4.1	4.129487179487179
98	announce	verbs	9	ANNOUNCE	1751:1	proclaim	1	2	宣告	annoncer	провозглашать	anunciar	4.7272727272727275	5.6	5.0	4.2	3.927564102564103
99	ant	nouns	587	ANT	297:1 787:1	fly bee	2	2	蚂蚁	fourmi	муравей	hormiga	0.6363636363636364 0.45454545454545453	2.5 2.3	0.6 0.4	0.5 0.8	1.0808275058275056 1.0505244755244758
100	antagonize	verbs			1708:1	irritate	1	1	对抗	contrarier	противодействовать	enemistarse	4.181818181818182	5.2	0.7	1.2	2.948892773892773
101	antecedent	nouns			104:1	past	1	1	前情	antécédent	предшествующее	antecedente	4.090909090909091	4.9	3.9	3.4	2.5082167832167834
102	anthropology	nouns			364:0	archaeology	1	1	人类学	anthropologie	антропология	antropología	0.9090909090909091	2.8	0.8	1.1	1.668240093240093
103	anxious	adjectives			1257:1	afraid	1	2	急	anxieux	встревоженный	ansioso	0.18181818181818182	3.5	3.8	1.1	2.7487762237762237
104	anxious	adjectives			1287:1	impatient	1	2	焦虑	inquiet	беспокойный	ansioso	3.6363636363636362	2.3	2.7	4.2	2.572435897435897
105	anxiously	adverbs			1799:1	nervously	1	1	焦急地	anxieusement	тревожно	ansiosamente	3.8181818181818183	5.7	3.1	4.1	3.741550116550117
106	apartment	nouns			42:1 352:0 887:0	house furniture hotel	3	3	公寓	appartement	квартира	apartamento	4.2727272727272725 0.09090909090909091 0.7272727272727273	4.0 2.0 2.6	4.2 0.9 0.8	4.1 0.5 1.1	3.691724941724942 0.6801864801864802 1.1652097902097902
107	apocalypse	nouns			420:0	fire	1	1	大灾变	apocalypse	апокалипсис	apocalipsis	0.8181818181818182	1.7	1.1	0.9	0.7479603729603731
108	app	nouns			438:0	galaxy	1	1	应用	application	приложение	aplicación	0.0	0.2	0.6	0.2	0.15000000000000002
109	apparent	adjectives			1211:0	obvious	1	1	显然	apparent	кажущийся	aparente	4.909090909090909	4.5	1.8	3.8	4.097435897435897
110	apparently	adverbs			1809:0 1832:0	simply obviously	2	2	看来	apparemment	видимо	aparentemente	1.0909090909090908 1.9090909090909092	1.6 3.0	1.3 3.6	0.5 3.3	0.788053613053613 2.670046620046621
111	appear	verbs	1076	EMERGE (APPEAR)	1414:1	become	1	3	出现	apparaître	казаться	Aparecer	0.36363636363636365	1.4	0.7	0.9	1.0094405594405595
112	appear	verbs	1076	EMERGE (APPEAR)	1306:1 1610:0	leave attend	2	3	出现	apparaître	появляться	Aparecer	0.0 3.090909090909091	0.2 1.5	0.1 1.1	0.6 2.7	0.28898601398601403 1.949417249417249
113	apple	nouns	1320	APPLE	162:0 198:0 302:0 687:0 766:0 1034:1	sauce sunshine candy lemon juice diet	6	6	苹果	pomme	яблоко	manzana	0.18181818181818182 0.18181818181818182 0.09090909090909091 0.18181818181818182 1.4545454545454546 0.7272727272727273	1.5 0.6 1.8 2.5 2.3 1.2	1.0 0.0 0.8 0.7 1.0 0.6	0.6 0.5 0.5 0.5 1.0 0.9	0.5678904428904429 0.15681818181818186 0.5624708624708625 0.9771561771561772 1.1209207459207462 0.6297785547785547
114	appliance	nouns			469:1	pot	1	1	器具	dispositif	прибор	aparato	2.4545454545454546	0.1	0.5	0.3	0.7099650349650343
115	applicant	nouns			1024:0	application	1	1	申请人	candidat	кандидат	solicitante	1.2727272727272727	2.8	0.2	1.7	1.3925407925407924
116	application	nouns			1024:1	applicant	1	1	申请	candidature	приложение	solicitud	1.2727272727272727	2.8	0.2	1.7	1.3925407925407924
117	appoint	verbs			1550:0	elect	1	1	任命	nommer	назначать	nombrar	0.6363636363636364	5.5	0.8	3.2	2.547144522144522
118	appointment	nouns			592:0	engagement	1	1	约定	rendez-vous	назначение	cita	2.1818181818181817	3.4	1.2	4.0	1.5555361305361302
119	approve	verbs			1443:1	permit	1	1	赞成	approuver	утвердить	aprobar	3.8181818181818183	3.6	2.8	3.1	3.6042540792540785
120	archaeology	nouns			364:1	anthropology	1	1	考古学	archéologie	археология	arqueología	0.9090909090909091	2.8	0.8	1.1	1.668240093240093
121	archbishop	nouns			210:0	bishop	1	1	大主教	archevêque	архиепископ	arzobispo	4.2727272727272725	4.7	2.7	3.0	3.5527389277389276
122	archer	nouns			29:0	pathfinder	1	1	射手	archer	лучник	arquero	0.2727272727272727	2.2	0.6	0.8	0.5726107226107227
123	area	nouns	2980	AREA	566:0	zone	1	3	地区	surface	область	área	4.636363636363637	3.7	3.6	5.3	4.653030303030303
124	area	nouns	2980	AREA	615:0	corner	1	3	地区	surface	область	zona	0.45454545454545453	1.1	0.0	0.6	0.6300699300699301
125	area	nouns	2980	AREA	654:0	region	1	3	地区	espace	область	zona	5.181818181818182	3.0	4.4	3.9	4.403379953379954
126	argue	verbs	3302	QUARREL (VERB)	1356:0	persuade	1	12	争论	se disputer	спорить	discutir	2.272727272727273	0.8	3.3	1.3	1.789335664335664
127	argue	verbs	3302	QUARREL (VERB)	1408:0	demand	1	12	争论	arguer	спорить	discutir	0.2727272727272727	1.9	0.9	0.6	0.7956876456876459
128	argue	verbs	3302	QUARREL (VERB)	1434:1	complain	1	12	争论	se disputer	ругаться	discutir	2.090909090909091	2.1	0.7	2.7	1.4470862470862471
129	argue	verbs	3302	QUARREL (VERB)	1461:0 1583:0 1644:0	justify prove rationalize	3	12	争论	débattre	аргументировать	discutir	3.8181818181818183 1.7272727272727273 2.272727272727273	2.8 2.6 3.1	5.5 3.7 5.6	0.7 0.6 2.1	2.2959207459207462 1.5811188811188817 2.0078671328671325
130	argue	verbs	3302	QUARREL (VERB)	1459:1 1465:0 1586:1 1587:1 1728:0 1744:1	agree differ debate attend yell convince	6	12	争论	débattre	спорить	discutir	0.36363636363636365 0.2727272727272727 3.1818181818181817 0.18181818181818182 1.0909090909090908 2.4545454545454546	2.9 1.6 5.0 1.1 2.1 3.4	0.2 0.3 2.3 0.0 0.4 1.6	0.5 2.9 3.5 0.2 0.9 1.2	0.5367132867132868 1.492365967365967 3.071678321678321 0.3393939393939394 1.2944055944055946 1.6012820512820511
131	argument	nouns			304:1	discussion	1	3	争论	débat	спор	discusión	3.6363636363636362	5.2	3.8	2.7	2.7450466200466206
132	argument	nouns			472:0	agreement	1	3	争论	discussion	спор	discusión	0.45454545454545453	3.4	0.5	1.2	0.7344405594405594
133	argument	nouns			739:0	criticism	1	3	争论	dispute	спор	argumento	1.0909090909090908	2.8	1.1	2.8	1.575058275058275
134	arithmetic	nouns			196:1 725:0	logic rhythm	2	2	算术	arithmétique	арифметика	aritmética	2.090909090909091 0.09090909090909091	4.0 0.2	1.2 0.2	2.1 0.9	1.6485431235431234 0.2575757575757576
135	arm	nouns	1673	ARM	1:0 335:1 546:0 587:0 648:0 728:1 752:0 822:0 842:0 906:0	muscle branch shoulder vein wrist leg neck bone body knee	10	10	手臂	bras	рука	brazo	1.1818181818181819 0.09090909090909091 0.2727272727272727 0.09090909090909091 0.09090909090909091 0.45454545454545453 0.18181818181818182 0.45454545454545453 0.45454545454545453 0.36363636363636365	2.6 1.7 2.9 1.5 2.5 2.9 2.1 2.2 2.4 2.2	1.1 0.3 1.4 0.8 1.3 0.6 0.6 0.9 1.1 0.7	1.4 1.3 1.0 0.5 1.0 0.6 0.5 0.9 1.1 0.5	1.1432983682983682 0.7761655011655012 1.7141025641025645 0.5458041958041958 1.3540792540792543 1.1194638694638692 0.6836829836829836 1.0124125874125876 1.190034965034965 0.8086829836829836
136	army	nouns	1561	ARMY	286:1 607:0 640:0	navy squad legion	3	3	军队	armée	армия	Ejército	3.8181818181818183 0.6363636363636364 4.454545454545454	3.9 2.6 3.7	2.4 1.7 1.8	4.5 1.0 3.2	3.246561771561772 1.7041958041958036 3.2143356643356635
137	arrange	verbs	1568	ARRANGE	1372:0	require	1	2	安排	organiser	устраивать	organizar	0.0	0.4	0.0	0.3	0.2151515151515152
138	arrange	verbs	1568	ARRANGE	1391:0	organize	1	2	安排	organiser	устраивать	gestionar	0.8181818181818182	4.9	4.6	4.5	4.182167832167832
139	array	nouns			1000:0	list	1	1	阵列	tableau	матрица	formación	0.5454545454545454	3.1	0.9	0.5	1.327156177156177
140	arrest	verbs			1483:0	suspect	1	1	逮捕	arrêter	арестовывать	arrestar	0.36363636363636365	1.6	0.3	0.8	0.6234265734265735
141	arrive	verbs	1387	ARRIVE	1388:1 1562:0 1632:0	attend leave come	3	3	到达	arriver	прибывать	llegar	3.090909090909091 0.2727272727272727 2.8181818181818183	0.4 0.4 5.0	1.1 0.0 3.1	2.2 0.4 1.9	1.9480769230769235 0.27913752913752915 3.407459207459208
142	arrogant	adjectives			1078:1	proud	1	1	傲慢	arrogant	высокомерный	arrogante	2.909090909090909	4.6	2.7	3.5	2.7493589743589735
143	arrow	nouns	977	ARROW	158:1	target	1	1	箭头	flèche	стрела	flecha	0.7272727272727273	2.6	1.0	1.2	0.9093240093240094
144	article	nouns			222:0 397:1 979:1	journal book manuscript	3	3	文章	article	статья	artículo	2.090909090909091 3.3636363636363638 3.1818181818181817	3.8 2.8 2.6	1.4 1.0 3.4	1.7 1.0 2.2	2.2378787878787874 1.7281468531468525 2.0236596736596737
145	artificial	adjectives			1114:0	fake	1	1	人造	artificiel	искусственный	artificial	3.0	4.6	3.9	3.4	4.209149184149184
146	artist	nouns			475:1	artwork	1	1	艺术家	artiste	художник	artista	0.8181818181818182	2.5	1.2	1.6	1.2254662004662005
147	artwork	nouns			475:0	artist	1	1	艺术品	oeuvre	искусства	obra de arte	0.8181818181818182	2.5	1.2	1.6	1.2254662004662005
148	ashamed	adjectives	1894	ASHAMED	1063:1 1117:1	guilty modest	2	4	羞愧	honteux	пристыженный	avergonzado	4.363636363636363 0.36363636363636365	3.0 1.1	2.5 0.5	1.8 0.8	2.1799533799533797 0.8381701631701634
