word	pos	wordnet_id	nltk_name	hypernyms	hyponyms	hypernym_names	hyponym_names	in_degree	out_degree
person	n	00007846-n	person.n.01	00007347-n;00004475-n	09877856-n;09976728-n;09763784-n;10264219-n;10702615-n;10150794-n;10525134-n;10052843-n;09610255-n;09627117-n;09638875-n;09614047-n;10641551-n;10235549-n;10012815-n;10575594-n;10362003-n;10322546-n;10709529-n;10093396-n;10147262-n;09833896-n;10231087-n;10399299-n;09824609-n;10402417-n;10000616-n;10466918-n;10122128-n;10395390-n;09627462-n;10221656-n;10613505-n;09752519-n;10540656-n;09947127-n;10236842-n;10365399-n;10050712-n;10584853-n;10425946-n;10386071-n;09620794-n;10213429-n;09890749-n;09636106-n;10611541-n;10018021-n;10757625-n;10099375-n;10418101-n;09964411-n;10725734-n;10143725-n;10044682-n;09910374-n;10526534-n;10209888-n;09625401-n;09636339-n;10370381-n;09628382-n;10278666-n;10513823-n;09609561-n;10703336-n;09769636-n;10530959-n;09976429-n;09613191-n;10284965-n;10626722-n;10012377-n;10616779-n;09796809-n;09764900-n;10769782-n;10609325-n;10681383-n;10227266-n;10764296-n;10417682-n;10543795-n;09990415-n;09624980-n;10604180-n;10147619-n;09861287-n;10619492-n;10717461-n;10702167-n;10502046-n;10001647-n;10746346-n;10058411-n;09606527-n;09617867-n;10109662-n;09757944-n;10659762-n;10435716-n;09970088-n;09936620-n;10253122-n;09994943-n;10117511-n;10260706-n;10291730-n;10599354-n;09644820-n;10185148-n;10268299-n;09828600-n;09772330-n;10786517-n;10033663-n;09632518-n;10308066-n;09862845-n;10737431-n;09930464-n;10299700-n;10614225-n;10516692-n;10183157-n;09776261-n;10351625-n;10636874-n;09622049-n;09793141-n;10768585-n;10024362-n;09774167-n;10668666-n;10708797-n;10117739-n;09856671-n;09950457-n;09616922-n;09801102-n;10190745-n;09771664-n;10518349-n;10191001-n;10529231-n;10027246-n;10575787-n;10438172-n;10617904-n;09764201-n;09607280-n;09786585-n;09629246-n;09825413-n;10699752-n;10618007-n;10355142-n;09754541-n;09607630-n;09857852-n;09619824-n;09619168-n;09836160-n;10726031-n;10733350-n;09773245-n;10781236-n;10803193-n;10616578-n;10741590-n;10614363-n;09605289-n;09627017-n;10385707-n;10639047-n;10509605-n;10431625-n;09767197-n;09622928-n;09817536-n;10321754-n;09614315-n;10033225-n;09615465-n;10585976-n;10756641-n;09883452-n;09939313-n;09752927-n;10115082-n;10138369-n;10404550-n;09845401-n;10055730-n;09609871-n;10065547-n;10310903-n;10735564-n;10521470-n;09752657-n;09996481-n;09626589-n;09997622-n;10361525-n;09756961-n;10386618-n;09679170-n;10691600-n;09851165-n;10402824-n;10579676-n;09625789-n;09621359-n;09899289-n;10247044-n;10361390-n;10522759-n;09833997-n;10532576-n;10072708-n;10498699-n;10783539-n;09969491-n;10326551-n;10643727-n;09630641-n;10457777-n;09626031-n;10295819-n;09828403-n;10665302-n;10461169-n;09753065-n;10046527-n;10640968-n;10212780-n;10289039-n;09860415-n;10495167-n;10328941-n;10766025-n;09962414-n;09997212-n;10616670-n;10016954-n;10291110-n;10688975-n;09752795-n;09604981-n;10524973-n;10384496-n;09796974-n;10248876-n;10335563-n;10112591-n;09753792-n;10569179-n;10709256-n;09623038-n;10676682-n;10728998-n;10158756-n;10594043-n;10352299-n;10627349-n;10771636-n;09978889-n;09752381-n;09906449-n;09960315-n;10791890-n;10361060-n;10238272-n;09752246-n;10490965-n;09606009-n;10560637-n;09631129-n;09634494-n;10576223-n;10262183-n;10538154-n;10771990-n;10118844-n;10040617-n;10240082-n;09850457-n;09681351-n;09831856-n;09846265-n;09621545-n;10661216-n;09802445-n;10717589-n;09618957-n;09632274-n;10753061-n;09931267-n;10341955-n;10440580-n;10609686-n;09951274-n;10149436-n;09754051-n;10182913-n;10418735-n;09753642-n;09615807-n;09903936-n;09753498-n;10767020-n;09762821-n;10688811-n;09676884-n;10226993-n;09624168-n;10075899-n;10173895-n;10585077-n;10656223-n;10681060-n;10386515-n;10612803-n;10656488-n;10380126-n;10752480-n;10361296-n;09976119-n;10724372-n;09629752-n;10247880-n;10199783-n;09774783-n;09921673-n;10036266-n;09860506-n;10266328-n;10239761-n;09864536-n;09831962-n;10396462-n;10059162-n;09610405-n;10605088-n;10333165-n;09810364-n;10304383-n;10710632-n;10080337-n;10282920-n;10512982-n;10314182-n;09626238-n;10635788-n;10763878-n;10597234-n;10162194-n;09620078-n;09622302-n;09609232-n;10323999-n;10311823-n;10763725-n;10146927-n;10000007-n;10251779-n;10541229-n;10219879-n;09753348-n;10484739-n;10086074-n;10076778-n;09753204-n;09779124-n;10184946-n;09918554-n;10344774-n;10503452-n;10019888-n;10001058-n;10362319-n;09621232-n;10389398-n;09617696-n;10138767-n;10271525-n;09902954-n;10785695-n;10679998-n;10270878-n;10680910-n;10344922-n;09610660-n;09843602-n;10563711-n;09815076-n;09804230-n;10074841-n;10367409-n;09898892-n;10122300-n;10495975-n	causal_agent.n.01;organism.n.01	brunet.n.01;creditor.n.01;acquaintance.n.03;linguist.n.02;terror.n.02;guesser.n.01;restrainer.n.02;emotional_person.n.01;color-blind_person.n.01;precursor.n.02;white.n.01;coward.n.01;spurner.n.01;relative.n.01;differentiator.n.01;seeder.n.01;nonresident.n.01;misogamist.n.01;thrower.n.02;first-rater.n.01;grinner.n.01;baldhead.n.01;killer.n.01;pardoner.n.01;authority.n.02;partner.n.03;delayer.n.01;preserver.n.03;gatekeeper.n.01;pamperer.n.01;primitive.n.01;jewel.n.02;small_person.n.01;gemini.n.01;roundhead.n.01;complexifier.n.01;kink.n.03;nude.n.03;elizabethan.n.01;sex_object.n.01;philosopher.n.02;ouster.n.01;native.n.01;introvert.n.01;candidate.n.02;person_of_color.n.01;sleepyhead.n.01;dissenter.n.01;visually_impaired_person.n.01;follower.n.01;personification.n.01;copycat.n.01;transsexual.n.02;granter.n.01;ectomorph.n.01;charmer.n.02;revenant.n.01;insured.n.01;national.n.01;black.n.05;occultist.n.01;religious_person.n.01;machine.n.02;redhead.n.01;captor.n.01;testator.n.01;adjudicator.n.01;right-hander.n.02;creature.n.02;contestant.n.01;malcontent.n.01;sort.n.03;dieter.n.01;sniffler.n.01;anti.n.01;active.n.03;watcher.n.03;slave.n.01;suspect.n.01;junior.n.03;walk-in.n.01;personage.n.01;rusher.n.03;dancer.n.02;money_handler.n.01;six-footer.n.01;groaner.n.01;bluecoat.n.01;socializer.n.01;totemist.n.01;termer.n.01;quitter.n.01;demander.n.01;vanisher.n.01;enjoyer.n.01;anomaly.n.02;expert.n.01;free_agent.n.02;abstainer.n.02;stooper.n.02;pisser.n.01;counterterrorist.n.01;collector.n.01;left-hander.n.02;dead_person.n.01;gainer.n.02;life.n.08;man_jack.n.01;simpleton.n.01;amerindian.n.01;hoper.n.01;liver.n.03;baby_buster.n.01;adoptee.n.01;witness.n.05;dribbler.n.02;worker.n.01;nonmember.n.01;bodybuilder.n.01;undoer.n.02;closer.n.01;masturbator.n.01;smasher.n.01;registrant.n.01;homunculus.n.02;affiant.n.01;neglecter.n.01;spitter.n.01;juvenile.n.01;ancient.n.02;warrior.n.01;domestic_partner.n.01;advisee.n.01;subject.n.06;thin_person.n.01;gainer.n.01;birth.n.05;compulsive.n.01;entertainer.n.01;apprehender.n.02;huddler.n.02;admirer.n.02;reliever.n.02;hugger.n.01;rich_person.n.01;double.n.03;seeker.n.01;planner.n.01;snuffer.n.02;acquirer.n.01;applicant.n.01;amateur.n.01;sensualist.n.01;autodidact.n.01;tempter.n.01;snuffler.n.01;neutral.n.01;abjurer.n.01;appointee.n.02;biter.n.01;individualist.n.01;female.n.02;bullfighter.n.01;transvestite.n.01;turner.n.07;adversary.n.01;wiggler.n.01;yawner.n.01;sneezer.n.01;user.n.01;smiler.n.01;adult.n.01;percher.n.01;ostrich.n.01;sport.n.04;realist.n.02;picker.n.01;actor.n.02;loved_one.n.01;asthmatic.n.01;miracle_man.n.01;creator.n.02;dresser.n.02;disputant.n.01;shaker.n.01;visionary.n.01;buster.n.04;combatant.n.01;virgo.n.01;fugitive.n.01;good_guy.n.01;passer.n.02;beard.n.03;endomorph.n.01;changer.n.01;ethnic.n.01;mesomorph.n.01;tyrant.n.03;repeater.n.01;cancer.n.02;deaf_person.n.01;perceiver.n.01;debtor.n.01;nonperson.n.01;abomination.n.01;outdoorsman.n.01;gentile.n.02;tapper.n.02;best.n.02;party.n.05;sentimentalist.n.01;nonreligious_person.n.01;innocent.n.01;cashier.n.02;large_person.n.01;nonpartisan.n.01;rescuer.n.02;balker.n.01;riser.n.01;explorer.n.01;quarter.n.11;winker.n.01;counter.n.05;modern.n.01;squinter.n.01;unfortunate.n.01;posturer.n.01;nonworker.n.01;married.n.01;baby_boomer.n.01;struggler.n.01;powderer.n.01;libra.n.01;effecter.n.01;sprawler.n.01;interpreter.n.02;man.n.03;blogger.n.01;pursuer.n.02;monolingual.n.01;wanter.n.01;convert.n.01;debaser.n.01;sniffer.n.01;disentangler.n.01;manipulator.n.02;tagger.n.01;leo.n.01;self.n.02;rester.n.01;orphan.n.02;anti-american.n.01;laugher.n.01;mouse.n.03;friend.n.01;pisces.n.02;second-rater.n.01;third-rater.n.01;leader.n.01;supernumerary.n.01;trier.n.02;handicapped_person.n.01;showman.n.01;neighbor.n.01;sounding_board.n.01;weakling.n.01;cripple.n.01;taurus.n.02;chameleon.n.01;contemplative.n.01;worldling.n.01;nondescript.n.01;kneeler.n.01;aries.n.01;public_relations_person.n.01;adventurer.n.01;scientist.n.01;unwelcome_person.n.01;african.n.01;segregate.n.01;lightning_rod.n.01;romper.n.01;weasel.n.01;gambler.n.01;dyslectic.n.01;knower.n.01;bereaved.n.01;jew.n.01;bad_guy.n.01;bedfellow.n.02;intellectual.n.01;stranger.n.02;appreciator.n.01;toucher.n.01;face.n.05;unskilled_person.n.01;victorian.n.01;clumsy_person.n.01;mutilator.n.01;player.n.04;slave.n.03;computer_user.n.01;grunter.n.01;abator.n.01;homosexual.n.01;perspirer.n.01;aquarius.n.01;engineer.n.01;censor.n.01;capricorn.n.01;ward.n.01;achiever.n.01;tagger.n.02;slav.n.01;jumper.n.01;male.n.02;faddist.n.01;heterosexual.n.01;sex_symbol.n.01;stifler.n.01;survivor.n.02;outcaste.n.01;sloucher.n.01;stigmatic.n.01;optimist.n.01;victim.n.02;nonparticipant.n.01;crawler.n.02;transfer.n.02;traveler.n.01;latin.n.03;immune.n.01;advocate.n.01;chutzpanik.n.01;drug_user.n.01;blond.n.01;literate.n.01;knocker.n.02;bomber.n.02;bad_person.n.01;pansexual.n.01;enrollee.n.01;commoner.n.01;skidder.n.01;mother_hen.n.01;arrogator.n.01;measurer.n.01;tiger.n.01;fastener.n.01;mailer.n.02;rectifier.n.02;middlebrow.n.01;peer.n.01;sphinx.n.01;waker.n.02;signer.n.02;hater.n.01;inhabitant.n.01;lover.n.01;capitalist.n.02;mixed-blood.n.01;mestizo.n.01;waiter.n.02;greeter.n.01;defecator.n.01;learner.n.01;ruler.n.01;jat.n.01;sagittarius.n.01;propositus.n.01;fiduciary.n.01;faller.n.02;scorpio.n.01;agnostic.n.01;hope.n.04;child.n.03;namer.n.01;radical.n.03;divider.n.02;deliverer.n.04;nonsmoker.n.01;native.n.02;owner.n.02;experimenter.n.02;good_person.n.01;loose_cannon.n.01;celebrant.n.01;withholder.n.01;surrenderer.n.01;longer.n.01;survivalist.n.01;namesake.n.01;communicator.n.01;bather.n.02;scratcher.n.02;assessee.n.01;archaist.n.01;extrovert.n.01;nurser.n.01;case.n.06;gatherer.n.01;pussycat.n.01	2	402
twitch	v	00009631-v	twitch.v.01	00010054-v	00009884-v	move_involuntarily.v.01	fibrillate.v.01	1	1
act	v	00010435-v	act.v.02		02518043-v;00011361-v;00012267-v;00011852-v;00010241-v;00012944-v;02592895-v;00106843-v;00013615-v;02602212-v;02011685-v;00013328-v;00012434-v;00107468-v;02374572-v;00013172-v;01784295-v;00011982-v;02519890-v;02723016-v;00011698-v;00013858-v;02518956-v;00012854-v;00012613-v;00012137-v;00011551-v;02600255-v;00105554-v;00012753-v;02596908-v;00107369-v		hugger_mugger.v.01;fall_over_backwards.v.01;make.v.19;optimize.v.03;act_involuntarily.v.01;sentimentalise.v.03;frivol.v.01;piffle.v.02;act.v.05;relax.v.05;dally.v.02;play.v.16;swagger.v.03;make_as_if.v.01;backslap.v.01;bungle.v.02;break_down.v.03;quack.v.02;footle.v.02;ramp.v.01;vulgarize.v.03;stooge.v.03;sauce.v.01;romanticize.v.03;freeze.v.10;menace.v.03;presume.v.04;follow.v.18;joke.v.02;wanton.v.06;swell.v.02;make.v.48	0	32
abstract	a	00011757-a	abstract.a.01					0	0
concrete	a	00013160-a	concrete.a.01					0	0
abundant	a	00013887-a	abundant.a.01					0	0
shiver	v	00014201-v	shiver.v.02	00010054-v		move_involuntarily.v.01		1	0
be_active	v	00014549-v	be_active.v.01		02083806-v		bestir.v.01	0	1
animal	n	00015388-n	animal.n.01	00004475-n	01324916-n;01314781-n;01323781-n;01315330-n;01316288-n;01319467-n;01321456-n;01316422-n;01321230-n;01458842-n;01318478-n;01905661-n;01324305-n;02075612-n;01324610-n;02152991-n;02152881-n;01324799-n;02451575-n;01317541-n;01315805-n;01316949-n;01317916-n;01315213-n;01320872-n;02152740-n;01318660-n;01908958-n;09893502-n;02384858-n;02157206-n;01323599-n;01466257-n;01314663-n;01324142-n;10300303-n;01314910-n;01315581-n;01319001-n;01321579-n;01325060-n;02157285-n;01314388-n;01319187-n;01384164-n;02311060-n;01318894-n	organism.n.01	acrodont.n.01;creepy-crawly.n.01;giant.n.01;homeotherm.n.01;varmint.n.02;marine_animal.n.01;adult.n.02;scavenger.n.03;male.n.01;embryo.n.02;migrator.n.02;invertebrate.n.01;mutant.n.02;omnivore.n.02;herbivore.n.01;game.n.04;prey.n.02;insectivore.n.02;fictional_animal.n.01;domestic_animal.n.01;range_animal.n.01;work_animal.n.01;feeder.n.06;peeper.n.03;female.n.01;predator.n.02;molter.n.01;metazoan.n.01;captive.n.02;racer.n.03;hexapod.n.01;thoroughbred.n.03;chordate.n.01;critter.n.01;survivor.n.03;mate.n.03;darter.n.02;poikilotherm.n.01;stayer.n.01;young.n.01;pleurodont.n.01;biped.n.01;pest.n.04;stunt.n.02;zooplankton.n.01;larva.n.01;pet.n.01	1	47
nap	v	00015498-v	nap.v.01	00014742-v	00015303-v	sleep.v.01	snooze.v.01	1	1
plant	n	00017222-n	plant.n.02	00004475-n	11536369-n;11530008-n;13123681-n;13124654-n;11536567-n;11553240-n;11530990-n;13122985-n;13083586-n;11530715-n;11552806-n;11531090-n;13179056-n;11536673-n;11553419-n;11687071-n;11536087-n;11686912-n;11531193-n;11686503-n;11536230-n;11552976-n;11553522-n;01383896-n;11530860-n;13083023-n;11686780-n;11530512-n;11552133-n;13100156-n;11553634-n;13083306-n	organism.n.01	acrogen.n.01;microflora.n.01;rock_plant.n.01;autophyte.n.01;apomict.n.01;perennial.n.01;non-flowering_plant.n.01;air_plant.n.01;vascular_plant.n.01;endemic.n.02;annual.n.01;plantlet.n.01;myrmecophyte.n.01;aquatic.n.01;escape.n.06;gametophyte.n.01;ornamental.n.01;sporophyte.n.01;wilding.n.01;embryo.n.01;pot_plant.n.01;biennial.n.01;hygrophyte.n.01;phytoplankton.n.01;holophyte.n.01;houseplant.n.01;monocarp.n.01;crop.n.02;cryptogam.n.01;poisonous_plant.n.01;neophyte.n.01;garden_plant.n.01	1	32
acceptable	a	00017782-a	acceptable.a.01					0	0
go_to_bed	v	00017865-v	go_to_bed.v.01		00017531-v		bed_down.v.01	0	1
get_up	v	00018158-v	get_up.v.02					0	0
wake_up	v	00018526-v	wake_up.v.02	00146138-v		change_state.v.01		1	0
accessible	a	00019131-a	accessible.a.01					0	0
substance	n	00019613-n	substance.n.01	13809207-n;00020827-n	14723079-n;05263850-n;14586258-n;14840755-n;05432736-n;15110096-n;15093735-n;14738892-n;14622893-n;14899152-n;14939900-n;14583228-n;14619225-n;14580897-n;14899530-n;14580752-n	part.n.01;matter.n.03	activator.n.01;body_substance.n.01;mixture.n.01;element.n.05;protoplasm.n.01;essence.n.02;volatile.n.01;substrate.n.01;chemical_element.n.01;medium.n.07;fluid.n.01;phlogiston.n.01;atom.n.01;material.n.01;medium.n.06;chemistry.n.02	2	16
hypnotize	v	00020671-v	hypnotize.v.01	00022316-v	00020926-v	sedate.v.01	entrance.v.02	1	1
matter	n	00020827-n	matter.n.03	00001930-n	14582025-n;14956661-n;15046900-n;00019613-n;14939445-n;14582220-n;14582535-n;14981183-n;14583573-n;15109745-n;00020090-n;09428967-n;15004501-n;15110956-n;15047849-n	physical_entity.n.01	ylem.n.01;sludge.n.02;solid.n.01;substance.n.01;fluid.n.02;dark_matter.n.01;antimatter.n.01;system.n.03;glop.n.01;emanation.n.01;substance.n.07;sediment.n.01;residue.n.01;vegetable_matter.n.01;solute.n.01	1	15
food	n	00021265-n	food.n.01	00020090-n	14582716-n;07566340-n;07881800-n;14583400-n;07572353-n;07800091-n;07935504-n;07570720-n;01464844-n;07560652-n;07556406-n;07556637-n;07938313-n;07860629-n;14899328-n	substance.n.07	micronutrient.n.01;foodstuff.n.02;beverage.n.01;chyme.n.01;commissariat.n.01;feed.n.01;water.n.06;nutriment.n.01;yolk.n.02;fare.n.04;comfort_food.n.01;comestible.n.01;soul_food.n.01;miraculous_food.n.01;culture_medium.n.01	1	15
accurate	a	00021766-a	accurate.a.01					0	0
cognition	n	00023271-n	cognition.n.01	00023100-n	05816287-n;05612358-n;05611302-n;05686481-n;05701363-n;06156752-n;05644922-n;05695554-n;05701738-n;05667196-n;05612067-n;05809192-n;06193203-n;05616246-n;05611822-n;05710020-n;05726345-n;05651242-n;05651068-n	psychological_feature.n.01	information.n.02;episteme.n.01;mind.n.01;cognitive_factor.n.01;process.n.02;history.n.05;inability.n.01;equivalent.n.01;process.n.04;practice.n.05;public_knowledge.n.01;content.n.05;attitude.n.01;ability.n.02;place.n.03;perception.n.04;structure.n.03;vocabulary.n.02;lexis.n.01	1	19
faint	v	00023646-v	faint.v.01	00023868-v		zonk_out.v.01		1	0
motivation	n	00023773-n	motivation.n.01	00023100-n	09180431-n;09178727-n;09183693-n;09184834-n;09180259-n;09178821-n	psychological_feature.n.01	urge.n.01;life.n.13;ethical_motive.n.01;psychic_energy.n.01;irrational_motive.n.01;rational_motive.n.01	1	6
new	s	00024996-a	new.s.11					0	0
tense	v	00025203-v	tense.v.04	00019448-v	00027268-v	affect.v.02	stretch.v.02	1	1
relax	v	00026385-v	relax.v.01	00146138-v	00026941-v;00026734-v	change_state.v.01	sit_back.v.01;vege_out.v.01	1	2
location	n	00027167-n	location.n.01	00002684-n	09386842-n;08620061-n;13910384-n;08489890-n;08562067-n;08593262-n;08561835-n;08490402-n;08490039-n;08561081-n;08489627-n;08500433-n;08630985-n;08561462-n;08630039-n;08561230-n;08683383-n;08795880-n;08561946-n;08490199-n;08561351-n;08561583-n;08561714-n;08509111-n;08489497-n;08489765-n	object.n.01	pass.n.04;point.n.02;space.n.02;bilocation.n.01;earth.n.04;line.n.11;west.n.08;base.n.14;seat.n.06;north.n.04;there.n.01;outer_space.n.01;region.n.03;southeast.n.04;region.n.01;northeast.n.04;whereabouts.n.01;sodom.n.01;northwest.n.04;home.n.03;east.n.05;south.n.04;southwest.n.04;jungle.n.01;here.n.01;somewhere.n.01	1	26
smile	v	00028565-v	smile.v.01	00034288-v	00029025-v;00029336-v;00029214-v;00028876-v;00032539-v	grimace.v.01	grin.v.01;smirk.v.01;beam.v.01;dimple.v.02;sneer.v.02	1	5
grin	v	00029025-v	grin.v.01	00028565-v		smile.v.01		1	0
act	n	00030358-n	act.n.02	00029378-n	00083260-n;00809074-n;01195584-n;01073995-n;00041899-n;00042311-n;06252138-n;00037396-n;01053920-n;01083077-n;00407535-n;00070641-n;00044150-n;00070363-n;00043195-n;00044455-n;00045114-n;00205891-n;00392335-n;01266491-n;00045907-n;00044900-n;01053617-n;01252124-n;00042757-n;00912960-n;07160883-n;00066216-n;01062583-n;00043609-n;00042541-n;00830257-n;00203342-n;00045250-n;01076046-n;00874067-n;01080366-n;00046522-n;00044673-n;00046177-n	event.n.01	assumption.n.07;hire.n.02;legitimation.n.01;hindrance.n.03;acquiring.n.01;causing.n.01;communication.n.01;action.n.01;residency.n.01;distribution.n.03;activity.n.01;motivation.n.03;implementation.n.02;leaning.n.04;discovery.n.01;egress.n.03;mitzvah.n.02;forfeit.n.03;derivation.n.08;proclamation.n.02;recovery.n.03;exhumation.n.01;stay.n.01;waste.n.05;departure.n.01;production.n.01;speech_act.n.01;nonaccomplishment.n.01;inactivity.n.03;disposal.n.03;delivery.n.07;wear.n.03;rejection.n.01;propulsion.n.02;stop.n.02;judgment.n.02;group_action.n.01;touch.n.05;equalization.n.01;running_away.n.01	1	40
laugh	v	00031820-v	laugh.v.01	01802494-v	00031540-v;00029742-v;00032297-v;00031663-v;00032414-v;00031418-v;00030142-v;00030010-v;00029836-v;00030366-v;00029630-v	express_emotion.v.01	guffaw.v.01;bellylaugh.v.01;convulse.v.02;chuckle.v.01;cachinnate.v.01;cackle.v.03;giggle.v.01;snicker.v.01;roar.v.06;break_up.v.19;bray.v.03	1	11
active	a	00031974-a	active.a.05					0	0
agile	s	00032733-a	agile.s.01					0	0
frown	v	00032981-v	frown.v.01	00034288-v	00033852-v	grimace.v.01	scowl.v.01	1	1
communication	n	00033020-n	communication.n.02	00002137-n	07255791-n;06600421-n;07066659-n;06887726-n;13403331-n;07110615-n;06873252-n;06253690-n;06793231-n;07109019-n;07082025-n;06282383-n;06797169-n;06598915-n;06282651-n;07277697-n;06791372-n;01102436-n;06349220-n	abstraction.n.06	psychic_communication.n.01;didacticism.n.01;expressive_style.n.01;display.n.05;document.n.03;voice.n.02;visual_communication.n.01;message.n.01;sign.n.02;auditory_communication.n.01;paralanguage.n.01;contagion.n.03;indication.n.01;message.n.02;language.n.01;voice.n.06;signal.n.01;publication.n.03;written_communication.n.01	1	19
glower	v	00033203-v	glower.v.01	00033406-v		stare.v.02		1	0
shrug	v	00033955-v	shrug.v.01	00992041-v		gesticulate.v.01		1	0
phenomenon	n	00034213-n	phenomenon.n.01	00029677-n	11410625-n;11408914-n;11408733-n;11418460-n;11418138-n;11408559-n;11529295-n	process.n.06	consequence.n.01;metempsychosis.n.01;levitation.n.01;luck.n.03;luck.n.02;natural_phenomenon.n.01;pulsation.n.02	1	7
accomplishment	n	00035189-n	accomplishment.n.01	00037396-n	00127286-n;00062806-n;00095502-n;00037200-n;00047106-n;00037090-n;01263711-n;00036580-n;00048225-n;00048051-n;00061014-n;00036299-n;00623052-n;00047941-n;01263924-n;01263582-n;00036762-n;00037006-n;00047745-n	action.n.01	base_on_balls.n.01;attainment.n.01;liberation.n.01;credit.n.04;performance.n.04;masterstroke.n.01;recruitment.n.01;cakewalk.n.02;arrival.n.01;going.n.03;close_call.n.01;beachhead.n.02;haymaking.n.01;fait_accompli.n.01;smooth.n.01;face_saver.n.01;feat.n.01;masterpiece.n.02;record.n.04	1	19
retired	s	00035368-a	retired.s.01					0	0
wash	v	00036362-v	wash.v.02	00035758-v	00036685-v;00037138-v;00042017-v;00036780-v;00461234-v	cleanse.v.01	sponge_down.v.02;gargle.v.02;shampoo.v.01;scrub.v.02;hush.v.04	1	5
shave	v	00037298-v	shave.v.01	00040353-v	00037779-v;00037680-v	groom.v.03	tonsure.v.01;razor.v.01	1	2
course	n	00038262-n	course.n.04	00037396-n	00415676-n;00038573-n;00038863-n	action.n.01	way.n.05;blind_alley.n.02;collision_course.n.02	1	3
interaction	n	00039021-n	interaction.n.01	00037396-n	00039297-n;00040152-n;00039211-n	action.n.01	contact.n.01;interchange.n.02;interplay.n.01	1	3
contact	n	00039297-n	contact.n.01	00039021-n	00039545-n;00039990-n;00039740-n	interaction.n.01	brush.n.09;placement.n.02;eye_contact.n.02	1	3
passive	a	00039592-a	passive.a.01					0	0
delivery	n	00042541-n	delivery.n.07	00030358-n	00186549-n;00185438-n;00186251-n;00185778-n	act.n.02	midwifery.n.02;breech_delivery.n.01;forceps_delivery.n.01;cesarean_delivery.n.01	1	4
