CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	ENGLISH_AROUSAL_MEAN	ENGLISH_VALENCE_MEAN	LINE_IN_SOURCE
3460	BEACH	beach	7.467	5.485	184
3470	LIAR	liar	2.3	5.966	1348
3471	OBLIGATION (DUTY)	obligation	2.568	5.227	1586
3533	ONE MILLION	million	7.033	6.804	1492
3534	BEG	beg	3.563	5.345	195
3551	FETCH	fetch	4.778	5	901
3554	GOODBYE	farewell	4.519	4.37	880
356	SHEARS	scissors	4.697	5.938	2026
3608	WARRIOR	warrior	4.676	6.932	2565
3616	FAINT (PASS OUT)	faint	2.939	5.214	872
3617	STUMBLE	stumble	4.933	5.389	2282
3620	SLEEPY	sleepy	5.625	2.935	2144
3621	DISABLED PERSON	cripple	3.818	5.286	571
3625	HEADACHE	headache	1.818	4.84	1100
3632	GENEROUS	generous	7.967	5.478	1006
3633	CURIOUS	curious	7.414	6.077	593
3634	STUBBORN	stubborn	3.935	5.818	2277
3635	ADULT	adult	5.515	5.071	32
3638	ASSEMBLE (GET TOGETHER)	assemble	5.063	5	120
3639	AVOID	avoid	3.625	5.296	147
3640	GOSSIP	gossip	6.188	7.154	1030
3651	MUSH (FOOD)	mush	4.524	3.409	1538
3659	POLISH (SOMETHING)	polish	5.63	4.139	1742
366	LIMP	limp	4.577	3.684	1361
3673	MOURNING	mourning	3.133	4.677	1529
3681	PARTRIDGE	partridge	5.235	4.133	1648
3689	BUBBLE	bubble	7.207	4.367	304
3695	MOVEMENT	movement	6.467	5.303	1530
3702	SLIPPERY	slippery	4.821	5.417	2150
3703	STICKY	sticky	5.074	5.857	2252
3726	BROCCOLI	broccoli	4.933	3.689	301
3729	LETTUCE	lettuce	5.484	4.107	1344
3746	VASE	vase	5.5	3.488	2529
3747	SHAPE	shape	5.054	4.909	2087
3758	WINDY	windy	3.645	5.382	2592
3761	EMOTIONAL	emotional	6.867	6.313	796
378	PINCH	pinch	4.35	5.19	1713
3780	PET	pet	7.906	6.419	1691
379	BLUNT	dull	2.964	3.077	767
38	SPREAD OUT	spread	5.4	4.867	2222
3808	JUNGLE	jungle	5.297	6.568	1284
3809	SCREAM (PRODUCE A CRY)	scream	3.207	6.808	2034
381	BLAME	blame	3.094	4.967	223
3849	TRIUMPH	triumph	7.893	7.656	2452
3854	SADNESS	sadness	1.75	4.31	1985
3858	CONFUSED	confused	2.889	5.207	508
3860	POSSESSIONS	belongings	6.433	4.667	202
3861	FAIL	fail	1.594	6.148	870
3866	ABORTION	abortion	3.897	5.885	6
3869	ANXIOUS	anxious	2.258	5.75	91
387	SLING	sling	4.2	5.222	2149
3872	BLOND	blond	6.1	4.6	231
3875	CRIMINAL	criminal	2.344	6.559	570
3876	DENTIST	dentist	4.25	4.806	649
3879	IMAGINE	imagine	7.875	5.767	1180
3882	ROSE	rose	7.121	5.156	1966
3885	IMPATIENT	impatient	4.074	6.679	1188
3888	SKUNK	skunk	4.263	4.609	2136
3895	DETECT	detect	5.379	4.808	662
3896	ROAR	roar	5.29	6.074	1955
392	MAGIC	magic	7.879	7.406	1407
3929	BRAZILIAN CEDAR	cedar	4.706	4.412	372
3948	SHOTGUN	shotgun	3.194	6.143	2104
395	PILL	pill	3.387	5.577	1710
3958	SOCIETY	society	5.367	6	2169
3963	SCENERY	scenery	6.219	5.185	2019
3966	CONCEPT	concept	5.25	4.407	494
3970	PROCESS	process	5.333	5.034	1794
3973	DEPRESSED	depressed	1.939	4.469	652
3976	EXPLODE	explode	3.552	7.12	849
3982	BREEZE	breeze	6.897	3.826	292
3994	PIANO (INSTRUMENT)	piano	6.515	4.6	1703
40	ENVY	envy	2.833	6.219	816
4005	SUITCASE	suitcase	5.844	6.323	2301
4010	TOASTER	toaster	5.969	4	2410
4016	MICROSCOPE	microscope	5.121	4.688	1486
4019	CIGAR	cigar	3.652	4.571	421
4021	DINOSAUR	dinosaur	5.469	6.441	687
4022	SUBMARINE	submarine	5.355	5.552	2288
41	IGNORE	ignore	2.414	4.231	1178
419	SEVERE	severe	3.625	4.875	2075
42	STINKING	stinky	2.607	4.833	2254
425	BE LATE	delayed	3.2	5.241	634
43	LEAD (GUIDE)	guide	6.222	3.857	1066
44	INJURE	harm	2.688	6.053	1088
471	UPPER LEG (THIGH)	thigh	5.429	5.037	2384
477	LATE	late	3.355	4.964	1318
479	GROW	grow	6.581	5.846	1059
48	BE SILENT	silent	5.188	3.889	2117
480	PLATE	plate	5.306	4.233	1724
481	DISH	dish	5.25	4.765	705
483	COMPOUND	compound	5	4.375	489
486	MINISTER	minister	3.906	4.323	1495
487	SHY	shy	4.188	4.079	2111
488	MANNER	manner	5.485	4.548	1425
49	REFUSE	refuse	3.029	5.034	1894
491	CENTER	center	5.394	4.68	375
501	LIFT	lift	5.862	4.5	1355
502	NAIL (TOOL)	nail	5.656	4.645	1547
507	MELON	melon	6.333	4.938	1467
508	PERIOD	period	3.865	4.773	1682
509	CERTAIN	sure	7.233	4.9	2318
51	SORE	sore	3.7	4.333	2182
518	SPARK	spark	6.733	6.423	2194
52	SHIVER	tremble	3.793	5.043	2444
522	WOLF	wolf	5.75	6.452	2603
523	BACK OF HEAD	rear	4.591	4.273	1871
526	HOWL	howl	5.679	4.185	1156
528	DREADFUL	dreadful	3.385	4.654	753
53	SPIRIT	spirit	6.933	5.242	2212
539	NEST	nest	5.643	4.2	1558
541	POETRY	poetry	7.375	4.368	1736
544	SPICY	spicy	5.75	7.1	2206
55	WHISPER	whisper	6.241	3.75	2586
557	OFFEND	offend	2.727	4.938	1595
56	BAD LUCK	misfortune	2.433	4.793	1501
568	RISE (MOVE UPWARDS)	rise	6.8	6.31	1950
569	SPOIL (BECOME SPOILED)	rot	3.704	4.136	1967
575	TREAD	tread	4.385	4.844	2442
580	FUR	fur	5.25	4.667	984
584	DIFFICULT	difficult	3.188	6.704	677
585	BOOT	boot	5.583	4.185	257
587	ANT	ant	4.375	4.176	87
588	BROKEN	broken	2.6	6	302
59	ELECTRICITY	electricity	6	5.467	792
590	NAKED	naked	6	6.379	1548
592	PISS	urinate	4.379	4.516	2517
593	POTATO	potato	6.606	5.125	1761
594	PIECE	piece	5	4.548	1707
595	GROUNDNUT (PEANUT)	peanut	6.533	4.217	1662
596	POSTAGE STAMP	stamp	4.867	4.323	2237
597	PHYSICIAN	doctor	5.4	4.909	727
600	STRANGE	strange	4.636	6.063	2264
604	GLASS	glass	5.303	4.36	1018
606	GRASS	grass	6.194	3.594	1042
611	HARVEST	crop	5.621	4.536	576
614	HILL	hill	6.394	4.857	1120
615	HORSE	horse	6.781	5.667	1146
619	ANIMAL	animal	7.364	5.793	79
621	IRON	iron	5.222	4.071	1261
624	LAKE	lake	7.069	4.341	1309
626	LAND	land	6.125	3.853	1312
629	LEATHER	leather	5.862	4.156	1331
630	LIGHT (RADIATION)	light	7.364	5.313	1356
631	LIVESTOCK	livestock	5.13	4.917	1371
632	LIZARD	lizard	5.759	5.32	1372
634	MEAT	meat	5.806	5.29	1456
638	MOTORCYCLE	motorcycle	5.091	5.64	1527
640	MUD	mud	4.143	4.163	1532
641	MUSHROOM	mushroom	5.939	4.643	1539
647	PAINT (PIGMENTS)	paint	7.375	5.037	1632
65	AMBUSH	ambush	3.563	6.28	70
66	KNEEL	kneel	4	5.261	1300
660	REEF	reef	5.63	4.619	1889
661	RELIGION	religion	3.875	4.212	1908
662	BATTERY	battery	5.742	4.969	182
665	BEE	bee	5.613	5.5	192
666	RIVER	river	7.258	5.143	1953
668	ROCK	rock	6.104	5.105	1960
671	SAND	sand	6.074	5	1997
673	SCHOOL	school	4.875	5.741	2023
678	BEARD	beard	4.531	4.406	188
68	TATTOO	tattoo	6.719	6.419	2351
680	BREAK (DESTROY OR GET DESTROYED)	break	3.242	6.517	288
681	DESTROY	destroy	2.222	6.552	659
683	PERSON	person	6.452	4.906	1685
685	DECIDE	decide	5.828	6.04	618
690	BOTTOM	bottom	4.719	4.647	267
691	SEASON	season	6.455	4.88	2043
692	BRING	bring	6.167	4.667	298
694	GET	get	5.758	5.04	1010
696	STIR	stir	4.667	4	2255
699	SAD	sad	2.281	3.484	1984
7	GATHER	gather	5.786	4.286	999
705	GO UP (ASCEND)	mount	5.182	4.282	1528
707	REMEMBER	remember	6.839	5.563	1913
710	WHEEL	wheel	4.581	4.31	2581
711	TALL	tall	6.097	5.552	2345
717	SWEET	sweetness	8.621	4.462	2334
72	CLAW	claw	4.625	4.75	440
722	ATTACK	attack	2.515	6.875	131
724	READ	read	7.567	5.152	1866
73	BEAK	beak	4.6	3.824	185
730	SNAKE	snake	3.742	6.103	2161
734	MAKE	make	6.167	5.433	1416
736	YARD	yard	5.483	4.182	2617
74	PUPPY	cub	6.565	3.818	584
740	SHIP	ship	5.5	5.625	2093
746	SHOP	shop	6.677	6.321	2100
754	HURRY	hurry	3.375	6.5	1164
763	SKIN	skin	5.194	5.034	2133
764	SUIT	suit	6.037	4.821	2299
768	LUNCH	lunch	7.5	6	1396
772	BELT	belt	4.966	4.125	204
777	FLUTE	flute	5.714	3.886	936
779	PART	part	4.938	4.31	1645
784	SNOW	snow	7.833	6.733	2165
79	WASTE	waste	2.676	5.568	2566
791	STRANGER	stranger	4.727	6.448	2265
795	TROUT	trout	4.286	4	2459
796	NIPPLE	nipple	5.806	5.08	1567
798	JAW	jaw	5.063	4.69	1271
804	WOMB	womb	4.704	4.333	2604
805	SPINE	spine	4.429	4.75	2211
808	DRIP (FALL IN GLOBULES)	drip	5.107	5.038	757
809	TROUSERS	trousers	5.636	4.857	2458
815	GOVERNMENT	government	3.111	5.214	1032
83	FORBID	forbid	3.875	5.758	944
831	BASE	base	4.548	3.821	174
832	BEAN	bean	5	3.897	186
833	ENDURE	endure	5.037	5.276	805
834	BUTTOCKS	butt	6.4	5.724	328
835	CHAPTER	chapter	6.906	5.133	388
837	BLUE	blue	6	4.75	236
842	LIQUOR	liquor	5.531	6.235	1365
843	SPIDER	spider	2.438	6.065	2207
846	TIGER	tiger	6.069	6.37	2405
847	THIRSTY	thirsty	3.531	5.667	2387
848	THIRST	thirst	3.32	4.696	2386
849	SPRING (OF WATER)	source	5.545	4.484	2185
851	STABLE	stall	4.63	4.759	2235
853	ALTAR	altar	4.9	5.313	63
855	SEIZE	seize	5.345	4.634	2053
858	STORM	storm	5.8	6.242	2261
860	CAUSE	lawsuit	3.414	5.586	1324
864	PUMPKIN	pumpkin	6.333	4.897	1822
867	GLOVE	gloves	6.065	4.25	1023
873	TAX	tax	2.727	5.208	2353
874	CANDY	candy	7.2	6	346
876	ARCH	arch	5.438	4.286	104
879	COUGH	cough	2.633	4.393	546
887	BITTER	bitter	3.727	5.323	219
889	FLAME	flame	5.813	6.912	918
897	SWALLOW	swallow	5	4.885	2329
9	ANNOUNCE	announce	6.03	6.219	81
90	INNOCENT	innocent	5.867	3.406	1218
905	BORING	boring	2.258	3.321	263
909	GARBAGE	garbage	2.344	4.517	996
911	TEMPLE	temple	6	3.875	2364
912	COYOTE	coyote	5.515	4.966	556
916	LINEN	linen	5.333	3.714	1362
92	SPOIL (SOMEBODY OR SOMETHING)	spoil	4.3	5.091	2215
920	GRAPE	grape	6.9	4.594	1039
923	LOVE	love	8.323	6.29	1392
924	VEGETABLES	vegetable	6.424	4.92	2530
933	WALL (OF HOUSE)	wall	4.4	4.094	2559
936	STALLION	stallion	4.813	5.095	2236
937	BIRD	bird	6.788	4.688	214
946	BLOOD	blood	4.1	6.1	233
947	STREAM	stream	5.733	5.645	2270
948	WATER	water	7.375	3.895	2567
951	WEAPONS	weapon	3.021	6.474	2570
955	GREASY	greasy	3.815	4.593	1046
957	WHALE	whale	6.267	5.345	2580
96	CRAWL	crawl	4.889	4.4	561
966	BRAKE	brake	4.769	4.231	282
969	CIGARETTE	cigarette	3.8	5.485	422
970	COCONUT	coconut	6.516	4.643	453
972	BE ABLE	able	6.667	4.844	5
974	TOBACCO	tobacco	2.815	5.107	2411
976	WEAR	wear	6.121	4.844	2571
978	WAVE	wave	6.433	5.938	2568
979	FARMER	peasant	4.75	4.423	1665
981	ELBOW	elbow	4.581	3.786	788
983	CONVICT	convict	2.483	5.417	534
984	WORK (LABOUR)	work	5.233	6.03	2606
986	TOMATO	tomato	6.452	4.875	2414
987	REMAIN	remain	5.021	4.081	1912
990	CREEK (TIDAL)	creek	4.652	4.905	566
991	FRY	fry	5.194	4.867	972
994	BOW	bow	5.281	4.767	272
996	DEAF	deaf	2.414	3.903	613
998	PUT	put	5.125	4.567	1832
