CONCEPTICON_ID	CONCEPTICON_GLOSS	CHINESE	CHINESE_CONCRETENESS_MEAN	LINE_IN_SOURCE
1174	YESTERDAY	昨天	2.076923	3829
1175	GHOST	幽灵	3.88	7027
1182	NOISE	噪音	2.458333	5300
1183	PALM OF HAND	手掌	1.346154	3913
1189	ULCER	溃疡	2.48	8567
1193	STEAM	蒸汽	2.137931	4556
1195	GIVE BIRTH	分娩	1.961538	6568
1199	WIFE	妻子	1.434783	8725
12	MIDDAY	中午	1.966667	9380
1200	HUSBAND	丈夫	1.461538	607
1205	TONGUE	舌头	1.307692	3906
1207	YOUNG	年轻	3	4642
121	SPIN	旋转	2.576923	8498
1210	HEAVY	沉重	3.68	2236
1216	MOTHER	母亲	1.304348	2531
1217	FATHER	父亲	1.333333	4842
1220	TAIL	尾巴	1.652174	4168
1223	HEART	心脏	1.657143	9117
1225	DAY (NOT NIGHT)	白天	2.064516	7161
1226	YEAR	岁月	3.962963	208
1228	EARTH (SOIL)	土地	1.434783	3425
123	FOREHEAD	额头	1.346154	2865
1230	DIRTY	肮脏	3.21875	248
1233	NIGHT	晚上	1.962963	7995
1234	SMOOTH	平滑	2.541667	4884
1245	BUTTER	牛油	1.36	4272
1247	EAR	耳朵	1.222222	521
1248	EYE	眼睛	1.12	7020
125	SWEAT (SUBSTANCE)	汗水	1.576923	9414
1257	WING	翅膀	1.5	7666
1258	FINGERNAIL	指甲	1.5	9749
1262	BROTHER	兄弟	1.571429	9858
1263	SISTER	姊妹	1.555556	1604
1266	BRIDE	新娘	1.230769	968
127	EXTINGUISH	熄灭	2.424242	469
1273	CANDLE	蜡烛	1.304348	3503
1275	ANSWER	回答	2.37037	38
1278	VOMIT	呕吐	1.516129	4998
1281	PRISON	监狱	1.347826	8696
1283	TODAY	今天	1.833333	2026
1284	BANK	银行	1.448276	4675
1285	IMPORTANT	重要	3.26087	7774
1289	BABY	婴儿	1.242424	485
1291	BACK	后背	1.869565	2511
1293	MISTAKE	错误	2.851852	138
1295	STICK	拐杖	1.4	8542
1298	NEWSPAPER	报纸	1.085714	1487
1299	COFFEE	咖啡	1.192308	4255
1300	COUNTRY	国家	1.72	5961
1303	FINGER	手指	1.4	9346
1304	CHILD (YOUNG HUMAN)	儿童	1.424242	274
1305	CHIMNEY	烟囱	1.32	6024
1307	LANGUAGE	语言	2.192308	9618
131	FESTIVAL	节日	2	3367
1310	CLEVER	聪明	3.038462	8413
1312	FOX	狐狸	1.458333	2016
1313	MOON	月亮	1.375	4802
1320	APPLE	苹果	1.259259	63
1322	BREAKFAST	早餐	1.586207	3193
1325	FRIEND	朋友	1.666667	5988
1329	TOMORROW	明天	2.333333	5250
1331	SHEEP	绵羊	1.361111	1540
1332	NEIGHBOUR	邻居	1.73913	3384
1333	NECK	脖子	1.16	5940
1335	WHITE	白色	1.633333	1731
1338	PEACE	和平	3.333333	8057
1339	MORNING	早晨	1.8	6157
134	FAULT	过失	3.32	2758
1342	SUMMER	夏天	1.846154	6519
1343	SUN	太阳	1.333333	5403
1346	THROAT	喉咙	1.36	6952
1349	CHURCH	教堂	1.52	6094
1350	MONKEY	猴子	1.173913	7823
1356	NUMBER	数字	1.695652	8357
1358	ENEMY	敌人	2.461538	6691
1361	TOOL	工具	2.5	8921
1365	KITCHEN	厨房	1.416667	2112
1367	CROSS	越过	2.777778	113
1368	BREAD	面包	1.115385	2909
1369	GOLD	黄金	1.2	9552
1371	KNEE	膝盖	1.384615	8615
1374	RING	戒指	1.258065	5609
1375	WINDOW	窗户	1.346154	2852
1376	NOW	现在	2.347826	7755
1379	TELEPHONE	电话	1.5	5329
138	BATHE	洗澡	1.451613	7251
1380	TOOTH	牙齿	1.2	1340
1381	SHOE	鞋子	1.266667	1829
1383	GRANDFATHER	祖父	1.357143	9754
1386	LION	狮子	1.192308	8468
1387	ARRIVE	到达	1.956522	3226
1388	SHADE	影子	2.212121	486
1391	TOWN	城镇	1.88	7419
1394	BONE	骨头	1.606061	285
1396	SHARP	锋利	2.44	5710
140	PADDY FIELD	稻田	1.346154	2858
1402	BREAST	乳房	1.269231	5881
1404	STRAIGHT	笔直	2.173913	8277
1405	NAME	名字	1.956522	2662
1407	BREATHE	呼吸	1.961538	9551
1408	HEAR	听见	2.37037	90
1409	SEE	看见	2.48	2772
141	BURN (SOMETHING)	焚烧	1.580645	4959
1410	KNOW (SOMETHING)	知道	2.909091	8761
1412	RUDE	蛮横	3.193548	7341
1413	PLAY	玩耍	2.538462	4411
1414	SQUEEZE	挤压	2.458333	4859
1415	THINK (REFLECT)	思考	3.869565	2680
1419	FEAR (BE AFRAID)	害怕	3.307692	3744
142	RETURN HOME	回归	3.384615	6207
1423	FIGHT	搏斗	1.777778	500
1424	YELLOW	黄色	2.25	5218
1426	EXPENSIVE	昂贵	2.371429	1485
1427	BEAUTIFUL	漂亮	2.88	7470
1430	STAR	恒星	1.7	1771
1437	SPLIT	撕裂	2.869565	2184
1439	SWIM	游泳	1.527778	1717
144	MACHINE	机器	2.111111	534
1442	STAND	站立	1.68	4434
1445	TURN (SOMETHING)	转动	2.884615	737
1448	HOLD	保持	3.428571	9016
1450	ROOM	房间	1.62963	6566
1451	SMILE	微笑	1.967742	5161
1459	IF	如果	4.416667	5757
1464	LADDER	阶梯	2.28	6714
1465	BOX	箱子	1.608696	8246
1468	LOOK FOR	寻找	3.090909	8994
1469	WEEK	星期	2.233333	9362
1471	WINTER	冬天	1.666667	6563
1472	KEY	钥匙	1.166667	1715
1476	CHAIR	椅子	1.230769	3812
1479	DOLPHIN	海豚	1.290323	7313
1480	BODY	身体	1.461538	2933
1481	HAMMER	锤子	1.347826	7794
1482	SHOULDER	肩膀	1.26087	3364
1486	PLANT (SOMETHING)	栽种	1.972222	1224
1489	CLOUD	云朵	1.625	5299
1495	HAPPY	高兴	2.666667	1378
1499	JUICE	果汁	1.541667	2133
150	WORRY	发愁	3.083333	5953
1502	GOAT	山羊	1.04	5998
1504	FLY (INSECT)	苍蝇	1.153846	503
1507	FRUIT	水果	1.730769	959
1508	KING	国王	1.56	7561
1511	ROOSTER	公鸡	1.192308	2255
1514	HEN	母鸡	1.24	1431
1517	WASP	黄蜂	1.375	4857
1518	STUPID	愚蠢	3.448276	4552
152	HOOF	蹄子	1.642857	4529
1521	SEEM	似乎	3.8	4154
1522	SOCK	袜子	1.2	7628
1523	FORGET	忘记	3.5	2948
1525	COAST	海岸	1.884615	5718
1526	MEAL	饭菜	1.7	1883
1528	FORGIVE	原谅	3.225806	7267
153	GREY	灰色	2.043478	2512
1533	BE HUNGRY	饥饿	2.653846	3869
1534	FEVER	发烧	1.846154	8417
1536	UNDERSTAND	明白	2.638889	1044
1538	SCORPION	蝎子	1.266667	9228
1539	BASKET	篮子	1.28	6101
1541	CULTIVATE	培育	3.08	1309
1543	SNAIL	蜗牛	1.257143	1567
1545	HOST	主人	2	1600
1548	UGLY	丑陋	3.043478	8779
1550	PREVENT	阻止	2.521739	3334
1554	MAN	男人	1.230769	5744
1556	YOLK	蛋黄	1.652174	8290
1558	SIMILAR	类似	3.647059	1669
1560	FACE	面孔	2.28	6231
1561	ARMY	军队	1.68	7079
1562	MIND	脑海	3.782609	2665
1563	PYTHON	蟒蛇	1.12	1303
1564	LAZY	懒惰	2.916667	4006
1565	HEAVEN	天堂	3.821429	4530
1568	ARRANGE	安排	2.913043	3583
1569	CHEESE	芝士	1.633333	9378
1573	SWELL	膨胀	3.807692	2416
1574	FLOAT	漂浮	2.483871	5125
1575	COCKROACH	蟑螂	1.307692	3945
1585	SLEEP	睡觉	1.25	4162
1590	WAIT (FOR)	等待	3.296296	7928
1592	CHEST	胸口	1.724138	3063
1594	FLOUR	面粉	1.148148	6484
1597	AIRPLANE	飞机	1.36	1374
1600	SKIRT	裙子	1.681818	8221
1601	WEAK	瘦弱	2.24	6132
1606	INSIDE	里面	2.826087	8199
1607	HATE	恼恨	3.733333	1924
1609	IDEA	主意	3.194444	1601
1610	PROSTITUTE	妓女	1.64	1391
1613	COLOR	颜色	1.793103	9233
1616	CLOTH	布料	1.774194	5563
1619	GRANDDAUGHTER	孙女	1.3	7238
1622	SHIRT	衬衫	1.357143	9764
1623	SPEAK	说话	2.034483	3045
1628	SQUIRREL	松鼠	1.076923	5893
1629	EVENING	傍晚	2.521739	8276
1635	OBEY	服从	2.793103	4480
1637	AUTHORITY	权威	3.8	6987
1638	TRUTH	真理	3.869565	7769
1639	BEER	啤酒	1.222222	6490
1641	SILK	绸缎	1.354839	7298
1642	NIECE	侄女	1.586207	3203
1644	RELATIVES	亲人	1.774194	5505
1646	GIRL	少女	1.878788	325
1649	SIT DOWN	坐下	1.709677	7284
1651	TEAR (OF EYE)	眼泪	1.423077	6890
1654	LIGHTNING	闪电	1.535714	9819
1655	BLINK	眨眼	1.695652	3449
1657	TRUE	真实	3.346154	5792
1660	LOSE	失去	3.4	1808
1666	MUTE	哑巴	1.466667	9232
1667	HOLE	窟窿	2.344828	3015
1669	ANCESTORS	祖宗	1.956522	8394
167	MAIL	邮件	1.5	6770
1673	ARM	胳膊	1.08	6080
1674	POOR	贫穷	3.103448	3027
1675	PROMISE	答应	2.76	6064
1678	HUT	棚屋	1.923077	2919
168	REST	休息	2.291667	2078
1680	HELMET	头盔	1.076923	2946
1682	GUILTY	内疚	3.615385	3774
1683	BUSH	灌木	1.782609	8300
1685	AFTER	之后	3.730769	8511
1686	BEHIND	后面	2.166667	4734
1687	PRAISE	赞叹	2.807692	8020
1688	FATE	命运	4.517241	3023
1690	FENCE	篱笆	1.458333	7587
1698	CURVED	弯曲	2.730769	2443
1702	HOLY	神圣	3.869565	3537
1711	TELL	告诉	2.75	4724
1719	BURY	安葬	1.709677	4941
1720	SIGN	记号	2.538462	8439
1725	CORRECT (RIGHT)	正确	3.44	8137
1728	ROTTEN	腐烂	2.576923	6817
1730	CHEEK	脸颊	1.391304	3276
1732	SKY	天空	1.433333	9351
1733	RAINBOW	彩虹	1.541667	1983
174	PROUD	自豪	3.75	7529
1740	PINE	松树	1.518519	705
1745	HIP	臀部	1.384615	6876
1746	BLADDER	膀胱	1.346154	3777
1747	CUSTOM	风俗	2.925926	24
1749	TAKE	拿走	2.483871	5630
175	BLOW (OF WIND)	刮风	1.848485	395
1750	CHOOSE	选择	3.322581	7386
1752	LEAVE	离开	2.352941	1156
1756	WIDOW	寡妇	1.68	1382
1766	FINISH	完成	3.12	7133
1768	FOAM	泡沫	2.517241	1795
1773	GRAVE	坟墓	1.52	7059
1774	STINGY	吝啬	3.347826	8712
1775	TABLE	桌子	1.296296	8145
1776	SHAME	耻辱	3.333333	1614
1781	THUMB	拇指	1.272727	440
1782	GUEST	客人	1.638889	1526
1783	PAIN	疼痛	2.375	4039
1788	TELEVISION	电视	1.217391	7803
1789	AGE	年龄	1.846154	804
1791	BUTTERFLY	蝴蝶	1.125	3991
1793	BAT	蝙蝠	1.521739	3463
1798	GUNPOWDER	火药	1.26087	3253
1804	BOMB	轰炸	2.115385	9550
1810	DANGER	危险	3.060606	343
1812	TRY	尝试	3.217391	8652
1814	ACCUSE	指控	3.032258	5054
1817	WEST	西方	2.645161	7380
1820	BEAR	背负	3.695652	3710
1828	ASK (REQUEST)	要求	3.391304	2204
183	BAKE	烘烤	1.939394	293
1831	MEET	遇见	2.652174	3563
1833	DINNER (SUPPER)	晚饭	1.826087	8367
1838	NAVEL	肚脐	1.393939	388
1839	CRY	哭泣	1.925926	49
1840	BUILD	建立	3.2	2767
1841	SUSPECT	怀疑	3.428571	9675
1846	RULE	规则	2.72	5842
1847	SICK	生病	2.387097	5006
1848	QUARREL	吵架	1.870968	5075
1850	COTTON	棉花	1.166667	4127
1852	OFTEN	经常	3.2	2278
1853	DOVE	鸽子	1.37037	7936
1854	SPARROW	麻雀	1.153846	6355
1856	SOFT	柔软	3	6497
1857	CROCODILE	鳄鱼	1.086957	7688
1867	COIN	硬币	1.458333	5423
1869	BUY	购买	2.068966	3114
1871	CAMEL	骆驼	1.416667	4872
1875	REGRET	后悔	3.521739	7704
1879	DANCE	跳舞	1.84	7489
1880	PASSIONATE	热情	3	3532
1881	ENOUGH	足够	2.916667	4939
1882	BEFORE	以前	3.576923	3935
1884	HARD	坚硬	3.076923	8063
1886	ARMPIT	腋下	1.515152	363
1887	CHEAP	便宜	3.296296	7910
1890	BELIEVE	相信	2.75	4054
1894	ASHAMED	惭愧	3.565217	8773
1895	CLOTHES	衣服	1.551724	3188
1897	HELP	帮助	2.28	1238
1917	TIE	捆绑	2.041667	4748
1919	TORCH	火把	1.586207	3123
192	CORNER	角落	2.142857	1144
1920	DREAM (SOMETHING)	做梦	2.541667	4076
1924	VEIN	静脉	2	3757
1926	OINTMENT	膏药	1.625	4846
1934	BEGGAR	乞丐	1.52	7101
1935	ANUS	肛门	1.434783	8176
1938	FORTRESS	城堡	1.678571	9765
1939	SWEAR	发誓	3.346154	3731
1941	SOLDIER	士兵	1.576923	6379
1943	CROWN (OF HEAD)	王冠	1.527778	1078
1964	ALONE	单独	2.304348	4713
1967	CALENDAR	日历	1.451613	5135
1968	SOYA SAUCE	酱油	1.625	5353
1969	MANTOU	馒头	1.130435	3513
197	OTHER	其他	3.772727	9584
1973	DEMON	恶魔	3.114286	1130
1974	CENTIPEDE	蜈蚣	1.208333	2068
1980	WANTON	馄饨	1.478261	2645
1986	DISEASE	疾病	2.448276	3125
1987	CHOPSTICKS	筷子	1.194444	1034
1989	CALF	牛犊	1.692308	6734
1993	SELF	自己	1.846154	3828
1999	OVERCOME	克服	3.518519	167
2	DUST	灰尘	1.913043	7705
2005	MASK	面具	2.086957	4758
2008	RESCUE	救援	2.434783	3373
2011	COFFIN	棺材	1.222222	1512
2014	GO DOWN (DESCEND)	降落	2.615385	8067
2016	JEALOUSY	嫉妒	3.153846	4356
2017	MIX	混合	3.269231	5848
2018	GREEDY	贪婪	3.222222	9726
202	STRENGTH	力气	3.192308	6345
2022	ADMIT	承认	2.423077	5690
2024	PLOT	情节	3.307692	2923
203	MARRY	结婚	1.653846	917
2031	PUT OUT TO PASTURE	放牧	2.115385	6196
2035	POND	池塘	1.416667	5323
2036	JANUARY	正月	1.758621	3198
2044	PERSIMMON	柿子	1.111111	1560
2047	STRAW SANDAL	草鞋	1.384615	8524
2052	BUCKET	水桶	1.166667	4036
2057	DUNG (ANIMAL FAECES)	肥料	1.538462	2745
2058	STOOL	凳子	1.304348	2494
2060	STORY	故事	2.6	1891
2062	INTEREST	利息	2.458333	5241
207	SPARSE	寥寥	4.030303	428
2073	ROB (VERB)	抢劫	1.961538	3781
2076	SPROUT (VERB)	发芽	1.939394	1630
208	NASAL MUCUS (SNOT)	鼻涕	1.208333	4080
2093	AFTERWARDS	以后	3.708333	2084
2099	CHILD	孩子	1.478261	2506
21	TASTE (SOMETHING)	品味	3.678571	4509
210	LIFE	生命	3.153846	6250
2102	BURN	燃烧	2.057143	1686
2117	DESIRE	欲望	3.703704	602
212	FIELD	田地	1.56	7127
2134	RAISE (BRING UP)	提高	3.482759	4657
2139	MUROID (MOUSE OR RAT)	老鼠	1.269231	6342
2142	RUN AWAY	逃跑	2.192308	826
216	MOVIE	电影	1.64	7545
2165	SLOWLY	慢慢	3.689655	7342
2173	PATERNAL UNCLE (FATHER'S OLDER BROTHER)	伯父	1.230769	4203
2182	LEFT HAND	左手	1.125	4075
2183	RIGHT HAND	右手	1.153846	5788
2188	NEW YEAR'S EVE	除夕	1.333333	4090
219	TOILET	厕所	1.230769	2232
2190	TASTE	味道	3.192308	6394
2194	FRONT (PART)	前面	2.517241	3154
22	INTEND	打算	3.461538	8527
2214	AFFAIR	事情	3.038462	4286
2216	BECOME NUMB	麻木	3.96	931
2232	KEEN OR SUBTLE	微妙	3.73913	3428
2242	BEETLE	瓢虫	1.26087	3518
2243	REPAIR	修理	2.615385	843
2244	METAL	金属	1.807692	6715
2246	BELL	钟声	1.541667	4072
2247	CATERPILLAR	毛虫	1.956522	8328
2248	KNOW (SOMEBODY)	认识	2.972222	1687
2256	MOTHER-IN-LAW (OF WOMAN)	婆婆	1.419355	5499
2260	FEMALE (OF PERSON)	雌性	1.615385	9400
2278	PERHAPS	也许	4.090909	7023
2288	METEOROID (SHOOTING OR SHINING STAR)	流星	1.615385	4266
2291	VOLCANO	火山	1.230769	5724
2295	SUNSET	日落	1.73913	3402
2296	SUNRISE	日出	1.666667	455
2297	DUSK	黄昏	1.916667	4109
2315	COOK (PERSON)	厨师	1.3	9272
2316	FREE	自由	3.6	1481
2318	CHESTNUT	栗子	1.153846	2287
2327	BECOME SICK	病态	3.228571	8898
2328	MISS (SOMEBODY)	挂念	3.516129	5092
2334	MELT	融化	3.269231	2930
2335	CUNNING	狡猾	3.518519	6595
2344	PETROL	汽油	1.222222	1051
2348	CRAB	螃蟹	1.083333	4764
2350	EARTHWORM	蚯蚓	1.333333	567
2352	DRAGONFLY	蜻蜓	1.333333	5260
2354	CRICKET	蟋蟀	1.3	9222
2355	GECKO	壁虎	1.4	1735
2359	LOTUS	荷花	1.423077	660
236	STEPMOTHER	继母	1.6	8931
2366	ONION	洋葱	1.16129	5038
2374	DREAM	梦想	4.26087	2529
2378	THUNDER (VERB)	打雷	1.6	5950
2386	TURKEY	火鸡	1.576923	9422
2395	CONGEAL (BLOOD)	凝固	2.555556	551
24	PRAY	祈祷	3.173913	3519
240	ELECTION	选举	2.038462	5780
2401	PICTURE	画面	2.72	5966
2403	TOY	玩具	1.466667	5022
2407	BIRTHDAY	生日	2.185185	6631
2408	CAKE	蛋糕	1.346154	2736
2409	BROWN	棕色	1.655172	3086
2411	HURT (SOMEBODY)	伤害	2.958333	4028
242	COST	价钱	2.5	5223
2423	CHANNEL	频道	2.818182	7733
2425	PROBLEM	问题	3.115385	583
2427	FUTURE	将来	3.692308	162
2429	LOGIC	逻辑	4	2398
243	FRESH	新鲜	3.034483	3061
2433	THEORY	理论	3.676471	9061
2434	TRAGEDY	悲剧	3.757576	376
2435	UNIVERSITY	大学	1.68	761
2440	PINEAPPLE	菠萝	1.185185	133
2445	PAPAYA	木瓜	1.555556	687
2452	PURPLE	紫色	1.333333	9258
2471	LADY	淑女	2.541667	5272
248	HAPPEN	发生	3.961538	8043
2483	COLD (OF WEATHER)	凉快	2.692308	8573
2486	HIDE	隐藏	3	721
2498	OPIUM	鸦片	1.454545	2699
25	DIRT	泥土	1.307692	3889
2505	BEDROOM	寝室	1.4	6983
2517	CROWDED	拥挤	2.695652	8382
2526	POWER	势力	3.827586	4654
2527	ABILITY	能力	3.647059	8954
2531	BROAD	宽敞	2.769231	6221
2540	LIME (MATERIAL)	石灰	1.416667	1692
2541	MIRACLE	奇迹	4	1933
2544	SHEPHERD	牧童	1.391304	3653
2547	CITY	城市	1.76	1252
2549	VEHICLE	车辆	1.269231	8409
255	SERVANT	仆人	1.461538	9581
2554	PRINCE (RULER)	王子	2.192308	9470
256	FOOD	食物	1.956522	2178
2561	HURT (SENSE PAIN)	创伤	3.037037	6435
2569	BUTCHER	屠夫	1.769231	2442
2570	BEEF	牛肉	1.137931	3026
2573	FEELING (EMOTION)	情绪	3.514286	1054
2576	ALREADY	已经	3.833333	1836
2578	PENCIL	铅笔	1.608696	8343
2579	TOOTHBRUSH	牙刷	1.16129	7389
258	CALM	冷静	3.04	1299
2588	GLOBE	地球	1.419355	5453
2618	CAMERA	相机	1.275862	4541
2620	CARRIAGE	运输	2.333333	1969
2621	CURTAIN	门帘	1.48	1424
2624	FRAME	陷害	3.25	2074
2625	MAP	地图	1.518519	636
2626	NERVE	神经	3.057143	1192
2627	ORANGE (FRUIT)	橘子	1.444444	7954
2630	WHIP	鞭打	2.088235	9019
2643	INK	墨水	1.583333	4875
2648	HAIR (HEAD)	头发	1.608696	8362
2651	BE IGNORANT	无知	3.583333	7498
2656	MIDNIGHT	半夜	2.225806	7287
266	SCALE	鱼鳞	1.628571	9123
2668	SKELETON	骷髅	1.461538	2899
2697	BROTHER-IN-LAW (YOUNGER SISTER'S HUSBAND)	妹夫	1.533333	4990
27	AIR	空气	2.115385	922
2704	FADE (LOOSE COLOR)	褪色	2.740741	8118
2710	TAKE A PHOTO	照相	1.638889	1106
2715	DESPISE	蔑视	3.5	8715
2717	STEEP	陡峭	2.807692	2862
2742	SUNNY DAY	晴天	1.73913	2544
2744	PLUM BLOSSOM	梅花	1.32	1422
2746	PEACH BLOSSOM	桃花	1.130435	3298
2750	GLUTINOUS RICE	糯米	1.222222	180
2755	BUSY	忙碌	3.48	7461
2758	CAREFUL	小心	3.272727	8868
2762	BLOCK (THE WAY)	堵塞	2.6	5826
2765	CHERRY	樱桃	1.37931	3072
2766	WATERMELON	西瓜	1.538462	6396
2768	LITCHI	荔枝	1.314286	8946
2769	PORK	猪肉	1.222222	8024
2772	KITCHEN KNIFE	菜刀	1.230769	3833
2773	FINGERTIP	指尖	1.592593	6662
2795	MOSQUITO NET	蚊帐	1.24	7629
2797	SESAME	芝麻	1.310345	3201
2815	DIALECT	方言	1.925926	21
2816	ECHO	回声	2.483871	5476
2819	GRASSLAND	草地	1.3	1739
2837	SWAN	天鹅	1.472222	1199
284	HOE	锄头	1.076923	755
2849	JUNE	六月	1.8	7592
2856	CHANGE (SOMETHING)	改变	3.56	1377
2857	CHANGE (BECOME DIFFERENT)	变化	3.62069	1736
2859	SMOKE (EMIT SMOKE)	冒烟	2.034483	4639
2862	CONNECT	连接	3.114286	9062
2864	DECREASE	减少	3.28	2377
2867	CALCULATE	算计	3.88	2437
2869	BOTHER (HARASS)	打扰	2.62069	2980
2879	SOUND (OF INSTRUMENT OR VOICE)	音响	1.472222	1220
2880	HALT (STOP)	停止	2.2	3795
2883	DISTURB	扰乱	3.222222	568
2886	PRODUCE	出产	3.130435	8653
2890	WALK (TAKE A WALK)	散步	1.826087	8847
2893	NOTICE (SOMETHING)	通知	2.576923	6262
2894	TUMBLE (FALL DOWN)	跌倒	1.64	6937
2900	PROTECT	保护	3.086957	3586
2903	CHAT (WITH SOMEBODY)	聊天	2.375	5366
2909	PREPARE	准备	3.4	7160
2911	BACKWARD	落后	3.423077	56
2914	ONCE (IN THE PAST)	从前	3.277778	1620
2924	A LITTLE	点滴	3.695652	7054
2929	BENEFIT	裨益	4.125	8
2931	BUSINESS	买卖	3.153846	2400
2933	CONVERSATION	交谈	2.6	1394
2938	FLAVOR	口味	2.806452	5616
2941	HAPPINESS	幸福	3.457143	9119
2944	CALL (APPEAL)	称呼	2.2	4210
2948	GAP (DISTANCE)	空隙	2.84375	425
2949	LAIR	骗子	2.391304	3285
2950	MEANING	意思	4.033333	7392
2953	SLEEVE	衣袖	1.4	1347
2958	LAUGHTER	笑声	1.741935	5532
2961	MESSAGE	信息	3.217391	8870
2964	NEWS	新闻	2	4542
2968	REASON	原因	3.6	6411
297	CROOKED	扭曲	3.709677	7221
2970	RIDDLE	谜语	2.347826	7727
2975	THOUGHT	心思	4.043478	8376
2976	VIOLENCE	暴力	2.64	6051
2977	WORKER	工人	1.828571	8922
2978	DISTANCE	距离	2.481481	674
2982	GIFT	礼物	1.956522	2146
2988	PATTERN	格局	3.92	7554
299	SCOLD	责备	3.086957	8882
2996	WEALTH	财富	3.111111	9762
2997	COLORFUL	丰富	4	4476
2999	EVERYWHERE	到处	3.692308	764
30	DISPEL	驱逐	2.681818	8844
3001	POWERFUL	强大	3.411765	8960
3002	PRECIOUS	珍贵	3.347826	8883
3005	FAMILIAR	熟悉	3.137931	9347
301	CHIEFTAIN	首领	1.769231	4401
3049	COURAGE	胆识	3.925926	141
3050	SEEDLING	秧苗	1.391304	3690
3054	BEAR FRUIT	结果	2.888889	1658
3055	SWINDLE	作弊	2	2841
3059	MALARIA	疟疾	2.347826	8214
3069	FALSE	骗局	2.608696	3517
3070	HOLD A MEETING	开会	1.875	2144
3072	MISPLACE	遗失	2.885714	9120
3073	MANAGE	管理	3.192308	903
3077	SWALLOW (BIRD)	燕子	1.37037	9859
3080	SPLIT OPEN	裂开	2.346154	4378
3081	CROPS	庄稼	1.576923	8638
3086	COMPUTER	电脑	1.096774	5084
3088	ENVELOPE	信封	1.346154	4419
3091	LEMON	柠檬	1.130435	8719
3093	LIPSTICK	口红	1.342857	1153
3098	SNOWMAN	雪人	1.451613	5665
3099	SOFA	沙发	1.4	9092
3102	TANK	坦克	1.230769	4290
3119	MASSAGE (SOMEBODY)	按摩	2.16129	5064
3138	STRAWBERRY	草莓	1.115385	2231
3168	DOWRY	聘礼	2.038462	6736
3174	WAKE UP (SOMEONE)	唤醒	2.833333	3749
3179	CORAL ROCK	珊瑚	1.538462	4283
318	FOOTPRINT	足迹	2.576923	5800
3181	MUSTARD	芥末	1.4	7450
3204	INSULT	侮辱	3.434783	7753
323	FAT (ORGANIC SUBSTANCE)	脂肪	1.923077	610
3230	DECEIVE	欺骗	3.055556	1172
3267	PULSE	脉搏	1.965517	4500
