CONCEPTICON_ID	CONCEPTICON_GLOSS	GERMAN	GERMAN_FREQUENCY	GERMAN_SUBTITLE_FREQUENCY	GERMAN_FREQUENCY_LOG	LINE_IN_SOURCE
1732	SKY	Himmel	3e+03	118.19	3.478	769
1733	RAINBOW	Regenbogen	9e+01	3.62	1.968	11584
1735	TEAR (SHRED)	zerreißen	8e+01	4.25	2.037	10374
1739	DECORATE	schmücken	3e+01	1.14	1.477	25246
174	PROUD	stolz	2e+03	105.56	3.428	842
1743	JOIN	vereinigen	6e+01	2.68	1.839	14290
1749	TAKE	nehmen	8e+03	403.95	4.011	278
175	BLOW (OF WIND)	Wehen	1e+02	6.77	2.238	7308
1750	CHOOSE	wählen	7e+02	32.84	2.922	2164
1752	LEAVE	verlassen	5e+03	195.05	3.695	538
1755	UNDRESS	ausziehen	5e+02	22.32	2.754	2954
1756	WIDOW	Wittwe	7e+00	0.28	0.903	59801
176	BLOW (WITH MOUTH)	blasen	2e+02	12.05	2.487	4668
1765	IN VAIN	vergebens	4e+01	1.89	1.69	18147
1766	FINISH	beenden	1e+03	48.19	3.088	1585
1767	SCRAPE	kratzen	1e+02	6.93	2.248	7173
1768	FOAM	Schaum	6e+01	2.44	1.799	15198
1772	ELK	Elch	8e+01	3.15	1.908	12698
1773	GRAVE	Grab	7e+02	30.75	2.893	2275
1774	STINGY	geizig	7e+01	2.72	1.845	14084
1775	TABLE	Tisch	2e+03	88.27	3.351	954
178	RIPE	reif	2e+02	9.53	2.386	5625
1782	GUEST	Gast	7e+02	28.58	2.862	2419
1783	PAIN	Schmerz	1e+03	55.28	3.148	1420
1784	WANT	wollen	2e+04	887.87	4.353	156
1786	DRY UP	trocknen	6e+01	3.78	1.987	11241
1788	TELEVISION	Fernseher	8e+02	32.17	2.913	2192
1789	AGE	Alter	4e+03	209.61	3.726	507
1791	BUTTERFLY	Schmetterling	1e+02	4.88	2.097	9335
1793	BAT	Fledermaus	8e+01	3.39	1.94	12096
1797	HEDGEHOG	Igel	2e+01	0.83	1.342	31138
180	CALL BY NAME	nennen	3e+03	134.93	3.535	688
1803	WOOD	Holz	5e+02	21.69	2.742	3011
1806	BEGIN	anfangen	2e+03	94.85	3.382	911
1812	TRY	versuchen	5e+03	216.82	3.741	493
1813	TASTY	lecker	4e+02	23.39	2.775	2854
1817	WEST	Westen	7e+02	26.1	2.822	2600
1819	LOOK	anschauen	4e+02	17.4	2.646	3551
1820	BEAR	Baer	1e+01	0.51	1.146	42199
1821	BRUSH	Bürste	4e+01	2.01	1.716	17347
1824	DEXTEROUS	geschickt	2e+03	88.43	3.352	953
1825	COPPER	Kupfer	2e+01	0.91	1.38	29511
1828	ASK (REQUEST)	bitten	2e+03	84.96	3.334	985
1829	JUMP	hüpfen	7e+01	3.66	1.973	11487
183	BAKE	backen	1e+02	7.09	2.258	7077
1830	CRANE	Kranich	1e+01	0.43	1.079	46297
1831	MEET	treffen	5e+03	250.4	3.804	421
1838	NAVEL	Nabel	2e+01	0.87	1.362	30194
1839	CRY	weinen	1e+03	45.83	3.066	1652
1840	BUILD	bauen	1e+03	47.48	3.082	1607
1843	THOUSAND	tausend	4e+02	24.65	2.797	2721
1844	BOAT	Kahn	9e+01	3.66	1.973	11511
1845	BALL	Ball	1e+03	56.73	3.159	1386
1846	RULE	beherrschen	3e+02	12.64	2.508	4526
1847	SICK	krank	3e+03	122.01	3.491	750
1848	QUARREL	Zank	1e+01	0.55	1.176	40058
1849	ROW	rudern	3e+01	1.89	1.69	18073
1850	COTTON	Baumwolle	6e+01	2.56	1.82	14751
1852	OFTEN	oft	4e+03	179.18	3.658	572
1853	DOVE	Taube	1e+02	7.13	2.26	7045
1854	SPARROW	Spatz	6e+01	2.44	1.799	15170
1855	BIRCH	Birke	6e+00	0.24	0.845	67189
1856	SOFT	sanft	2e+02	10.51	2.428	5196
1857	CROCODILE	Krokodil	6e+01	2.4	1.792	15353
1858	FISHERMAN	Fischer	2e+02	8.5	2.336	6170
1864	HUNGER	Hunger	2e+03	64.96	3.218	1229
1865	BUZZARD	Bussard	4e+00	0.16	0.699	81758
1869	BUY	kaufen	3e+03	114.65	3.464	787
1871	CAMEL	Kamel	8e+01	3.19	1.914	12600
1876	REINDEER	Rentier	3e+01	1.06	1.447	26312
1877	EAST	Osten	6e+02	23.7	2.78	2822
1879	DANCE	tanzen	2e+03	74.02	3.274	1111
1882	BEFORE	vorher	2e+03	99.53	3.403	884
1883	IN FRONT OF	vor	3e+04	1523.68	4.588	94
1884	HARD	hart	3e+03	112.92	3.458	795
1887	CHEAP	billig	3e+02	12.36	2.498	4583
1890	BELIEVE	glauben	8e+03	370.72	3.974	300
1892	TOUCH	berühren	5e+02	19.73	2.701	3218
1895	CLOTHES	Kleidung	6e+02	23.94	2.785	2798
1897	HELP	helfen	1e+04	531.64	4.13	224
1901	SHOVEL	Schaufel	9e+01	3.66	1.973	11481
1904	DROWN	ertrinken	1e+02	7.56	2.286	6718
1905	EAGLE	Adler	2e+02	6.58	2.225	7493
1906	SOUR	sauer	2e+03	70.04	3.25	1154
1907	MOLE	Maulwurf	1e+02	4.72	2.083	9559
1909	SHAKE	schütteln	1e+02	6.26	2.204	7767
1913	PRESS	drücken	6e+02	30.2	2.885	2311
1915	FIR	Tanne	1e+01	0.43	1.079	46429
1917	TIE	binden	2e+02	8.58	2.34	6113
192	CORNER	Ecke	1e+03	48.11	3.087	1589
1921	PLOUGH	pflügen	1e+01	0.67	1.255	35523
1923	ROUGH	rauh	2e+01	0.98	1.415	27860
1924	VEIN	Ader	4e+01	1.73	1.653	19178
1928	CEASE	enden	9e+02	36.26	2.965	1985
193	SHALLOW	seicht	8e+00	0.31	0.954	55915
1936	DEER	Hirsch	1e+02	4.92	2.1	9288
1937	THERE	dort	1e+04	531.01	4.13	225
194	FAMILY	Familie	8e+03	320.41	3.911	337
1940	GUARD	bewachen	2e+02	9.29	2.375	5723
1941	SOLDIER	Krieger	5e+02	20.83	2.724	3099
1942	NEAR	nahe	1e+03	57.84	3.167	1360
1944	GOD	Gott	2e+04	821.61	4.32	163
1945	IDOL	Figur	1e+03	41.85	3.027	1775
1948	SAW	Säge	8e+01	3.11	1.903	12830
1951	PASS	vergehen	1e+02	9.65	2.391	5567
1959	RAW	roh	6e+01	2.87	1.869	13601
196	DONATE	schenken	5e+02	18.86	2.681	3326
1964	ALONE	allein	7e+03	305.52	3.89	354
197	OTHER	anderer	2e+03	61.89	3.197	1295
1970	CANOE	Kanu	3e+01	1.06	1.447	26392
1976	MERRY	lustig	3e+03	128.63	3.514	718
1978	RECOVER	genesen	4e+01	1.77	1.663	18855
1979	CHISEL	Meißel	2e+01	0.63	1.23	36820
1986	DISEASE	Krankheit	9e+02	36.81	2.971	1959
1989	CALF	Kalb	9e+01	3.54	1.959	11759
1990	BECOME	werden	5e+04	1971.65	4.7	75
1997	PRESERVE	bewahren	5e+02	22.24	2.753	2960
2	DUST	Staub	4e+02	17.8	2.656	3486
2001	PAINTING	malen	4e+02	16.61	2.626	3683
2003	FLOW	fließen	2e+02	7.87	2.303	6527
2006	FILL	füllen	3e+02	12.17	2.491	4639
2008	RESCUE	retten	4e+03	162.84	3.617	608
2009	DOG	Hund	3e+03	135.48	3.537	684
2012	COLLAR	Kragen	2e+02	6.34	2.21	7691
2017	MIX	rühren	1e+02	7.99	2.31	6452
202	STRENGTH	Stärke	6e+02	25.63	2.814	2647
2025	PEA	Erbse	1e+01	0.47	1.114	43678
203	MARRY	heiraten	3e+03	118.82	3.48	766
2030	DRAG	schleppen	1e+02	4.25	2.037	10371
2034	FROST	Frost	1e+02	3.86	1.996	11088
2036	JANUARY	Januar	2e+02	8.58	2.34	6118
2037	FEBRUARY	Februar	2e+02	6.81	2.241	7294
2039	MAGPIE	Elster	3e+01	1.06	1.447	26529
204	AGAIN	wieder	4e+04	1613.96	4.613	89
2043	PEACH	Pfirsich	3e+01	1.26	1.519	23494
2045	COLUMN	Stützpfeiler	1e+00	0.04	0.301	183087
2052	BUCKET	Eimer	3e+02	11.69	2.474	4768
2058	STOOL	Hocker	5e+01	1.89	1.69	18086
2060	STORY	Erzählung	4e+01	1.73	1.653	19303
2065	STEP (VERB)	schreiten	4e+01	2.05	1.724	17165
2070	COMB (VERB)	kämmen	2e+01	1.14	1.477	25116
2071	LAY (VERB)	legen	1e+03	77.13	3.292	1071
2077	DILIGENT	fleißig	1e+02	6.81	2.241	7273
2090	MY	mein	4e+04	2438.95	4.792	68
2093	AFTERWARDS	danach	2e+03	126.46	3.507	731
2099	CHILD	Kind	8e+03	306.94	3.892	351
21	TASTE (SOMETHING)	probieren	5e+02	27.48	2.844	2511
210	LIFE	Leben	2e+04	1090.32	4.442	129
212	FIELD	Acker	4e+01	1.42	1.568	22016
2134	RAISE (BRING UP)	aufziehen	1e+02	5.04	2.111	9109
2148	PICK	pflücken	5e+01	2.36	1.785	15543
2149	CHOP (INTO PIECES)	hacken	1e+02	6.77	2.238	7302
2154	PLOUGH (INSTRUMENT)	Pflug	8e+00	0.31	0.954	56677
2159	GROUND	Boden	3e+03	106.74	3.433	832
2190	TASTE	Geschmack	6e+02	24.57	2.796	2731
221	FIRE	Feuer	4e+03	142.45	3.559	661
2214	AFFAIR	Angelegenheit	5e+02	21.65	2.741	3014
2219	LEAN (MEAT)	mager	5e+01	1.97	1.708	17645
2223	BE ANGRY	wütend	2e+03	62.92	3.204	1272
2224	BEND (SOMETHING)	biegen	1e+02	5.12	2.117	8998
2235	CLEAN (SOMETHING)	reinigen	2e+02	7.44	2.279	6804
2239	DENSE	dicht	6e+02	25.75	2.816	2629
2241	WILD CAT	Wildkatze	2e+01	0.63	1.23	36407
2242	BEETLE	Käfer	2e+02	8.31	2.326	6258
2243	REPAIR	reparieren	8e+02	33.98	2.937	2106
2246	BELL	Glocke	3e+02	13.35	2.531	4352
2247	CATERPILLAR	Raupe	3e+01	1.1	1.462	25732
2248	KNOW (SOMEBODY)	kennen	7e+03	318.08	3.907	341
2252	PATH	Pfad	3e+02	11.26	2.458	4911
2253	DRIP (EMIT LIQUID)	tröpfeln	2e+00	0.16	0.699	80992
227	FISH	Fisch	1e+03	42.72	3.036	1745
2276	IDENTICAL	gleich	1e+04	508.52	4.111	236
2277	WHOLE	ganz	2e+04	946.53	4.381	149
228	CARVE	schnitzen	2e+01	0.83	1.342	30874
2292	GLASSES	Brille	6e+02	25.59	2.814	2649
23	RYE	Roggen	2e+01	0.71	1.279	34439
230	SWEEP	fegen	3e+01	1.42	1.568	21870
231	SHAVE	rasieren	2e+02	7.99	2.31	6444
2314	BROTHER-IN-LAW	Schwager	2e+02	8.62	2.342	6084
2315	COOK (PERSON)	Koch	5e+02	19.73	2.701	3220
2317	SISTER-IN-LAW	Schwägerin	1e+02	3.78	1.987	11233
2319	LID (COVER, CAP)	Deckel	9e+01	3.5	1.954	11871
2334	MELT	schmelzen	9e+01	4.53	2.064	9893
2336	OF THIS KIND (SUCH)	so	1e+05	5300.92	5.129	26
2348	CRAB	Krabbe	4e+01	1.77	1.663	18828
2350	EARTHWORM	Regenwurm	5e+00	0.2	0.778	72621
2352	DRAGONFLY	Libelle	1e+01	0.43	1.079	46166
2365	RADISH	Radieschen	2e+01	0.98	1.415	27638
2366	ONION	Zwiebel	4e+01	1.54	1.602	20783
2367	MANDARINE	Mandarine	2e+01	0.71	1.279	34111
2373	SKIN (OF FRUIT)	Schale	2e+02	6.77	2.238	7315
2374	DREAM	Traum	3e+03	101.58	3.412	870
2378	THUNDER (VERB)	donnern	1e+01	1.18	1.491	24562
2386	TURKEY	Truthahn	2e+02	8.11	2.316	6371
239	FLOWER	Blume	4e+02	17.68	2.653	3504
2398	MANGO	Mango	1e+01	0.71	1.279	34140
2402	ROBIN	Rotkehlchen	2e+01	0.71	1.279	33889
2410	GOOD-LOOKING	hübsch	2e+03	67.64	3.235	1188
243	FRESH	frisch	6e+02	27.25	2.841	2531
2432	MARRIAGE	Ehe	1e+03	75.55	3.283	1087
244	LEFT	linker	4e+01	2.32	1.778	15785
2440	PINEAPPLE	Ananas	6e+01	2.4	1.792	15343
2445	PAPAYA	Papaya	1e+01	0.43	1.079	45821
2447	WOODPECKER	Specht	1e+01	0.51	1.146	42267
245	BROOM	Besen	1e+02	4.41	2.053	10099
2454	SIXTEEN	sechszehn	3e+00	0.12	0.602	95632
2458	PERSPIRE OR SWEAT	schwitzen	1e+02	6.65	2.23	7416
2459	GRINDSTONE	Schleifstein	9e+00	0.35	1.0	51547
2466	WEIGHT	Gewicht	4e+02	16.89	2.633	3638
2467	GAME	Spiel	5e+03	221.39	3.75	473
2468	BAG	Tasche	2e+03	69.45	3.247	1162
2470	DEAR	lieb	1e+03	56.07	3.154	1402
2473	HIS (GENITIVE OF HE)	sein	7e+04	2810.27	4.854	55
248	HAPPEN	passieren	3e+03	122.41	3.493	747
2482	TOGETHER	zusammen	1e+04	455.29	4.063	258
2483	COLD (OF WEATHER)	kühl	1e+02	6.14	2.196	7893
249	FOG	Nebel	3e+02	13.58	2.539	4302
2493	BOIL	kochen	6e+02	33.11	2.925	2149
25	DIRT	Schmutz	1e+02	5.04	2.111	9124
2500	GINGER	Ingwer	2e+01	0.83	1.342	30968
2504	DIFFERENT	verschieden	2e+02	8.31	2.326	6277
251	SHARPEN (SOMETHING)	schleifen	6e+01	2.99	1.886	13239
2516	WATER BUFFALO	Wasserbüffel	7e+00	0.28	0.903	58968
2518	HEARING (AURAL SENSE)	Gehör	9e+01	4.96	2.104	9231
252	FRIGHTEN	erschrecken	3e+02	12.13	2.49	4645
2521	FEELING (HAPTIC SENSE)	Gefühl	3e+03	122.37	3.493	748
2523	HOWLING	Geheul	9e+00	0.35	1.0	51988
2524	JOY	Freude	1e+03	45.28	3.061	1672
2525	LABOUR (EFFORT)	Mühe	8e+02	30.51	2.89	2296
2532	TORNADO	Wirbelwind	4e+01	1.65	1.633	19704
2534	DEPTH	Tiefe	3e+02	16.58	2.625	3688
2536	BREADTH	Breite	5e+01	3.19	1.914	12657
2537	LENGTH	Länge	2e+02	6.61	2.228	7462
2539	PIT (POTHOLE)	Grube	1e+02	4.92	2.1	9283
2540	LIME (MATERIAL)	Kalk	1e+01	0.39	1.041	49649
2541	MIRACLE	Wunder	2e+03	68.94	3.244	1167
2542	HERB	Kraut	5e+01	2.01	1.716	17396
2543	RAVEN	Rabe	3e+01	1.02	1.431	27189
2544	SHEPHERD	Hirte	8e+01	2.99	1.886	13210
2546	BORDER	Grenze	8e+02	31.69	2.906	2212
2548	BARREL	Fass	6e+02	35.24	2.952	2025
2549	VEHICLE	Fuhre	8e+00	0.35	1.0	52243
2550	VIANDS (PROVISIONS)	Speißen	1e+00	0.04	0.301	133830
2558	BREAK (CLEAVE)	zerbrechen	1e+02	6.22	2.201	7800
2559	FEEL (TACTUALLY)	fühlen	2e+03	97.21	3.393	899
256	FOOD	Pizza	6e+02	25.63	2.814	2640
2568	BAKER	Bäcker	5e+01	2.09	1.732	16951
2569	BUTCHER	Fleischer	4e+01	1.69	1.643	19562
2576	ALREADY	schon	7e+04	2828.18	4.856	54
2578	PENCIL	Bleistift	1e+02	3.74	1.982	11323
2579	TOOTHBRUSH	Zahnbürste	1e+02	4.76	2.086	9503
258	CALM	ruhig	6e+03	246.03	3.796	430
2580	HELICOPTER	Hubschrauber	7e+02	28.86	2.866	2390
2584	BENCH	Bank	1e+03	57.44	3.164	1367
2586	SEAHORSE	Seepferdchen	2e+01	0.67	1.255	35145
2587	DARTS	Dart	4e+01	2.17	1.748	16419
2590	HARMONICA	Mundharmonika	3e+01	1.22	1.505	23956
2591	RHINOCEROS	Nashorn	6e+01	2.32	1.778	15684
2597	HARP	Harfe	3e+01	1.1	1.462	25772
2603	ACCORDION	Akkordeon	2e+01	0.91	1.38	29190
2604	NOOSE	Schlinge	8e+01	3.03	1.892	13088
2605	ASPARAGUS	Spargel	3e+01	1.02	1.431	27020
2620	CARRIAGE	Kutsche	2e+02	8.54	2.338	6123
2623	FLAG	Fahne	2e+02	6.18	2.199	7849
2627	ORANGE (FRUIT)	Orange	2e+02	9.8	2.398	5490
2638	FISHING	angeln	1e+02	9.09	2.365	5826
2658	COAL	Kohle	6e+02	25.2	2.807	2675
269	COOKED	gekocht	3e+02	11.97	2.484	4690
27	AIR	Luft	3e+03	133.43	3.53	696
2708	TALK	reden	1e+04	622.78	4.199	196
275	PEEL	schälen	2e+01	0.91	1.38	29297
2765	CHERRY	Kirsche	4e+01	1.85	1.681	18283
2766	WATERMELON	Melone	7e+01	2.64	1.833	14353
2770	JACKET	Jacke	7e+02	27.8	2.849	2483
2771	SHAWL	Schal	1e+02	4.06	2.017	10687
2783	SCALES (MEASURE INSTRUMENT)	Waage	5e+01	2.17	1.748	16532
2809	BLUEBERRY	Blaubeere	2e+01	0.59	1.204	37510
281	POST	Stange	2e+02	6.5	2.22	7551
2819	GRASSLAND	Wiese	7e+01	2.76	1.851	14010
2826	LIE (FALSEHOOD)	Lüge	9e+02	48.03	3.087	1594
2829	MUSSELS	Muschel	4e+01	1.61	1.623	20148
2831	PENGUIN	Pinguin	6e+01	2.32	1.778	15700
2837	SWAN	Schwan	4e+01	1.54	1.602	20825
2843	CAULIFLOWER	Blumenkohl	1e+01	0.51	1.146	41584
2845	SIZE (OF OBJECT)	Größe	7e+02	31.42	2.903	2235
2846	MARCH	März	2e+02	8.07	2.314	6411
2847	APRIL	April	5e+02	19.33	2.692	3265
2848	MAY (MONTH)	Mai	4e+02	19.45	2.695	3255
2849	JUNE	Juni	2e+02	10.32	2.42	5284
2850	JULY	Juli	4e+02	14.61	2.571	4081
2851	AUGUST	August	3e+02	11.22	2.456	4923
2852	SEPTEMBER	September	4e+02	15.28	2.59	3936
2853	OCTOBER	Oktober	3e+02	10.63	2.433	5152
2854	NOVEMBER	November	2e+02	9.09	2.365	5843
2855	DECEMBER	Dezember	2e+02	7.48	2.281	6789
2857	CHANGE (BECOME DIFFERENT)	wechseln	6e+02	25.87	2.818	2621
2858	STREAM (FLOW CONTINUOUSLY)	strömen	4e+01	3.11	1.903	12868
2860	BOLT (MOVE IN HASTE)	eilen	4e+01	1.61	1.623	20181
2862	CONNECT	verbinden	3e+02	14.13	2.556	4174
2863	DASH (OF VEHICLE)	sausen	7e+01	2.87	1.869	13563
2864	DECREASE	abnehmen	4e+02	15.59	2.599	3867
2865	DIE (FROM ACCIDENT)	umkommen	6e+01	2.28	1.771	15883
2867	CALCULATE	rechnen	2e+02	11.14	2.453	4959
2868	DRIVE (CATTLE)	treiben	5e+02	21.58	2.74	3021
2869	BOTHER (HARASS)	belästigen	2e+02	9.61	2.389	5575
2870	RECOGNIZE (SOMEBODY)	erkennen	1e+03	51.73	3.119	1497
2871	SWING (MOVEMENT)	schwingen	1e+02	5.43	2.143	8629
2872	IMPROVE (SOMETHING)	verbessern	3e+02	11.61	2.471	4797
2875	RING (MAKE SOUND)	klingeln	1e+02	8.19	2.32	6330
2879	SOUND (OF INSTRUMENT OR VOICE)	klingen	4e+02	18.03	2.662	3454
2880	HALT (STOP)	anhalten	6e+02	32.36	2.915	2179
2881	URGE (SOMEONE)	antreiben	2e+01	0.87	1.362	30107
2882	ADD	hinzufügen	1e+02	5.95	2.182	8098
2883	DISTURB	stören	9e+02	35.59	2.957	2010
2884	HANG	hängen	1e+03	44.96	3.058	1679
2885	HERD (SOMETHING)	hüten	9e+01	5.2	2.124	8915
2886	PRODUCE	herstellen	2e+02	9.29	2.375	5734
2887	THAW (DEW)	tauen	6e+00	0.24	0.845	65699
2890	WALK (TAKE A WALK)	spazierengehen	2e+01	1.46	1.58	21507
2892	MAKE ANGRY (ANNOY)	ärgern	3e+02	11.46	2.465	4841
2893	NOTICE (SOMETHING)	bemerken	3e+02	11.26	2.458	4912
2894	TUMBLE (FALL DOWN)	hinfallen	2e+01	0.98	1.415	27589
2896	CAUSE TO (LET)	lassen	2e+04	815.03	4.316	165
2897	CHIME (ACTION)	läuten	1e+02	4.53	2.064	9892
2898	CONVEY (A MESSAGE)	mitteilen	3e+02	11.81	2.479	4735
2899	JOG (SOMETHING)	rütteln	1e+01	0.83	1.342	31093
2900	PROTECT	schützen	1e+03	54.45	3.141	1436
2901	SWING (SOMETHING)	schwenken	5e+01	2.32	1.778	15720
2904	RINSE	spülen	5e+01	2.56	1.82	14724
2905	KNIT	stricken	2e+01	1.18	1.491	24633
2906	TRANSLATE	übersetzen	1e+02	7.05	2.255	7117
2907	ROT	verfaulen	2e+01	0.98	1.415	27591
2909	PREPARE	vorbereiten	5e+02	19.88	2.704	3197
2910	BACK (DIRECTION)	zurück	2e+04	961.77	4.388	147
2911	BACKWARD	rückwärts	3e+02	11.46	2.465	4847
2914	ONCE (IN THE PAST)	einst	4e+02	20.83	2.724	3102
2915	AT FIRST	zuerst	3e+03	162.17	3.615	610
2916	INSTANTLY (IMMEDIATELY)	sofort	8e+03	370.96	3.974	299
2917	NEXT TO	neben	2e+03	65.75	3.223	1213
2918	BECAUSE OF	wegen	9e+03	450.84	4.059	260
2919	STILL (CONTINUING)	noch	9e+04	3663.49	4.969	42
2920	SUDDENLY	plötzlich	2e+03	95.2	3.384	909
2921	THEN	dann	5e+04	2746.96	4.844	60
2922	AT THAT TIME	damals	2e+03	123.71	3.497	741
2923	THITHER (THERE TO)	dorthin	9e+02	38.82	2.994	1886
2924	A LITTLE	wenig	6e+03	220.68	3.749	475
2925	HITHER (HERE TO)	hierhin	3e+02	11.42	2.464	4857
2926	HARDLY	kaum	3e+03	146.34	3.57	649
2930	BOSS	Chef	2e+03	67.21	3.232	1196
2931	BUSINESS	Geschäft	2e+03	94.33	3.38	914
2932	COLD (CHILL)	Kälte	2e+02	8.35	2.328	6247
2933	CONVERSATION	Gespräch	1e+03	39.84	3.006	1850
2934	CUCKOO	Kuckuck	1e+02	3.82	1.991	11151
2935	CURRENT (STREAM)	Strömung	7e+01	2.68	1.839	14295
2936	ELEVATION	Anhöhe	2e+01	0.94	1.398	28567
2937	FAIRY TALE	Märchen	3e+02	11.1	2.452	4977
2939	FLOCK (OF ANIMALS)	Herde	1e+02	5.63	2.158	8394
2940	GATE	Tor	1e+03	48.9	3.094	1563
2941	HAPPINESS	Glück	7e+03	277.73	3.848	386
2943	BUNDLE	Bündel	1e+02	3.78	1.987	11250
2944	CALL (APPEAL)	Ruf	2e+03	141.3	3.555	664
2945	COUNT (QUANTITY)	Anzahl	3e+02	11.97	2.484	4700
2946	CRADLE	Wiege	9e+01	4.45	2.057	10042
2947	DAMAGE (INJURY)	Schaden	7e+02	43.11	3.04	1732
2948	GAP (DISTANCE)	Abstand	3e+02	12.09	2.489	4660
2949	LAIR	Bau	3e+02	15.63	2.6	3863
2950	MEANING	Sinn	3e+03	103.07	3.418	859
2951	POUCH	Beutel	1e+02	5.43	2.143	8625
2952	SLAB	Platte	3e+02	12.87	2.516	4473
2953	SLEEVE	Ärmel	2e+02	6.54	2.223	7510
2954	SLICE	Scheibe	1e+02	9.84	2.4	5474
2955	STATE (POLITICS)	Staat	6e+02	24.13	2.788	2777
2956	TUBE	Rohr	2e+02	8.94	2.358	5915
2957	WARE	Ware	4e+02	17.48	2.648	3536
2958	LAUGHTER	Gelächter	2e+02	9.02	2.362	5872
2959	LEASH	Leine	2e+02	9.84	2.4	5472
2960	LONGING (WISH)	Lust	1e+03	56.62	3.158	1389
2961	MESSAGE	Nachricht	3e+03	104.81	3.425	847
2962	MOORLAND	Moor	4e+01	1.46	1.58	21579
2963	NET	Netz	4e+02	17.52	2.649	3529
2964	NEWS	Neuigkeit	1e+02	4.49	2.061	9959
2965	PAW	Kralle	3e+01	1.1	1.462	25625
2966	PERCH (FISH)	Barsch	2e+01	1.22	1.505	24064
2967	PIKE (FISH)	Hecht	3e+01	1.22	1.505	24153
2968	REASON	Grund	6e+03	237.02	3.78	448
2969	RIBBON	Band	2e+03	63.31	3.207	1262
297	CROOKED	krumm	9e+01	4.06	2.017	10691
2971	SIN	Sünde	4e+02	16.3	2.618	3740
2972	SLEEP (STATE)	Schlaf	1e+03	60.83	3.189	1309
2973	STRAP	Riemen	3e+01	1.18	1.491	24617
2974	SWARM (OF BIRDS)	Schwarm	7e+01	2.83	1.863	13698
2975	THOUGHT	Gedanke	6e+02	22.6	2.76	2925
2976	VIOLENCE	Gewalt	1e+03	41.46	3.023	1786
2977	WORKER	Arbeiter	4e+02	15.12	2.585	3971
2978	DISTANCE	Entfernung	3e+02	12.87	2.516	4475
2979	WALK (MANNER)	Gang	1e+03	41.54	3.024	1782
2980	AREA	Gegend	1e+03	51.46	3.117	1506
2981	ITEM	Gegenstand	2e+02	6.46	2.217	7600
2982	GIFT	Geschenk	2e+03	69.92	3.25	1157
2983	COMPANIONSHIP	Gesellschaft	1e+03	55.08	3.146	1421
2984	HEAP	Haufen	1e+03	45.87	3.067	1651
2985	HEIGHT	Höhe	4e+02	17.48	2.648	3539
2986	CAMPFIRE	Lagerfeuer	6e+01	2.4	1.792	15360
2987	AMOUNT	Menge	4e+03	149.65	3.58	640
2988	PATTERN	Muster	3e+02	10.16	2.413	5348
2989	FRINGE	Rand	3e+02	10.67	2.435	5131
2990	SACK	Sack	6e+02	25.55	2.813	2651
2991	SKI	Ski	7e+01	2.76	1.851	13979
2992	TIP (OF OBJECT)	Spitze	5e+02	25.63	2.814	2646
2993	STROKE (OF PEN)	Strich	1e+02	4.8	2.09	9472
2994	SUPPORT (OF OBJECT)	Stütze	7e+01	3.11	1.903	12881
2995	TONE (MUSIC)	Ton	7e+02	30.0	2.883	2317
2996	WEALTH	Reichtum	2e+02	7.99	2.31	6461
2997	COLORFUL	bunt	5e+01	2.05	1.724	17197
2999	EVERYWHERE	überall	3e+03	141.23	3.555	666
3	BRAVE	mutig	4e+02	16.3	2.618	3737
300	RATTLE	Rassel	9e+00	0.39	1.041	48554
3001	POWERFUL	kräftig	2e+02	7.99	2.31	6457
3002	PRECIOUS	wertvoll	2e+02	8.31	2.326	6269
3003	SOLID	fest	4e+03	174.89	3.648	582
3004	FORMER	ehemalig	2e+00	0.16	0.699	82914
3005	FAMILIAR	bekannt	2e+03	74.45	3.277	1104
3006	SPACE (AVAILABLE)	Platz	4e+03	156.9	3.601	626
3010	WAGTAIL	Bachstelze	1e+00	0.04	0.301	161755
3032	STARFISH	Seestern	7e+00	0.28	0.903	59463
3055	SWINDLE	betrügen	3e+02	13.58	2.539	4301
3060	PHEASANT	Fasan	1e+01	0.51	1.146	41421
307	HAWK	Falke	6e+01	2.32	1.778	15732
3072	MISPLACE	verlieren	3e+03	130.28	3.52	712
3076	SLOPE	Abhang	2e+01	0.67	1.255	35567
3078	IRRIGATE	gießen	5e+01	2.8	1.857	13881
3083	BALLOON	Luftballon	2e+01	0.67	1.255	35510
3084	BLACKBOARD	Tafel	2e+02	9.53	2.386	5629
3085	CARROT	Mohrrübe	2e+00	0.08	0.477	116776
3086	COMPUTER	Computer	2e+03	72.99	3.268	1124
3087	PACIFIER	Nuckel	2e+00	0.08	0.477	114336
3088	ENVELOPE	Briefumschlag	2e+01	0.71	1.279	34248
3089	GIRAFFE	Giraffe	3e+01	1.18	1.491	24523
3090	GUITAR	Gitarre	2e+02	9.29	2.375	5725
3091	LEMON	Zitrone	1e+02	4.37	2.049	10155
3092	LIGHTER	Feuerzeug	1e+02	5.91	2.179	8119
3093	LIPSTICK	Lippenstift	2e+02	7.24	2.267	6943
3094	PAINTBRUSH	Pinsel	7e+01	2.68	1.839	14273
3095	POSTMAN	Postbote	5e+01	1.85	1.681	18287
3096	RACKET	Schläger	3e+02	12.87	2.516	4470
3097	SEWING MACHINE	Nähmaschine	3e+01	1.1	1.462	25738
3098	SNOWMAN	Schneemann	3e+01	1.06	1.447	26302
