CONCEPTICON_ID	CONCEPTICON_GLOSS	ARABIC	ARABIC_CONCRETENESS_LLM_SCORE	ARABIC_FREQUENCY	LINE_IN_SOURCE
1439	SWIM	يسبح	4	37019	26930
1442	STAND	يقف	4	457590	2836
1443	WALK	يسير	3	251720	5339
1447	GIVE	يعطي	3	346615	3836
1448	HOLD	يمسك	6	64204	17900
1453	WASH	يغسل	6	48605	22208
1454	WIPE	يمسح	5	37938	26510
1458	SAY	يقول	3	3324183	140
1465	BOX	صندوق	5	912940	1188
1469	WEEK	اسبوع	4	203507	6538
1471	WINTER	الشتاء	6	342159	3892
1472	KEY	مفتاح	7	372065	3554
1474	SEA	بحر	6	598259	2078
1476	CHAIR	كرسي	7	513395	2488
1477	KEEP	يحتفظ	3	80874	14877
1480	BODY	جسم	7	378878	3498
1487	POUR	يصب	5	133215	9717
1494	DIE	يموت	3	258351	5200
1495	HAPPY	سعيد	2	2011919	352
1499	JUICE	عصير	6	165661	7959
1508	KING	ملك	4	845706	1320
1518	STUPID	غبي	2	38830	26088
1519	RUN	يركض	6	33139	29107
1521	SEEM	يبدو	1	1341766	708
1523	FORGET	ينسى	2	94577	13120
1525	COAST	ساحل	5	253895	5298
1526	MEAL	وجبة	7	249768	5376
153	GREY	رمادي	4	39934	25538
1535	SWORD	سيف	5	478333	2691
1536	UNDERSTAND	يفهم	3	198203	6705
1544	SOMETIMES	أحيانا	2	614374	2010
1546	TWICE	مرتين	2	374884	3527
1548	UGLY	قبيح	3	33845	28679
1554	MAN	رجل	5	1954966	374
1558	SIMILAR	مماثل	3	120618	10664
1559	MONEY	مال	6	563721	2235
156	RED	أحمر	5	231125	5803
1561	ARMY	جيش	5	577385	2169
1562	MIND	عقل	3	228091	5882
1567	DOOR	باب	7	2327995	278
1571	SELL	يبيع	4	91561	13459
1583	BRAIN	مخ	5	34800	28150
1590	WAIT (FOR)	ينتظر	2	369731	3586
1592	CHEST	صدر	5	845598	1321
1595	SOUTH	جنوب	4	2503606	234
1596	LOCK	قفل	7	69558	16773
1597	AIRPLANE	طائرة	7	582230	2147
1599	WORD	كلمة	3	2263921	291
1607	HATE	يكره	1	106550	11833
1608	LISTEN	يستمع	2	74798	15821
1609	IDEA	فكرة	1	1093805	924
161	MISS (A TARGET)	أخطأ	2	74825	15815
1612	LETTER	رسالة	4	1798101	442
1620	SON	إبن	5	136596	9506
1622	SHIRT	قميص	7	91884	13423
163	BLACK	اسود	3	110786	11442
1631	FAST	سريع	3	402541	3272
1645	SHORT	قصير	3	269146	4974
1646	GIRL	فتاة	5	474113	2720
1650	WATCH	يراقب	3	50034	21711
1651	TEAR (OF EYE)	دمعة	5	46421	22914
1657	TRUE	حقيقي	3	324394	4129
1660	LOSE	يخسر	3	92786	13304
1663	BED	سرير	7	133414	9695
1668	GRIEF	حزن	3	106108	11880
1671	TOWER	برج	6	700412	1716
1672	WRITE	يكتب	4	414351	3158
1673	ARM	ذراع	6	86493	14086
1674	POOR	فقير	2	66195	17448
1675	PROMISE	يعد	2	1755874	463
1676	ALWAYS	دائما	2	1984412	366
1685	AFTER	بعد	2	166605	7911
1690	FENCE	سور	5	151074	8614
1691	FLEXIBLE	مرن	2	39824	25589
1711	TELL	يخبر	2	46909	22756
1720	SIGN	علامة	5	700835	1714
1726	WET	رطب	6	34859	28128
1732	SKY	سماء	6	186277	7129
174	PROUD	فخور	3	47869	22432
1743	JOIN	ينضم	1	67213	17223
1747	CUSTOM	تقليد	2	89570	13695
1749	TAKE	يأخذ	2	428734	3048
1750	CHOOSE	يختار	2	147021	8854
1752	LEAVE	يغادر	3	132522	9765
1757	TIRED	تعب	4	84633	14334
1763	CLUB	نادي	4	2538403	229
1766	FINISH	ينهي	3	97114	12815
1773	GRAVE	قبر	5	136208	9531
1776	SHAME	عار	3	77666	15371
1782	GUEST	ضيف	4	230628	5809
1783	PAIN	الم	1	158869	8275
1784	WANT	يريد	3	1525987	590
1788	TELEVISION	تلفاز	7	41199	24991
1789	AGE	عمر	3	3017211	165
1791	BUTTERFLY	فراشة	7	39819	25594
1803	WOOD	خشب	7	104732	12004
1810	DANGER	خطر	4	745617	1572
1812	TRY	يحاول	2	527028	2425
1817	WEST	غرب	3	1047735	982
1826	ANGRY	غاضب	2	36590	27156
1831	MEET	يجتمع	2	193935	6855
1833	DINNER (SUPPER)	عشاء	7	108613	11654
1839	CRY	يبكي	5	79872	15031
1840	BUILD	يبني	4	84281	14388
1841	SUSPECT	يشتبه	2	116969	10923
1844	BOAT	قارب	7	92976	13283
1845	BALL	كرة	7	2280228	287
1846	RULE	قاعدة	3	893353	1218
1847	SICK	مريض	4	196591	6754
1850	COTTON	قطن	5	40484	25294
1863	AMAZING	مدهش	2	37490	26710
1869	BUY	يشتري	3	81837	14736
1882	BEFORE	قبل	2	118127	10838
1895	CLOTHES	ملابس	6	717857	1657
1896	FINGERNAIL OR TOENAIL	ظفر	7	151907	8573
1897	HELP	يساعد	3	524305	2439
1899	MAD	مجنون	2	82245	14674
1917	TIE	يربط	2	139760	9302
192	CORNER	زاوية	5	327007	4092
1923	ROUGH	شديد	2	542432	2328
1938	FORTRESS	قصر	5	826823	1360
1939	SWEAR	يقسم	3	60777	18711
1941	SOLDIER	جندي	7	259933	5173
1943	CROWN (OF HEAD)	تاج	7	227227	5904
1963	IMMEDIATELY	مباشرة	3	1806518	441
197	OTHER	آخر	2	38163	26406
1973	DEMON	شيطان	3	65328	17643
1986	DISEASE	مرض	4	950943	1129
1989	CALF	عجل	7	144790	8990
1990	BECOME	يصبح	2	630708	1939
2	DUST	غبار	7	70035	16676
2001	PAINTING	يرسم	3	65919	17516
2005	MASK	قناع	5	54935	20230
2008	RESCUE	ينقذ	2	32682	29363
2009	DOG	كلب	6	120637	10661
2017	MIX	يخلط	3	32636	29402
2022	ADMIT	يعترف	3	140215	9269
2058	STOOL	مقعد	7	192462	6917
2060	STORY	قصة	3	1196785	829
209	RARE	نادر	2	204162	6516
2099	CHILD	طفل	7	518501	2465
2106	MALE PERSON	رجال	5	1638389	529
2114	BELLY OR STOMACH	جوف	5	47500	22548
2117	DESIRE	يرغب	3	308149	4321
212	FIELD	حقل	5	229386	5853
216	MOVIE	فيلم	6	2021427	349
221	FIRE	حريق	5	229063	5858
2239	DENSE	كثيف	2	79008	15163
2244	METAL	معدن	6	55412	20103
2246	BELL	جرس	6	72406	16258
2252	PATH	مسار	5	576509	2175
2291	VOLCANO	بركان	6	98309	12685
2316	FREE	حر	2	238738	5617
2374	DREAM	حلم	2	386334	3417
239	FLOWER	زهرة	7	214097	6268
2393	JOURNEY	رحلة	5	720624	1645
240	ELECTION	انتخاب	2	321633	4160
2403	TOY	لعبة	5	1317633	727
2409	BROWN	بني	5	1866951	417
2429	LOGIC	منطق	3	170861	7722
2430	OFFICE	مكتب	7	1645182	524
2434	TRAGEDY	مأساة	3	101267	12378
2435	UNIVERSITY	جامعة	6	3240342	147
2468	BAG	حقيبة	7	253024	5311
2471	LADY	سيدة	5	423272	3088
248	HAPPEN	يحدث	3	1232649	791
249	FOG	ضباب	4	32670	29374
25	DIRT	تراب	7	101602	12331
2504	DIFFERENT	مختلف	3	2624269	213
2522	SCREAM (NOISE)	يصرخ	4	48868	22124
2524	JOY	سعادة	3	444573	2921
2527	ABILITY	قدرة	3	579575	2156
2534	DEPTH	عمق	4	269656	4963
2546	BORDER	حد	4	1715001	487
2547	CITY	مدينة	5	5803537	31
2549	VEHICLE	مركبة	6	168281	7820
255	SERVANT	خادم	4	716618	1660
2554	PRINCE (RULER)	أمير	6	933238	1167
256	FOOD	طعام	7	298851	4466
258	CALM	هادئ	2	78843	15190
2606	COMPASS	بوصلة	5	40144	25442
2619	CARD	بطاقة	4	733992	1608
2620	CARRIAGE	نقل	4	3109347	156
2624	FRAME	حيلة	4	55956	19959
2625	MAP	خريطة	5	552329	2286
2626	NERVE	عصب	7	104438	12038
2630	WHIP	يضرب	5	165289	7980
2631	WIRE	سلك	5	123161	10456
2651	BE IGNORANT	جاهل	2	40363	25341
27	AIR	هواء	5	96404	12897
2755	BUSY	مشغول	2	56753	19742
2819	GRASSLAND	مرج	5	42081	24626
2845	SIZE (OF OBJECT)	حجم	4	1338869	711
2851	AUGUST	اب	6	664537	1824
2879	SOUND (OF INSTRUMENT OR VOICE)	صوت	4	1222171	800
2880	HALT (STOP)	يتوقف	3	293362	4548
2882	ADD	يضيف	2	151140	8610
2900	PROTECT	يحمي	3	108548	11662
2916	INSTANTLY (IMMEDIATELY)	فورا	2	492206	2613
2930	BOSS	زعيم	3	424494	3078
2931	BUSINESS	عمل	4	4476493	63
2933	CONVERSATION	محادثة	4	67614	17134
2940	GATE	بوابة	4	1176122	850
2946	CRADLE	مهد	5	57217	19612
2948	GAP (DISTANCE)	فارق	2	123046	10470
2955	STATE (POLITICS)	دولة	4	3654323	110
2964	NEWS	أخبار	3	3881839	92
2977	WORKER	عامل	6	612353	2013
2980	AREA	منطقة	4	4758373	58
2982	GIFT	هدية	7	268098	5002
2996	WEALTH	ثروة	2	120298	10687
3002	PRECIOUS	ثمين	2	32067	29738
301	CHIEFTAIN	رئيس	4	11707214	7
3033	SCARED	خائف	2	34851	28134
3050	SEEDLING	زراعة	6	1051905	975
307	HAWK	صقر	7	213492	6284
3086	COMPUTER	حاسوب	7	86774	14050
3088	ENVELOPE	ظرف	4	110210	11501
3096	RACKET	راحة	4	263393	5113
3138	STRAWBERRY	توت	7	33916	28641
3282	GROOM	عريس	4	41448	24886
3283	CAGE	قفص	7	62145	18391
3325	PEARL	لؤلؤة	5	40969	25098
3333	BELIEF (RELIGIOUS)	ايمان	2	78841	15192
3349	WRISTWATCH	ساعة	6	1815141	437
3396	BUILDING	بناء	5	2580239	221
3405	RULER	حاكم	5	304969	4370
3447	BEGIN OR START	يبدأ	3	675152	1794
3472	DANCE (MOVEMENT)	رقص	4	95082	13054
353	STRIKE	يصيب	3	157840	8310
3608	WARRIOR	محارب	6	48124	22357
362	STRING	خيط	5	45684	23165
3628	HONOR (SOMEBODY)	شرف	2	478726	2688
3635	ADULT	بالغ	3	196096	6774
364	SMEAR	نشر	2	1847889	423
3643	AGREE	يوافق	2	187717	7064
3649	PUNISH	يعاقب	2	95606	12991
3665	TRAVEL	يسافر	4	61497	18535
367	RIDE	يركب	4	47442	22573
3687	DESERT	صحراء	5	288173	4633
369	OWE	يدين	7	115956	11022
3695	MOVEMENT	حركة	4	2329475	277
3762	SAFE	امن	1	232166	5781
3957	SYSTEM	نظام	2	3174841	153
3958	SOCIETY	مجتمع	2	614648	2007
3966	CONCEPT	مفهوم	3	541491	2333
4012	TELESCOPE	مرصد	5	58688	19229
4023	VIOLIN	كمان	5	110797	11440
4033	ELEVATOR	مصعد	7	42192	24577
4035	SWEATER	سترة	7	55656	20047
421	RETREAT	يتراجع	2	83293	14521
476	CUP	كوب	7	233403	5742
479	GROW	يكبر	3	57009	19663
480	PLATE	صحن	7	44349	23698
485	DISAPPEAR	يختفي	2	40163	25435
486	MINISTER	قس	3	34578	28255
488	MANNER	أسلوب	2	326467	4100
489	KIDNEY	كلية	5	2149323	316
49	REFUSE	يرفض	3	280914	4764
501	LIFT	يرفع	3	279821	4787
506	MAIZE	ذرة	7	83345	14516
53	SPIRIT	روح	2	661032	1837
579	BATTLE	معركة	6	579630	2155
584	DIFFICULT	صعب	2	300015	4447
586	GARDEN	حديقة	7	398970	3298
59	ELECTRICITY	كهرباء	6	387941	3407
594	PIECE	قطعة	7	484178	2655
597	PHYSICIAN	طبيب	5	791740	1452
6	EARTHQUAKE	زلزال	5	113961	11194
601	LIE (MISLEAD)	يكذب	2	68938	16891
604	GLASS	زجاج	7	128677	10039
609	HAIL	برد	4	128662	10042
614	HILL	تل	5	793830	1445
615	HORSE	حصان	7	121645	10590
616	HOSPITAL	مستشفى	5	1711250	488
619	ANIMAL	حيوان	5	121695	10589
620	INSECT	حشرة	7	49564	21878
621	IRON	حديد	7	391274	3379
622	ISLAND	جزيرة	5	738402	1596
624	LAKE	بحيرة	6	173048	7636
625	LAMP	مصباح	7	93093	13262
630	LIGHT (RADIATION)	ضوء	4	675229	1793
635	MILK	حليب	7	117582	10871
636	MILL	طاحونة	5	53411	20687
639	MOUNTAIN	جبل	7	806793	1408
640	MUD	طين	7	37727	26613
642	MUSIC	موسيقى	4	494489	2595
644	OAK	بلوط	5	44149	23783
645	OCEAN	محيط	5	266529	5042
648	PAPER	ورقة	7	418765	3126
658	RAIN (PRECIPITATION)	مطر	5	201884	6585
660	REEF	شعب	4	481932	2668
661	RELIGION	دين	2	593541	2101
666	RIVER	نهر	5	602899	2048
667	ROAD	طريق	5	3942858	86
671	SAND	رمل	7	35940	27509
673	SCHOOL	مدرسة	7	1656453	517
674	MOUTH	فم	7	72088	16313
680	BREAK (DESTROY OR GET DESTROYED)	يكسر	3	49843	21776
682	SIDE	جانب	4	2434117	249
683	PERSON	شخص	5	2782276	196
690	BOTTOM	أسفل	3	321501	4162
691	SEASON	فصل	4	818124	1377
692	BRING	يحضر	3	221538	6063
694	GET	يحصل	2	809601	1400
695	GO	يذهب	2	318270	4204
699	SAD	حزين	3	101111	12400
700	CARRY	يحمل	5	927459	1173
702	CATCH	يقبض	3	34686	28204
703	SOON	قريبا	3	848558	1312
713	STEAL	يسرق	3	48698	22174
714	SEED	بذرة	6	353437	3763
717	SWEET	حلو	4	168450	7812
718	PAY	يدفع	3	360507	3686
719	FIND	يجد	2	590872	2113
720	GOOD LUCK	حظ	3	106578	11829
722	ATTACK	هجوم	3	562457	2240
724	READ	يقرأ	2	268079	5003
729	DAWN	فجر	4	397605	3310
731	BEVERAGE	شراب	6	75596	15688
733	EARN	يكسب	2	51134	21365
741	DRIVE	يقود	3	237851	5637
749	ENTER	يدخل	3	636070	1920
753	PUPIL (STUDENT)	طالب	5	1286895	750
756	DEPEND	يعتمد	2	498848	2575
757	BUTTON	زر	5	459008	2828
763	SKIN	جلد	5	127960	10096
768	LUNCH	غداء	5	76020	15614
769	ROOF	سطح	5	587661	2123
772	BELT	حزام	6	108774	11635
783	VICTORY	فوز	2	487960	2636
785	STRONG	قوي	4	523193	2445
794	PEN	قلم	7	155634	8411
798	JAW	فك	5	333626	4001
812	SLAVE	عبد	3	10990889	9
813	DO	يفعل	2	413796	3160
815	GOVERNMENT	حكومة	2	2094796	332
819	STOMACH	معدة	6	69815	16725
82	ANGER	غضب	2	263233	5118
820	LAMB	حمل	5	586804	2128
837	BLUE	أزرق	5	102934	12185
842	LIQUOR	خمر	6	46910	22755
849	SPRING (OF WATER)	مصدر	4	1824094	434
852	PRIEST	كاهن	5	37843	26553
857	STONE	حجر	7	668626	1811
858	STORM	عاصفة	5	142009	9153
861	JUDGE	قاضي	5	195666	6786
862	SUGAR	سكر	7	209937	6363
865	FAME	شهرة	2	167472	7866
866	WIN	يفوز	3	138696	9371
873	TAX	ضريبة	4	226795	5919
874	CANDY	حلويات	5	343202	3885
90	INNOCENT	بريء	1	53463	20668
900	TRAIN	قطار	7	207632	6426
906	TREE	شجرة	6	286289	4663
910	DEATH	موت	3	266787	5032
92	SPOIL (SOMEBODY OR SOMETHING)	يفسد	2	53898	20535
921	VALLEY	وادي	5	651872	1865
926	RICE	أرز	7	57817	19473
937	BIRD	طائر	7	301623	4428
938	MARE	فرس	7	47390	22590
942	HONEY	عسل	7	148330	8771
946	BLOOD	دم	5	283362	4712
947	STREAM	مجرى	4	197314	6732
948	WATER	ماء	7	1538595	577
951	WEAPONS	سلاح	5	468464	2761
952	WEATHER	طقس	4	187628	7070
956	FLEE	يهرب	2	46263	22965
958	WILD ANIMAL	وحش	4	40842	25156
960	WIND	ريح	5	71613	16404
962	WOMAN	امرأة	5	870334	1264
963	BOOK	كتاب	6	2794227	194
965	WORLD	عالم	3	5329591	44
976	WEAR	يلبس	5	54251	20427
977	ARROW	سهم	4	428350	3050
978	WAVE	موجة	6	287368	4643
985	VINEGAR	خل	5	65287	17659
987	REMAIN	يبقى	3	695566	1731
998	PUT	يضع	2	419468	3115
