CONCEPTICON_ID	CONCEPTICON_GLOSS	FRENCH	FRENCH_VISUAL_MEAN	LINE_IN_SOURCE
1318	CHICKEN	poulet	92.667	2689
1320	APPLE	pomme	89.417	2656
1321	BOTTLE	bouteille	86.172	406
1323	CLOCK	horloge	86.417	1757
1327	UNCLE	oncle	79.909	2392
1331	SHEEP	mouton	87.4	2273
1332	NEIGHBOUR	voisin	66.87	3571
1333	NECK	cou	79.179	890
1335	WHITE	blanc	80.696	344
1337	PIG	cochon	81.926	714
134	FAULT	faute	48.36	1413
1342	SUMMER	été	85.476	1328
1343	SUN	soleil	92.643	3154
1344	RAM	bélier	78	312
1349	CHURCH	église	80.458	1203
135	BOOMERANG	boomerang	68.565	370
1350	MONKEY	singe	88.083	3140
1352	KNIFE	couteau	85.5	911
1357	DAUGHTER	fille	79.333	1457
1358	ENEMY	ennemi	60.9	1250
1360	DUCK	canard	83.846	498
1361	TOOL	outil	86.667	2433
1363	VOICE	voix	42.435	3573
1365	KITCHEN	cuisine	86.84	957
1366	BOY	garçon	83.926	1589
1368	BREAD	pain	90.6	2443
1369	GOLD	or	91.458	2403
1371	KNEE	genou	85	1610
1373	TEA	thé	84.5	3341
1374	RING	bague	92.095	252
1375	WINDOW	fenêtre	83.192	1421
1378	SPOON	cuillère	87.5	955
1379	TELEPHONE	téléphone	72.923	3310
1380	TOOTH	dent	89.074	1028
1381	SHOE	chaussure	85.138	635
1385	PEPPER	poivre	74.652	2647
1386	LION	lion	89.241	2018
1388	SHADE	ombre	80.05	2391
1389	TOE	orteil	87.037	2423
1392	LOUSE	pou	62.2	2682
1393	HORN (ANATOMY)	corne	84.417	867
1396	SHARP	tranchant	71.08	3418
1399	CLAY	argile	76.2	167
1402	BREAST	sein	83.52	3089
1404	STRAIGHT	droit	52.269	1152
1406	FAR	loin	72.071	2034
1430	STAR	étoile	89.143	1332
1439	SWIM	nageur	77.815	2303
144	MACHINE	machine	71.583	2065
1450	ROOM	chambre	81.5	602
1451	SMILE	sourire	89	3195
1456	THROW	lancer	72.375	1958
1464	LADDER	échelle	81.958	1169
1472	KEY	clé	89.083	691
1473	FIST	poing	76.269	2638
1474	SEA	mer	94.16	2167
1475	COMB	peigne	75.174	2521
1476	CHAIR	chaise	87.304	598
1479	DOLPHIN	dauphin	84.182	974
1480	BODY	corps	74.087	873
1481	HAMMER	marteau	77.583	2130
1482	SHOULDER	épaule	83.821	1272
1488	FAUCET	robinet	77.875	2984
1489	CLOUD	nuage	84.417	2350
1490	RAT	rat	82.379	2837
1491	MOUSE	souris	87.217	3196
1499	JUICE	jus	78.44	1927
1502	GOAT	chèvre	89.591	648
1503	SALIVA	salive	68.792	3033
1504	FLY (INSECT)	mouche	84.538	2262
1505	SPERM	sperme	77.538	3211
1506	MEASURE	mesure	53.8	2179
1509	MOSQUITO	moustique	88.16	2272
151	RAZOR	rasoir	82.862	2836
1510	CHIN	menton	75.5	2164
1511	ROOSTER	coq	87.786	859
1514	HEN	poule	89.5	2688
1515	TEN	dix	55.593	1124
1522	SOCK	chaussette	87.667	633
1524	WINE	vin	89.808	3544
1526	MEAL	repas	79.5	2921
1529	LAST (FINAL)	dernier	52.519	1039
1531	BRANCH	branche	84.793	413
1535	SWORD	épée	85.565	1274
1538	SCORPION	scorpion	77.893	3070
1539	BASKET	corbeille	81.636	864
1543	SNAIL	escargot	80.833	1305
1547	SOUP	soupe	79.76	3190
1555	CHAMELEON	caméléon	84.92	490
1560	FACE	visage	86.731	3556
1563	PYTHON	python	79.727	2799
1564	LAZY	paresseux	68.44	2478
1566	GUN	fusil	77.4	1567
1567	DOOR	porte	85.348	2666
1569	CHEESE	fromage	80.625	1557
1575	COCKROACH	cafard	73.414	468
1581	ALLIGATOR	alligator	82.36	91
1584	BLISTER	ampoule	82.357	114
1592	CHEST	poitrine	79.379	2646
1597	AIRPLANE	avion	88.4	238
1599	WORD	mot	65.636	2253
16	SLED	luge	86.56	2050
1605	SKULL	crâne	83.714	922
1612	LETTER	lettre	80.538	1987
1613	COLOR	couleur	84.5	896
1620	SON	fils	75.5	1462
1628	SQUIRREL	écureuil	90.833	1192
163	BLACK	noir	85.4	2335
1632	FLOOR	sol	67.76	3152
1634	HUNDRED	cent	56.25	583
1638	TRUTH	vérité	30.407	3515
164	KANGAROO	kangourou	76.857	1931
1643	COUSIN	cousin	78.56	909
1647	FOAL	poulain	77.276	2687
1648	ANVIL	enclume	55.36	1236
1651	TEAR (OF EYE)	larme	86.174	1966
1654	LIGHTNING	éclair	83.375	1172
1658	PUPIL	pupille	80.846	2791
1662	CAPE	cape	80.826	515
1664	RAFT	radeau	70.92	2814
1668	GRIEF	chagrin	72.08	596
1669	ANCESTORS	ancêtre	55.76	119
1673	ARM	bras	85.286	414
1680	HELMET	casque	86.25	561
1686	BEHIND	derrière	66.607	1040
1687	PRAISE	louange	39	2039
1690	FENCE	barrière	79.739	292
1692	FRIDAY	vendredi	55.28	3503
1693	THURSDAY	jeudi	52.333	1911
1694	WEDNESDAY	mercredi	43.32	2169
1695	TUESDAY	mardi	42.19	2115
1697	MONDAY	lundi	45.958	2053
1699	SUNDAY	dimanche	50.286	1089
17	EYELID	paupière	78.24	2516
1703	SIX	six	61.32	3146
1704	SEVEN	sept	64.759	3107
1707	TWELVE	douze	60.625	1149
1712	OATH	serment	43	3114
1732	SKY	ciel	93.462	661
1740	PINE	pin	75.48	2591
1745	HIP	hanche	80.167	1710
1747	CUSTOM	coutume	62.435	912
1762	STONE (OF FRUIT)	noyau	82.083	2348
1768	FOAM	écume	62.846	1191
1769	AXLE	essieu	42.966	1316
1775	TABLE	table	88.75	3278
1776	SHAME	honte	62.739	1753
1782	GUEST	invité	58.72	1888
1789	AGE	âge	55.321	60
1791	BUTTERFLY	papillon	80.958	2459
1793	BAT	chauve-souris	84.44	637
1794	FURROW	sillon	42.115	3135
1797	HEDGEHOG	hérisson	79.607	1727
1799	HYENA	hyène	66.957	1776
1803	WOOD	bois	84.278	358
1804	BOMB	bombe	76.6	361
1808	PUS	pus	61.296	2795
1821	BRUSH	brosse	77.84	432
1833	DINNER (SUPPER)	dîner	73.893	1093
1835	MARROW	moelle	56.739	2218
1838	NAVEL	nombril	85.4	2338
1843	THOUSAND	mille	57.28	2194
1844	BOAT	bateau	89.375	299
1847	SICK	malade	65.583	2084
1848	QUARREL	querelle	59.556	2804
1850	COTTON	coton	85.857	889
1853	DOVE	colombe	78.769	740
1855	BIRCH	bouleau	78.04	387
1856	SOFT	doux	63.84	1148
1857	CROCODILE	crocodile	82.64	945
1858	FISHERMAN	pêcheur	65.565	2519
186	SHIN	tibia	74.913	3347
1862	DONKEY	âne	87.893	120
1864	HUNGER	faim	47.714	1391
1871	CAMEL	chameau	80.833	603
1874	SAUSAGE	saucisse	82.708	3048
1876	REINDEER	renne	71.852	2914
1883	IN FRONT OF	devant	62.741	1060
1898	SPECTACLES	lunettes	92.16	2056
1901	SHOVEL	pelle	81.077	2526
1903	SWELLING	enflure	71.111	1244
1905	EAGLE	aigle	82.185	74
1906	SOUR	acide	43.273	31
1907	MOLE	taupe	55.435	3301
191	NUT	noix	82.739	2337
1918	MANE	crinière	80.08	940
1927	BAMBOO	bambou	87.955	268
1936	DEER	cerf	80.667	590
1938	FORTRESS	château	87.625	628
194	FAMILY	famille	86.68	1398
1941	SOLDIER	militaire	81.071	2193
1943	CROWN (OF HEAD)	couronne	79.84	907
1948	SAW	scie	84.72	3066
195	MAT	natte	50.038	2309
1950	BEECH	hêtre	32.652	1735
1956	SUNFLOWER	tournesol	86.241	3397
1966	BUNCH	groupe	71	1682
1971	FAN (OBJECT)	éventail	81.357	1346
1972	YOUNG GOAT (KID)	chevreau	51.593	649
1973	DEMON	démon	74.083	1027
1977	DEW	rosée	81	2996
1979	CHISEL	burin	33.32	450
1986	DISEASE	maladie	64.75	2085
2002	DITCH	fossé	71.5	1510
2009	DOG	chien	90.625	651
2011	COFFIN	cercueil	76.462	588
2013	BAIT	appât	62.957	144
202	STRENGTH	force	56.241	1502
2071	LAY (VERB)	coucher	73.577	893
2099	CHILD	enfant	78.625	1242
21	TASTE (SOMETHING)	goûter	70.652	1644
210	LIFE	vie	71.24	3536
2114	BELLY OR STOMACH	abdomen	74.792	5
212	FIELD	champ	80.5	604
2124	SMELL	odeur	37.846	2376
2135	TRADE OR BARTER	échange	53.843	1165
216	MOVIE	film	84.207	1459
218	FINE (PENALTY)	amende	80.929	106
2190	TASTE	goût	42.381	1643
221	FIRE	feu	85.4	1434
224	MORTAR	mortier	52.08	2251
2246	BELL	cloche	79	705
2247	CATERPILLAR	chenille	82.615	641
225	PESTLE	pilon	58.038	2587
2259	FLESH	chair	67.792	597
227	FISH	poisson	82.414	2645
2284	CLEARING	clairière	63.083	683
2290	PUDDLE	flaque	77.13	1481
2291	VOLCANO	volcan	85.292	3575
2294	WRINKLE	ride	81.64	2973
2297	DUSK	crépuscule	74.333	934
2299	STRAW	paille	76.222	2441
2318	CHESTNUT	châtaigne	54.889	627
2343	STEEL	acier	82.75	32
2348	CRAB	crabe	90.75	919
2352	DRAGONFLY	libellule	79.269	1999
2354	CRICKET	grillon	53.31	1674
2366	ONION	oignon	90.8	2385
2368	GARLIC	ail	82.44	76
2374	DREAM	songe	48.458	3170
238	PRAWNS	crevette	87.84	939
2386	TURKEY	dindon	78.069	1092
239	FLOWER	fleur	88.682	1486
2397	LOBSTER	homard	81.385	1750
2408	CAKE	gâteau	87.609	1596
241	TREE STUMP	tronc	79.75	3448
2427	FUTURE	avenir	47.32	233
2434	TRAGEDY	tragédie	57.739	3410
2440	PINEAPPLE	ananas	89.808	116
245	BROOM	balai	86.583	257
2468	BAG	sac	81.346	3022
2482	TOGETHER	ensemble	62.04	1255
2512	CHICK	poussin	76.636	2699
2526	POWER	puissance	61.12	2786
2527	ABILITY	aptitude	33.154	153
2539	PIT (POTHOLE)	fosse	66.667	1509
2541	MIRACLE	miracle	53.704	2200
2546	BORDER	limite	55.926	2013
2547	CITY	municipalité	54.786	2284
2548	BARREL	tonneau	75.48	3371
2549	VEHICLE	véhicule	81.167	3499
255	SERVANT	serviteur	73.444	3121
256	FOOD	nourriture	85.13	2344
2573	FEELING (EMOTION)	émotion	47.379	1225
2578	PENCIL	crayon	85.778	928
258	CALM	calme	62.25	483
2587	DARTS	fléchette	77.917	1485
2588	GLOBE	globe	79.892	1633
2591	RHINOCEROS	rhinocéros	84.241	2972
2594	DOMINOES	domino	83.211	1137
2595	CACTUS	cactus	85.96	463
2597	HARP	harpe	71.333	1718
2600	PYRAMID	pyramide	85.04	2798
2602	FUNNEL	entonnoir	69.125	1259
2603	ACCORDION	accordéon	84.708	25
2605	ASPARAGUS	asperge	82.423	185
2606	COMPASS	boussole	83.407	402
2617	BULB	bulbe	64.083	447
2620	CARRIAGE	calèche	88	478
2621	CURTAIN	rideau	81.522	2974
2623	FLAG	drapeau	90.148	1151
2624	FRAME	cadre	76.636	467
2626	NERVE	nerf	56.276	2322
2627	ORANGE (FRUIT)	orange	86.273	2404
2630	WHIP	fouet	74	1513
2648	HAIR (HEAD)	cheveu	78.447	646
265	FOWL	volaille	80.857	3574
266	SCALE	écaille	76.455	1162
2668	SKELETON	squelette	87.185	3217
271	SAUCER	soucoupe	81.043	3179
2765	CHERRY	cerise	90.045	591
2766	WATERMELON	pastèque	77.192	2500
2770	JACKET	veste	77.917	3524
2783	SCALES (MEASURE INSTRUMENT)	balance	71.88	258
2819	GRASSLAND	prairie	78.286	2702
2826	LIE (FALSEHOOD)	mensonge	44.357	2162
2830	OYSTERS	huître	80.261	1768
2831	PENGUIN	pingouin	90.607	2595
2879	SOUND (OF INSTRUMENT OR VOICE)	son	34.414	3167
289	MOLD	moule	77.042	2265
2930	BOSS	patron	69.917	2512
2931	BUSINESS	commerce	69.448	753
2937	FAIRY TALE	conte	71.043	833
2940	GATE	portail	56.52	2665
2941	HAPPINESS	bonheur	66.684	366
2964	NEWS	nouvelle	52.552	2346
2972	SLEEP (STATE)	sommeil	65.391	3164
2978	DISTANCE	distance	61.174	1114
2982	GIFT	présent	36.96	2723
2984	HEAP	tas	56.5	3297
2992	TIP (OF OBJECT)	pointe	70.52	2640
300	RATTLE	hochet	63.783	1748
3028	GRAVEL	gravier	80.929	1660
3065	SADDLE	selle	71.846	3093
3066	SCARF OR TURBAN	écharpe	88.217	1166
307	HAWK	faucon	78.174	1411
308	TOUCAN	toucan	75.208	3386
3083	BALLOON	ballon	85.964	265
3085	CARROT	carotte	88.958	546
3086	COMPUTER	ordinateur	83.731	2407
3087	PACIFIER	tétine	79.25	3340
3088	ENVELOPE	enveloppe	81.423	1264
3089	GIRAFFE	girafe	90.56	1620
3090	GUITAR	guitare	93.92	1694
3091	LEMON	citron	85.192	677
3094	PAINTBRUSH	pinceau	88.917	2592
3096	RACKET	fusée	84.783	1566
3099	SOFA	canapé	82.308	497
3101	SWING	balançoire	88.037	259
3102	TANK	réservoir	67.222	2940
3104	THERMOMETER	thermomètre	87.12	3343
3105	UMBRELLA	parapluie	86.48	2466
3106	WARDROBE	armoire	87.038	171
3128	SHOWER (ACTION)	douche	81.034	1144
3137	OAR	rame	62.783	2826
3139	LADYBUG	coccinelle	87.769	713
3140	VEST	gilet	81.652	1619
3144	GORILLA	gorille	83.857	1639
3145	HIPPOPOTAMUS	hippopotame	78.542	1743
3154	WILD BOAR	sanglier	74.76	3041
3202	CANNON	canon	75.538	509
322	FIG	figue	80.65	1454
3247	KIWIFRUIT	kiwi	88.64	1938
3248	MAPLE TREE	érable	84.615	1299
3268	QUESTION	demande	37.636	1020
3283	CAGE	cage	79.522	470
3284	GRAVEYARD	cimetière	84.391	666
3304	PICTURE (PHOTOGRAPH)	photo	91.375	2573
3313	JACKAL	chacal	62.542	595
3314	LYNX	lynx	73.25	2061
3333	BELIEF (RELIGIOUS)	croyance	56.593	948
3349	WRISTWATCH	montre	85.04	2239
336	PADLOCK	cadenas	79.875	465
3375	PATIENT (SICK PERSON)	patient	70.292	2505
3377	EMPEROR	empereur	57.231	1226
338	RAKE	râteau	76.292	2838
34	STAIRS	escalier	76.886	1304
3425	JOKE	blague	54.107	342
3467	HELP (ASSISTANCE)	aide	53.333	72
3468	KINDNESS	gentillesse	54.731	1612
3469	LEVEL	niveau	48.125	2331
356	SHEARS	ciseaux	81.88	671
3612	INDIGENOUS PEOPLES OF THE AMERICAS	indien	70.52	1823
362	STRING	ficelle	81.045	1446
3622	BURN (INJURY)	brûlure	79.609	441
3624	LEPROSY	lèpre	55.111	1985
3628	HONOR (SOMEBODY)	honneur	53.292	1752
3640	GOSSIP	potin	40.44	2680
3644	AGREEMENT	accord	47.893	24
3646	PROVERB	proverbe	35.88	2774
3653	COOKING POT	marmite	81.655	2126
3657	GRANARY	grange	73.208	1654
3664	INHERIT	héritier	43.308	1729
3673	MOURNING	deuil	67.036	1059
3675	ZEBRA	zèbre	81.7	3595
3676	SHREW	musaraigne	24.545	2290
3681	PARTRIDGE	perdrix	63.276	2546
3689	BUBBLE	bulle	81.379	448
369	OWE	devoir	56.818	1068
3695	MOVEMENT	mouvement	76.458	2274
3703	STICKY	collant	72.28	732
3711	TIE (NOUN)	cravate	86.6	927
3726	BROCCOLI	brocoli	85.87	430
3732	POMEGRANATE	grenade	69.333	1664
3745	CRANE (DEVICE)	grue	72.125	1684
3746	VASE	vase	79.208	3496
3797	OSTRICH	autruche	78.36	228
3847	INTEREST (FEELING)	intérêt	50.045	1871
387	SLING	fronde	31.44	1558
3880	FIGHT (COMBAT)	lutte	74.625	2059
3882	ROSE	rose	92.143	2995
390	PUNISHMENT	punition	71.652	2790
395	PILL	pilule	79.846	2589
3951	PANDA	panda	81.542	2452
3955	HOSTILITY	hostilité	46.75	1761
3966	CONCEPT	concept	35.621	792
3994	PIANO (INSTRUMENT)	piano	87.32	2576
3997	ARTICHOKE	artichaut	76.542	178
4005	SUITCASE	valise	89.864	3488
4006	ROBOT	robot	76.276	2985
4008	SANDWICH	sandwich	85.885	3039
4010	TOASTER	grille-pain	79.25	1673
4011	TRUCK	camion	86.16	491
4012	TELESCOPE	télescope	85.792	3311
4013	AMBULANCE	ambulance	89.407	103
4015	PIRATE	pirate	77.35	2605
4016	MICROSCOPE	microscope	84.957	2188
4017	JELLYFISH	méduse	82.25	2148
4018	BLOUSE	chemisier	82.9	640
4021	DINOSAUR	dinosaure	81.36	1095
4023	VIOLIN	violon	81.913	3548
4026	SAILBOAT	voilier	85.682	3570
4029	BABY CARRIAGE	landau	54	1959
4035	SWEATER	pull-over	66.64	2788
406	OLD MAN	vieillard	85.92	3537
420	FOREST	forêt	88.348	1503
458	DEAF PERSON	sourd-muet	63.069	3194
471	UPPER LEG (THIGH)	cuisse	78.087	959
472	PELICAN	pélican	82.727	2525
476	CUP	tasse	83.5	3298
478	LIP	lèvre	89.64	1992
48	BE SILENT	silencieux	40.56	3132
480	PLATE	assiette	86.103	192
486	MINISTER	ministre	63.63	2197
488	MANNER	façon	30	1386
496	CUCUMBER	concombre	83.88	794
498	CALF OF LEG	mollet	84.875	2224
502	NAIL (TOOL)	clou	77.958	710
503	FROG	grenouille	82.125	1666
506	MAIZE	maïs	82.087	2078
507	MELON	melon	84.286	2157
518	SPARK	étincelle	81.455	1330
519	SPOT	tache	72.2	3281
522	WOLF	loup	87.115	2040
539	NEST	nid	83.609	2330
56	BAD LUCK	malheur	50.591	2089
579	BATTLE	bataille	72.481	297
580	FUR	fourrure	84.286	1528
586	GARDEN	jardin	85.077	1902
587	ANT	fourmi	80.8	1524
590	NAKED	nu	87	2349
593	POTATO	pomme de terre	87.292	2657
594	PIECE	morceau	64.25	2246
595	GROUNDNUT (PEANUT)	cacahuète	74.333	459
596	POSTAGE STAMP	timbre	84.517	3351
597	PHYSICIAN	médecin	80.833	2144
598	SHELL	coquillage	90.393	861
60	OAT	avoine	76	241
606	GRASS	herbe	82.2	1726
607	GRASSHOPPER	sauterelle	85.04	3052
611	HARVEST	moisson	55	2221
614	HILL	colline	83.138	737
615	HORSE	cheval	88.536	644
616	HOSPITAL	hôpital	82.48	1754
620	INSECT	insecte	74.04	1850
625	LAMP	lampe	90.636	1955
627	LEAD (CHEMICAL ELEMENT)	plomb	47.913	2626
629	LEATHER	cuir	76.786	956
630	LIGHT (RADIATION)	lumière	84.44	2051
632	LIZARD	lézard	76.053	1996
633	MARKET	marché	77.44	2114
634	MEAT	viande	78.321	3530
636	MILL	moulin	78.385	2266
637	MOSS	mousse	74.52	2270
638	MOTORCYCLE	moto	81.923	2260
639	MOUNTAIN	montagne	87.609	2234
64	PIN	épingle	77.414	1282
641	MUSHROOM	champignon	89.84	605
645	OCEAN	océan	90.04	2371
655	POISON	poison	50	2644
657	PRICE	prix	63.208	2740
658	RAIN (PRECIPITATION)	pluie	88.071	2629
661	RELIGION	religion	64.32	2897
665	BEE	abeille	91.64	6
666	RIVER	fleuve	85.769	1488
667	ROAD	route	87	3006
67	EMBERS	braise	77.773	411
670	ROOT	racine	84.875	2812
671	SAND	sable	90.462	3019
673	SCHOOL	école	79	1178
674	MOUTH	bouche	88.292	378
677	AXE	hache	80.75	1701
678	BEARD	barbe	89.19	280
682	SIDE	côté	68.087	886
683	PERSON	personne	84.375	2561
687	NOTHING	rien	42.036	2975
688	LUNG	poumon	87.217	2692
691	SEASON	saison	81.72	3029
704	CLEAN	propre	77.435	2768
710	WHEEL	roue	78.87	3000
714	SEED	semence	68.8	3096
717	SWEET	bonbon	83.833	363
72	CLAW	griffe	77.667	1668
720	GOOD LUCK	chance	51.826	608
722	ATTACK	attaque	79.321	204
728	FIRST	premier	58.5	2717
73	BEAK	bec	83.08	306
730	SNAKE	serpent	89.261	3117
735	OWL	hibou	84.31	1737
743	END (OF TIME)	fin	47.35	1463
744	EGG	oeuf	93.714	2381
745	SHELF	étagère	80.517	1323
747	BICYCLE	vélo	86.36	3500
753	PUPIL (STUDENT)	élève	73.64	1213
757	BUTTON	bouton	82	408
760	KNOT	noeud	78.952	2334
764	SUIT	costume	80.345	883
768	LUNCH	déjeuner	85.423	1011
771	HAT	chapeau	85.464	613
772	BELT	ceinture	81.478	578
775	TRUMPET	trompette	85.048	3447
781	FEAR (FRIGHT)	crainte	47.179	920
783	VICTORY	victoire	62.091	3533
786	SAILCLOTH	voile	76.85	3568
791	STRANGER	étranger	66.292	1336
794	PEN	stylo	80.643	3238
801	RIB	côte	69.08	885
803	ANKLE	cheville	83.034	647
811	SOUL	âme	30.5	104
812	SLAVE	esclave	71.4	1306
820	LAMB	agneau	65.5	65
823	SORCERER	sorcier	76.429	3175
834	BUTTOCKS	fesse	85.68	1429
836	SCREWDRIVER	tournevis	76.417	3398
838	REMAINS	reste	56.5	2950
843	SPIDER	araignée	85.286	155
848	THIRST	soif	43.077	3151
850	SQUARE	carré	85.286	549
854	KETTLE	bouilloire	80.889	384
857	STONE	pierre	82.448	2580
859	STOVE	cuisinière	79.292	958
862	SUGAR	sucre	71.625	3245
864	PUMPKIN	citrouille	87.69	678
868	BANANA	banane	89.68	269
870	BREATH	haleine	36.208	1705
873	TAX	impôt	51.818	1802
877	MASON	maçon	48.24	2066
878	HELL	enfer	69.333	1243
88	BEEHIVE	ruche	85.591	3012
882	PARROT	perroquet	90	2556
89	NATIVE COUNTRY	patrie	38	2510
890	MULE	mulet	51.2	2279
891	TIDE	marée	82.259	2118
894	TOAD	crapaud	86.462	923
899	PRESIDENT	président	69.5	2726
906	TREE	arbre	93.786	157
908	DRUM	tambour	80.043	3288
910	DEATH	mort	67.885	2250
915	SINK (BASIN)	bassine	75.792	296
917	ORNAMENT	ornement	81.036	2420
919	CHILI PEPPER	piment	82.16	2590
920	GRAPE	raisin	85.346	2823
921	VALLEY	vallée	66.087	3489
922	PEAR	poire	86.64	2642
924	VEGETABLES	légume	91.448	1980
933	WALL (OF HOUSE)	mur	85.435	2285
935	WAR	guerre	83.87	1686
936	STALLION	étalon	72	1324
937	BIRD	oiseau	91.417	2386
938	MARE	jument	78.261	1923
939	HORN (INSTRUMENT)	cor	20.36	863
942	HONEY	miel	86.958	2190
946	BLOOD	sang	86	3040
947	STREAM	ruisseau	85.5	3015
950	SEAGULL	mouette	78.742	2264
952	WEATHER	météo	69.667	2182
953	RAPE	viol	56.231	3545
954	WELL	puits	76.125	2787
957	WHALE	baleine	89.409	261
962	WOMAN	femme	84.333	1419
963	BOOK	livre	88.542	2025
964	WOOL	laine	77.846	1948
968	ACORN	gland	74.24	1628
969	CIGARETTE	cigarette	83.895	663
977	ARROW	flèche	80.125	1484
978	WAVE	vague	85.261	3484
980	HEEL	talon	77.826	3285
981	ELBOW	coude	88.2	894
986	TOMATO	tomate	92.44	3365
994	BOW	arc	82.464	159
995	QUIVER (FOR ARROWS)	carquois	42.852	548
999	JOINT	articulation	72.96	179
