CONCEPTICON_ID	CONCEPTICON_GLOSS	GREEK	GREEK_FREQUENCY	GREEK_CD	GREEK_FREQUENCY_PM	GREEK_SUBTITLE_CD	GREEK_FREQUENCY_LOG	GREEK_CD_LOG	LINE_IN_SOURCE
1333	NECK	λαιμός	211	176	7.6005	3.1954	2.3263	2.2480	312906
1335	WHITE	Λευκό	426	245	15.3452	4.4481	2.6304	2.3909	317310
1336	EAT	τρώει	1032	710	37.1742	12.8903	3.0141	2.8519	548960
1343	SUN	ήλιος	926	615	33.3559	11.1656	2.9671	2.7896	248048
1350	MONKEY	πίθηκος	94	61	3.3860	1.1075	1.9777	1.7924	447624
1352	KNIFE	μαχαίρι	1367	691	49.2414	12.5454	3.1361	2.8401	333918
1355	LAUGH	γελάει	243	200	8.7532	3.6311	2.3874	2.3032	156687
1360	DUCK	πάπια	254	137	9.1495	2.4873	2.4065	2.1399	428313
1371	KNEE	γόνατο	199	168	7.1683	3.0501	2.3010	2.2279	167674
1378	SPOON	κουτάλι	135	92	4.8629	1.6703	2.1335	1.9685	303616
1379	TELEPHONE	τηλέφωνο	5517	1850	198.7306	33.5875	3.7418	3.2674	538358
1380	TOOTH	δόντι	262	145	9.4376	2.6325	2.4200	2.1644	191379
1381	SHOE	παπούτσι	380	224	13.6882	4.0668	2.5809	2.3522	428413
1386	LION	λιοντάρι	278	142	10.0140	2.5781	2.4456	2.1553	319525
1394	BONE	κόκαλο	261	181	9.4016	3.2861	2.4183	2.2601	295273
1401	DRINK	πίνει	490	390	17.6505	7.0806	2.6911	2.5922	448153
1403	BITE	δαγκώνει	119	105	4.2866	1.9063	2.0792	2.0253	173437
141	BURN (SOMETHING)	καίγεται	399	323	14.3726	5.8642	2.6021	2.5105	267885
1414	SQUEEZE	στίβει	1	1	0.0360	0.0182	0.3010	0.3010	508788
1416	SIT	κάθεται	619	478	22.2973	8.6783	2.7924	2.6803	266553
1418	DIG	σκάβει	33	25	1.1887	0.4539	1.5315	1.4150	494068
1424	YELLOW	Κίτρινο	61	31	2.1973	0.5628	1.7924	1.5051	290539
1425	GREEN	Πράσινο	152	100	5.4753	1.8155	2.1847	2.0043	460781
1430	STAR	αστέρι	661	409	23.8102	7.4256	2.8209	2.6128	129882
1432	CUT	κόβει	300	252	10.8065	4.5752	2.4786	2.4031	293896
1435	HUNT	κυνηγάει	513	388	18.4790	7.0443	2.7110	2.5899	309433
1439	SWIM	κολυμπάει	61	48	2.1973	0.8715	1.7924	1.6902	296976
1441	FLY (MOVE THROUGH AIR)	πετάει	572	419	20.6043	7.6071	2.7582	2.6232	444580
1443	WALK	περπατάει	216	184	7.7806	3.3406	2.3365	2.2672	443987
1452	PUSH	σπρώχνει	70	67	2.5215	1.2164	1.8513	1.8325	504604
1453	WASH	πλένει	88	70	3.1699	1.2709	1.9494	1.8513	450833
1455	PULL	τραβάει	313	255	11.2747	4.6296	2.4969	2.4082	543781
1457	SEW	ράβει	11	10	0.3962	0.1816	1.0792	1.0414	474187
1464	LADDER	σκάλα	577	390	20.7844	7.0806	2.7619	2.5922	494233
1472	KEY	κλειδί	2415	1075	86.9919	19.5171	3.3831	3.0318	291550
1475	COMB	χτένα	61	31	2.1973	0.5628	1.7924	1.5051	590989
1476	CHAIR	καρέκλα	979	642	35.2650	11.6558	2.9912	2.8082	275937
1480	BODY	σώμα	3117	1326	112.2790	24.0741	3.4939	3.1229	526877
1482	SHOULDER	ώμος	107	77	3.8543	1.3980	2.0334	1.8921	596610
1487	POUR	χύνει	25	20	0.9005	0.3631	1.4150	1.3222	591736
1489	CLOUD	σύννεφο	175	132	6.3038	2.3965	2.2455	2.1239	521947
1501	BORE	τρυπάει	25	24	0.9005	0.4357	1.4150	1.3979	548628
1502	GOAT	κατσίκα	137	77	4.9349	1.3980	2.1399	1.8921	285193
1506	MEASURE	μετράει	763	566	27.4844	10.2760	2.8831	2.7536	341523
1519	RUN	τρέχει	4921	1900	177.2618	34.4953	3.6921	3.2790	546255
1522	SOCK	κάλτσα	114	71	4.1065	1.2890	2.0607	1.8573	271251
153	GREY	Γκρι	56	28	2.0172	0.5084	1.7559	1.4624	164950
1532	SHEAR	κουρεύει	18	15	0.6484	0.2723	1.2788	1.2041	303283
1539	BASKET	καλάθι	330	195	11.8871	3.5403	2.5198	2.2923	269320
1543	SNAIL	σαλιγκάρι	28	20	1.0086	0.3631	1.4624	1.3222	484760
156	RED	Κόκκινο	340	190	12.2473	3.4495	2.5328	2.2810	295481
1560	FACE	πρόσωπο	3014	1420	108.5688	25.7807	3.4793	3.1526	469084
1567	DOOR	πόρτα	7734	2559	278.5903	46.4597	3.8885	3.4082	457391
1569	CHEESE	τυρί	668	385	24.0624	6.9898	2.8254	2.5866	552504
1585	SLEEP	κοιμάται	910	644	32.7796	11.6921	2.9595	2.8096	294266
1586	SMELL (PERCEIVE)	μυρίζει	762	538	27.4484	9.7676	2.8825	2.7316	360823
1602	WAKE UP	ξυπνάει	144	127	5.1871	2.3057	2.1614	2.1072	402826
1608	LISTEN	ακούει	1039	726	37.4263	13.1808	3.0170	2.8615	85160
1622	SHIRT	πουκάμισο	545	356	19.6317	6.4633	2.7372	2.5527	458445
1628	SQUIRREL	σκίουρος	56	41	2.0172	0.7444	1.7559	1.6232	496513
163	BLACK	Μαύρο	295	188	10.6263	3.4132	2.4713	2.2765	333659
164	KANGAROO	καγκουρό	38	21	1.3688	0.3813	1.5911	1.3424	265613
1659	DOLL	κούκλα	1259	652	45.3511	11.8373	3.1004	2.8149	301952
1663	BED	κρεβάτι	3400	1593	122.4731	28.9216	3.5316	3.2025	305488
1672	WRITE	γράφει	1229	822	44.2704	14.9237	3.0899	2.9154	170816
1689	SMOKE (INHALE)	καπνίζει	180	138	6.4839	2.5054	2.2577	2.1430	274751
1735	TEAR (SHRED)	σχίζει	7	7	0.2522	0.1271	0.9031	0.9031	526248
1745	HIP	NA	9	4	0.3242	0.0726	1.0000	0.6990	48163
176	BLOW (WITH MOUTH)	φυσάει	109	97	3.9263	1.7611	2.0414	1.9912	576087
1786	DRY UP	στεγνώνει	34	33	1.2247	0.5991	1.5441	1.5315	506803
1791	BUTTERFLY	πεταλούδα	135	86	4.8629	1.5614	2.1335	1.9395	444612
1820	BEAR	αρκούδα	392	168	14.1204	3.0501	2.5944	2.2279	125393
1829	JUMP	πηδάει	260	209	9.3656	3.7945	2.4166	2.3222	446018
1839	CRY	κλαίει	456	340	16.4258	6.1728	2.6599	2.5328	290812
1845	BALL	μπάλα	1799	601	64.8027	10.9114	3.2553	2.7796	351492
1849	ROW	κωπηλατεί	1	1	0.0360	0.0182	0.3010	0.3010	311701
1857	CROCODILE	κροκόδειλος	31	19	1.1167	0.3450	1.5051	1.3010	306712
1879	DANCE	χορεύουν	188	146	6.7720	2.6507	2.2765	2.1673	587532
1898	SPECTACLES	γυαλιά	1008	571	36.3097	10.3667	3.0039	2.7574	171699
1904	DROWN	πνίγεται	65	56	2.3414	1.0167	1.8195	1.7559	453141
1917	TIE	δένει	71	58	2.5575	1.0530	1.8573	1.7709	176253
1921	PLOUGH	οργώνει	3	3	0.1081	0.0545	0.6021	0.6021	416260
1924	VEIN	φλέβα	108	86	3.8903	1.5614	2.0374	1.9395	569259
1948	SAW	πριόνι	91	64	3.2780	1.1619	1.9638	1.8129	461634
1962	ROAST (SOMETHING)	ψήνει	29	29	1.0446	0.5265	1.4771	1.4771	594139
2001	PAINTING	ζωγραφίζει	67	61	2.4134	1.1075	1.8325	1.7924	245537
2009	DOG	σκύλος	958	509	34.5086	9.2411	2.9818	2.7076	499010
203	MARRY	παντρεύει	7	5	0.2522	0.0908	0.9031	0.7782	427739
2058	STOOL	σκαμπό	15	14	0.5403	0.2542	1.2041	1.1761	494419
2070	COMB (VERB)	χτενίζεται	3	3	0.1081	0.0545	0.6021	0.6021	591018
2108	RAINING OR RAIN	βρέχει	302	244	10.8785	4.4299	2.4814	2.3892	151873
2246	BELL	κουδούνι	274	197	9.8699	3.5766	2.4393	2.2967	301636
2253	DRIP (EMIT LIQUID)	στάζει	90	75	3.2419	1.3617	1.9590	1.8808	505111
227	FISH	ψάρι	918	485	33.0677	8.8054	2.9633	2.6866	593083
230	SWEEP	σκουπίζει	20	20	0.7204	0.3631	1.3222	1.3222	498485
231	SHAVE	ξυρίζεται	11	11	0.3962	0.1997	1.0792	1.0792	403056
2334	MELT	λιώνει	93	81	3.3500	1.4706	1.9731	1.9138	320172
2366	ONION	κρεμμύδι	73	58	2.6296	1.0530	1.8692	1.7709	305842
239	FLOWER	λουλούδι	340	209	12.2473	3.7945	2.5328	2.3222	322118
2396	KNOCK	κτυπάει	7	7	0.2522	0.1271	0.9031	0.9031	308318
2409	BROWN	Καφέ	459	334	16.5339	6.0639	2.6628	2.5250	285785
245	BROOM	σκούπα	172	127	6.1957	2.3057	2.2380	2.1072	498387
2452	PURPLE	Μωβ	42	17	1.5129	0.3086	1.6335	1.2553	361378
2458	PERSPIRE OR SWEAT	ιδρώνει	35	32	1.2608	0.5810	1.5563	1.5185	259017
2493	BOIL	βράζει	63	60	2.2694	1.0893	1.8062	1.7853	151167
251	SHARPEN (SOMETHING)	ακονίζει	10	9	0.3602	0.1634	1.0414	1.0000	84935
2548	BARREL	βαρέλι	141	104	5.0790	1.8882	2.1523	2.0212	141973
2578	PENCIL	μολύβι	239	171	8.6091	3.1046	2.3802	2.2355	347145
2579	TOOTHBRUSH	οδοντόβουρτσα	88	70	3.1699	1.2709	1.9494	1.8513	409082
2580	HELICOPTER	ελικόπτερο	743	346	26.7640	6.2818	2.8716	2.5403	209740
2613	SKIN (HUMAN)	δέρμα	954	610	34.3645	11.0748	2.9800	2.7860	176654
2623	FLAG	σημαία	541	273	19.4876	4.9564	2.7340	2.4378	490876
2627	ORANGE (FRUIT)	πορτοκάλι	134	90	4.8269	1.6340	2.1303	1.9590	457517
2638	FISHING	ψαρεύει	28	24	1.0086	0.4357	1.4624	1.3979	593014
2666	SOLE (FOOT)	πατούσα	39	34	1.4048	0.6173	1.6021	1.5441	437022
275	PEEL	ξεφλουδίζει	8	7	0.2882	0.1271	0.9542	0.9031	396629
2783	SCALES (MEASURE INSTRUMENT)	ζυγαριά	58	41	2.0892	0.7444	1.7709	1.6232	245252
2831	PENGUIN	πιγκουίνος	19	11	0.6844	0.1997	1.3010	1.0792	447098
2871	SWING (MOVEMENT)	κουνάει	84	77	3.0258	1.3980	1.9294	1.8921	302503
2875	RING (MAKE SOUND)	κρούει	2	1	0.0720	0.0182	0.4771	0.3010	306944
2902	BRAWL (FIGHT)	τσακώνεται	25	23	0.9005	0.4176	1.4150	1.3802	549408
2940	GATE	καγκελόπορτα	4	4	0.1441	0.0726	0.6990	0.6990	265589
3078	IRRIGATE	ποτίζει	10	10	0.3602	0.1816	1.0414	1.0414	458105
3084	BLACKBOARD	πίνακας	262	172	9.4376	3.1227	2.4200	2.2380	448061
3085	CARROT	καρότο	52	35	1.8731	0.6354	1.7243	1.5563	276520
3086	COMPUTER	υπολογιστής	245	156	8.8253	2.8322	2.3909	2.1959	559700
3088	ENVELOPE	φάκελος	245	177	8.8253	3.2135	2.3909	2.2504	563430
3089	GIRAFFE	καμηλοπάρδαλη	40	34	1.4409	0.6173	1.6128	1.5441	272322
3090	GUITAR	κιθάρα	320	138	11.5269	2.5054	2.5065	2.1430	289025
3091	LEMON	λεμόνι	142	112	5.1151	2.0334	2.1553	2.0531	316223
3092	LIGHTER	αναπτήρας	48	38	1.7290	0.6899	1.6902	1.5911	97201
3093	LIPSTICK	κραγιόν	224	154	8.0688	2.7959	2.3522	2.1903	304429
3094	PAINTBRUSH	πινέλο	25	18	0.9005	0.3268	1.4150	1.2788	448172
3095	POSTMAN	ταχυδρόμος	115	70	4.1425	1.2709	2.0645	1.8513	532155
3096	RACKET	ρακέτα	48	29	1.7290	0.5265	1.6902	1.4771	474854
3097	SEWING MACHINE	ραπτομηχανή	26	8	0.9366	0.1452	1.4314	0.9542	475501
3098	SNOWMAN	χιονάνθρωπος	25	11	0.9005	0.1997	1.4150	1.0792	585784
3099	SOFA	καναπές	117	83	4.2145	1.5069	2.0719	1.9243	273136
3101	SWING	κούνια	138	102	4.9710	1.8519	2.1430	2.0128	302693
3102	TANK	τανκ	197	72	7.0962	1.3072	2.2967	1.8633	530069
3104	THERMOMETER	θερμόμετρο	58	49	2.0892	0.8896	1.7709	1.6990	254009
3105	UMBRELLA	ομπρέλα	119	89	4.2866	1.6158	2.0792	1.9542	412943
3108	BOX (SOMEBODY OR SOMETHING)	πυγμαχεί	6	6	0.2161	0.1089	0.8451	0.8451	472115
3109	BRUSH (TEETH)	βουρτσίζει	2	2	0.0720	0.0363	0.4771	0.4771	150678
3112	ERUPT	εκρήγνυται	47	44	1.6930	0.7988	1.6812	1.6532	206203
3114	GRATE (SOMETHING)	τρίβει	27	24	0.9726	0.4357	1.4472	1.3979	546539
3116	HATCH (OUT)	εκκολάπτεται	3	3	0.1081	0.0545	0.6021	0.6021	204268
3118	IRON (CLOTHES)	σιδερώνει	7	7	0.2522	0.1271	0.9031	0.9031	492220
3120	MOP (SOMETHING)	σφουγγαρίζει	8	7	0.2882	0.1271	0.9542	0.9031	525263
3121	OPERATE (MEDICINE)	χειρουργεί	5	5	0.1801	0.0908	0.7782	0.7782	584127
3122	PAINT (SOMETHING)	μπογιατίζει	1	1	0.0360	0.0182	0.3010	0.3010	356723
3123	PHOTOGRAPH (SOMETHING)	φωτογραφίζει	18	18	0.6484	0.3268	1.2788	1.2788	577480
3126	POST (SOMETHING)	ταχυδρομεί	1	1	0.0360	0.0182	0.3010	0.3010	532066
3127	RAKE (SOMETHING)	σκαλίζει	10	10	0.3602	0.1816	1.0414	1.0414	494267
3128	SHOWER (ACTION)	λούζει	7	6	0.2522	0.1089	0.9031	0.8451	321816
3131	SUNBATHE	λιάζεται	2	2	0.0720	0.0363	0.4771	0.4771	318155
3133	TALK (PHONE)	τηλεφωνάει	13	13	0.4683	0.2360	1.1461	1.1461	538150
3134	TYPE (ON SOMETHING)	δακτυλογραφεί	6	5	0.2161	0.0908	0.8451	0.7782	173832
3135	VACUUM (SOMETHING)	καθαρίζει	202	175	7.2763	3.1772	2.3075	2.2455	266055
3136	WATCH (TV)	βλέπει	1854	1155	66.7839	20.9695	3.2683	3.0630	148232
3138	STRAWBERRY	φράουλα	51	45	1.8371	0.8170	1.7160	1.6628	572849
319	LICK	γλείφει	32	32	1.1527	0.5810	1.5185	1.5185	165595
3306	NAIL	καρφώνει	49	43	1.7651	0.7807	1.6990	1.6435	277018
3328	ORANGE (COLOR)	Πορτοκαλί	41	28	1.4769	0.5084	1.6232	1.4624	457514
3405	RULER	χάρακας	3	3	0.1081	0.0545	0.6021	0.6021	581177
3446	PINK	Ροζ	319	97	11.4909	1.7611	2.5051	1.9912	479672
3534	BEG	ζητιανεύει	12	12	0.4323	0.2179	1.1139	1.1139	244265
3544	WAVE (VERB)	χαιρετάει	41	37	1.4769	0.6718	1.6232	1.5798	578907
356	SHEARS	ψαλίδι	159	106	5.7274	1.9245	2.2041	2.0294	592795
367	RIDE	ιππεύει	28	24	1.0086	0.4357	1.4624	1.3979	261680
3711	TIE (NOUN)	γραβάτα	427	246	15.3812	4.4662	2.6314	2.3927	170276
378	PINCH	τσιμπάει	47	41	1.6930	0.7444	1.6812	1.6232	550984
3914	TURQUOISE	Γαλάζιο	38	26	1.3688	0.4720	1.5911	1.4314	154372
4008	SANDWICH	σάντουιτς	701	422	25.2511	7.6616	2.8463	2.6263	485884
4011	TRUCK	φορτηγό	1676	706	60.3720	12.8177	3.2245	2.8494	571492
4031	IRON (PRESSING)	σίδερο	134	105	4.8269	1.9063	2.1303	2.0253	492179
496	CUCUMBER	αγγούρι	36	29	1.2968	0.5265	1.5682	1.4771	75621
503	FROG	βάτραχος	81	58	2.9177	1.0530	1.9138	1.7709	143538
539	NEST	φωλιά	305	204	10.9866	3.7037	2.4857	2.3118	576727
55	WHISPER	ψιθυρίζει	41	37	1.4769	0.6718	1.6232	1.5798	594506
571	STING	κεντρίζει	4	4	0.1441	0.0726	0.6990	0.6990	287114
578	KISS	φιλάει	148	126	5.3312	2.2876	2.1732	2.1038	567380
585	BOOT	μπότα	122	85	4.3946	1.5432	2.0899	1.9345	357869
587	ANT	μυρμήγκι	84	41	3.0258	0.7444	1.9294	1.6232	360946
592	PISS	κατουράει	61	57	2.1973	1.0349	1.7924	1.7634	284806
604	GLASS	ποτήρι	955	614	34.4005	11.1474	2.9805	2.7889	458069
615	HORSE	άλογο	1593	625	57.3822	11.3471	3.2025	2.7966	89147
625	LAMP	φωτιστικό	15	9	0.5403	0.1634	1.2041	1.0000	577330
628	LEAF	φύλλο	268	175	9.6538	3.1772	2.4298	2.2455	575977
641	MUSHROOM	μανιτάρι	23	18	0.8285	0.3268	1.3802	1.2788	329876
653	PLANT (VEGETATION)	φυτεύουν	4	4	0.1441	0.0726	0.6990	0.6990	576478
662	BATTERY	μπαταρία	255	188	9.1855	3.4132	2.4082	2.2765	353151
674	MOUTH	στόμα	2613	1482	94.1242	26.9063	3.4173	3.1711	509820
677	AXE	τσεκούρι	242	161	8.7172	2.9230	2.3856	2.2095	550218
696	STIR	ανακατεύει	24	24	0.8645	0.4357	1.3979	1.3979	94512
700	CARRY	κουβαλάει	190	160	6.8441	2.9049	2.2810	2.2068	301310
713	STEAL	κλέβει	345	278	12.4274	5.0472	2.5391	2.4456	291427
724	READ	διαβάζει	372	296	13.4000	5.3740	2.5717	2.4728	179057
735	OWL	κουκουβάγια	65	49	2.3414	0.8896	1.8195	1.6990	302041
737	LIGHT (IGNITE)	ανάβει	171	144	6.1597	2.6144	2.2355	2.1614	92501
739	FEED	ταϊζει	31	26	1.1167	0.4720	1.5051	1.4314	528578
741	DRIVE	οδηγάει	40	32	1.4409	0.5810	1.6128	1.5185	408668
757	BUTTON	κουμπί	681	396	24.5306	7.1895	2.8338	2.5988	302408
769	ROOF	στέγη	477	312	17.1823	5.6645	2.6794	2.4955	506752
771	HAT	καπέλο	1413	744	50.8984	13.5076	3.1504	2.8722	274534
772	BELT	ζώνη	1203	670	43.3339	12.1641	3.0806	2.8267	245810
787	SAIL	πλέει	26	26	0.9366	0.4720	1.4314	1.4314	450617
794	PEN	στυλό	429	271	15.4532	4.9201	2.6335	2.4346	512414
801	RIB	πλευρό	414	314	14.9129	5.7008	2.6180	2.4983	451077
809	TROUSERS	παντελόνι	803	497	28.9253	9.0232	2.9053	2.6972	427420
834	BUTTOCKS	οπίσθια	47	42	1.6930	0.7625	1.6812	1.6335	414739
837	BLUE	Μπλέ	28	18	1.0086	0.3268	1.4624	1.2788	356106
846	TIGER	τίγρης	120	80	4.3226	1.4524	2.0828	1.9085	539020
868	BANANA	μπανάνα	116	85	4.1785	1.5432	2.0682	1.9345	352039
908	DRUM	τύμπανο	80	37	2.8817	0.6718	1.9085	1.5798	552124
922	PEAR	αχλάδι	19	15	0.6844	0.2723	1.3010	1.2041	137571
928	EMBRACE	αγκαλιάζονται	13	13	0.4683	0.2360	1.1461	1.1461	76086
93	DRAW MILK	αρμέγει	5	5	0.1801	0.0908	0.7782	0.7782	125662
937	BIRD	πουλί	1378	692	49.6376	12.5635	3.1396	2.8407	458673
96	CRAWL	μπουσουλάει	1	1	0.0360	0.0182	0.3010	0.3010	358717
978	WAVE	κύμα	461	264	16.6059	4.7930	2.6646	2.4232	309303
980	HEEL	φτέρνα	31	23	1.1167	0.4176	1.5051	1.3802	574455
986	TOMATO	ντομάτα	68	53	2.4495	0.9622	1.8388	1.7324	373372
