CONCEPTICON_ID	CONCEPTICON_GLOSS	GERMAN	GERMAN_FREQUENCY	GERMAN_FREQUENCY_PM	GERMAN_FREQUENCY_LOG	LINE_IN_SOURCE
1179	DAY AFTER TOMORROW	übermorgen	129	7.83	2.301	6548
1180	DAY BEFORE YESTERDAY	vorgestern	71	3.9	2	10995
1181	PALM TREE	Palme	57	2.28	1.771	15941
1182	NOISE	Lärm	410	16.42	2.621	3722
1183	PALM OF HAND	Handfläche	32	1.26	1.519	23609
1185	VULTURE	Geier	168	6.65	2.23	7406
1186	LAST (ENDURE)	dauern	1349	53.11	3.13	1466
1187	GOOSE	Gans	124	4.88	2.097	9350
1189	ULCER	Geschwür	42	1.65	1.633	19767
119	DIVE	tauchen	204	11.46	2.465	4851
1190	HARE	Hase	195	7.68	2.292	6646
1192	THREATEN	drohen	143	6.54	2.223	7526
1194	BEAVER	Biber	30	1.18	1.491	24595
1198	MANY	viel	24372	1075.2	4.436	132
1199	WIFE	Gattin	83	3.27	1.924	12430
12	MIDDAY	Mittag	558	22.56	2.759	2931
1200	HUSBAND	Ehemann	1124	44.53	3.054	1694
1201	FEATHER	Feder	314	12.4	2.5	4567
1202	BIG	groß	2876	134.3	3.533	692
1203	LONG	lang	5743	241.54	3.788	439
1204	BARK	Rinde	22	0.87	1.362	30243
1205	TONGUE	Zunge	776	30.71	2.893	2279
1206	BARKING	bellen	70	4.92	2.1	9266
1207	YOUNG	jung	1415	64.61	3.215	1236
1208	CAT	Katze	1100	43.74	3.046	1713
1209	I	Ich	489637	36633.29	5.969	1
1210	HEAVY	schwer	4967	206.66	3.72	512
1211	HE	er	121771	8452.3	5.332	15
1212	WE	wir	166009	11034.61	5.448	12
1213	YOU	ihr	67939	3594.91	4.961	45
1214	THIS	dieser	19662	1004.65	4.407	140
1215	THOU	du	342560	19943.9	5.705	5
1216	MOTHER	Mutter	14405	568.96	4.16	214
1217	FATHER	Vater	16542	654.79	4.221	181
1218	ROPE	Seil	443	17.6	2.651	3518
1219	WORM	Wurm	175	6.89	2.246	7212
1220	TAIL	Schwanz	882	35	2.949	2042
1221	NOSE	Nase	1794	70.79	3.255	1146
1222	PENIS	Penis	437	17.21	2.641	3581
1223	HEART	Herz	4408	175.48	3.649	581
1224	LIVER	Leber	340	13.47	2.535	4325
1225	DAY (NOT NIGHT)	Tag	16315	649.83	4.218	185
1226	YEAR	Jahr	5361	213.79	3.735	496
1227	BOARD	Brett	395	15.55	2.598	3876
1228	EARTH (SOIL)	Erde	3303	131.34	3.523	706
1229	OLD	alt	3956	160.12	3.609	616
123	FOREHEAD	Stirn	289	11.38	2.462	4876
1230	DIRTY	schmutzig	363	15.04	2.583	3981
1231	NEW	neu	2041	87.92	3.349	960
1232	WARM	warm	819	33.98	2.937	2107
1233	NIGHT	Nacht	12177	491.44	4.096	240
1234	SMOOTH	glatt	322	12.91	2.517	4461
1235	WHO	Wer	22770	1354.66	4.537	107
1236	WHAT	Was	146767	11046.3	5.448	11
1237	WHERE	Wo	27397	1913.5	4.687	76
1238	WHEN	Wann	4722	322.57	3.913	334
1239	HOW	wie	91198	5972.12	5.181	21
124	THORN	Dorn	46	1.81	1.672	18661
1240	NOT	nicht	422376	17470.06	5.647	6
1241	SOME	einige	3637	186.5	3.676	560
1242	FEW	wenig	5546	220.68	3.749	475
1243	WIDE	breit	270	10.67	2.435	5130
1244	THICK	dick	444	34.33	2.941	2083
1245	BUTTER	Butter	267	10.55	2.43	5175
1246	SMALL	klein	1818	78.11	3.298	1055
1247	EAR	Ohr	754	29.84	2.88	2324
1248	EYE	Auge	2317	92.05	3.369	933
125	SWEAT (SUBSTANCE)	Schweiß	124	5.83	2.173	8210
1250	JAGUAR	Jaguar	33	1.3	1.531	23124
1251	BELLY	Bauch	791	31.22	2.9	2251
1252	HOUSE	Haus	10265	406.43	4.014	277
1253	RAIN (RAINING)	regnen	176	7.13	2.26	7034
1254	HANDLE	Griff	567	28.27	2.857	2444
1255	SNOWING	schneien	52	2.09	1.732	16868
1256	HEAD	Kopf	8137	321.82	3.912	336
1257	WING	Flügel	499	20.16	2.71	3173
1258	FINGERNAIL	Fingernagel	12	0.47	1.114	43588
1259	WEDDING	Hochzeit	1564	62.25	3.199	1284
126	SWEAT (PERSPIRE)	schwitzen	132	6.65	2.23	7416
1261	SING	singen	1283	61.14	3.191	1306
1262	BROTHER	Bruder	8760	346.51	3.945	318
1263	SISTER	Schwester	5617	222.57	3.752	470
1264	CHANGE	ändern	2721	108.82	3.442	818
1265	HIGH	oben	4973	204.81	3.716	521
1266	BRIDE	Braut	860	35.51	2.956	2012
1267	NARROW	schmal	35	1.46	1.58	21602
1268	YES	Ja	105501	5980.71	5.182	19
1269	NO	Nein	77019	3662.98	4.969	43
127	EXTINGUISH	löschen	274	13.66	2.542	4285
1270	WHY	weshalb	453	32.32	2.915	2184
1271	DELIGHT	erfreuen	86	3.39	1.94	12134
1272	AUNT	Tante	1451	57.4	3.164	1369
1273	CANDLE	Kerze	171	6.77	2.238	7309
1274	SALT	Salz	301	12.01	2.486	4681
1275	ANSWER	Antworten	937	63.39	3.207	1260
1276	AUTUMN	Herbst	189	7.68	2.292	6658
1277	HAND	Hand	5816	232.65	3.772	453
1278	VOMIT	speien	5	0.24	0.845	65122
1279	FAT (OBESE)	fett	483	28.98	2.867	2385
1280	FALL	fallen	2254	98.74	3.4	890
1283	TODAY	heute	19929	962.75	4.388	146
1286	HOT	heiß	1829	87.09	3.345	969
1287	COLD	kalt	1905	80.51	3.311	1030
1288	CAP	Mütze	214	8.43	2.332	6190
1289	BABY	Säugling	34	1.34	1.544	22834
129	CHOKE	ersticken	147	6.73	2.236	7352
1290	ELEPHANT	Elefant	180	7.36	2.274	6858
1291	BACK	Rücken	1696	73.59	3.272	1116
1292	BAD	schlecht	4816	196.11	3.697	533
1293	MISTAKE	Fehler	4012	159.42	3.607	619
1295	STICK	Stock	872	34.73	2.946	2055
1297	LEG	Bein	1285	50.91	3.112	1517
1298	NEWSPAPER	Zeitung	1145	45.32	3.061	1670
1300	COUNTRY	Land	5734	227.69	3.762	463
1301	FOOT	Fuß	1484	65.95	3.224	1211
1302	FORK	Gabel	115	4.53	2.064	9901
1303	FINGER	Finger	2118	84.1	3.33	994
1304	CHILD (YOUNG HUMAN)	Kind	7720	306.94	3.892	351
1305	CHIMNEY	Rauchfang	1	0.04	0.301	169752
1306	QUEEN	Königin	884	35.4	2.954	2016
1307	LANGUAGE	Sprache	871	36.89	2.972	1955
1309	ASK (INQUIRE)	fragen	5123	350.05	3.949	317
1310	CLEVER	klug	877	35.75	2.959	2005
1311	VERY	sehr	30737	1441	4.563	99
1312	FOX	Fuchs	122	5.32	2.134	8785
1313	MOON	Mond	743	30.32	2.887	2301
1315	RADIO	Radio	847	34.49	2.943	2067
1316	TENT	Zelt	310	12.32	2.497	4592
1318	CHICKEN	Huhn	428	17.05	2.637	3608
1320	APPLE	Apfel	200	7.87	2.303	6520
1321	BOTTLE	Flasche	922	36.54	2.968	1972
1322	BREAKFAST	Frühstück	1008	40	3.007	1846
1323	CLOCK	Uhr	6735	269.93	3.836	395
1324	SLIP	ausrutschen	12	0.51	1.146	41337
1325	FRIEND	Freund	10848	428.76	4.037	269
1326	DOWN	hinab	66	2.72	1.845	14161
1327	UNCLE	Oheim	4	0.16	0.699	84809
133	WEAVE	weben	15	0.83	1.342	31118
1330	DEFEND	verteidigen	544	21.93	2.747	2989
1331	SHEEP	Schaf	140	5.67	2.161	8359
1332	NEIGHBOUR	Nachbar	292	11.65	2.473	4780
1333	NECK	Hals	1450	57.4	3.164	1370
1334	GUTS	Eingeweide	107	4.21	2.033	10427
1335	WHITE	weiß	50439	2262.49	4.759	70
1336	EAT	essen	5651	438.36	4.047	264
1337	PIG	Schwein	1571	62.09	3.198	1287
1338	PEACE	Frieden	1605	63.9	3.211	1250
1339	MORNING	Morgen	8559	649.71	4.218	186
134	FAULT	Schuld	4075	191.74	3.688	549
1340	WITH	mit	152783	6445.29	5.214	18
1342	SUMMER	Sommer	850	34.1	2.938	2097
1343	SUN	Sonne	1634	64.85	3.217	1233
1344	RAM	Widder	25	0.98	1.415	27829
1345	EWE	Mutterschaf	3	0.12	0.602	92837
1346	THROAT	Kehle	340	13.47	2.535	4323
1347	NAPE (OF NECK)	Nacken	238	9.53	2.386	5624
1349	CHURCH	Kirche	1344	53.07	3.13	1470
1350	MONKEY	Affe	424	16.77	2.63	3659
1352	KNIFE	Messer	1293	51.07	3.113	1514
1353	HOUR	Stunde	3661	145.48	3.568	654
1355	LAUGH	lachen	1321	83.9	3.329	995
1356	NUMBER	Zahl	608	28.54	2.861	2424
1357	DAUGHTER	Tochter	5390	214.58	3.736	495
1358	ENEMY	Feind	1418	56.26	3.155	1397
1359	SEPARATE	trennen	664	27.32	2.842	2526
136	HERE	hier	103938	5060.71	5.109	28
1360	DUCK	Ente	264	10.47	2.427	5208
1361	TOOL	Werkzeug	235	9.25	2.373	5752
1363	VOICE	Stimme	2413	112.84	3.457	796
1364	HEALTHY	gesund	1200	48.94	3.095	1560
1365	KITCHEN	Küche	1247	49.45	3.099	1547
1366	BOY	Knabe	143	5.67	2.161	8361
1367	CROSS	Kreuz	487	20.59	2.719	3125
1368	BREAD	Brot	621	24.45	2.794	2741
1369	GOLD	Gold	1336	53.47	3.133	1458
137	COCA	Coca	30	1.18	1.491	24735
1370	MONTH	Monat	1971	79.18	3.304	1045
1371	KNEE	Knie	951	39.61	3.003	1860
1372	MEDICINE	Arznei	37	1.46	1.58	21572
1373	TEA	Tee	1487	59.06	3.176	1337
1374	RING	Ring	1241	49.33	3.098	1551
1375	WINDOW	Fenster	2132	84.18	3.33	993
1376	NOW	jetzt	52473	2795.94	4.851	56
1377	VISIT	besuchen	1277	53.27	3.132	1460
1378	SPOON	Löffel	255	10.12	2.412	5354
1379	TELEPHONE	Telefon	3623	144.77	3.566	659
138	BATHE	baden	246	12.68	2.509	4517
1380	TOOTH	Zahn	260	10.28	2.418	5299
1381	SHOE	Schuh	367	14.45	2.566	4116
1382	NEEDLE (FOR SEWING)	Nadel	265	10.47	2.427	5212
1383	GRANDFATHER	Großvater	1044	46.14	3.069	1641
1384	SECOND	zweiter	252	15.75	2.603	3843
1385	PEPPER	Pfeffer	74	2.95	1.881	13357
1386	LION	Löwe	138	5.51	2.149	8529
1387	ARRIVE	ankommen	378	15.08	2.584	3976
1388	SHADE	Schatten	739	29.33	2.873	2356
1389	TOE	Zeh	172	6.77	2.238	7300
139	GUMS	Zahnfleisch	21	0.87	1.362	30035
1390	WRONG	falsch	3886	167.41	3.629	596
1391	TOWN	Stadt	7630	303.52	3.887	357
1392	LOUSE	Laus	40	1.57	1.613	20413
1393	HORN (ANATOMY)	Horn	143	5.63	2.158	8400
1394	BONE	Knochen	863	34.37	2.942	2079
1395	ROUND	rund	348	15.24	2.589	3940
1396	SHARP	scharf	874	36.77	2.971	1962
1398	DRY	trocken	371	15.39	2.593	3912
1399	CLAY	Lehm	46	1.81	1.672	18645
14	YOKE	Joch	15	0.59	1.204	38725
1400	THIN (SLIM)	dünn	275	11.46	2.465	4845
1401	DRINK	trinken	3362	159.02	3.606	621
1402	BREAST	Busen	151	5.98	2.185	8055
1403	BITE	beißen	271	14.02	2.553	4194
1404	STRAIGHT	gerade	16406	680.11	4.237	179
1405	NAME	Name	6352	252.49	3.807	418
1406	FAR	fern	904	36.58	2.968	1969
1407	BREATHE	atmen	597	34.33	2.941	2082
1408	HEAR	hören	8641	472.93	4.08	248
1409	SEE	sehen	31077	1388.01	4.547	103
141	BURN (SOMETHING)	verbrennen	398	17.84	2.657	3481
1410	KNOW (SOMETHING)	wissen	24499	1147.21	4.464	123
1411	LIE (REST)	liegen	2130	85.16	3.335	982
1412	RUDE	unhöflich	386	15.79	2.604	3824
1413	PLAY	spielen	5610	247.69	3.799	428
1414	SQUEEZE	auspressen	4	0.16	0.699	82194
1415	THINK (REFLECT)	denken	6265	299.34	3.881	361
1416	SIT	sitzen	2765	114.3	3.463	790
1417	KILL	töten	7277	303.67	3.887	356
1418	DIG	graben	315	18.11	2.664	3441
1420	COUNT	zählen	665	29.45	2.874	2349
1421	SUCK	saugen	109	4.72	2.083	9578
1422	BE ALIVE	lebendig	674	28.39	2.859	2436
1423	FIGHT	kämpfen	2829	125.52	3.504	734
1424	YELLOW	Gelb	110	8.35	2.328	6246
1425	GREEN	grün	362	25.83	2.818	2624
1426	EXPENSIVE	teuer	771	30.75	2.893	2276
1427	BEAUTIFUL	schön	11748	631.91	4.206	191
1428	BURNING	brennen	351	15.35	2.592	3916
1429	FULL	voll	3274	137.13	3.542	676
1430	STAR	Stern	532	21.3	2.734	3056
1431	FREEZE	gefrieren	14	0.55	1.176	39896
1432	CUT	schneiden	535	25.04	2.804	2691
1435	HUNT	jagen	854	38.03	2.985	1909
1437	SPLIT	spalten	33	1.69	1.643	19608
1439	SWIM	schwimmen	685	31.18	2.899	2253
144	MACHINE	Maschine	1234	48.94	3.095	1561
1440	SPIT	spucken	84	3.98	2.009	10823
1441	FLY (MOVE THROUGH AIR)	fliegen	2229	107.17	3.435	829
1442	STAND	stehen	5682	250.64	3.804	420
1443	WALK	gehen	31102	1440.25	4.563	100
1445	TURN (SOMETHING)	wenden	404	18.5	2.673	3379
1446	COME	kommen	19603	970.2	4.392	144
1447	GIVE	geben	11024	529.43	4.129	226
1448	HOLD	halten	6993	332.85	3.927	326
1449	RUB	reiben	97	5.28	2.13	8818
1450	ROOM	Zimmer	4751	188.28	3.68	555
1452	PUSH	schieben	325	16.77	2.63	3662
1453	WASH	waschen	487	22.21	2.752	2961
1454	WIPE	abwischen	69	2.95	1.881	13302
1455	PULL	ziehen	2609	123.63	3.497	742
1456	THROW	werfen	1244	56.26	3.155	1396
1457	SEW	nähen	101	5.16	2.121	8949
1458	SAY	sagen	33190	1458.48	4.569	97
146	SUGAR CANE	Zuckerrohr	3	0.12	0.602	99803
1460	IN	in	182149	8061.34	5.311	16
1461	AT	an	98024	4024.73	5.01	37
1462	POT	Topf	166	6.58	2.225	7483
1463	DRUNK	betrunken	1068	43.55	3.044	1721
1464	LADDER	Leiter	658	26.26	2.825	2588
1465	BOX	Kiste	793	31.5	2.904	2227
1466	EXACT	genau	12096	779.09	4.296	168
1467	CIRCLE	Kreis	516	20.71	2.722	3117
1468	LOOK FOR	suchen	4722	206.35	3.719	516
1469	WEEK	Woche	4856	192.65	3.69	546
1471	WINTER	Winter	516	21.14	2.731	3075
1472	KEY	Schlüssel	3057	121.62	3.49	753
1473	FIST	Faust	327	12.91	2.517	4462
1474	SEA	Meer	1152	46.03	3.068	1645
1475	COMB	Kamm	93	3.82	1.991	11165
1476	CHAIR	Stuhl	773	30.67	2.892	2284
1477	KEEP	behalten	2015	88.78	3.353	950
1478	WITHOUT	ohne	11375	562.58	4.155	217
1479	DOLPHIN	Delphin	15	0.59	1.204	38255
1480	BODY	Körper	3410	135.16	3.536	686
1481	HAMMER	Hammer	373	14.88	2.579	4017
1482	SHOULDER	Schulter	570	22.52	2.758	2936
1483	NINE	neun	992	52.8	3.128	1475
1484	OIL (ORGANIC SUBSTANCE)	Öl	188	7.56	2.286	6737
1485	BELOW OR UNDER	unter	9616	418.87	4.027	273
1487	POUR	schütten	31	1.65	1.633	19779
1489	CLOUD	Wolke	177	6.97	2.25	7152
1490	RAT	Ratte	564	22.28	2.754	2955
1491	MOUSE	Maus	266	10.91	2.444	5044
1492	DUMB	stumm	107	4.53	2.064	9920
1493	ONE	eins	4665	282.06	3.855	381
1494	DIE	sterben	7619	323.75	3.915	331
1495	HAPPY	froh	2968	117.8	3.476	770
1496	GRANDMOTHER	Großmutter	807	38.98	2.996	1882
1498	TWO	zwei	15029	741.96	4.275	171
15	OTTER	Fischotter	4	0.16	0.699	81835
150	WORRY	Sorgen	4838	243.91	3.792	435
1500	FOUR	vier	3716	190.2	3.684	553
1501	BORE	bohren	115	5.87	2.176	8169
1502	GOAT	Ziege	186	7.4	2.276	6825
1503	SALIVA	Speichel	27	1.06	1.447	26489
1504	FLY (INSECT)	fliege	329	23.19	2.771	2874
1506	MEASURE	messen	202	8.7	2.346	6044
1507	FRUIT	Frucht	95	3.82	1.991	11186
1508	KING	König	2805	110.99	3.45	805
1509	MOSQUITO	Mücke	38	1.5	1.591	21127
1510	CHIN	Kinn	145	5.71	2.164	8335
1511	ROOSTER	Hahn	235	9.37	2.378	5694
1512	RISE (ONESELF)	aufstehn	3	0.16	0.699	81611
1514	HEN	Henne	21	0.87	1.362	30235
1515	TEN	zehn	2580	131.97	3.525	699
1517	WASP	Wespe	42	1.65	1.633	19724
1518	STUPID	dumm	2216	91.81	3.368	935
152	HOOF	Huf	7	0.28	0.903	60813
1521	SEEM	scheinen	827	34.21	2.94	2087
1522	SOCK	Socke	73	2.87	1.869	13540
1523	FORGET	vergessen	7164	312.93	3.9	345
1524	WINE	Wein	1207	48.39	3.09	1579
1525	COAST	Küste	356	14.17	2.558	4162
1526	MEAL	Mahlzeit	173	6.85	2.243	7245
1527	TICK	Zecke	22	0.87	1.362	29904
1528	FORGIVE	vergeben	788	35.63	2.957	2009
1529	LAST (FINAL)	letzter	1623	70.67	3.254	1147
153	GREY	grau	118	6.93	2.248	7191
1530	BOWL	Schüssel	188	7.4	2.276	6833
1531	BRANCH	Ast	100	4.21	2.033	10450
1532	SHEAR	scheren	57	4.41	2.053	10101
1533	BE HUNGRY	hungrig	664	28.03	2.853	2461
1534	FEVER	Fieber	485	19.13	2.688	3284
1536	UNDERSTAND	verstehen	4798	218.32	3.744	485
1537	SPRINGTIME	Frühling	315	12.68	2.509	4514
1538	SCORPION	Skorpion	103	4.09	2.021	10617
1539	BASKET	Korb	209	8.23	2.322	6304
154	UDDER	Euter	10	0.43	1.079	46056
1540	EYELASH	Wimpern	35	1.38	1.556	22302
1541	CULTIVATE	anbauen	55	2.44	1.799	15159
1543	SNAIL	Schnecke	75	2.95	1.881	13337
1544	SOMETIMES	manchmal	2563	193.98	3.693	543
1546	TWICE	zweimal	737	35.28	2.953	2023
1547	SOUP	Suppe	532	21.14	2.731	3071
1548	UGLY	hässlich	419	19.06	2.686	3292
1550	PREVENT	verhindern	893	35.51	2.956	2013
1551	FEMALE	weiblich	114	5.28	2.13	8828
1552	GLOOMY	düster	81	3.66	1.973	11495
1554	MAN	Mann	34533	1379.19	4.544	105
1555	CHAMELEON	Chamäleon	11	0.47	1.114	43831
1556	YOLK	Eigelb	10	0.39	1.041	48774
1557	BEGINNING	Anfang	2309	92.37	3.371	931
1558	SIMILAR	ähnlich	1110	44.61	3.055	1691
1559	MONEY	Geld	16264	642.7	4.213	189
156	RED	rot	540	40.04	3.008	1843
1560	FACE	Gesicht	4927	195.05	3.695	537
1562	MIND	Verstand	1311	61.34	3.193	1303
1564	LAZY	faul	315	12.68	2.509	4508
1566	GUN	Gewehr	776	30.67	2.892	2281
1567	DOOR	Tür	6301	252.88	3.808	417
1569	CHEESE	Käse	536	21.3	2.734	3055
157	DYE	färben	42	1.93	1.699	17853
1571	SELL	verkaufen	2011	84.89	3.334	986
1572	SURPRISED	überrascht	1292	54.49	3.141	1433
1575	COCKROACH	Küchenschabe	9	0.35	1	50682
1576	PILE UP	auftürmen	1	0.04	0.301	174894
1577	AND	und	255151	14470.29	5.565	9
1578	IGUANA	Leguan	8	0.31	0.954	54457
1579	BE	existieren	432	17.28	2.643	3574
158	PUT ON	anziehen	530	24.88	2.801	2706
1580	ONLY	nur	80748	3679.75	4.971	40
1581	ALLIGATOR	Alligator	56	2.24	1.763	16028
1583	BRAIN	Gehirn	1360	53.94	3.137	1448
1585	SLEEP	schlafen	3869	165.32	3.623	602
1586	SMELL (PERCEIVE)	riechen	489	20.47	2.717	3137
1587	SMELL (STINK)	stinken	124	5	2.107	9156
1589	HUMMINGBIRD	Kolibri	4	0.16	0.699	83034
1590	WAIT (FOR)	warten	6979	361.43	3.963	306
1591	UP	hinauf	189	7.72	2.294	6632
1592	CHEST	Brust	730	28.82	2.865	2396
1593	DEEP	tief	1502	70	3.25	1156
1594	FLOUR	Mehl	71	2.8	1.857	13862
1595	SOUTH	Süden	634	25	2.803	2697
1596	LOCK	Schloss	880	46.3	3.071	1637
1597	AIRPLANE	Flugzeug	2164	85.55	3.337	979
1598	NORTH	Norden	758	29.96	2.882	2318
1599	WORD	Wort	4666	184.57	3.671	561
16	SLED	Schlitten	132	5.28	2.13	8817
1600	SKIRT	Rock	637	26.18	2.823	2592
1601	WEAK	schwach	836	34.06	2.938	2101
1602	WAKE UP	aufwachen	387	24.06	2.787	2782
1604	TEMPLES	Schläfen	10	0.47	1.114	44137
1605	SKULL	Schädel	627	24.69	2.798	2716
1606	INSIDE	drinnen	1226	51.93	3.121	1489
1607	HATE	hassen	874	35.32	2.953	2017
1608	LISTEN	zuhören	656	29.53	2.876	2342
161	MISS (A TARGET)	fehlen	643	27.36	2.843	2524
1610	PROSTITUTE	Hure	675	26.69	2.832	2558
1611	INVITE	einladen	430	17.4	2.646	3550
1612	LETTER	Brief	1535	60.79	3.189	1311
1614	SUMMIT	Gipfel	118	4.65	2.076	9710
1615	ESCAPE	flüchten	155	6.54	2.223	7515
1616	CLOTH	Stoff	662	26.18	2.823	2594
1618	GRANDSON	Enkel	384	15.16	2.587	3955
1619	GRANDDAUGHTER	Enkelin	110	4.33	2.045	10220
1620	SON	Sohn	8626	341.75	3.939	322
1621	SNEEZE	niesen	34	2.4	1.792	15356
1622	SHIRT	Hemd	720	28.43	2.859	2432
1623	SPEAK	sprechen	7854	332.3	3.926	327
1624	EMPTY	leer	935	39.88	3.006	1849
1625	DEAD	tot	10264	425.69	4.034	270
1626	EXPLAIN	erklären	2790	116.82	3.472	777
1627	CHAIN	Kette	466	19.25	2.69	3273
1628	SQUIRREL	Eichhörnchen	202	8.11	2.316	6374
1629	EVENING	Abend	8803	370.01	3.973	302
163	BLACK	schwarz	655	37.8	2.983	1918
1631	FAST	schnell	8885	453.48	4.061	259
1632	FLOOR	Fußboden	99	4.09	2.021	10643
1633	FLAT	flach	176	7.4	2.276	6837
1634	HUNDRED	hundert	361	19.02	2.685	3299
1635	OBEY	gehorchen	223	9.49	2.384	5639
1636	MOTIONLESS	unbeweglich	5	0.2	0.778	74928
1638	TRUTH	Wahrheit	5057	200.68	3.707	527
1639	BEER	Bier	2081	83.07	3.324	1003
164	KANGAROO	Känguru	29	1.14	1.477	24998
1641	SILK	Seide	109	4.33	2.045	10227
1642	NIECE	Nichte	231	9.61	2.389	5579
1644	RELATIVES	Verwandten	255	10.28	2.418	5308
1645	SHORT	kurz	5048	218.39	3.744	484
1646	GIRL	Mädchen	11885	471.48	4.078	250
1648	ANVIL	Ambos	4	0.16	0.699	85217
1649	SIT DOWN	setzen	2314	139.14	3.548	669
1650	WATCH	ansehen	1821	76.5	3.289	1079
1651	TEAR (OF EYE)	Träne	69	2.72	1.845	14111
1652	INSTEAD	statt	1190	55.04	3.146	1422
1653	BLIND	blind	797	36.14	2.963	1988
1654	LIGHTNING	Blitz	312	12.44	2.501	4563
1655	BLINK	blinzeln	54	2.64	1.833	14363
1656	NEVER	niemals	4469	221.03	3.749	474
1657	TRUE	wahr	7396	292.77	3.871	370
1658	PUPIL	Pupille	22	0.87	1.362	30118
1659	DOLL	Puppe	462	18.27	2.667	3413
166	MAINLAND	Festland	85	3.35	1.934	12231
1663	BED	Bett	4118	162.41	3.616	609
1664	RAFT	Floß	149	7.83	2.301	6549
1667	HOLE	Loch	1325	53.51	3.134	1455
1668	GRIEF	Kummer	275	10.83	2.441	5065
1669	ANCESTORS	Vorfahr	5	0.2	0.778	72917
1672	WRITE	schreiben	2145	103.27	3.419	857
1673	ARM	Arm	1744	82.64	3.322	1008
1676	ALWAYS	immer	41439	1723.73	4.641	84
1678	HUT	Hütte	456	17.99	2.661	3459
1679	LOAD	Last	349	15.2	2.588	3949
168	REST	ausruhen	509	21.46	2.737	3036
1680	HELMET	Helm	247	9.76	2.396	5503
1681	WAIST	Taille	48	1.89	1.69	18094
1682	GUILTY	schuldig	1144	48.98	3.095	1558
1683	BUSH	Busch	156	6.14	2.196	7900
1684	BUD	Knospe	25	0.98	1.415	27697
1685	AFTER	nach	46626	2038.86	4.714	73
1686	BEHIND	hinter	5836	252.41	3.807	419
1688	FATE	Schicksal	1927	76.34	3.288	1081
1689	SMOKE (INHALE)	rauchen	724	42.01	3.029	1769
169	IT	es	261560	14861.14	5.577	8
1690	FENCE	Zaun	288	11.38	2.462	4873
1692	FRIDAY	Freitag	717	28.66	2.863	2409
1693	THURSDAY	Donnerstag	489	19.76	2.702	3213
1694	WEDNESDAY	Mittwoch	367	14.76	2.575	4041
1695	TUESDAY	Dienstag	420	16.97	2.635	3620
1696	SURRENDER	aufgeben	1003	40.99	3.018	1803
1697	MONDAY	Montag	623	25.12	2.806	2686
1699	SUNDAY	Sonntag	636	25.32	2.809	2668
17	EYELID	Lid	2	0.08	0.477	126841
1700	SATURDAY	Samstag	607	24.49	2.794	2735
1702	HOLY	heilig	157	6.97	2.25	7155
1703	SIX	sechs	2551	131.19	3.523	708
1704	SEVEN	sieben	1485	79.89	3.307	1034
1705	EIGHT	acht	1535	89.14	3.355	948
1706	ELEVEN	elf	288	14.8	2.576	4035
1707	TWELVE	zwölf	457	23.86	2.783	2806
1709	FIFTEEN	fünfzehn	74	4.69	2.079	9652
1710	TWENTY	zwanzig	178	10.35	2.422	5268
1711	TELL	erzählen	4212	187.68	3.678	556
1713	EIGHTEEN	achtzehn	27	1.97	1.708	17665
1714	NINETEEN	neunzehn	19	1.18	1.491	24670
1715	THIRTY	dreißig	69	5.04	2.111	9135
1716	FORTY	vierzig	56	4.29	2.041	10319
1717	FIFTY	fünfzig	50	3.82	1.991	11193
1718	SIXTY	sechzig	16	1.14	1.477	25324
1719	BURY	begraben	643	26.62	2.831	2561
172	SHOULDERBLADE	Schulterblatt	10	0.39	1.041	49084
1720	SIGN	Zeichen	1574	62.36	3.2	1282
1722	EIGHTY	achtzig	14	0.94	1.398	28645
1723	RESULT IN	geraten	714	28.47	2.86	2429
1725	CORRECT (RIGHT)	richtig	10826	546.4	4.142	221
1726	WET	nass	418	19.45	2.695	3254
1728	ROTTEN	verdorben	176	7.13	2.26	7039
1730	CHEEK	Wange	121	4.76	2.086	9520
1732	SKY	Himmel	2969	118.19	3.478	769
1733	RAINBOW	Regenbogen	91	3.62	1.968	11584
1735	TEAR (SHRED)	zerreißen	78	4.25	2.037	10374
1736	TWENTY FOUR	vierundzwanzig	8	0.47	1.114	44321
1739	DECORATE	schmücken	28	1.14	1.477	25246
174	PROUD	stolz	2077	105.56	3.428	842
1743	JOIN	vereinigen	64	2.68	1.839	14290
1744	SPLEEN	Milz	63	2.48	1.806	15063
1745	HIP	Hüfte	163	6.46	2.217	7587
1746	BLADDER	Blase	144	7.95	2.307	6474
1747	CUSTOM	Sitte	84	3.31	1.929	12335
1749	TAKE	nehmen	7976	403.95	4.011	278
175	BLOW (OF WIND)	Wehen	138	6.77	2.238	7308
1750	CHOOSE	wählen	738	32.84	2.922	2164
1752	LEAVE	weggehen	368	15.79	2.604	3825
1754	BRACELET	Armband	135	5.32	2.134	8741
1755	UNDRESS	ausziehen	462	22.32	2.754	2954
1756	WIDOW	Wittwe	7	0.28	0.903	59801
1757	TIRED	müde	1784	72.33	3.264	1130
176	BLOW (WITH MOUTH)	blasen	200	12.05	2.487	4668
1762	STONE (OF FRUIT)	Kern	255	10.08	2.41	5383
1763	CLUB	Keule	45	1.77	1.663	18849
1765	IN VAIN	vergebens	41	1.89	1.69	18147
1766	FINISH	beenden	1165	48.19	3.088	1585
1767	SCRAPE	kratzen	143	6.93	2.248	7173
